"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,0.22,0.22,NA,NA,NA,NA,NA,NA
"6","2020/09/17","09:37:52",NA,NA,NA,NA,NA,NA,NA,0.28,0.28,NA,NA,NA,NA,NA,NA
"7","2020/09/17","09:37:52",-0.3409,NA,NA,55.382,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA
"8","2020/09/17","09:37:52",-0.3409,NA,NA,55.38,NA,NA,NA,0.31,0.31,NA,NA,NA,NA,NA,NA
"9","2020/09/17","09:37:52",-0.3409,NA,33.835,55.379,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA
"10","2020/09/17","09:37:53",-0.3409,NA,33.824,55.378,51097.818,1021.244,NA,0.31,0.31,0.78,NA,NA,NA,NA,NA
"11","2020/09/17","09:37:53",-0.3409,NA,33.816,55.378,51086.989,1021.235,21.236,0.3,0.3,0.72,NA,NA,NA,NA,NA
"12","2020/09/17","09:37:53",-0.3409,NA,33.813,55.382,51082.684,1021.23,21.231,0.3,0.3,0.67,NA,5.804,NA,NA,NA
"13","2020/09/17","09:37:53",-0.3409,28.832,33.812,55.386,51079.871,1021.227,21.228,0.28,0.28,0.64,90.78,5.793,NA,5.809,5.81
"14","2020/09/17","09:37:53",-0.3409,28.835,33.811,55.388,51078.771,1021.225,21.227,0.29,0.29,0.63,90.59,5.78,NA,5.796,5.797
