"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.15,NA,NA,NA,NA
"2","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.02,NA,NA,NA,NA
"3","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.07,NA,NA,NA,NA
"4","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.15,NA,NA,NA,NA
"5","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.14,NA,NA,NA,NA
"6","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.23,NA,NA,NA,NA
"7","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.31,NA,NA,NA,NA
"8","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.26,NA,NA,NA,NA
"9","2020/09/17","10:01:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.18,NA,NA,NA,NA
"10","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.17,NA,NA,NA,NA
"11","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.29,NA,NA,NA,NA
"12","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.26,NA,NA,NA,NA
"13","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.33,NA,NA,NA,NA
"14","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.37,NA,NA,NA,NA
"15","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.23,NA,NA,NA,NA
"16","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.16,NA,NA,NA,NA
"17","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.31,NA,NA,NA,NA
"18","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.37,NA,8.24,NA,NA
"19","2020/09/17","10:01:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.34,NA,NA,NA,NA
"20","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.29,NA,NA,NA,NA
"21","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.28,NA,8.24,NA,NA
"22","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.22,NA,8.24,NA,NA
"23","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.26,NA,8.26,NA,NA
"24","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,94.16,NA,8.25,NA,NA
"25","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.16,NA,8.25,NA,NA
"26","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,94.05,NA,8.26,NA,NA
"27","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.96,NA,8.25,NA,NA
"28","2020/09/17","10:01:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.32,NA,8.25,NA,NA
"29","2020/09/17","10:01:38",NA,28.67,NA,NA,NA,NA,NA,NA,NA,NA,93.22,6.271,8.26,6.289,6.289
"30","2020/09/17","10:01:39",-0.3802,28.691,NA,NA,NA,NA,NA,0.42,0.42,NA,93.04,6.016,8.26,6.033,6.034
"31","2020/09/17","10:01:39",-0.3802,28.704,30.348,50.181,46399.934,1018.671,18.673,0.44,0.44,1.17,92.96,6.037,8.27,6.054,6.055
"32","2020/09/17","10:01:39",-0.3802,28.71,30.347,50.185,46397.731,1018.668,18.67,0.44,0.44,1.11,92.63,6.018,8.28,6.036,6.036
"33","2020/09/17","10:01:39",-0.3802,28.714,30.344,50.185,46393.979,1018.665,18.666,0.44,0.44,1.07,92.45,6.009,8.27,6.026,6.026
"34","2020/09/17","10:01:39",-0.3802,28.715,30.346,50.189,46396.479,1018.666,18.668,0.44,0.44,1.05,92.14,5.989,8.26,6.006,6.006
"35","2020/09/17","10:01:39",-0.3802,28.716,30.345,50.188,46395.373,1018.665,18.667,0.42,0.42,1.08,92.01,5.982,8.27,5.999,5.999
"36","2020/09/17","10:01:39",-0.3802,28.716,30.348,50.193,46399.135,1018.667,18.669,0.43,0.43,1.07,91.74,5.964,8.29,5.982,5.982
"37","2020/09/17","10:01:39",-0.3802,28.717,30.352,50.199,46404.864,1018.67,18.672,0.44,0.44,1.04,91.57,5.954,8.27,5.971,5.971
"38","2020/09/17","10:01:39",-0.3802,28.718,30.356,50.206,46409.67,1018.672,18.674,0.44,0.44,1.01,91.45,5.945,8.27,5.963,5.963
"39","2020/09/17","10:01:39",-0.3802,28.719,30.358,50.21,46412.336,1018.673,18.675,0.45,0.45,1.07,91.4,5.942,8.28,5.959,5.959
"40","2020/09/17","10:01:40",-0.3802,28.72,30.363,50.22,46420.048,1018.677,18.679,0.46,0.46,1.07,91.11,5.923,8.27,5.94,5.94
"41","2020/09/17","10:01:40",-0.3802,28.721,30.366,50.225,46424.031,1018.679,18.681,0.46,0.46,1.01,90.97,5.913,8.27,5.93,5.931
"42","2020/09/17","10:01:40",NA,28.722,30.366,50.226,46423.8,1018.679,18.68,0.45,0.45,1.01,90.93,5.91,8.28,5.927,5.928
"43","2020/09/17","10:01:40",-0.3802,28.725,30.365,50.226,46422.103,1018.677,18.679,0.44,0.44,1,90.97,5.914,8.27,5.931,5.931
"44","2020/09/17","10:01:40",-0.3802,28.729,30.367,50.232,46423.88,1018.677,18.679,0.45,0.45,1,90.77,5.901,8.28,5.918,5.918
"45","2020/09/17","10:01:40",-0.3802,28.733,30.366,50.234,46422.006,1018.675,18.677,0.47,0.47,0.98,90.68,5.896,8.29,5.913,5.913
"46","2020/09/17","10:01:40",NA,28.734,30.357,50.223,46410.586,1018.669,18.67,0.45,0.45,1.02,90.55,5.887,8.28,5.904,5.904
"47","2020/09/17","10:01:40",-0.3802,28.729,30.357,50.219,46411.065,1018.67,18.672,0.45,0.45,1.07,90.4,5.877,8.28,5.894,5.895
"48","2020/09/17","10:01:40",NA,28.726,30.364,50.225,46419.98,1018.676,18.677,0.45,0.45,1.05,90.22,5.865,8.28,5.881,5.882
"49","2020/09/17","10:01:40",-0.3802,28.724,30.366,50.227,46423.822,1018.678,18.68,0.44,0.44,1.04,90.15,5.86,8.29,5.877,5.877
"50","2020/09/17","10:01:41",-0.3802,28.725,30.364,50.225,46420.938,1018.677,18.678,0.42,0.42,1.07,90,5.85,8.28,5.867,5.867
"51","2020/09/17","10:01:41",-0.3802,28.73,30.366,50.232,46422.158,1018.676,18.677,0.41,0.41,1.08,89.9,5.845,8.29,5.862,5.862
"52","2020/09/17","10:01:41",-0.3802,28.746,30.36,50.238,46412.994,1018.666,18.668,0.43,0.43,1.04,89.91,5.846,8.3,5.863,5.864
"53","2020/09/17","10:01:41",-0.3802,28.763,30.349,50.238,46397.052,1018.652,18.654,0.43,0.43,1.02,89.87,5.845,8.28,5.862,5.863
"54","2020/09/17","10:01:41",-0.3802,28.768,30.342,50.233,46387.504,1018.646,18.647,0.43,0.43,1.08,89.75,5.838,8.3,5.855,5.855
"55","2020/09/17","10:01:41",-0.3802,28.767,30.345,50.236,46391.486,1018.648,18.65,0.44,0.44,1.12,89.67,5.833,8.27,5.85,5.85
"56","2020/09/17","10:01:41",-0.3802,28.767,30.351,50.245,46399.582,1018.653,18.654,0.44,0.44,NA,89.57,5.827,8.28,5.843,5.844
"57","2020/09/17","10:01:41",-0.3802,28.765,30.355,50.249,46405.142,1018.657,18.658,0.43,0.43,NA,89.45,5.819,8.3,5.836,5.836
"58","2020/09/17","10:01:41",-0.3802,28.762,30.35,50.239,46398.742,1018.654,18.656,0.42,0.42,1.15,89.33,5.811,8.29,5.828,5.828
"59","2020/09/17","10:01:41",-0.3802,28.755,30.353,50.236,46403.183,1018.658,18.66,0.41,0.41,1.14,89.31,5.81,8.3,5.826,5.827
