"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.01,NA,NA,NA,NA
"2","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.95,NA,NA,NA,NA
"3","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.03,NA,NA,NA,NA
"4","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.09,NA,NA,NA,NA
"5","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.04,NA,NA,NA,NA
"6","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.14,NA,NA,NA,NA
"7","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.17,NA,NA,NA,NA
"8","2020/09/17","12:12:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.21,NA,NA,NA,NA
"9","2020/09/17","12:12:19",-0.3213,NA,NA,49.5,NA,NA,NA,NA,NA,NA,94.06,NA,NA,NA,NA
"10","2020/09/17","12:12:20",-0.3213,NA,NA,49.511,NA,NA,NA,NA,NA,NA,94.12,NA,NA,NA,NA
"11","2020/09/17","12:12:20",-0.3213,NA,28.5,49.518,NA,NA,NA,0.7,0.7,NA,94.12,NA,NA,NA,NA
"12","2020/09/17","12:12:20",-0.3213,NA,28.468,49.516,43670.843,1016.47,16.472,NA,NA,NA,94.19,NA,NA,NA,NA
"13","2020/09/17","12:12:20",-0.3213,NA,28.464,49.519,43665.038,1016.464,16.465,0.68,0.68,NA,94.15,5.971,NA,5.987,NA
"14","2020/09/17","12:12:20",-0.3213,NA,28.46,49.518,43658.629,1016.458,16.46,0.67,0.67,NA,94.13,5.968,NA,5.985,5.985
"15","2020/09/17","12:12:20",-0.3213,31.106,28.457,49.518,43653.926,1016.454,16.455,0.67,0.67,3.53,94.08,5.964,NA,5.98,5.98
"16","2020/09/17","12:12:20",-0.3213,31.111,28.454,49.52,43650.67,1016.451,16.452,0.68,0.68,3.42,94.09,5.963,8.22,5.979,5.979
"17","2020/09/17","12:12:20",NA,31.115,28.452,49.52,43647.704,1016.448,16.449,0.67,0.67,3.42,94.12,5.964,8.22,5.98,5.98
"18","2020/09/17","12:12:20",-0.3213,31.116,28.451,49.518,43645.535,1016.446,16.448,0.65,0.65,3.53,94.04,5.958,8.23,5.974,5.975
"19","2020/09/17","12:12:20",-0.3213,31.119,28.449,49.518,43643.076,1016.444,16.445,0.66,0.66,3.57,94.07,5.96,8.24,5.976,5.976
"20","2020/09/17","12:12:21",-0.3213,31.123,28.45,49.523,43644.116,1016.443,16.445,0.66,0.66,3.34,94.13,5.963,8.23,5.979,5.979
"21","2020/09/17","12:12:21",-0.3213,31.126,28.449,49.524,43642.007,1016.441,16.443,0.65,0.65,3.19,93.86,5.946,8.24,5.963,5.963
"22","2020/09/17","12:12:21",-0.3213,31.128,28.448,49.524,43640.785,1016.44,16.441,0.66,0.66,3.23,93.88,5.947,8.23,5.963,5.963
"23","2020/09/17","12:12:21",-0.3213,31.131,28.445,49.522,43636.143,1016.437,16.438,0.67,0.67,3.26,93.85,5.945,8.23,5.961,5.961
"24","2020/09/17","12:12:21",-0.3213,31.135,28.442,49.521,43631.895,1016.433,16.434,0.65,0.65,3.26,93.94,5.95,8.24,5.966,5.967
"25","2020/09/17","12:12:21",NA,31.139,28.44,49.522,43628.789,1016.43,16.431,0.66,0.66,3.29,93.82,5.943,8.25,5.959,5.959
"26","2020/09/17","12:12:21",NA,31.14,28.438,49.521,43627.168,1016.429,16.43,0.67,0.67,3.34,93.78,5.94,8.23,5.956,5.957
"27","2020/09/17","12:12:21",NA,31.135,28.44,49.518,43629.846,1016.432,16.433,0.66,0.66,3.24,93.88,5.947,8.23,5.963,5.963
"28","2020/09/17","12:12:21",-0.3213,31.133,28.443,49.521,43633.307,1016.434,16.436,0.65,0.65,3.36,93.66,5.932,8.26,5.948,5.948
