"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/21","09:37:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.47,NA,NA,NA,NA
"2","2021/01/21","09:37:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.36,NA,NA,NA,NA
"3","2021/01/21","09:37:04",NA,NA,NA,NA,NA,NA,NA,0.15,0.15,NA,96.55,6.973,NA,6.989,6.99
"4","2021/01/21","09:37:04",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,97.14,7.027,NA,7.043,7.044
"5","2021/01/21","09:37:04",NA,NA,NA,49.001,NA,NA,NA,0.18,0.18,NA,97.6,7.057,NA,7.073,7.074
"6","2021/01/21","09:37:04",NA,NA,NA,49.014,NA,NA,NA,0.18,0.18,0.85,97.87,7.073,NA,7.09,7.091
"7","2021/01/21","09:37:04",NA,NA,NA,49.009,NA,NA,NA,0.18,0.18,0.74,NA,NA,NA,NA,NA
"8","2021/01/21","09:37:04",NA,NA,NA,49.01,NA,NA,NA,0.18,0.18,0.71,NA,NA,NA,NA,NA
"9","2021/01/21","09:37:04",NA,NA,NA,49.018,NA,NA,NA,0.18,0.18,0.74,NA,NA,NA,NA,NA
"10","2021/01/21","09:37:05",NA,21.345,34.785,49.02,53306.661,1024.236,24.236,0.18,0.18,0.82,NA,NA,NA,NA,NA
"11","2021/01/21","09:37:05",-0.125,21.35,34.776,49.014,53293.052,1024.227,24.227,0.18,0.18,0.9,97.91,7.071,NA,7.088,7.089
"12","2021/01/21","09:37:05",-0.125,21.349,34.776,49.013,53293.751,1024.228,24.228,0.17,0.17,0.91,97.74,7.055,NA,7.072,7.073
"13","2021/01/21","09:37:05",NA,21.346,34.777,49.011,53295.81,1024.229,24.23,0.18,0.18,0.84,97.64,7.045,NA,7.062,7.063
"14","2021/01/21","09:37:05",-0.125,21.348,34.774,49.009,53290.716,1024.226,24.227,0.18,0.18,0.82,97.6,7.04,NA,7.057,7.058
"15","2021/01/21","09:37:05",-0.125,21.349,34.771,49.006,53286.136,1024.223,24.224,0.18,0.18,0.82,97.54,7.034,NA,7.051,7.052
"16","2021/01/21","09:37:05",-0.125,21.346,34.773,49.006,53290.144,1024.226,24.227,NA,NA,0.95,97.37,7.021,NA,7.037,7.038
"17","2021/01/21","09:37:05",-0.125,21.343,34.779,49.011,53299.042,1024.232,24.232,NA,NA,0.91,97.27,7.014,NA,7.03,7.031
"18","2021/01/21","09:37:05",-0.125,21.344,34.78,49.013,53299.957,1024.232,24.233,0.22,0.22,0.98,97.11,7.001,7.51,7.017,7.018
"19","2021/01/21","09:37:05",NA,21.348,34.782,49.019,53301.346,1024.232,24.233,0.18,0.18,0.82,97.01,6.994,7.51,7.01,7.011
