"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/21","12:16:45",-0.1446,NA,34.223,47.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/01/21","12:16:45",-0.125,NA,34.193,47.869,52564.963,1023.895,23.896,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/01/21","12:16:45",-0.125,NA,34.189,47.883,52556.68,1023.887,23.888,NA,NA,2.69,NA,NA,NA,NA,NA
"4","2021/01/21","12:16:45",-0.125,NA,34.154,47.862,52504.765,1023.855,23.855,NA,NA,2.6,NA,NA,NA,NA,NA
"5","2021/01/21","12:16:45",-0.125,NA,34.145,47.854,52492.866,1023.848,23.848,NA,NA,2.4,NA,NA,NA,NA,NA
"6","2021/01/21","12:16:45",-0.125,NA,34.15,47.867,52498.086,1023.849,23.85,0.12,0.12,2.3,NA,NA,NA,NA,NA
"7","2021/01/21","12:16:45",-0.125,NA,34.146,47.861,52492.241,1023.846,23.847,NA,NA,2.4,NA,NA,NA,NA,NA
"8","2021/01/21","12:16:45",-0.125,NA,34.142,47.862,52485.594,1023.841,23.842,NA,NA,2.4,NA,NA,NA,NA,NA
"9","2021/01/21","12:16:45",-0.125,20.999,34.137,47.859,52478.455,1023.837,23.837,NA,NA,2.49,NA,NA,NA,NA,NA
"10","2021/01/21","12:16:46",-0.1054,21.001,34.135,47.859,52475.288,1023.835,23.835,NA,NA,2.39,NA,NA,NA,NA,NA
"11","2021/01/21","12:16:46",-0.125,20.998,34.138,47.86,52480.428,1023.838,23.838,NA,NA,2.55,NA,NA,NA,NA,NA
"12","2021/01/21","12:16:46",-0.125,20.997,34.138,47.859,52480.968,1023.839,23.839,NA,NA,2.39,NA,NA,NA,NA,NA
"13","2021/01/21","12:16:46",-0.125,NA,34.139,47.856,52482.531,1023.84,23.841,0.12,0.12,2.36,NA,NA,NA,NA,NA
"14","2021/01/21","12:16:46",-0.125,NA,34.133,47.85,52474.467,1023.835,23.836,0.12,0.12,2.29,NA,NA,NA,NA,NA
"15","2021/01/21","12:16:46",-0.125,NA,34.136,47.851,52478.956,1023.838,23.839,NA,NA,2.43,NA,NA,NA,NA,NA
"16","2021/01/21","12:16:46",-0.1054,NA,34.142,47.854,52486.787,1023.843,23.844,0.12,0.12,2.39,NA,NA,NA,NA,NA
"17","2021/01/21","12:16:46",-0.1054,NA,34.149,47.857,52497.716,1023.85,23.851,0.11,0.11,2.3,NA,NA,NA,NA,NA
"18","2021/01/21","12:16:46",-0.1446,NA,34.151,47.862,52499.83,1023.851,23.852,0.12,0.12,2.4,NA,NA,NA,NA,NA
"19","2021/01/21","12:16:46",-0.125,NA,34.15,47.864,52498.65,1023.85,23.851,0.11,0.11,2.49,NA,NA,NA,NA,NA
"20","2021/01/21","12:16:47",-0.125,NA,34.149,47.866,52496.461,1023.848,23.849,0.11,0.11,2.69,NA,NA,NA,NA,NA
"21","2021/01/21","12:16:47",-0.125,NA,34.146,47.862,52492.214,1023.846,23.846,0.11,0.11,2.65,NA,NA,NA,NA,NA
"22","2021/01/21","12:16:47",-0.125,NA,34.15,47.868,52497.371,1023.848,23.849,NA,NA,2.42,NA,NA,NA,NA,NA
"23","2021/01/21","12:16:47",-0.125,NA,34.149,47.868,52496.064,1023.848,23.848,NA,NA,2.5,NA,NA,NA,NA,NA
"24","2021/01/21","12:16:47",-0.125,NA,34.149,47.869,52496.425,1023.848,23.848,0.12,0.12,2.53,103.02,NA,NA,NA,NA
"25","2021/01/21","12:16:47",-0.125,NA,34.156,47.877,52504.839,1023.852,23.853,0.11,0.11,2.36,103.13,7.503,7.53,7.52,7.521
"26","2021/01/21","12:16:47",-0.1054,20.997,34.14,47.861,52482.962,1023.84,23.84,NA,NA,2.45,103.17,7.507,7.53,7.524,7.525
"27","2021/01/21","12:16:47",-0.1054,21.003,34.142,47.87,52485.035,1023.84,23.84,NA,NA,2.53,103.24,7.512,NA,7.529,7.53
"28","2021/01/21","12:16:47",-0.1054,21.018,34.135,47.875,52472.068,1023.83,23.83,0.11,0.11,2.5,103.24,7.513,7.53,7.53,7.531
"29","2021/01/21","12:16:47",-0.1054,21.024,34.134,47.881,52470.713,1023.828,23.829,0.11,0.11,2.57,103.24,7.513,NA,7.53,7.531
"30","2021/01/21","12:16:48",-0.1642,21.026,34.127,47.874,52459.657,1023.821,23.822,0.11,0.11,2.67,103.25,7.514,7.53,7.531,7.532
"31","2021/01/21","12:16:48",-0.1054,21.028,34.126,47.875,52458.699,1023.821,23.821,0.12,0.12,2.65,103.36,7.521,7.53,7.539,7.54
"32","2021/01/21","12:16:48",NA,21.032,34.126,47.878,52457.7,1023.82,23.82,NA,NA,2.62,103.38,7.523,7.54,7.54,7.541
"33","2021/01/21","12:16:48",-0.125,21.04,34.114,47.872,52440.582,1023.808,23.809,0.12,0.12,2.52,103.35,7.521,7.54,7.539,7.54
"34","2021/01/21","12:16:48",-0.125,21.048,34.115,47.881,52440.376,1023.807,23.807,0.12,0.12,2.49,103.44,7.528,7.54,7.545,7.546
"35","2021/01/21","12:16:48",-0.125,21.052,34.115,47.884,52439.096,1023.806,23.806,0.11,0.11,2.38,103.47,7.53,7.54,7.548,7.549
"36","2021/01/21","12:16:48",-0.1446,21.044,34.124,47.889,52453.554,1023.815,23.815,NA,NA,2.39,103.53,7.533,7.54,7.551,7.552
"37","2021/01/21","12:16:48",-0.125,21.039,34.128,47.888,52459.498,1023.819,23.82,NA,NA,2.72,103.58,7.536,7.55,7.553,7.554
"38","2021/01/21","12:16:48",-0.125,21.046,34.118,47.883,52444.756,1023.81,23.81,NA,NA,2.7,103.62,7.54,7.55,7.557,7.558
"39","2021/01/21","12:16:48",-0.125,21.051,34.118,47.888,52444.069,1023.808,23.809,NA,NA,2.63,103.59,7.536,7.55,7.554,7.555
"40","2021/01/21","12:16:49",-0.125,21.051,34.123,47.894,52450.969,1023.812,23.813,0.11,0.11,2.67,103.67,7.541,7.52,7.559,7.56
