"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/18","10:13:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.81,NA,NA,NA,NA
"2","2021/02/18","10:13:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.65,NA,NA,NA,NA
"3","2021/02/18","10:13:34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/02/18","10:13:34",-0.1642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/02/18","10:13:34",-0.1642,NA,NA,42.828,NA,NA,NA,0.28,0.28,NA,NA,NA,NA,NA,NA
"6","2021/02/18","10:13:34",-0.1642,NA,NA,42.842,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA
"7","2021/02/18","10:13:34",-0.1642,NA,NA,42.852,NA,NA,NA,0.32,0.32,NA,NA,NA,NA,NA,NA
"8","2021/02/18","10:13:34",-0.125,16.462,33.715,42.904,52826.997,1024.653,24.654,0.35,0.35,NA,NA,NA,NA,NA,NA
"9","2021/02/18","10:13:34",-0.1446,16.578,33.6,42.884,52636.612,1024.537,24.538,0.32,0.32,9.53,NA,NA,NA,NA,NA
"10","2021/02/18","10:13:35",-0.1642,16.6,33.527,42.822,52529.549,1024.477,24.477,0.32,0.32,9.11,NA,NA,NA,NA,NA
"11","2021/02/18","10:13:35",-0.1446,16.576,33.572,42.851,52598.775,1024.517,24.518,0.32,0.32,8.99,NA,NA,NA,NA,NA
"12","2021/02/18","10:13:35",-0.1446,16.575,33.574,42.852,52601.086,1024.518,24.519,0.31,0.31,9.1,NA,NA,NA,NA,NA
"13","2021/02/18","10:13:35",-0.1642,16.577,33.552,42.828,52569.882,1024.501,24.502,0.29,0.29,9.31,102.3,8.15,NA,8.162,8.162
"14","2021/02/18","10:13:35",-0.1642,16.579,33.554,42.832,52572.141,1024.502,24.503,0.29,0.29,9.21,NA,NA,NA,NA,NA
"15","2021/02/18","10:13:35",-0.1642,16.607,33.521,42.821,52519.001,1024.47,24.471,0.3,0.3,8.8,NA,NA,NA,NA,NA
"16","2021/02/18","10:13:35",-0.1446,16.617,33.526,42.837,52524.221,1024.472,24.473,0.32,0.32,9.16,NA,NA,NA,NA,NA
"17","2021/02/18","10:13:35",-0.1446,16.625,33.493,42.808,52476.544,1024.445,24.446,0.31,0.31,9.72,102.27,8.14,NA,8.152,8.152
"18","2021/02/18","10:13:35",-0.1446,16.606,33.504,42.801,52495.537,1024.457,24.458,0.31,0.31,9.77,102.02,8.119,NA,8.131,8.131
"19","2021/02/18","10:13:35",-0.1446,16.582,33.543,42.823,52555.817,1024.493,24.493,0.31,0.31,9.62,101.76,8.095,NA,8.107,8.107
"20","2021/02/18","10:13:36",-0.1446,16.579,33.565,42.845,52587.926,1024.511,24.511,0.34,0.34,9.23,101.67,8.086,NA,8.098,8.098
"21","2021/02/18","10:13:36",-0.125,16.597,33.544,42.84,52554.575,1024.491,24.491,0.31,0.31,9.11,101.66,8.088,NA,8.1,8.1
"22","2021/02/18","10:13:36",-0.1446,16.6,33.513,42.807,52510.639,1024.466,24.467,0.31,0.31,9.77,101.54,8.082,NA,8.094,8.094
"23","2021/02/18","10:13:36",-0.125,16.553,33.555,42.809,52580.246,1024.509,24.51,0.31,0.31,9.16,101.5,8.083,NA,8.095,8.095
"24","2021/02/18","10:13:36",-0.1446,16.529,33.552,42.783,52581.645,1024.512,24.513,0.32,0.32,8.83,101.46,8.084,NA,8.096,8.096
"25","2021/02/18","10:13:36",-0.125,16.53,33.544,42.775,52571.11,1024.506,24.507,0.32,0.32,9.16,101.23,8.068,NA,8.08,8.08
