"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/18","10:04:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/02/18","10:04:53",NA,13.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/02/18","10:04:53",NA,13.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/02/18","10:04:53",NA,13.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/02/18","10:04:53",NA,13.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/02/18","10:04:53",NA,13.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/02/18","10:04:53",NA,13.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/02/18","10:04:53",NA,13.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/02/18","10:04:53",NA,13.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/02/18","10:04:54",NA,13.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.297,NA,8.309,8.308
"11","2021/02/18","10:04:54",-0.2428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/02/18","10:04:54",-0.2428,NA,33.724,40.322,53598.089,1025.254,25.255,NA,NA,13.1,NA,NA,NA,NA,NA
"13","2021/02/18","10:04:54",NA,NA,33.717,40.32,53584.659,1025.246,25.247,0.73,0.73,NA,99.25,NA,NA,NA,NA
"14","2021/02/18","10:04:54",NA,NA,33.729,40.351,53597.356,1025.253,25.254,0.92,0.92,12.81,99.95,8.267,NA,8.276,8.276
"15","2021/02/18","10:04:54",NA,NA,33.736,40.38,53600.359,1025.253,25.254,1.31,1.31,13.57,100.47,8.337,NA,8.345,8.345
"16","2021/02/18","10:04:54",NA,NA,33.73,40.389,53585.852,1025.245,25.246,2.1,2.1,15.08,100.99,8.403,NA,8.411,8.411
"17","2021/02/18","10:04:54",NA,13.822,33.72,40.394,53565.862,1025.233,25.234,2.56,2.56,15.76,NA,NA,NA,NA,NA
"18","2021/02/18","10:04:54",NA,13.843,33.727,40.421,53570.311,1025.235,25.236,2.93,2.93,16.13,NA,NA,NA,NA,NA
"19","2021/02/18","10:04:54",NA,13.858,33.703,40.409,53530.774,1025.213,25.214,2.8,2.8,16.54,NA,NA,NA,NA,NA
"20","2021/02/18","10:04:55",NA,13.88,33.683,40.408,53495.618,1025.193,25.194,3.67,3.67,18.14,NA,NA,7.46,NA,NA
"21","2021/02/18","10:04:55",NA,13.908,33.644,40.393,53431.355,1025.157,25.158,3.57,3.57,19.8,NA,NA,NA,NA,NA
"22","2021/02/18","10:04:55",NA,13.932,33.619,40.388,53388.622,1025.133,25.134,2.89,2.89,19.85,NA,NA,NA,NA,NA
"23","2021/02/18","10:04:55",NA,13.945,33.609,40.391,53370.524,1025.123,25.124,2.34,2.34,19.22,NA,NA,NA,NA,NA
"24","2021/02/18","10:04:55",NA,13.962,33.596,40.392,53346.776,1025.109,25.11,2.12,2.12,18.4,NA,NA,NA,NA,NA
"25","2021/02/18","10:04:55",NA,13.965,33.584,40.383,53329.603,1025.1,25.101,2.11,2.11,18.08,NA,NA,NA,NA,NA
"26","2021/02/18","10:04:55",NA,13.976,33.589,40.398,53331.934,1025.1,25.101,2.27,2.27,NA,NA,NA,7.46,NA,NA
"27","2021/02/18","10:04:55",NA,13.973,33.591,40.397,53336.215,1025.103,25.104,2.99,2.99,NA,NA,NA,7.46,NA,NA
"28","2021/02/18","10:04:55",NA,13.976,33.602,40.412,53350.52,1025.111,25.111,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021/02/18","10:04:55",NA,13.979,33.595,40.407,53340.518,1025.105,25.106,NA,NA,NA,NA,NA,7.47,NA,NA
"30","2021/02/18","10:04:56",-0.2428,14.006,33.564,40.399,53287.687,1025.075,25.076,3.38,3.38,19.38,NA,NA,7.46,NA,NA
"31","2021/02/18","10:04:56",NA,14.02,33.55,40.398,53263.774,1025.061,25.062,2.94,2.94,17.57,NA,NA,7.47,NA,NA
"32","2021/02/18","10:04:56",NA,14.02,33.569,40.417,53290.385,1025.076,25.077,2.61,2.61,16.64,101.21,NA,7.47,NA,NA
"33","2021/02/18","10:04:56",NA,14.008,33.594,40.434,53330.608,1025.098,25.099,2.51,2.51,16.87,101.19,NA,7.48,NA,NA
"34","2021/02/18","10:04:56",NA,13.995,33.613,40.442,53361.099,1025.115,25.116,2.42,2.42,18.25,101.03,NA,7.46,NA,NA
"35","2021/02/18","10:04:56",-0.2428,13.993,33.618,40.446,53369.426,1025.12,25.121,2.36,2.36,17.27,100.98,NA,7.49,NA,NA
"36","2021/02/18","10:04:56",NA,14.022,33.602,40.456,53337.205,1025.101,25.102,2.58,2.58,16.58,100.9,NA,7.48,NA,NA
