"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.63,NA,NA,NA,NA
"2","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.67,NA,NA,NA,NA
"3","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.67,NA,NA,NA,NA
"4","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.83,NA,NA,NA,NA
"5","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,NA,NA,NA,NA
"6","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.89,NA,NA,NA,NA
"7","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.93,NA,NA,NA,NA
"8","2021/02/18","13:50:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.03,NA,NA,NA,NA
"9","2021/02/18","13:50:18",NA,NA,34.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/02/18","13:50:19",-0.2035,NA,NA,NA,NA,NA,NA,0.31,0.31,NA,NA,NA,NA,NA,NA
"11","2021/02/18","13:50:19",-0.2231,NA,NA,NA,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"12","2021/02/18","13:50:19",-0.2035,NA,NA,NA,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"13","2021/02/18","13:50:19",-0.2035,18.9,NA,NA,NA,NA,NA,0.36,0.36,NA,NA,NA,NA,NA,NA
"14","2021/02/18","13:50:19",-0.1839,19.206,34.294,NA,53023.453,1024.428,24.429,0.37,0.37,NA,NA,NA,NA,NA,NA
"15","2021/02/18","13:50:19",-0.2231,19.26,34.277,NA,52988.965,1024.401,24.402,NA,NA,5.06,NA,NA,7.44,NA,NA
"16","2021/02/18","13:50:19",-0.2035,19.248,34.282,NA,52998.894,1024.409,24.409,0.37,0.37,4.94,NA,NA,NA,NA,NA
"17","2021/02/18","13:50:19",-0.2035,19.251,34.251,46.258,52955.828,1024.384,24.385,0.37,0.37,4.83,NA,NA,7.42,NA,NA
"18","2021/02/18","13:50:19",-0.1839,19.289,34.223,NA,52909.286,1024.353,24.354,0.36,0.36,4.7,NA,7.725,7.42,7.74,7.741
"19","2021/02/18","13:50:19",-0.1839,19.309,34.191,46.243,52861.582,1024.324,24.324,0.37,0.37,4.71,NA,7.708,7.44,7.723,7.724
"20","2021/02/18","13:50:20",-0.2035,19.35,34.174,NA,52830.026,1024.3,24.301,0.37,0.37,4.71,NA,7.687,7.44,7.702,7.702
"21","2021/02/18","13:50:20",-0.1839,19.381,34.143,46.256,52780.17,1024.268,24.269,0.34,0.34,4.7,101.91,7.674,7.44,7.689,7.69
"22","2021/02/18","13:50:20",-0.2231,19.359,34.177,NA,52831.448,1024.299,24.3,0.34,0.34,4.6,101.78,7.655,7.43,7.67,7.671
"23","2021/02/18","13:50:20",-0.2035,19.352,34.206,NA,52873.444,1024.324,24.325,0.35,0.35,4.43,101.78,7.652,7.43,7.667,7.668
"24","2021/02/18","13:50:20",-0.2035,19.326,34.183,46.25,52846.674,1024.313,24.314,0.34,0.34,4.43,101.8,7.652,7.43,7.668,7.668
"25","2021/02/18","13:50:20",-0.2035,19.331,34.148,46.212,52796.749,1024.284,24.285,0.33,0.33,4.26,101.57,7.635,7.45,7.651,7.651
"26","2021/02/18","13:50:20",-0.1839,19.337,34.127,46.193,52767.732,1024.268,24.268,0.34,0.34,4.4,101.3,7.617,7.45,7.632,7.633
"27","2021/02/18","13:50:20",-0.2035,19.335,34.12,46.182,52757.514,1024.262,24.263,0.32,0.32,4.48,101.15,7.61,7.45,7.625,7.626
"28","2021/02/18","13:50:20",-0.2035,19.327,34.139,46.198,52785.757,1024.279,24.28,0.34,0.34,4.56,101.09,7.611,7.46,7.626,7.627
"29","2021/02/18","13:50:20",-0.2035,19.326,34.134,46.191,52779.536,1024.276,24.277,0.34,0.34,4.63,100.87,7.601,7.46,7.616,7.617
"30","2021/02/18","13:50:21",-0.2231,19.325,34.125,46.179,52766.442,1024.268,24.269,0.34,0.34,4.48,100.7,7.591,7.45,7.606,7.606
"31","2021/02/18","13:50:21",-0.2231,19.321,34.117,46.165,52756.634,1024.264,24.265,0.33,0.33,4.43,100.52,7.579,7.45,7.594,7.595
"32","2021/02/18","13:50:21",-0.2231,19.313,34.104,46.141,52740.14,1024.256,24.257,0.35,0.35,5.03,100.36,7.571,7.46,7.586,7.586
"33","2021/02/18","13:50:21",-0.2035,19.294,34.112,46.132,52754.228,1024.266,24.267,0.34,0.34,4.46,100.28,7.562,7.48,7.577,7.578
"34","2021/02/18","13:50:21",-0.2035,19.269,34.109,46.104,52755.085,1024.27,24.271,0.34,0.34,4.44,100.19,7.552,7.44,7.567,7.567
"35","2021/02/18","13:50:21",-0.2035,19.219,34.124,46.073,52786.56,1024.295,24.296,0.34,0.34,4.47,100.01,7.535,7.46,7.55,7.551
"36","2021/02/18","13:50:21",-0.2035,19.151,34.183,46.077,52881.094,1024.357,24.358,0.33,0.33,4.46,99.91,7.524,7.46,7.539,7.54
"37","2021/02/18","13:50:21",-0.2231,19.142,34.191,46.077,52894.229,1024.366,24.367,0.34,0.34,NA,99.76,7.51,7.46,7.525,7.526
"38","2021/02/18","13:50:21",-0.2035,19.156,34.163,46.057,52853.039,1024.341,24.342,0.36,0.36,NA,99.62,7.503,7.47,7.518,7.518
"39","2021/02/18","13:50:21",-0.2231,19.149,34.157,46.044,52845.729,1024.338,24.339,0.33,0.33,NA,99.56,7.503,7.48,7.518,7.518
"40","2021/02/18","13:50:22",-0.2035,19.161,34.139,46.033,52818.082,1024.321,24.322,0.32,0.32,4.7,99.59,7.512,7.48,7.526,7.527
"41","2021/02/18","13:50:22",-0.2035,19.163,34.138,46.034,52816.38,1024.32,24.321,0.31,0.31,4.8,99.46,7.505,7.49,7.519,7.52
"42","2021/02/18","13:50:22",-0.2035,19.212,34.126,46.068,52789.915,1024.298,24.299,0.31,0.31,4.68,99.45,7.504,7.47,7.519,7.52
"43","2021/02/18","13:50:22",-0.2231,19.285,34.076,46.08,52706.7,1024.241,24.242,0.32,0.32,4.74,99.51,7.513,7.49,7.527,7.528
"44","2021/02/18","13:50:22",-0.2231,19.335,34.029,46.073,52633.007,1024.193,24.194,0.32,0.32,4.47,99.58,7.525,7.47,7.539,7.54
"45","2021/02/18","13:50:22",-0.2035,19.363,33.983,46.045,52563.227,1024.15,24.151,0.32,0.32,4.46,99.72,7.541,7.5,7.556,7.556
"46","2021/02/18","13:50:22",-0.2231,19.364,33.966,46.025,52539.163,1024.137,24.138,0.31,0.31,4.33,99.82,7.555,7.46,7.57,7.57
"47","2021/02/18","13:50:22",-0.2231,19.351,33.968,46.016,52545.48,1024.142,24.143,0.29,0.29,4.37,99.78,7.556,7.48,7.571,7.571
"48","2021/02/18","13:50:22",-0.2231,19.343,33.963,46,52539.24,1024.14,24.141,0.29,0.29,4.24,99.72,7.553,7.47,7.568,7.568
"49","2021/02/18","13:50:22",-0.2231,19.301,33.997,46.001,52594.536,1024.177,24.178,0.29,0.29,4.31,99.64,7.546,7.48,7.561,7.561
