"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.11,NA,NA,NA,NA
"2","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.09,NA,NA,NA,NA
"3","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.11,NA,NA,NA,NA
"4","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1,NA,NA,NA,NA
"5","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,100.18,NA,NA,NA,NA
"6","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,100.19,NA,NA,NA,NA
"7","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,100.2,NA,NA,NA,NA
"8","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,100.15,NA,NA,NA,NA
"9","2021/02/18","07:58:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,100.13,NA,NA,NA,NA
"10","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,100.14,NA,NA,NA,NA
"11","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.04,NA,NA,NA,NA
"12","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.16,NA,NA,NA,NA
"13","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.17,NA,NA,NA,NA
"14","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.16,NA,NA,NA,NA
"15","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.14,NA,NA,NA,NA
"16","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.11,NA,NA,NA,NA
"17","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,100.16,NA,NA,NA,NA
"18","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,100.14,NA,NA,NA,NA
"19","2021/02/18","07:58:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,100.07,NA,NA,NA,NA
"20","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,100.11,NA,NA,NA,NA
"21","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,100.1,NA,NA,NA,NA
"22","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,100.2,NA,NA,NA,NA
"23","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.18,NA,NA,NA,NA
"24","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.18,NA,NA,NA,NA
"25","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.2,NA,NA,NA,NA
"26","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.11,NA,NA,NA,NA
"27","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,100.2,NA,NA,NA,NA
"28","2021/02/18","07:58:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.3,NA,NA,NA,NA
"29","2021/02/18","07:58:44",-0.1642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021/02/18","07:58:45",NA,NA,NA,NA,NA,NA,NA,0.31,0.31,NA,NA,NA,NA,NA,NA
"31","2021/02/18","07:58:45",-0.1642,NA,NA,46.408,NA,NA,NA,0.34,0.34,NA,NA,NA,7.48,NA,NA
"32","2021/02/18","07:58:45",-0.1642,NA,34.843,46.326,NA,NA,NA,0.35,0.35,NA,103.83,7.968,NA,7.982,7.982
"33","2021/02/18","07:58:45",NA,19.138,34.49,46.433,53307.453,1024.596,24.596,0.34,0.34,2.6,103.03,7.855,NA,7.87,7.87
"34","2021/02/18","07:58:45",-0.1642,19.404,34.284,46.449,52970.373,1024.37,24.371,0.35,0.35,2.43,103.07,7.83,NA,7.845,7.845
"35","2021/02/18","07:58:45",NA,19.559,34.21,46.514,52838.942,1024.274,24.274,0.36,0.36,2.42,103.44,7.83,NA,7.845,7.846
"36","2021/02/18","07:58:45",NA,19.564,34.192,46.497,52813.443,1024.259,24.259,0.38,0.38,2.4,103.21,7.798,7.5,7.813,7.813
"37","2021/02/18","07:58:45",-0.1642,19.564,34.206,46.514,52831.728,1024.269,24.269,0.38,0.38,2.32,103.4,7.798,NA,7.814,7.814
"38","2021/02/18","07:58:45",NA,19.591,34.211,46.547,52833.668,1024.266,24.266,0.35,0.35,2.35,103.33,7.786,7.5,7.802,7.802
"39","2021/02/18","07:58:45",NA,NA,34.193,46.559,52801.973,1024.243,24.244,0.34,0.34,2.4,103.21,7.768,7.5,7.783,7.784
"40","2021/02/18","07:58:46",NA,19.585,34.223,46.555,52851.351,1024.277,24.277,0.36,0.36,2.35,103.25,7.766,7.48,7.782,7.782
"41","2021/02/18","07:58:46",NA,NA,34.224,46.585,52847.285,1024.27,24.271,0.35,0.35,2.43,103.19,7.756,7.48,7.772,7.772
"42","2021/02/18","07:58:46",NA,19.569,34.195,46.506,52816.254,1024.26,24.26,0.37,0.37,2.38,103.29,7.761,7.48,7.777,7.777
"43","2021/02/18","07:58:46",NA,19.522,34.225,46.495,52866.675,1024.295,24.295,0.36,0.36,2.55,103.27,7.759,7.49,7.775,7.775
"44","2021/02/18","07:58:46",NA,19.528,34.231,46.508,52872.86,1024.297,24.298,0.37,0.37,2.29,103.29,7.765,7.48,7.781,7.781
"45","2021/02/18","07:58:46",NA,19.537,34.25,46.541,52898.129,1024.31,24.31,0.34,0.34,2.32,103.23,7.76,7.5,7.775,7.776
