"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.61,NA,NA,NA,NA
"2","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.61,NA,NA,NA,NA
"4","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.53,NA,NA,NA,NA
"5","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.59,NA,NA,NA,NA
"6","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,96.58,NA,NA,NA,NA
"7","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,96.56,NA,NA,NA,NA
"8","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.46,NA,NA,NA,NA
"9","2021/02/18","11:49:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.44,NA,NA,NA,NA
"10","2021/02/18","11:49:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.44,NA,NA,NA,NA
"11","2021/02/18","11:49:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/02/18","11:49:52",NA,NA,NA,NA,53512.234,NA,NA,0.28,0.28,NA,NA,NA,NA,NA,NA
"13","2021/02/18","11:49:52",-0.1642,NA,NA,46.656,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"14","2021/02/18","11:49:52",-0.1642,NA,NA,NA,NA,NA,NA,0.37,0.37,NA,NA,NA,NA,NA,NA
"15","2021/02/18","11:49:52",-0.1642,18.804,NA,NA,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"16","2021/02/18","11:49:52",-0.1446,19.096,34.779,NA,53713.797,1024.827,24.828,0.41,0.41,2.01,NA,NA,NA,NA,NA
"17","2021/02/18","11:49:52",-0.1446,19.252,34.645,NA,53498.653,1024.685,24.686,0.38,0.38,NA,NA,NA,7.44,NA,NA
"18","2021/02/18","11:49:52",-0.1446,19.331,34.516,46.656,53304.182,1024.566,24.566,0.38,0.38,NA,NA,NA,NA,NA,NA
"19","2021/02/18","11:49:52",NA,19.373,34.463,46.635,53223.71,1024.515,24.515,0.38,0.38,1.96,NA,NA,7.44,NA,NA
"20","2021/02/18","11:49:53",-0.1446,19.28,34.538,46.632,53344.818,1024.596,24.596,0.34,0.34,1.88,NA,NA,NA,NA,NA
"21","2021/02/18","11:49:53",-0.1642,19.178,34.593,46.597,53441.568,1024.664,24.665,0.38,0.38,NA,NA,NA,NA,NA,NA
"22","2021/02/18","11:49:53",-0.1446,19.142,34.596,46.565,53453.306,1024.676,24.677,0.38,0.38,2.01,NA,NA,7.45,NA,NA
