"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA
"7","2021/03/04","12:54:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/03/04","12:54:27",-0.1839,NA,33.736,47.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/03/04","12:54:27",-0.1839,NA,33.737,47.703,51872.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/03/04","12:54:28",-0.1839,NA,33.731,47.711,51862.235,NA,NA,0.05,0.05,3.09,NA,NA,NA,NA,NA
"11","2021/03/04","12:54:28",-0.1839,21.377,33.713,47.703,51834.064,1023.411,23.412,0.07,0.07,2.9,NA,NA,7.39,NA,NA
"12","2021/03/04","12:54:28",-0.1642,21.384,33.721,47.72,51844.467,1023.416,23.416,0.07,0.07,2.89,NA,NA,NA,NA,NA
"13","2021/03/04","12:54:28",-0.1642,21.394,33.729,47.739,51853.494,NA,NA,0.07,0.07,2.85,NA,NA,NA,NA,NA
"14","2021/03/04","12:54:28",-0.1839,21.404,33.725,47.745,51846.003,1023.412,23.413,NA,NA,2.9,NA,NA,NA,NA,NA
"15","2021/03/04","12:54:28",-0.1642,21.421,33.697,47.727,51805.993,1023.387,23.388,0.05,0.05,2.9,NA,NA,NA,NA,NA
"16","2021/03/04","12:54:28",-0.1642,21.431,33.683,47.718,51784.122,1023.373,23.374,0.05,0.05,2.85,NA,NA,7.39,NA,NA
"17","2021/03/04","12:54:28",-0.1642,21.439,33.672,47.712,51768.491,1023.363,23.364,0.06,0.06,2.79,NA,NA,7.4,NA,NA
"18","2021/03/04","12:54:28",-0.1642,21.44,33.666,47.707,51760.59,1023.359,23.359,0.05,0.05,2.87,NA,NA,7.39,NA,NA
"19","2021/03/04","12:54:28",-0.1642,21.44,33.662,47.701,51755.151,1023.356,23.356,0.07,0.07,2.85,NA,NA,7.4,NA,NA
"20","2021/03/04","12:54:29",-0.1642,21.433,33.669,47.703,51765.179,1023.362,23.363,0.06,0.06,2.96,NA,NA,7.4,NA,NA
"21","2021/03/04","12:54:29",-0.1642,21.428,33.665,47.693,51760.892,1023.361,23.362,0.06,0.06,3.04,NA,NA,7.4,NA,NA
"22","2021/03/04","12:54:29",-0.1642,21.423,33.668,47.692,51765.182,1023.364,23.365,0.07,0.07,2.99,NA,NA,7.38,NA,NA
"23","2021/03/04","12:54:29",-0.1642,21.417,33.675,47.696,51776.617,1023.372,23.372,0.06,0.06,3.04,NA,NA,7.39,NA,NA
"24","2021/03/04","12:54:29",-0.1642,21.414,33.676,47.693,51778.139,1023.373,23.374,0.07,0.07,3.06,NA,NA,7.41,NA,NA
"25","2021/03/04","12:54:29",-0.1642,21.415,33.68,47.699,51782.833,1023.376,23.376,0.06,0.06,3.03,NA,NA,7.41,NA,NA
"26","2021/03/04","12:54:29",-0.1446,21.418,33.681,47.703,51784.309,1023.376,23.377,0.05,0.05,2.96,108.76,7.871,7.42,7.89,7.891
"27","2021/03/04","12:54:29",-0.1642,21.422,33.675,47.7,51775.887,1023.371,23.371,0.05,0.05,3.03,109.08,7.894,7.42,7.913,7.913
"28","2021/03/04","12:54:29",-0.1446,21.425,33.672,47.699,51770.48,1023.367,23.368,0.06,0.06,2.97,109.17,7.899,7.42,7.918,7.919
"29","2021/03/04","12:54:29",-0.1642,21.425,33.672,47.699,51771.312,1023.367,23.368,0.06,0.06,3.04,109.37,7.913,7.4,7.931,7.932
"30","2021/03/04","12:54:30",-0.1642,21.427,33.675,47.705,51775.021,1023.369,23.37,0.05,0.05,3.02,109.34,7.91,7.4,7.928,7.929
"31","2021/03/04","12:54:30",-0.1642,21.43,33.68,47.713,51780.265,1023.371,23.372,0.06,0.06,3.04,109.55,7.923,7.41,7.942,7.943
"32","2021/03/04","12:54:30",-0.1446,21.432,33.681,47.718,51782.524,1023.372,23.373,0.06,0.06,2.93,109.66,7.93,7.44,7.949,7.95
"33","2021/03/04","12:54:30",-0.1642,21.434,33.681,47.719,51781.184,1023.371,23.372,0.05,0.05,2.89,109.65,7.929,7.42,7.947,7.948
"34","2021/03/04","12:54:30",-0.1642,21.434,33.683,47.722,51784.663,1023.373,23.374,0.06,0.06,2.82,109.77,7.936,7.42,7.955,7.956
"35","2021/03/04","12:54:30",-0.1839,21.435,33.685,47.725,51787.228,1023.374,23.375,NA,NA,2.82,109.83,7.94,7.42,7.959,7.96
"36","2021/03/04","12:54:30",-0.1642,21.434,33.689,47.729,51791.815,1023.377,23.378,NA,NA,2.72,109.63,7.924,7.43,7.943,7.944
"37","2021/03/04","12:54:30",-0.1642,21.436,33.686,47.727,51788.245,1023.375,23.376,0.07,0.07,2.7,109.71,7.93,7.41,7.949,7.95
"38","2021/03/04","12:54:30",-0.1642,21.437,33.685,47.726,51786.027,1023.373,23.374,0.06,0.06,2.77,109.9,7.944,7.43,7.963,7.963
"39","2021/03/04","12:54:30",-0.1839,21.437,33.686,47.728,51787.603,1023.374,23.375,0.07,0.07,2.86,110.02,7.952,7.43,7.971,7.972
"40","2021/03/04","12:54:31",-0.1642,21.442,33.684,47.731,51784.188,1023.371,23.372,0.07,0.07,2.82,110.04,7.954,7.42,7.973,7.974
"41","2021/03/04","12:54:31",-0.1642,21.443,33.686,47.735,51787.609,1023.373,23.374,0.06,0.06,2.67,110.05,7.954,7.42,7.973,7.974
"42","2021/03/04","12:54:31",-0.1642,21.436,33.689,47.732,51792.742,1023.377,23.378,0.06,0.06,2.66,110.07,7.956,7.43,7.974,7.975
"43","2021/03/04","12:54:31",-0.1642,21.434,33.691,47.732,51795.724,1023.379,23.38,0.06,0.06,2.83,110.02,7.951,7.43,7.97,7.971
"44","2021/03/04","12:54:31",-0.1839,21.434,33.695,47.736,51800.423,1023.382,23.383,0.06,0.06,2.92,110.22,7.966,7.44,7.985,7.986
"45","2021/03/04","12:54:31",-0.1839,21.438,33.689,47.734,51791.985,1023.376,23.377,0.05,0.05,2.82,110.16,7.963,7.42,7.982,7.983
"46","2021/03/04","12:54:31",-0.1839,21.445,33.681,47.731,51780.129,1023.368,23.369,NA,NA,2.67,110.31,7.975,7.43,7.994,7.995
"47","2021/03/04","12:54:31",-0.1642,21.451,33.672,47.725,51767.128,1023.36,23.361,NA,NA,2.66,110.37,7.98,7.43,7.999,8
"48","2021/03/04","12:54:31",-0.1642,21.457,33.667,47.724,51758.902,1023.355,23.355,0.05,0.05,2.67,110.38,7.981,7.44,8,8.001
"49","2021/03/04","12:54:31",-0.1642,21.46,33.667,47.727,51757.664,1023.353,23.354,0.05,0.05,2.7,110.52,7.99,7.43,8.009,8.01
"50","2021/03/04","12:54:32",-0.1642,21.462,33.668,47.731,51759.003,1023.354,23.354,0.06,0.06,2.75,110.55,7.991,7.43,8.01,8.011
"51","2021/03/04","12:54:32",-0.1642,21.463,33.669,47.732,51760.028,1023.354,23.355,0.06,0.06,2.92,110.53,7.989,7.44,8.008,8.009
"52","2021/03/04","12:54:32",-0.1839,21.463,33.668,47.731,51758.405,1023.353,23.354,0.05,0.05,2.97,110.44,7.981,7.42,8,8.001
"53","2021/03/04","12:54:32",-0.1839,21.468,33.664,47.732,51753.366,1023.349,23.35,0.05,0.05,2.89,110.48,7.985,7.43,8.004,8.005
"54","2021/03/04","12:54:32",-0.1642,21.469,33.668,47.738,51757.919,1023.352,23.352,0.04,0.04,2.77,110.48,7.986,7.43,8.005,8.006
"55","2021/03/04","12:54:32",-0.1642,21.47,33.671,47.743,51762.551,1023.354,23.355,0.05,0.05,2.66,110.52,7.989,7.44,8.008,8.009
"56","2021/03/04","12:54:32",-0.1839,21.475,33.67,47.746,51759.554,1023.352,23.352,0.05,0.05,2.57,110.63,7.997,7.43,8.016,8.017
"57","2021/03/04","12:54:32",-0.1839,21.477,33.671,47.749,51760.669,1023.352,23.353,0.06,0.06,2.59,110.57,7.992,7.42,8.011,8.012
"58","2021/03/04","12:54:32",-0.1642,21.478,33.672,47.752,51762.382,1023.353,23.353,0.07,0.07,2.77,110.58,7.992,7.44,8.011,8.012
