"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"2","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"3","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"4","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"5","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"6","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"7","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"8","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"9","2021/03/04","13:07:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"10","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"11","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"12","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"13","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"14","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"15","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"16","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
"17","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA
"19","2021/03/04","13:07:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA
"20","2021/03/04","13:07:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73,NA,NA,7.42,NA,NA
"21","2021/03/04","13:07:11",-0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42,NA,NA
"22","2021/03/04","13:07:11",-0.1642,NA,NA,49.149,NA,NA,NA,NA,NA,NA,NA,NA,7.42,NA,NA
"23","2021/03/04","13:07:11",-0.1446,NA,NA,49.151,NA,NA,NA,0.04,0.04,NA,NA,NA,7.43,NA,NA
"24","2021/03/04","13:07:11",-0.1642,NA,NA,49.16,NA,NA,NA,0.07,0.07,3.53,NA,NA,7.42,NA,NA
"25","2021/03/04","13:07:11",-0.1446,NA,NA,49.166,NA,NA,NA,0.09,0.09,2.36,NA,NA,7.43,NA,NA
"26","2021/03/04","13:07:11",-0.125,NA,NA,49.156,NA,NA,NA,0.09,0.09,2.12,NA,NA,7.42,NA,NA
"27","2021/03/04","13:07:11",-0.125,21.757,NA,49.153,NA,NA,NA,0.08,0.08,2.52,NA,NA,7.42,NA,NA
"28","2021/03/04","13:07:11",-0.1446,21.767,34.544,49.146,52908.481,1023.936,23.936,0.08,0.08,2.03,NA,NA,7.42,NA,NA
"29","2021/03/04","13:07:11",-0.1446,21.767,34.538,49.138,52900.569,1023.931,23.932,0.09,0.09,1.93,NA,NA,7.44,NA,NA
"30","2021/03/04","13:07:12",-0.1446,21.771,34.535,49.138,52895.411,1023.928,23.928,0.08,0.08,1.78,NA,NA,7.43,NA,NA
"31","2021/03/04","13:07:12",-0.125,21.774,34.53,49.135,52888.509,1023.923,23.924,0.09,0.09,1.92,NA,NA,7.42,NA,NA
"32","2021/03/04","13:07:12",-0.1446,21.777,34.528,49.135,52884.844,1023.921,23.921,0.08,0.08,1.85,NA,NA,7.42,NA,NA
"33","2021/03/04","13:07:12",-0.1054,21.779,34.526,49.134,52881.644,1023.919,23.919,0.09,0.09,1.83,NA,NA,7.43,NA,NA
"34","2021/03/04","13:07:12",-0.125,21.78,34.523,49.132,52877.906,1023.916,23.917,0.08,0.08,1.98,NA,NA,7.43,NA,NA
"35","2021/03/04","13:07:12",-0.125,21.783,34.524,49.137,52879.365,1023.917,23.917,0.08,0.08,2.08,NA,NA,7.43,NA,NA
"36","2021/03/04","13:07:12",-0.125,21.784,34.521,49.134,52874.164,1023.913,23.914,0.08,0.08,2.23,105.3,NA,7.43,NA,NA
"37","2021/03/04","13:07:12",-0.125,21.785,34.523,49.136,52876.336,1023.914,23.915,0.08,0.08,2.28,105.39,NA,7.43,NA,NA
"38","2021/03/04","13:07:12",-0.125,21.786,34.525,49.14,52879.075,1023.916,23.916,0.07,0.07,2.09,105.43,NA,7.43,NA,NA
"39","2021/03/04","13:07:12",-0.125,21.787,34.524,49.14,52877.841,1023.915,23.915,0.07,0.07,1.98,105.65,NA,7.44,NA,NA
"40","2021/03/04","13:07:13",-0.1446,21.786,34.525,49.141,52880.072,1023.916,23.917,0.08,0.08,1.88,105.74,NA,7.44,NA,NA
"41","2021/03/04","13:07:13",-0.125,21.787,34.527,49.144,52882.148,1023.917,23.918,0.1,0.1,1.96,105.76,NA,7.43,NA,NA
"42","2021/03/04","13:07:13",-0.125,21.787,34.526,49.143,52881.202,1023.917,23.917,0.11,0.11,2.05,105.86,NA,7.43,NA,NA
"43","2021/03/04","13:07:13",-0.125,21.787,34.526,49.143,52880.967,1023.917,23.917,0.13,0.13,2.02,105.95,7.586,7.44,7.605,7.606
"44","2021/03/04","13:07:13",-0.125,21.79,34.527,49.146,52881.224,1023.916,23.917,NA,NA,2.05,105.99,7.588,7.44,7.607,7.608
"45","2021/03/04","13:07:13",-0.125,21.798,34.522,49.149,52873.54,1023.91,23.911,0.13,0.13,2.15,105.98,7.588,7.44,7.607,7.608
"46","2021/03/04","13:07:13",-0.125,21.807,34.51,49.143,52856.032,1023.899,23.9,0.13,0.13,2.35,105.93,NA,7.44,7.603,7.604
"47","2021/03/04","13:07:13",-0.125,21.807,34.509,49.141,52854.201,1023.898,23.898,0.13,0.13,2.66,106.03,7.592,7.42,7.61,7.612
