"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA
"2","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
"3","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA
"4","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA
"5","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/03/04","08:11:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA
"14","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA
"15","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26,NA,NA,NA,NA,NA
"16","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021/03/04","08:11:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021/03/04","08:11:33",NA,NA,NA,47.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021/03/04","08:11:34",NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,7.43,NA,NA
"21","2021/03/04","08:11:34",-0.1054,NA,NA,47.672,NA,NA,NA,0.54,0.54,NA,NA,NA,NA,NA,NA
"22","2021/03/04","08:11:34",-0.1054,NA,NA,47.637,NA,NA,NA,0.53,0.53,2.18,NA,NA,7.44,NA,NA
"23","2021/03/04","08:11:34",-0.1054,21.128,NA,47.628,NA,NA,NA,0.51,0.51,1.24,NA,NA,NA,NA,NA
"24","2021/03/04","08:11:34",-0.1054,21.231,NA,47.681,51992.274,1023.526,23.526,0.51,0.51,1.05,NA,NA,7.43,NA,NA
"25","2021/03/04","08:11:34",NA,21.302,33.741,47.664,51884.556,1023.453,23.453,0.51,0.51,0.98,NA,NA,NA,NA,NA
"26","2021/03/04","08:11:34",-0.1054,21.329,33.72,47.664,51851.571,1023.43,23.43,0.51,0.51,1.02,NA,NA,NA,NA,NA
"27","2021/03/04","08:11:34",NA,21.332,33.699,47.641,51822.838,1023.413,23.414,0.54,0.54,0.98,NA,NA,NA,NA,NA
"28","2021/03/04","08:11:34",-0.1054,21.334,33.671,47.608,51783.97,1023.391,23.392,0.54,0.54,0.92,NA,NA,NA,NA,NA
