"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","07:54:10",-0.0857,21.158,34.352,48.288,52746.348,1023.957,23.958,0.38,0.38,0.97,NA,NA,NA,NA,NA
"2","2021/03/04","07:54:10",-0.0661,21.195,34.296,48.254,52662.833,1023.905,23.905,0.38,0.38,0.82,NA,NA,NA,NA,NA
"3","2021/03/04","07:54:10",-0.0661,21.206,34.296,48.266,52661.731,1023.902,23.902,0.39,0.39,0.82,NA,NA,NA,NA,NA
"4","2021/03/04","07:54:10",-0.0661,21.209,34.285,48.255,52646.494,1023.893,23.893,0.38,0.38,0.81,NA,NA,NA,NA,NA
"5","2021/03/04","07:54:10",-0.0857,21.231,34.253,48.237,52597.83,1023.862,23.862,0.38,0.38,0.82,NA,NA,NA,NA,NA
"6","2021/03/04","07:54:10",-0.0661,21.238,34.23,48.216,52565.887,1023.843,23.843,0.39,0.39,0.78,NA,NA,NA,NA,NA
"7","2021/03/04","07:54:10",-0.0857,21.243,34.244,48.238,52584.754,1023.852,23.853,0.41,0.41,0.78,NA,NA,NA,NA,NA
"8","2021/03/04","07:54:10",-0.0857,21.247,34.278,48.284,52629.637,1023.877,23.877,0.4,0.4,0.7,NA,NA,NA,NA,NA
"9","2021/03/04","07:54:10",-0.0661,21.232,34.318,48.32,52687.351,1023.911,23.912,0.39,0.39,0.61,NA,NA,NA,NA,NA
"10","2021/03/04","07:54:11",-0.0857,21.219,34.361,48.36,52748.076,1023.947,23.948,0.38,0.38,0.81,NA,NA,NA,NA,NA
"11","2021/03/04","07:54:11",-0.0857,21.199,34.351,48.328,52738.419,1023.946,23.946,0.38,0.38,0.8,NA,NA,NA,NA,NA
"12","2021/03/04","07:54:11",-0.0857,21.197,34.393,NA,52796.258,1023.978,23.979,0.4,0.4,0.88,NA,NA,NA,NA,NA
"13","2021/03/04","07:54:11",NA,21.205,34.351,48.333,52736.507,1023.944,23.944,0.41,0.41,0.92,NA,NA,NA,NA,NA
"14","2021/03/04","07:54:11",-0.0661,21.185,34.394,48.368,52799.727,1023.982,23.983,0.4,0.4,0.87,NA,NA,NA,NA,NA
"15","2021/03/04","07:54:11",-0.0661,21.145,34.397,48.332,52810.127,1023.995,23.996,0.38,0.38,0.95,NA,NA,NA,NA,NA
"16","2021/03/04","07:54:11",-0.0661,21.14,34.383,48.309,52791.088,1023.986,23.986,0.38,0.38,0.82,NA,NA,NA,NA,NA
"17","2021/03/04","07:54:11",-0.0857,21.165,34.369,48.316,52768.197,1023.968,23.969,0.37,0.37,0.87,NA,NA,NA,NA,NA
"18","2021/03/04","07:54:11",-0.0661,21.178,34.368,48.328,52764.722,1023.964,23.964,0.4,0.4,0.78,NA,NA,NA,NA,NA
"19","2021/03/04","07:54:11",-0.0857,21.178,34.376,48.339,52776.065,1023.97,23.971,0.38,0.38,0.81,NA,NA,NA,NA,NA
"20","2021/03/04","07:54:12",-0.0661,21.183,34.356,48.318,52748.019,1023.954,23.954,0.38,0.38,0.81,NA,NA,NA,NA,NA
"21","2021/03/04","07:54:12",-0.1054,21.196,34.364,48.342,52756.276,1023.956,23.956,0.39,0.39,0.8,NA,NA,NA,NA,NA
"22","2021/03/04","07:54:12",-0.0661,21.201,34.366,48.349,52757.764,1023.956,23.956,0.39,0.39,0.85,NA,7.273,NA,7.29,7.291
"23","2021/03/04","07:54:12",-0.0857,21.2,34.363,48.344,52754.223,1023.954,23.955,0.38,0.38,0.75,99.99,7.26,NA,7.277,7.278
"24","2021/03/04","07:54:12",-0.0661,21.199,34.352,48.33,52739.836,1023.947,23.947,0.39,0.39,1.11,99.83,7.251,NA,7.267,7.268
"25","2021/03/04","07:54:12",-0.0661,21.201,34.348,48.327,52734.077,1023.943,23.943,NA,NA,NA,99.43,7.221,NA,7.238,7.239
"26","2021/03/04","07:54:12",-0.0661,21.199,34.344,48.319,52728.97,1023.941,23.941,0.45,0.45,NA,99.17,7.203,NA,7.219,7.22
"27","2021/03/04","07:54:12",-0.0661,21.197,34.339,48.311,52721.913,1023.937,23.937,0.41,0.41,1.17,98.9,7.185,NA,7.201,7.202
"28","2021/03/04","07:54:12",-0.0661,21.196,34.335,48.304,52716.489,1023.934,23.934,0.39,0.39,1.04,98.68,7.17,NA,7.187,7.187
"29","2021/03/04","07:54:12",-0.0661,21.212,34.315,48.295,52686.238,1023.914,23.915,0.38,0.38,1.04,98.55,7.164,NA,7.18,7.181
"30","2021/03/04","07:54:13",-0.0661,21.226,34.303,48.294,52667.176,1023.901,23.902,0.41,0.41,0.98,98.52,7.164,NA,7.18,7.181
"31","2021/03/04","07:54:13",-0.0661,21.229,34.303,48.298,52667.771,1023.901,23.901,0.4,0.4,0.94,98.34,7.152,NA,7.168,7.169
"32","2021/03/04","07:54:13",-0.0661,21.231,34.313,48.312,52680.72,1023.908,23.908,0.38,0.38,0.87,98.19,7.144,NA,7.16,7.161
"33","2021/03/04","07:54:13",-0.0661,21.227,34.328,48.327,52701.846,1023.92,23.921,0.38,0.38,0.81,98.17,7.14,NA,7.156,7.157
"34","2021/03/04","07:54:13",-0.0661,21.228,34.32,48.318,52690.37,1023.914,23.914,0.39,0.39,0.77,98.16,7.139,7.45,7.155,7.156
"35","2021/03/04","07:54:13",-0.0661,21.234,34.319,48.323,52688.48,1023.912,23.912,0.4,0.4,0.8,98.08,7.132,NA,7.148,7.149
"36","2021/03/04","07:54:13",-0.0661,21.24,34.314,48.323,52680.863,1023.906,23.907,0.37,0.37,0.85,97.95,7.121,NA,7.137,7.138
"37","2021/03/04","07:54:13",-0.0857,21.255,34.3,48.319,52658.504,1023.891,23.892,0.38,0.38,0.81,97.77,7.106,7.45,7.122,7.123
"38","2021/03/04","07:54:13",-0.0857,21.25,34.297,48.312,52655.494,1023.89,23.891,0.38,0.38,0.81,97.53,7.09,7.44,7.106,7.107
"39","2021/03/04","07:54:13",-0.0857,21.238,34.297,48.299,52657.474,1023.894,23.894,0.36,0.36,0.81,97.39,7.08,7.44,7.096,7.097
"40","2021/03/04","07:54:14",-0.0857,21.229,34.296,48.289,52657.864,1023.896,23.896,0.38,0.38,0.75,97.45,7.085,7.44,7.102,7.103
"41","2021/03/04","07:54:14",-0.0661,21.222,34.293,48.278,52654.455,1023.895,23.895,0.4,0.4,0.8,97.46,7.089,7.45,7.105,7.106
"42","2021/03/04","07:54:14",-0.0857,21.218,34.28,48.258,52637.564,1023.886,23.887,0.4,0.4,0.82,97.38,7.084,7.44,7.1,7.101
"43","2021/03/04","07:54:14",-0.0661,21.22,34.249,48.221,52594.986,1023.862,23.863,0.38,0.38,0.75,97.3,7.078,7.45,7.094,7.095
"44","2021/03/04","07:54:14",-0.0857,21.218,34.215,48.176,52548.121,1023.836,23.837,0.4,0.4,0.74,97.25,7.076,NA,7.092,7.093
"45","2021/03/04","07:54:14",-0.0857,21.223,NA,48.151,NA,NA,NA,0.42,0.42,0.7,97.28,7.079,7.45,7.095,7.096
"46","2021/03/04","07:54:14",-0.0857,21.217,34.223,48.185,52559.385,1023.843,23.843,0.41,0.41,0.74,97.19,7.071,7.44,7.087,7.088
"47","2021/03/04","07:54:14",-0.0857,21.195,34.276,48.23,52636.679,1023.89,23.89,0.42,0.42,0.81,97.25,7.074,7.45,7.091,7.091
"48","2021/03/04","07:54:14",-0.0857,21.189,34.284,48.234,52647.696,1023.897,23.897,0.44,0.44,0.84,97.22,7.074,7.46,7.09,7.091
"49","2021/03/04","07:54:14",-0.0857,21.184,34.293,48.24,52661.291,1023.906,23.906,0.43,0.43,0.84,97.24,7.077,7.44,7.093,7.094
"50","2021/03/04","07:54:15",-0.0857,21.186,34.3,48.251,52670.242,1023.91,23.91,0.42,0.42,0.78,97.24,7.077,7.45,7.093,7.094
"51","2021/03/04","07:54:15",-0.0857,21.186,34.297,48.248,52666.793,1023.908,23.908,0.44,0.44,0.81,97.29,7.08,NA,7.096,7.097
"52","2021/03/04","07:54:15",-0.0857,21.178,34.296,48.238,52666.19,1023.909,23.91,0.41,0.41,0.77,97.25,7.078,7.45,7.094,7.095
"53","2021/03/04","07:54:15",-0.0661,21.174,34.288,48.224,52656.328,1023.905,23.905,0.41,0.41,0.68,97.32,7.082,7.45,7.099,7.1
"54","2021/03/04","07:54:15",-0.0857,21.161,34.282,48.203,52650.121,1023.903,23.904,0.4,0.4,0.61,97.2,7.073,7.45,7.089,7.09
"55","2021/03/04","07:54:15",-0.0857,21.159,34.275,48.192,52640.868,1023.899,23.899,0.41,0.41,0.8,97.07,7.061,7.46,7.077,7.078
"56","2021/03/04","07:54:15",-0.0857,21.172,34.259,48.185,52616.446,1023.883,23.883,0.39,0.39,0.71,97,7.056,7.46,7.072,7.073
"57","2021/03/04","07:54:15",-0.0857,21.184,34.242,48.176,52591.069,1023.866,23.867,0.4,0.4,0.81,96.93,7.05,7.46,7.066,7.067
"58","2021/03/04","07:54:15",-0.0857,21.176,34.246,48.173,52597.743,1023.872,23.872,0.39,0.39,0.7,96.76,7.037,7.44,7.054,7.054
"59","2021/03/04","07:54:15",-0.0857,21.14,34.27,48.168,52637.608,1023.9,23.901,0.42,0.42,0.68,96.85,7.043,7.45,7.059,7.06
"60","2021/03/04","07:54:16",-0.0857,21.119,34.285,48.164,52660.631,1023.917,23.917,0.45,0.45,0.67,96.82,7.041,7.46,7.057,7.058
"61","2021/03/04","07:54:16",-0.0857,21.099,34.299,48.162,52683.297,1023.933,23.933,0.44,0.44,0.61,96.85,7.044,7.46,7.06,7.061
"62","2021/03/04","07:54:16",-0.1054,21.108,34.287,48.157,52666.25,1023.922,23.922,0.41,0.41,0.61,96.76,7.039,7.46,7.055,7.056
"63","2021/03/04","07:54:16",-0.0857,21.127,34.259,48.139,52623.49,1023.895,23.895,0.42,0.42,0.63,96.84,7.047,7.46,7.064,7.064
"64","2021/03/04","07:54:16",-0.1054,21.145,34.239,48.133,52593.945,1023.875,23.875,0.42,0.42,0.64,96.8,7.044,7.45,7.061,7.061
"65","2021/03/04","07:54:16",-0.0857,21.158,34.229,48.133,52577.492,1023.864,23.864,0.44,0.44,0.63,96.75,7.039,7.46,7.056,7.056
"66","2021/03/04","07:54:16",-0.1054,21.166,34.218,48.127,52561.136,1023.853,23.854,0.42,0.42,0.57,96.73,7.037,7.46,7.053,7.054
"67","2021/03/04","07:54:16",-0.0857,21.165,34.213,48.121,52554.619,1023.85,23.85,0.46,0.46,0.61,96.59,7.026,7.45,7.042,7.043
"68","2021/03/04","07:54:16",-0.1054,21.161,34.213,48.117,52555.591,1023.851,23.851,0.44,0.44,0.58,96.58,7.023,7.45,7.039,7.04
"69","2021/03/04","07:54:16",-0.0857,21.158,34.215,48.116,52558.295,1023.853,23.853,NA,NA,0.63,96.47,7.014,7.45,7.03,7.031
"70","2021/03/04","07:54:17",-0.1054,21.154,34.215,48.111,52558.936,1023.854,23.854,0.46,0.46,0.65,96.5,7.016,7.46,7.032,7.033
"71","2021/03/04","07:54:17",-0.1054,21.153,34.231,48.131,52580.973,1023.866,23.867,0.41,0.41,0.61,96.69,7.029,7.46,7.045,7.046
"72","2021/03/04","07:54:17",-0.0857,21.146,34.254,48.152,52613.892,1023.886,23.886,0.41,0.41,0.64,96.82,7.038,7.46,7.055,7.055
"73","2021/03/04","07:54:17",-0.1054,21.121,34.273,48.152,52644.846,1023.908,23.908,0.41,0.41,0.61,96.87,7.042,7.47,7.058,7.059
"74","2021/03/04","07:54:17",-0.0857,21.11,34.288,48.159,52666.745,1023.922,23.922,0.41,0.41,0.63,96.79,7.036,7.46,7.052,7.053
"75","2021/03/04","07:54:17",-0.1054,21.114,34.283,48.157,52658.696,1023.916,23.917,0.42,0.42,0.64,96.71,7.03,7.46,7.046,7.047
"76","2021/03/04","07:54:17",-0.0857,21.122,34.267,48.145,52635.77,1023.902,23.903,0.41,0.41,0.64,96.74,7.034,NA,7.05,7.051
