"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/03/18","10:00:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/03/18","10:00:25",-0.2035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/03/18","10:00:25",-0.2035,NA,NA,49.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/03/18","10:00:26",-0.2035,22.732,NA,49.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/03/18","10:00:26",-0.1839,22.621,34.226,49.604,52343.483,1023.454,23.455,0.23,0.23,NA,NA,NA,NA,NA,NA
"12","2021/03/18","10:00:26",-0.2035,22.555,34.263,49.584,52403.196,1023.501,23.502,0.28,0.28,NA,NA,NA,NA,NA,NA
"13","2021/03/18","10:00:26",-0.2035,NA,34.32,49.624,52487.012,1023.554,23.555,0.26,0.26,8.1,NA,NA,NA,NA,NA
"14","2021/03/18","10:00:26",-0.1839,NA,34.322,49.631,52488.351,1023.554,23.555,0.27,0.27,8.16,NA,NA,8.01,NA,NA
"15","2021/03/18","10:00:26",-0.1839,22.555,34.327,49.667,52490.791,1023.549,23.55,0.24,0.24,7.51,NA,NA,NA,NA,NA
"16","2021/03/18","10:00:26",-0.1839,22.572,34.33,49.688,52492.263,1023.547,23.548,0.25,0.25,7.44,NA,NA,8.03,NA,NA
"17","2021/03/18","10:00:26",-0.1839,22.577,34.327,49.69,52487.557,1023.543,23.544,0.28,0.28,7.14,NA,NA,8.03,NA,NA
"18","2021/03/18","10:00:26",-0.1839,22.572,34.335,49.694,52498.753,1023.551,23.551,0.27,0.27,7.34,92.61,NA,8.01,NA,NA
"19","2021/03/18","10:00:26",-0.1839,22.57,34.324,49.679,52484.681,1023.543,23.544,0.27,0.27,7.07,92.13,6.507,8.01,6.524,6.525
"20","2021/03/18","10:00:27",-0.1839,22.577,34.3,49.655,52450.532,1023.523,23.523,0.25,0.25,6.84,91.67,6.475,8.02,6.491,6.492
"21","2021/03/18","10:00:27",-0.2035,22.586,34.273,49.63,52412.951,1023.5,23.501,0.24,0.24,6.95,91.38,6.455,8.02,6.472,6.473
"22","2021/03/18","10:00:27",-0.1839,22.618,34.259,49.643,52388.238,1023.48,23.48,0.24,0.24,7.04,91.09,6.434,8.04,6.451,6.452
"23","2021/03/18","10:00:27",-0.1839,22.63,34.259,49.655,52386.804,1023.477,23.477,0.27,0.27,7.21,90.81,6.415,8.03,6.431,6.432
"24","2021/03/18","10:00:27",-0.1839,22.634,34.251,49.649,52375.131,1023.469,23.47,0.25,0.25,7.58,90.51,6.394,8.04,6.41,6.411
"25","2021/03/18","10:00:27",-0.1839,22.632,34.253,49.65,52378.174,1023.471,23.472,0.24,0.24,7.24,90.14,6.369,8.04,6.385,6.386
"26","2021/03/18","10:00:27",-0.2035,22.636,34.267,49.672,52397.15,1023.481,23.482,0.26,0.26,7.05,89.86,6.349,8.06,6.365,6.366
"27","2021/03/18","10:00:27",-0.2035,22.628,34.264,49.66,52393.605,1023.481,23.481,0.26,0.26,7.21,89.58,6.329,8.06,6.345,6.346
"28","2021/03/18","10:00:27",-0.2035,22.625,34.288,49.688,52427.046,1023.5,23.501,0.28,0.28,7.18,89.43,6.318,8.06,6.334,6.335
"29","2021/03/18","10:00:27",-0.1839,22.64,34.292,49.708,52430.03,1023.499,23.499,0.24,0.24,7.54,89.15,6.296,8.05,6.312,6.313
"30","2021/03/18","10:00:28",-0.1839,22.653,34.295,49.726,52433.243,1023.498,23.499,0.25,0.25,7.58,89,6.284,8.02,6.3,6.301
"31","2021/03/18","10:00:28",-0.1839,22.651,34.292,49.72,52429.26,1023.496,23.497,0.24,0.24,7.35,88.75,6.263,8.06,6.279,6.28
"32","2021/03/18","10:00:28",-0.1839,22.641,34.287,49.703,52423.473,1023.495,23.495,0.24,0.24,7.04,88.57,6.248,8.04,6.264,6.265
"33","2021/03/18","10:00:28",-0.2035,22.632,34.301,49.712,52444.374,1023.508,23.509,0.24,0.24,6.91,88.43,6.234,8.05,6.25,6.251
"34","2021/03/18","10:00:28",-0.1839,22.628,34.324,49.737,52475.939,1023.527,23.527,0.25,0.25,7.2,88.27,6.22,8.05,6.236,6.237
"35","2021/03/18","10:00:28",-0.1839,22.627,34.337,49.753,52493.223,1023.536,23.537,0.24,0.24,7.3,88.13,6.208,8.07,6.223,6.224
"36","2021/03/18","10:00:28",-0.1839,22.628,34.324,49.738,52476.552,1023.527,23.528,0.24,0.24,7.34,87.85,6.188,8.05,6.203,6.204
"37","2021/03/18","10:00:28",-0.2035,22.629,34.32,49.733,52470.173,1023.523,23.524,0.24,0.24,7.07,87.73,6.181,8.06,6.197,6.197
"38","2021/03/18","10:00:28",-0.1839,22.63,34.327,49.743,52479.22,1023.528,23.529,0.25,0.25,7.08,87.55,6.17,8.06,6.185,6.186
"39","2021/03/18","10:00:28",-0.1839,22.634,34.325,49.745,52476.768,1023.526,23.527,0.26,0.26,7.14,87.55,6.173,8.08,6.189,6.19
"40","2021/03/18","10:00:29",-0.2035,22.637,34.304,49.721,52447.813,1023.509,23.51,0.27,0.27,6.68,87.47,6.171,8.07,6.187,6.188
"41","2021/03/18","10:00:29",-0.1839,22.62,34.266,49.655,52398.473,1023.485,23.486,0.26,0.26,6.85,87.45,6.173,8.07,6.189,6.19
"42","2021/03/18","10:00:29",-0.1839,22.603,34.282,49.658,52422.773,1023.502,23.503,0.26,0.26,6.88,87.33,6.165,8.07,6.18,6.181
"43","2021/03/18","10:00:29",-0.1839,22.594,34.324,49.703,52480.746,1023.536,23.537,0.26,0.26,6.8,87.35,6.165,8.08,6.18,6.181
"44","2021/03/18","10:00:29",-0.1839,22.581,34.335,49.704,52497.626,1023.548,23.549,0.25,0.25,6.63,87.27,6.16,8.07,6.175,6.176
"45","2021/03/18","10:00:29",-0.2035,22.575,34.339,49.703,52503.85,1023.553,23.553,0.26,0.26,6.63,87.22,6.156,8.08,6.172,6.173
"46","2021/03/18","10:00:29",-0.1839,22.571,34.342,49.703,52508.613,1023.556,23.557,0.26,0.26,6.93,87.13,6.151,8.07,6.166,6.167
"47","2021/03/18","10:00:29",-0.1839,22.574,34.343,49.708,52510.336,1023.557,23.557,0.26,0.26,7.18,87.08,6.147,8.08,6.163,6.164
"48","2021/03/18","10:00:29",-0.1839,22.578,34.348,49.718,52515.794,1023.559,23.56,0.26,0.26,7.35,87.1,6.15,8.07,6.165,6.166
"49","2021/03/18","10:00:29",-0.1839,22.583,34.335,49.706,52496.926,1023.547,23.548,0.26,0.26,7.38,87,6.143,8.08,6.158,6.159
"50","2021/03/18","10:00:30",-0.2035,22.603,34.333,49.724,52492.41,1023.541,23.542,0.27,0.27,7.2,86.93,6.138,8.09,6.153,6.154
"51","2021/03/18","10:00:30",-0.2035,22.617,34.35,49.759,52512.62,1023.549,23.55,0.27,0.27,7.03,86.89,6.134,8.08,6.149,6.15
"52","2021/03/18","10:00:30",-0.2035,22.605,34.369,49.772,52541.21,1023.568,23.568,0.26,0.26,6.93,86.72,6.12,8.08,6.135,6.136
"53","2021/03/18","10:00:30",-0.2035,22.583,34.389,49.775,52570.569,1023.588,23.589,0.27,0.27,7.05,86.64,6.113,8.08,6.128,6.129
"54","2021/03/18","10:00:30",-0.2035,22.569,34.401,49.778,52590.167,1023.602,23.603,0.25,0.25,7.23,86.65,6.112,8.09,6.128,6.129
"55","2021/03/18","10:00:30",-0.1839,22.593,34.389,49.785,52569.184,1023.586,23.586,0.24,0.24,6.55,86.62,6.109,8.08,6.125,6.126
"56","2021/03/18","10:00:30",-0.1839,22.651,34.347,49.79,52503.58,1023.537,23.538,0.23,0.23,6.67,86.51,6.103,8.08,6.118,6.119
"57","2021/03/18","10:00:30",-0.1839,22.682,34.328,49.797,52473.135,1023.514,23.515,0.26,0.26,6.8,86.42,6.097,8.09,6.112,6.113
"58","2021/03/18","10:00:30",-0.1839,22.696,34.321,49.803,52462.331,1023.505,23.506,0.27,0.27,7,86.39,6.094,8.08,6.11,6.111
"59","2021/03/18","10:00:30",-0.1839,22.692,34.329,49.809,52472.956,1023.512,23.513,0.25,0.25,7.18,86.24,6.084,8.08,6.099,6.1
"60","2021/03/18","10:00:31",-0.1839,22.669,34.353,49.816,52509.02,1023.537,23.537,0.24,0.24,7.08,86.24,6.083,8.09,6.098,6.099
