"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","12:47:59",-0.1839,NA,33.804,49.17,51751.18,1023.102,23.103,0.11,0.11,2.4,NA,NA,NA,NA,NA
"2","2021/03/18","12:47:59",-0.1839,NA,33.835,49.19,51797.015,1023.132,23.132,NA,NA,2.33,NA,NA,NA,NA,NA
"3","2021/03/18","12:47:59",-0.1839,NA,33.828,49.173,51789.122,1023.129,23.13,0.1,0.1,2.3,NA,NA,NA,NA,NA
"4","2021/03/18","12:47:59",-0.1839,NA,33.847,49.197,51813.997,1023.143,23.143,0.09,0.09,2.32,NA,NA,NA,NA,NA
"5","2021/03/18","12:47:59",-0.1839,NA,33.83,49.177,51791.922,1023.13,23.131,0.1,0.1,2.33,NA,NA,NA,NA,NA
"6","2021/03/18","12:47:59",-0.1839,NA,33.826,49.186,51783.666,1023.123,23.124,0.11,0.11,2.36,98.23,6.919,NA,6.937,6.938
"7","2021/03/18","12:47:59",-0.1839,NA,33.809,49.202,51754.921,1023.099,23.1,0.11,0.11,2.35,98.33,6.926,NA,6.944,6.945
"8","2021/03/18","12:47:59",-0.1839,22.793,33.79,49.212,51723.307,1023.074,23.075,0.11,0.11,2.32,98.45,6.935,NA,6.953,6.953
"9","2021/03/18","12:47:59",-0.1839,22.829,33.782,49.238,51708.021,1023.058,23.059,0.11,0.11,2.26,98.47,6.937,7.98,6.955,6.956
"10","2021/03/18","12:48:00",-0.1839,22.869,33.743,49.227,51648.652,1023.017,23.018,0.11,0.11,2.25,98.57,6.948,NA,6.966,6.967
"11","2021/03/18","12:48:00",-0.1642,22.869,33.736,49.219,51639.286,1023.012,23.013,0.11,0.11,2.33,98.74,6.959,7.99,6.977,6.978
"12","2021/03/18","12:48:00",-0.1839,22.837,33.767,49.226,51685.615,1023.044,23.045,NA,NA,2.33,98.83,6.962,7.98,6.98,6.981
"13","2021/03/18","12:48:00",-0.1642,22.813,33.795,49.239,51728.228,1023.073,23.074,NA,NA,2.35,98.8,6.957,7.99,6.975,6.976
"14","2021/03/18","12:48:00",-0.1839,22.819,33.798,49.248,51730.758,1023.073,23.074,NA,NA,2.33,98.98,6.967,7.99,6.985,6.986
"15","2021/03/18","12:48:00",-0.1839,22.835,33.761,49.217,51678.563,1023.041,23.041,NA,NA,2.36,99.1,6.974,8,6.992,6.993
"16","2021/03/18","12:48:00",-0.1839,22.861,33.744,49.221,51651.026,1023.02,23.021,0.14,0.14,2.33,99.19,6.981,8.01,6.998,6.999
"17","2021/03/18","12:48:00",-0.1839,22.887,33.719,49.213,51613.167,1022.994,22.994,0.11,0.11,2.19,99.12,6.975,8.01,6.993,6.994
"18","2021/03/18","12:48:00",-0.2035,22.906,33.673,49.173,51547.945,1022.953,22.954,0.09,0.09,2.19,99.1,6.974,8.01,6.992,6.993
"19","2021/03/18","12:48:00",-0.1839,22.914,33.674,49.183,51548.38,1022.952,22.953,0.1,0.1,2.33,99.17,6.978,8.01,6.996,6.997
"20","2021/03/18","12:48:01",-0.1839,22.914,33.684,49.196,51562.103,1022.96,22.96,0.1,0.1,2.2,99.23,6.984,8,7.002,7.003
"21","2021/03/18","12:48:01",-0.1839,22.919,33.703,49.225,51587.4,1022.973,22.974,0.09,0.09,2.2,99.42,6.997,8,7.015,7.016
"22","2021/03/18","12:48:01",-0.2035,22.915,33.711,49.232,51598.951,1022.98,22.981,0.1,0.1,2.19,99.49,7.002,8.01,7.02,7.021
"23","2021/03/18","12:48:01",-0.1839,22.902,33.738,49.254,51636.896,1023.004,23.004,0.1,0.1,2.19,99.59,7.007,8.03,7.025,7.026
"24","2021/03/18","12:48:01",-0.1839,22.893,33.76,49.274,51668.38,1023.023,23.024,0.11,0.11,2.32,99.46,6.996,8.03,7.014,7.015
"25","2021/03/18","12:48:01",-0.1839,22.884,33.753,49.255,51660.127,1023.02,23.021,0.11,0.11,2.3,99.41,6.992,8.04,7.01,7.011
"26","2021/03/18","12:48:01",-0.1839,22.873,33.752,49.243,51660.589,1023.023,23.024,0.1,0.1,2.42,99.58,7.007,8.04,7.025,7.026
"27","2021/03/18","12:48:01",-0.1839,22.87,33.766,49.259,51680.597,1023.035,23.035,0.1,0.1,NA,99.65,7.013,8.04,7.031,7.032
"28","2021/03/18","12:48:01",-0.1839,22.874,33.773,49.271,51688.731,1023.038,23.039,0.09,0.09,NA,99.74,7.019,8.02,7.037,7.038
"29","2021/03/18","12:48:01",-0.1839,22.874,33.795,49.3,51718.628,1023.055,23.056,0.09,0.09,NA,99.75,7.021,8.04,7.039,7.039
"30","2021/03/18","12:48:02",-0.1839,22.873,33.815,49.326,51747.014,1023.071,23.072,0.11,0.11,NA,99.74,7.02,8.03,7.038,7.039
"31","2021/03/18","12:48:02",-0.1839,22.871,33.82,49.33,51754.088,1023.075,23.076,0.1,0.1,2.52,99.74,7.02,8.04,7.038,7.039
"32","2021/03/18","12:48:02",-0.2035,22.866,33.828,49.335,51764.78,1023.082,23.083,0.09,0.09,2.4,99.61,7.009,8.04,7.027,7.028
"33","2021/03/18","12:48:02",-0.1839,22.86,33.837,49.341,51778.764,1023.091,23.092,0.09,0.09,2.4,99.63,7.01,8.05,7.028,7.029
"34","2021/03/18","12:48:02",-0.2035,22.878,33.824,49.342,51758.744,1023.076,23.077,0.08,0.08,2.32,99.73,7.019,8.04,7.037,7.038
"35","2021/03/18","12:48:02",-0.2035,22.902,33.806,49.343,51730.756,1023.056,23.057,0.09,0.09,2.29,99.67,7.016,8.06,7.034,7.035
"36","2021/03/18","12:48:02",-0.1839,22.929,33.785,49.342,51697.088,1023.031,23.032,0.11,0.11,2.35,99.75,7.023,8.06,7.041,7.042
"37","2021/03/18","12:48:02",-0.1839,22.962,33.768,49.354,51670.512,1023.01,23.011,NA,NA,2.43,99.72,7.021,8.07,7.039,7.04
"38","2021/03/18","12:48:02",-0.1839,22.989,33.76,49.369,51655.018,1022.996,22.997,NA,NA,2.38,99.68,7.018,8.04,7.036,7.037
"39","2021/03/18","12:48:02",-0.1839,22.992,33.76,49.373,51654.719,1022.995,22.996,NA,NA,2.3,99.66,7.019,8.03,7.037,7.038
"40","2021/03/18","12:48:03",-0.2035,22.974,33.77,49.368,51671.421,1023.008,23.009,0.12,0.12,2.4,99.67,7.022,8.08,7.04,7.041
"41","2021/03/18","12:48:03",-0.1839,22.953,33.79,49.372,51701.034,1023.029,23.03,0.11,0.11,2.45,99.64,7.021,8.03,7.039,7.04
"42","2021/03/18","12:48:03",-0.2035,22.952,33.816,49.406,51736.35,1023.048,23.049,0.11,0.11,2.43,99.63,7.019,8.06,7.037,7.038
"43","2021/03/18","12:48:03",-0.2035,22.961,33.799,49.392,51711.99,1023.033,23.034,0.11,0.11,2.43,99.68,7.022,8.08,7.04,7.041
"44","2021/03/18","12:48:03",-0.2035,22.955,33.791,49.377,51702.855,1023.029,23.03,0.11,0.11,2.38,99.79,7.026,8.06,7.044,7.045
"45","2021/03/18","12:48:03",-0.1839,22.952,33.792,49.374,51703.977,1023.031,23.031,0.11,0.11,2.32,99.7,7.013,8.07,7.031,7.032
"46","2021/03/18","12:48:03",-0.2035,22.951,33.798,49.38,51711.952,1023.035,23.036,0.11,0.11,2.29,99.6,7.001,8.07,7.019,7.02
"47","2021/03/18","12:48:03",-0.1839,22.947,33.801,49.382,51717.241,1023.039,23.04,NA,NA,2.22,99.7,7.008,8.07,7.026,7.027
"48","2021/03/18","12:48:03",-0.1839,22.935,33.812,49.383,51733.632,1023.051,23.051,NA,NA,2.16,99.78,7.013,8.06,7.031,7.032
"49","2021/03/18","12:48:03",-0.1839,22.919,33.828,49.388,51757.846,1023.067,23.068,0.11,0.11,2.16,99.84,7.017,8.08,7.035,7.036
"50","2021/03/18","12:48:04",-0.2035,22.913,33.838,49.396,51772.729,1023.077,23.078,0.1,0.1,2.23,99.8,7.015,8.07,7.033,7.034
"51","2021/03/18","12:48:04",-0.1839,22.886,33.867,49.405,51815.299,1023.106,23.107,0.1,0.1,2.3,99.75,7.01,8.07,7.028,7.029
"52","2021/03/18","12:48:04",-0.1839,22.871,33.879,49.406,51834.126,1023.12,23.121,0.1,0.1,2.25,99.72,7.007,8.08,7.025,7.026
"53","2021/03/18","12:48:04",-0.1839,22.883,33.86,49.394,51806.519,1023.102,23.103,0.1,0.1,2.26,99.79,7.012,8.06,7.03,7.031
"54","2021/03/18","12:48:04",-0.1839,22.899,33.853,49.401,51794.028,1023.092,23.092,0.11,0.11,2.56,99.88,7.019,8.05,7.037,7.038
"55","2021/03/18","12:48:04",-0.2035,22.914,33.863,49.429,51806.533,1023.095,23.096,0.11,0.11,2.55,99.96,7.028,8.06,7.047,7.048
"56","2021/03/18","12:48:04",-0.1839,22.92,33.859,49.43,51800.292,1023.091,23.092,0.1,0.1,2.28,100.06,7.038,8.08,7.056,7.057
"57","2021/03/18","12:48:04",-0.1839,22.921,33.855,49.425,51794.546,1023.087,23.088,0.09,0.09,2.23,100.08,7.04,8.08,7.058,7.059
"58","2021/03/18","12:48:04",-0.1839,22.921,33.86,49.432,51801.67,1023.091,23.092,0.09,0.09,2.26,100.26,7.051,8.07,7.069,7.07
"59","2021/03/18","12:48:04",-0.1839,22.924,33.868,49.445,51811.115,1023.096,23.097,0.1,0.1,2.2,100.08,7.037,8.08,7.055,7.056
"60","2021/03/18","12:48:05",-0.1839,22.924,33.876,49.456,51822.662,1023.102,23.103,0.1,0.1,2.12,100.23,7.046,8.05,7.065,7.066
"61","2021/03/18","12:48:05",-0.2035,22.916,33.889,49.465,51840.932,1023.114,23.115,0.09,0.09,2.1,100.18,7.042,8.07,7.061,7.062
"62","2021/03/18","12:48:05",-0.1839,22.902,33.901,49.467,51860.371,1023.128,23.129,0.09,0.09,2.13,100.27,7.048,8.08,7.066,7.067
"63","2021/03/18","12:48:05",-0.2035,22.886,33.916,49.47,51882.935,1023.144,23.144,0.09,0.09,2.16,100.2,7.04,8.07,7.058,7.059
"64","2021/03/18","12:48:05",-0.2035,22.876,33.927,49.473,51898.295,1023.154,23.155,0.09,0.09,2.19,100.09,7.03,8.07,7.048,7.049
"65","2021/03/18","12:48:05",-0.2035,22.871,33.931,49.475,51905.566,1023.159,23.16,0.09,0.09,2.16,100.13,7.031,8.08,7.05,7.051
