"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/18","11:39:34",-0.2428,23.732,32.036,47.826,49198.394,1021.476,21.477,0.28,0.28,NA,NA,NA,NA,NA,NA
"2","2021/03/18","11:39:34",-0.2624,23.727,32.028,47.811,49188.834,1021.472,21.473,0.29,0.29,NA,NA,NA,NA,NA,NA
"3","2021/03/18","11:39:34",-0.2428,23.724,32.008,47.781,49162.041,1021.458,21.459,0.28,0.28,NA,NA,NA,NA,NA,NA
"4","2021/03/18","11:39:34",-0.2624,23.721,32.013,47.786,49168.948,1021.462,21.463,0.28,0.28,NA,NA,NA,NA,NA,NA
"5","2021/03/18","11:39:34",-0.2428,23.72,32.022,47.797,49181.126,1021.469,21.47,0.28,0.28,NA,NA,NA,NA,NA,NA
"6","2021/03/18","11:39:34",-0.2624,23.719,32.067,47.856,49242.957,1021.503,21.504,0.28,0.28,NA,NA,NA,NA,NA,NA
"7","2021/03/18","11:39:34",-0.2624,23.719,32.045,47.826,49213.581,1021.487,21.488,0.3,0.3,NA,NA,NA,NA,NA,NA
"8","2021/03/18","11:39:34",-0.2624,23.717,32.067,47.853,49243.397,1021.504,21.505,0.28,0.28,NA,NA,NA,NA,NA,NA
"9","2021/03/18","11:39:34",-0.2624,23.719,32.086,47.88,49268.686,1021.517,21.519,0.28,0.28,NA,NA,NA,NA,NA,NA
"10","2021/03/18","11:39:35",-0.2624,23.746,32.056,47.866,49224.802,1021.487,21.489,0.28,0.28,0.9,NA,NA,NA,NA,NA
"11","2021/03/18","11:39:35",-0.2624,23.763,32.057,47.884,49224.07,1021.483,21.484,0.28,0.28,0.88,NA,NA,NA,NA,NA
"12","2021/03/18","11:39:35",-0.2624,23.762,NA,47.761,NA,1021.414,21.415,0.28,0.28,0.87,NA,NA,NA,NA,NA
"13","2021/03/18","11:39:35",-0.2428,23.787,32.031,47.873,49185.466,1021.457,21.458,0.28,0.28,0.87,NA,NA,NA,NA,NA
"14","2021/03/18","11:39:35",-0.2624,23.844,NA,47.79,NA,NA,NA,0.26,0.26,0.82,NA,NA,NA,NA,NA
"15","2021/03/18","11:39:35",-0.2428,23.888,32.022,47.957,49159.872,1021.42,21.421,0.27,0.27,0.85,NA,NA,NA,NA,NA
"16","2021/03/18","11:39:35",-0.2624,23.899,NA,47.894,NA,NA,NA,0.27,0.27,0.84,NA,NA,NA,NA,NA
"17","2021/03/18","11:39:35",-0.2428,23.908,NA,47.874,NA,NA,NA,0.27,0.27,0.87,NA,NA,NA,NA,NA
"18","2021/03/18","11:39:35",-0.2428,23.917,NA,47.897,NA,NA,NA,0.28,0.28,0.85,NA,NA,NA,NA,NA
"19","2021/03/18","11:39:35",-0.2624,23.919,NA,47.897,NA,NA,NA,0.27,0.27,0.9,NA,NA,8.03,NA,NA
"20","2021/03/18","11:39:36",-0.2624,23.917,NA,47.907,NA,NA,NA,0.27,0.27,0.91,NA,NA,8.02,NA,NA
"21","2021/03/18","11:39:36",-0.2428,23.901,31.985,47.92,NA,NA,NA,0.28,0.28,0.87,NA,7.051,8.02,7.07,7.07
"22","2021/03/18","11:39:36",-0.2624,23.883,32.019,47.949,49156.961,1021.419,21.421,0.27,0.27,0.84,NA,7.054,NA,7.073,7.074
"23","2021/03/18","11:39:36",-0.2624,23.873,32.036,47.962,49181.346,1021.435,21.436,0.27,0.27,0.82,NA,7.063,8.04,7.083,7.083
"24","2021/03/18","11:39:36",-0.2428,23.873,32.039,47.966,49185.879,1021.438,21.439,0.26,0.26,0.82,101.4,7.073,8.04,7.092,7.093
"25","2021/03/18","11:39:36",-0.2624,23.87,32.053,47.981,49204.437,1021.448,21.45,0.25,0.25,0.84,101.43,7.072,8.04,7.091,7.092
"26","2021/03/18","11:39:36",-0.2624,23.867,32.05,47.975,49201.783,1021.448,21.449,0.25,0.25,0.87,101.49,7.074,8.04,7.093,7.094
"27","2021/03/18","11:39:36",-0.2624,23.849,32.034,47.936,49181.36,1021.44,21.442,0.27,0.27,0.87,101.52,7.075,8.04,7.094,7.095
"28","2021/03/18","11:39:36",-0.2428,23.832,32.027,47.91,49173.634,1021.44,21.441,0.27,0.27,0.85,101.48,7.073,8.04,7.092,7.092
"29","2021/03/18","11:39:36",-0.2624,23.818,32.034,47.906,49185.387,1021.45,21.451,0.28,0.28,0.87,101.5,7.074,8.04,7.093,7.094
"30","2021/03/18","11:39:37",-0.2428,23.806,32.045,47.91,49202.516,1021.462,21.463,0.27,0.27,0.87,101.66,7.083,8.04,7.102,7.103
