"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/04/01","14:42:13",-0.3409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/04/01","14:42:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/04/01","14:42:13",-0.3016,NA,NA,51.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/04/01","14:42:14",-0.3213,NA,NA,51.721,NA,NA,NA,0.09,0.09,NA,NA,NA,NA,NA,NA
"11","2021/04/01","14:42:14",-0.3213,24.963,34.047,51.746,51788.024,1022.631,22.632,0.11,0.11,NA,NA,NA,NA,NA,NA
"12","2021/04/01","14:42:14",-0.3213,24.808,34.206,51.802,52022.08,1022.798,22.799,0.12,0.12,0.78,NA,NA,NA,NA,NA
"13","2021/04/01","14:42:14",-0.3213,24.766,34.27,51.844,52113.283,1022.859,22.86,0.11,0.11,0.65,NA,NA,NA,NA,NA
"14","2021/04/01","14:42:14",-0.3213,24.863,34.23,51.892,52047.877,1022.799,22.801,0.11,0.11,0.64,NA,NA,NA,NA,NA
"15","2021/04/01","14:42:14",-0.3016,24.851,34.223,51.868,52039.393,1022.798,22.799,0.11,0.11,0.65,NA,NA,NA,NA,NA
"16","2021/04/01","14:42:14",-0.3016,24.872,34.17,51.819,51965.247,1022.751,22.753,0.11,0.11,0.65,NA,NA,NA,NA,NA
"17","2021/04/01","14:42:14",-0.3016,24.817,34.226,51.839,52048.159,1022.81,22.812,0.11,0.11,0.68,NA,NA,NA,NA,NA
"18","2021/04/01","14:42:14",-0.3016,24.807,NA,NA,NA,NA,NA,0.1,0.1,0.71,NA,NA,NA,NA,NA
"19","2021/04/01","14:42:14",-0.282,24.775,34.251,51.829,52086.42,1022.842,22.843,0.11,0.11,0.75,NA,NA,NA,NA,NA
"20","2021/04/01","14:42:15",-0.3016,24.747,34.227,51.768,52057.415,1022.832,22.833,0.09,0.09,0.81,NA,NA,NA,NA,NA
"21","2021/04/01","14:42:15",-0.282,24.738,34.243,51.781,52080.429,1022.847,22.848,0.09,0.09,NA,NA,NA,7.97,NA,NA
"22","2021/04/01","14:42:15",-0.282,24.793,34.211,51.795,52031.373,1022.807,22.808,0.1,0.1,NA,NA,NA,7.97,NA,NA
