"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/15","09:59:00",-0.2624,21.286,30.829,NA,47866.27,1021.245,21.246,0.43,0.43,6.93,NA,NA,NA,NA,NA
"2","2021/04/15","09:59:00",-0.2624,21.288,30.827,NA,47862.585,1021.242,21.243,0.42,0.42,6.61,NA,NA,NA,NA,NA
"3","2021/04/15","09:59:00",-0.2624,21.288,30.829,NA,47866.152,1021.244,21.245,0.42,0.42,7.05,NA,NA,NA,NA,NA
"4","2021/04/15","09:59:00",NA,21.286,30.83,NA,47866.873,1021.245,21.246,0.42,0.42,7.03,NA,NA,NA,NA,NA
"5","2021/04/15","09:59:00",NA,21.285,30.83,NA,47868.03,1021.246,21.247,0.41,0.41,7.24,NA,NA,NA,NA,NA
"6","2021/04/15","09:59:00",NA,21.285,30.83,NA,47867.235,1021.245,21.246,0.42,0.42,7,NA,NA,NA,NA,NA
"7","2021/04/15","09:59:00",NA,21.286,30.829,NA,47866.685,1021.245,21.246,0.41,0.41,7.91,NA,NA,NA,NA,NA
"8","2021/04/15","09:59:00",-0.2624,21.286,30.83,NA,47867.082,1021.245,21.246,0.41,0.41,7.05,NA,NA,NA,NA,NA
"9","2021/04/15","09:59:00",NA,21.287,30.831,NA,47869.314,1021.246,21.247,0.41,0.41,7,NA,NA,NA,NA,NA
"10","2021/04/15","09:59:01",-0.2624,21.287,30.832,NA,47869.796,1021.246,21.247,0.44,0.44,NA,NA,NA,NA,NA,NA
"11","2021/04/15","09:59:01",-0.2624,21.288,30.83,NA,47866.972,1021.245,21.246,0.4,0.4,8.08,NA,NA,NA,NA,NA
"12","2021/04/15","09:59:01",-0.2624,21.288,30.832,43.961,47870.16,1021.246,21.247,0.41,0.41,8.03,NA,NA,NA,NA,NA
"13","2021/04/15","09:59:01",NA,21.288,30.834,43.963,47872.848,1021.248,21.249,0.44,0.44,8.01,NA,NA,NA,NA,NA
"14","2021/04/15","09:59:01",NA,21.287,30.835,43.964,47874.117,1021.249,21.25,0.44,0.44,8.17,NA,6.72,NA,6.736,6.737
"15","2021/04/15","09:59:01",NA,21.286,30.836,43.965,47876.224,1021.25,21.251,0.44,0.44,7.64,NA,6.709,NA,6.725,6.725
"16","2021/04/15","09:59:01",NA,21.286,30.837,43.965,47877.018,1021.25,21.252,0.42,0.42,7.78,90.66,6.697,7.79,6.713,6.713
"17","2021/04/15","09:59:01",NA,21.286,30.839,43.968,47880.342,1021.252,21.253,0.4,0.4,7.07,90.53,6.687,7.79,6.703,6.703
"18","2021/04/15","09:59:01",NA,21.286,30.841,43.971,47883.023,1021.254,21.255,0.42,0.42,7.4,90.44,6.68,7.79,6.696,6.697
"19","2021/04/15","09:59:01",-0.2624,21.286,30.842,43.971,47883.711,1021.254,21.255,0.43,0.43,8.14,90.39,6.677,7.8,6.693,6.693
"20","2021/04/15","09:59:02",-0.2624,21.287,30.841,43.971,47883.393,1021.254,21.255,0.42,0.42,7.64,90.34,6.673,7.79,6.689,6.689
"21","2021/04/15","09:59:02",-0.2624,21.286,30.842,43.973,47884.632,1021.255,21.256,0.41,0.41,7.61,90.38,6.676,7.82,6.692,6.692
"22","2021/04/15","09:59:02",-0.2624,21.287,30.844,43.975,47886.881,1021.256,21.257,0.41,0.41,7.33,90.32,6.672,7.81,6.688,6.688
"23","2021/04/15","09:59:02",-0.2624,21.286,30.842,43.973,47884.658,1021.255,21.256,0.41,0.41,7.23,90.21,6.664,7.83,6.68,6.68
"24","2021/04/15","09:59:02",-0.2624,21.286,30.843,43.974,47885.988,1021.255,21.256,0.41,0.41,6.95,90.23,6.665,7.81,6.681,6.682
"25","2021/04/15","09:59:02",-0.2624,21.287,30.845,43.976,47887.841,1021.256,21.257,0.44,0.44,7.2,90.15,6.659,7.81,6.675,6.676
"26","2021/04/15","09:59:02",NA,21.287,30.846,43.977,47888.969,1021.257,21.258,0.46,0.46,7.01,90.04,6.651,7.81,6.667,6.668
"27","2021/04/15","09:59:02",NA,21.288,30.846,43.979,47889.899,1021.257,21.258,0.45,0.45,7.23,89.93,6.643,7.84,6.659,6.659
"28","2021/04/15","09:59:02",-0.2624,21.289,30.847,43.981,47891.254,1021.258,21.259,0.43,0.43,NA,89.87,6.638,7.83,6.654,6.654
"29","2021/04/15","09:59:02",-0.2624,21.289,30.848,43.981,47891.613,1021.258,21.259,0.41,0.41,8.1,89.83,6.636,7.82,6.651,6.652
"30","2021/04/15","09:59:03",-0.2624,21.289,30.846,43.979,47889.33,1021.257,21.258,0.42,0.42,7.04,89.83,6.636,7.84,6.652,6.652
"31","2021/04/15","09:59:03",-0.2624,21.288,30.846,43.979,47889.414,1021.257,21.258,0.4,0.4,7,89.78,6.632,7.83,6.648,6.648
"32","2021/04/15","09:59:03",NA,21.288,30.849,43.982,47893.014,1021.259,21.26,0.39,0.39,7,89.71,6.627,7.83,6.642,6.643
"33","2021/04/15","09:59:03",-0.2624,21.288,30.85,43.984,47895.288,1021.26,21.261,0.4,0.4,6.75,89.6,6.619,7.85,6.634,6.635
"34","2021/04/15","09:59:03",-0.2624,21.288,30.849,43.983,47893.435,1021.259,21.26,0.41,0.41,6.78,89.55,6.615,7.83,6.631,6.631
"35","2021/04/15","09:59:03",-0.2624,21.288,30.847,43.979,47890.252,1021.257,21.258,0.41,0.41,7.13,89.55,6.614,7.83,6.63,6.63
"36","2021/04/15","09:59:03",-0.2624,21.288,30.847,43.98,47890.875,1021.258,21.259,0.39,0.39,7.23,89.51,6.612,7.83,6.628,6.628
"37","2021/04/15","09:59:03",-0.2624,21.287,30.849,43.981,47893.314,1021.259,21.26,0.38,0.38,7.03,89.5,6.611,7.83,6.627,6.627
"38","2021/04/15","09:59:03",-0.2624,21.286,30.849,43.981,47893.79,1021.26,21.261,0.41,0.41,6.63,89.47,6.609,7.83,6.625,6.625
"39","2021/04/15","09:59:03",NA,21.284,30.851,43.982,47897.458,1021.262,21.263,0.4,0.4,6.95,89.48,6.609,7.83,6.625,6.626
"40","2021/04/15","09:59:04",-0.2624,21.282,30.851,43.979,47896.773,1021.262,21.263,0.41,0.41,7.08,89.48,6.609,7.85,6.625,6.626
"41","2021/04/15","09:59:04",-0.2624,21.279,30.854,43.981,47902.558,1021.266,21.267,0.41,0.41,7.03,89.53,6.613,7.85,6.629,6.629
"42","2021/04/15","09:59:04",-0.2624,NA,30.857,43.982,47906.335,1021.268,21.269,0.38,0.38,6.97,89.5,6.611,7.85,6.627,6.627
"43","2021/04/15","09:59:04",-0.2624,NA,30.859,43.985,47909.648,1021.27,21.271,0.38,0.38,6.88,89.37,6.601,7.84,6.617,6.618
"44","2021/04/15","09:59:04",-0.2624,NA,30.861,43.986,47912.516,1021.272,21.273,0.41,0.41,7.23,89.3,6.596,7.84,6.611,6.612
"45","2021/04/15","09:59:04",NA,NA,30.862,43.988,47912.851,1021.272,21.273,0.4,0.4,7.44,89.26,6.593,7.84,6.609,6.609
"46","2021/04/15","09:59:04",-0.2624,NA,30.861,43.988,47911.585,1021.271,21.272,0.39,0.39,7.17,89.35,6.6,7.85,6.615,6.616
"47","2021/04/15","09:59:04",-0.2624,21.279,30.862,43.991,47913.18,1021.272,21.273,0.39,0.39,6.41,89.28,6.594,7.85,6.61,6.61
"48","2021/04/15","09:59:04",-0.2624,21.281,30.861,43.992,47911.886,1021.27,21.272,0.38,0.38,6.61,89.35,6.6,7.83,6.616,6.616
"49","2021/04/15","09:59:04",-0.2624,21.282,30.857,43.988,47906.008,1021.267,21.268,0.38,0.38,7.15,89.31,6.597,7.85,6.613,6.613
"50","2021/04/15","09:59:05",-0.2624,21.283,30.855,43.986,47902.592,1021.265,21.266,0.37,0.37,7.53,89.3,6.597,7.84,6.612,6.613
"51","2021/04/15","09:59:05",-0.2624,21.283,30.858,43.99,47907.282,1021.267,21.269,0.38,0.38,7.68,89.2,6.589,7.84,6.604,6.605
"52","2021/04/15","09:59:05",-0.2624,21.284,30.862,43.994,47911.765,1021.27,21.271,0.39,0.39,7.65,89.22,6.591,7.86,6.607,6.607
