"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/15","11:07:36",-0.282,NA,NA,NA,NA,NA,NA,0.2,0.2,0.78,NA,6.99,NA,7.007,NA
"2","2021/04/15","11:07:36",-0.282,NA,NA,NA,NA,NA,NA,0.2,0.2,0.74,NA,6.99,NA,7.007,NA
"3","2021/04/15","11:07:36",NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.78,NA,6.99,NA,7.007,NA
"4","2021/04/15","11:07:36",NA,NA,NA,NA,NA,NA,NA,0.21,0.21,0.81,97.17,6.976,NA,6.993,6.994
"5","2021/04/15","11:07:36",-0.282,22.082,NA,NA,NA,NA,NA,0.21,0.21,0.85,97.3,6.986,NA,7.003,7.004
"6","2021/04/15","11:07:36",-0.282,22.084,NA,NA,NA,NA,NA,0.21,0.21,0.8,NA,6.989,NA,7.006,7.007
"7","2021/04/15","11:07:36",NA,22.084,NA,NA,NA,NA,NA,0.2,0.2,0.72,NA,NA,NA,NA,NA
"8","2021/04/15","11:07:36",NA,22.088,NA,NA,NA,NA,NA,0.19,0.19,0.72,NA,NA,NA,7.008,NA
"9","2021/04/15","11:07:36",-0.282,22.09,NA,NA,NA,NA,NA,0.2,0.2,0.87,NA,6.99,NA,7.007,NA
"10","2021/04/15","11:07:37",-0.282,22.091,33.112,47.642,50899.645,1022.758,22.759,0.2,0.2,0.81,NA,NA,NA,NA,NA
"11","2021/04/15","11:07:37",-0.282,22.093,33.106,47.636,50890.488,1022.752,22.753,0.21,0.21,0.84,NA,NA,NA,7.009,NA
"12","2021/04/15","11:07:37",NA,22.096,33.099,47.63,50881.334,1022.747,22.748,0.19,0.19,0.75,97.23,6.985,NA,7.002,7.002
"13","2021/04/15","11:07:37",-0.282,22.097,33.106,47.64,50890.146,1022.751,22.753,0.18,0.18,0.7,NA,NA,NA,NA,NA
"14","2021/04/15","11:07:37",-0.282,22.095,33.107,47.64,50892.079,1022.753,22.754,0.18,0.18,0.68,NA,NA,NA,NA,NA
"15","2021/04/15","11:07:37",NA,22.091,33.111,47.641,50898.158,1022.757,22.758,0.19,0.19,0.65,97.25,6.986,NA,7.003,7.004
"16","2021/04/15","11:07:37",-0.282,22.09,33.112,47.641,50899.074,1022.758,22.759,0.2,0.2,0.63,97.2,6.983,7.8,7,7.001
"17","2021/04/15","11:07:37",NA,22.089,33.112,47.641,50900.04,1022.758,22.759,0.19,0.19,0.63,97.24,6.985,NA,7.002,7.003
"18","2021/04/15","11:07:37",NA,22.089,33.108,47.635,50894.154,1022.755,22.756,0.2,0.2,0.67,97.27,6.987,NA,7.005,7.005
"19","2021/04/15","11:07:37",-0.282,22.088,33.109,47.636,50895.685,1022.756,22.757,0.2,0.2,0.67,97.18,6.98,7.82,6.997,6.998
"20","2021/04/15","11:07:38",-0.282,22.088,33.112,47.639,50899.815,1022.758,22.76,0.21,0.21,0.67,97.08,6.973,7.82,6.99,6.991
"21","2021/04/15","11:07:38",NA,22.088,33.113,47.641,50901.4,1022.759,22.76,0.19,0.19,0.64,97.08,6.973,7.8,6.99,6.991
"22","2021/04/15","11:07:38",NA,22.089,33.114,47.643,50902.583,1022.76,22.761,0.2,0.2,0.65,97.12,6.976,7.8,6.993,6.994
"23","2021/04/15","11:07:38",-0.282,22.089,33.112,47.64,50899.863,1022.758,22.759,0.19,0.19,0.67,97.14,6.977,7.81,6.994,6.995
"24","2021/04/15","11:07:38",-0.282,22.089,33.113,47.64,50900.559,1022.759,22.76,0.18,0.18,0.65,97.1,6.975,7.8,6.992,6.993
"25","2021/04/15","11:07:38",-0.282,22.089,33.114,47.642,50902.089,1022.759,22.761,0.19,0.19,0.63,97.15,6.978,7.81,6.995,6.996
"26","2021/04/15","11:07:38",NA,22.09,33.113,47.642,50901.143,1022.759,22.76,0.18,0.18,0.64,97.13,6.977,7.81,6.994,6.995
"27","2021/04/15","11:07:38",-0.282,22.09,33.113,47.642,50900.713,1022.758,22.76,0.19,0.19,0.64,97.04,6.971,7.81,6.988,6.989
"28","2021/04/15","11:07:38",NA,22.09,33.112,47.64,50899.001,1022.758,22.759,0.2,0.2,0.65,97.06,6.973,7.82,6.99,6.991
"29","2021/04/15","11:07:38",-0.282,22.089,33.11,47.637,50896.095,1022.756,22.757,0.2,0.2,0.64,97.14,6.979,7.8,6.996,6.997
"30","2021/04/15","11:07:39",-0.282,22.089,33.108,47.634,50893.585,1022.755,22.756,0.19,0.19,0.67,97.17,6.98,7.83,6.998,6.998
"31","2021/04/15","11:07:39",NA,22.088,33.108,47.635,50894.73,1022.755,22.757,0.19,0.19,0.71,97.11,6.976,7.82,6.993,6.994
"32","2021/04/15","11:07:39",-0.282,22.09,33.108,47.635,50893.221,1022.754,22.756,0.19,0.19,0.72,97.12,6.977,7.83,6.994,6.995
"33","2021/04/15","11:07:39",NA,22.091,33.104,47.632,50888.134,1022.751,22.752,0.2,0.2,0.68,97.12,6.977,7.83,6.994,6.995
"34","2021/04/15","11:07:39",-0.282,22.092,33.101,47.628,50884.025,1022.749,22.75,0.18,0.18,0.7,97.24,6.986,7.83,7.004,7.004
"35","2021/04/15","11:07:39",-0.282,22.092,33.102,47.629,50884.755,1022.749,22.751,0.18,0.18,0.77,97.17,6.981,7.84,6.998,6.999
"36","2021/04/15","11:07:39",-0.282,22.091,33.102,47.629,50885.049,1022.75,22.751,0.18,0.18,0.77,97.23,6.985,7.84,7.003,7.003
"37","2021/04/15","11:07:39",-0.282,22.091,33.103,47.63,50886.809,1022.751,22.752,0.2,0.2,0.71,97.31,NA,7.83,7.009,NA
"38","2021/04/15","11:07:39",-0.282,22.09,33.104,47.631,50888.547,1022.752,22.753,0.2,0.2,0.68,97.24,6.986,7.84,7.003,7.004
"39","2021/04/15","11:07:39",-0.282,22.091,33.105,47.633,50889.873,1022.752,22.754,0.19,0.19,0.67,97.13,6.978,7.84,6.995,6.996
"40","2021/04/15","11:07:40",-0.282,22.09,33.104,47.631,50888.111,1022.751,22.753,0.18,0.18,0.7,97.12,6.977,7.84,6.995,6.995
"41","2021/04/15","11:07:40",-0.282,22.091,33.106,47.633,50890.554,1022.753,22.754,0.18,0.18,0.71,97.01,6.969,7.85,6.986,6.987
"42","2021/04/15","11:07:40",NA,22.091,33.103,47.63,50886.529,1022.75,22.752,0.18,0.18,0.8,97.05,6.973,7.85,6.99,6.99
"43","2021/04/15","11:07:40",-0.282,22.092,33.103,47.631,50886.896,1022.75,22.752,0.19,0.19,0.82,97.05,6.972,7.83,6.989,6.99
