"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/04/28","11:06:39",-0.4194,22.387,0.029,0.047,49.69,997.703,-2.295,-0.04,-0.04,0.1,97.8,7.985,NA,8.006,8.007
"2","2021/04/28","11:06:39",-0.439,22.33,0.029,0.047,49.518,997.716,-2.282,-0.04,-0.04,0.1,98.16,8.014,NA,8.035,8.036
"3","2021/04/28","11:06:39",-0.439,22.281,0.029,0.047,49.691,997.728,-2.27,-0.05,-0.05,0.09,98.28,8.025,NA,8.046,8.046
"4","2021/04/28","11:06:39",-0.439,22.231,0.029,0.046,49.427,997.739,-2.259,-0.04,-0.04,0.09,97.99,8.001,NA,8.022,8.023
"5","2021/04/28","11:06:39",-0.439,22.203,0.029,0.047,49.925,997.746,-2.252,-0.05,-0.05,0.09,98.17,8.015,NA,8.036,8.037
"6","2021/04/28","11:06:39",-0.439,22.181,0.029,0.047,49.782,997.751,-2.247,-0.05,-0.05,0.09,98.29,8.028,NA,8.049,8.049
"7","2021/04/28","11:06:39",-0.439,22.16,0.029,0.047,49.614,997.755,-2.243,-0.05,-0.05,0.09,98.18,8.021,NA,8.043,8.043
"8","2021/04/28","11:06:39",-0.439,22.143,0.029,0.047,50.006,997.759,-2.238,-0.05,-0.05,0.09,98.12,8.018,NA,8.039,8.04
"9","2021/04/28","11:06:39",-0.4194,22.145,0.029,0.046,49.499,997.759,-2.239,-0.05,-0.05,0.09,98.21,8.026,NA,8.047,8.048
"10","2021/04/28","11:06:40",-0.439,22.155,0.029,0.047,49.813,997.757,-2.241,-0.05,-0.05,0.09,98,8.011,NA,8.032,8.032
"11","2021/04/28","11:06:40",-0.439,22.174,0.029,0.047,50.213,997.752,-2.246,-0.05,-0.05,0.09,98.23,8.032,NA,8.053,8.053
"12","2021/04/28","11:06:40",-0.439,22.174,0.029,0.047,49.667,997.752,-2.246,-0.05,-0.05,0.09,98.46,8.054,NA,8.075,8.075
"13","2021/04/28","11:06:40",-0.439,22.161,0.029,0.047,49.899,997.755,-2.243,-0.05,-0.05,0.09,98.51,8.059,NA,8.081,8.081
"14","2021/04/28","11:06:40",-0.439,22.152,0.029,0.047,49.678,997.757,-2.241,-0.05,-0.05,0.09,98.37,8.049,NA,8.07,8.07
"15","2021/04/28","11:06:40",-0.439,22.124,0.029,0.047,49.856,997.764,-2.234,-0.05,-0.05,0.09,98.07,8.026,NA,8.047,8.047
"16","2021/04/28","11:06:40",-0.439,22.083,0.029,0.047,49.941,997.773,-2.225,-0.05,-0.05,0.09,98.25,8.042,NA,8.063,8.063
"17","2021/04/28","11:06:40",-0.4587,22.039,0.029,0.047,49.841,997.783,-2.215,-0.05,-0.05,0.09,98.26,8.042,NA,8.063,8.063
"18","2021/04/28","11:06:40",-0.439,22.028,0.029,0.047,49.883,997.786,-2.212,-0.05,-0.05,0.09,98.65,8.072,NA,8.093,8.094
