"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","10:42:24",-0.3016,26.49,34.177,53.49,51791.596,1022.258,22.259,0.17,0.17,2.28,95.42,NA,NA,NA,NA
"2","2021/05/13","10:42:24",-0.3016,26.499,34.172,53.491,51783.931,1022.251,22.253,0.15,0.15,1.99,95.37,6.142,NA,6.16,6.161
"3","2021/05/13","10:42:24",-0.3016,26.515,34.156,53.486,51761.027,1022.234,22.236,0.17,0.17,1.85,95.34,6.14,NA,6.158,6.159
"4","2021/05/13","10:42:24",-0.3016,26.518,34.156,53.489,51760.824,1022.233,22.235,0.18,0.18,1.85,95.5,NA,NA,NA,NA
"5","2021/05/13","10:42:24",-0.3016,26.511,34.149,53.472,51751.571,1022.23,22.231,0.17,0.17,1.76,95.44,NA,NA,NA,NA
"6","2021/05/13","10:42:24",-0.3016,26.505,34.163,53.486,51772.051,1022.243,22.244,0.16,0.16,1.73,95.4,6.142,NA,6.159,6.16
"7","2021/05/13","10:42:24",-0.3016,26.498,34.166,53.483,51776.071,1022.247,22.248,0.16,0.16,1.78,95.49,NA,NA,NA,NA
"8","2021/05/13","10:42:24",-0.3016,26.494,34.177,53.494,51791.905,1022.257,22.258,0.17,0.17,1.83,95.4,6.139,NA,6.156,6.157
"9","2021/05/13","10:42:24",-0.3213,26.484,34.194,53.508,51816.322,1022.273,22.274,0.16,0.16,1.91,95.36,6.135,7.6,6.152,6.153
"10","2021/05/13","10:42:25",-0.3016,26.484,34.203,53.519,51827.726,1022.28,22.281,0.17,0.17,2.06,95.37,6.135,NA,6.152,6.153
"11","2021/05/13","10:42:25",-0.3213,26.525,34.166,53.51,51773.448,1022.239,22.24,0.18,0.18,2.06,95.3,6.13,7.59,6.147,6.148
"12","2021/05/13","10:42:25",-0.3016,26.583,34.118,53.503,51702.556,1022.184,22.185,0.16,0.16,2.03,95.25,6.128,7.59,6.145,6.146
"13","2021/05/13","10:42:25",-0.3213,26.589,34.123,53.516,51709.116,1022.186,22.188,0.18,0.18,1.88,95.39,6.137,7.6,6.154,6.155
"14","2021/05/13","10:42:25",-0.3016,26.595,34.119,53.517,51702.645,1022.181,22.182,0.17,0.17,1.73,95.3,6.132,7.61,6.149,6.15
"15","2021/05/13","10:42:25",-0.3016,26.586,34.132,53.526,51721.64,1022.194,22.195,0.17,0.17,1.75,95.31,6.133,7.62,6.15,6.151
"16","2021/05/13","10:42:25",-0.3016,26.573,34.146,53.532,51741.434,1022.208,22.21,0.17,0.17,1.86,95.35,6.135,7.64,6.152,6.153
"17","2021/05/13","10:42:25",-0.3213,26.567,34.155,53.538,51754.079,1022.217,22.218,0.18,0.18,1.89,95.41,6.138,7.62,6.156,6.157
"18","2021/05/13","10:42:25",-0.3016,26.564,34.168,53.553,51771.749,1022.228,22.229,0.16,0.16,1.95,95.36,6.134,7.63,6.152,6.153
"19","2021/05/13","10:42:25",-0.3213,26.566,34.175,53.567,51782.028,1022.233,22.234,0.17,0.17,2.02,95.37,6.134,7.64,6.151,6.152
"20","2021/05/13","10:42:26",-0.3016,26.574,34.179,53.58,51786.58,1022.234,22.235,0.18,0.18,1.86,95.39,6.134,7.64,6.152,6.153
"21","2021/05/13","10:42:26",-0.3213,26.586,34.178,53.59,51783.797,1022.229,22.23,0.18,0.18,1.79,95.42,6.136,7.63,6.153,6.154
"22","2021/05/13","10:42:26",-0.3213,26.591,34.169,53.582,51770.388,1022.22,22.221,0.19,0.19,1.95,95.34,6.13,7.64,6.147,6.148
"23","2021/05/13","10:42:26",-0.3213,26.568,34.18,53.574,51787.406,1022.235,22.237,0.19,0.19,1.98,95.38,6.132,7.64,6.149,6.15
"24","2021/05/13","10:42:26",-0.3016,26.546,34.2,53.58,51817.545,1022.258,22.259,0.19,0.19,1.95,95.43,6.133,7.64,6.151,6.152
"25","2021/05/13","10:42:26",-0.3213,26.535,34.21,53.583,51832.268,1022.269,22.27,0.18,0.18,2.01,95.35,6.128,7.65,6.145,6.146
"26","2021/05/13","10:42:26",-0.3213,26.529,34.216,53.585,51841.183,1022.275,22.277,0.18,0.18,2.03,95.4,6.13,7.65,6.147,6.148
"27","2021/05/13","10:42:26",-0.3016,26.531,34.216,53.587,51840.985,1022.275,22.276,0.18,0.18,1.99,95.32,6.124,7.64,6.142,6.143
"28","2021/05/13","10:42:26",-0.3213,26.539,34.217,53.596,51841.136,1022.273,22.274,0.18,0.18,1.99,95.19,6.115,7.64,6.133,6.134
"29","2021/05/13","10:42:26",-0.3016,26.546,34.217,53.604,51840.765,1022.271,22.272,0.17,0.17,2.01,NA,6.108,7.64,6.126,6.127
"30","2021/05/13","10:42:27",-0.3213,26.551,34.217,53.608,51839.1,1022.269,22.27,0.15,0.15,2.01,95.18,6.114,7.65,6.131,6.132
"31","2021/05/13","10:42:27",-0.3016,26.552,34.222,53.616,51846.234,1022.273,22.274,0.16,0.16,2.1,95.4,6.127,7.65,6.145,6.146
"32","2021/05/13","10:42:27",-0.3213,26.553,34.225,53.622,51850.296,1022.274,22.276,0.16,0.16,2.25,95.38,6.125,7.66,6.143,6.144
"33","2021/05/13","10:42:27",-0.3016,26.553,34.229,53.628,51856.065,1022.278,22.279,0.18,0.18,2.2,95.4,6.126,7.66,6.144,6.145
"34","2021/05/13","10:42:27",-0.3213,26.556,34.232,53.635,51859.879,1022.279,22.28,0.16,0.16,2.2,95.28,6.118,7.66,6.135,6.136
"35","2021/05/13","10:42:27",-0.3213,26.557,34.23,53.633,51856.569,1022.277,22.278,0.15,0.15,NA,95.33,6.121,7.66,6.138,6.139
"36","2021/05/13","10:42:27",-0.3016,26.558,34.227,53.63,51851.981,1022.274,22.275,0.16,0.16,NA,95.29,6.119,7.66,6.136,6.137
"37","2021/05/13","10:42:27",-0.3213,26.559,34.222,53.624,51845.29,1022.27,22.271,0.15,0.15,NA,95.37,6.123,7.68,6.14,6.141
"38","2021/05/13","10:42:27",-0.3213,26.561,34.223,53.627,51846.742,1022.27,22.272,0.18,0.18,1.99,95.32,6.119,7.67,6.136,6.137
