"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/13","11:55:54",-0.3016,26.666,33.467,52.678,50816.357,1021.668,21.67,NA,NA,7.53,93.84,5.967,NA,5.984,5.985
"2","2021/05/13","11:55:54",-0.2624,26.663,33.482,52.697,50836.857,1021.68,21.682,0.46,0.46,7.37,93.83,5.966,NA,5.983,5.984
"3","2021/05/13","11:55:54",-0.282,26.677,33.478,52.705,50829.769,1021.673,21.674,NA,NA,7.55,93.78,5.964,NA,5.98,5.981
"4","2021/05/13","11:55:54",-0.2624,26.713,33.461,52.719,50803.532,1021.649,21.65,0.45,0.45,7.54,93.98,5.977,NA,5.994,5.995
"5","2021/05/13","11:55:54",-0.282,26.751,33.437,52.723,50767.124,1021.619,21.62,0.46,0.46,7.88,94.14,5.989,NA,6.006,6.007
"6","2021/05/13","11:55:54",-0.282,26.763,33.439,52.738,50768.707,1021.616,21.618,0.44,0.44,7.74,94.15,5.99,NA,6.007,6.007
"7","2021/05/13","11:55:54",-0.2624,26.759,33.445,52.742,50777.122,1021.622,21.624,0.44,0.44,7.63,94.13,5.989,NA,6.006,6.007
"8","2021/05/13","11:55:54",-0.282,26.74,33.466,52.752,50806.373,1021.643,21.645,0.41,0.41,7.27,94.02,5.981,NA,5.998,5.999
"9","2021/05/13","11:55:54",-0.282,26.741,33.472,52.761,50814.792,1021.648,21.649,0.43,0.43,7.35,94.08,5.986,NA,6.002,6.003
"10","2021/05/13","11:55:55",-0.282,26.762,33.472,52.783,50812.556,1021.641,21.642,0.44,0.44,7.45,94.07,5.986,NA,6.002,6.003
"11","2021/05/13","11:55:55",-0.2624,26.763,33.473,52.784,50813.898,1021.642,21.643,0.44,0.44,7.35,93.98,5.98,NA,5.997,5.998
"12","2021/05/13","11:55:55",-0.282,26.786,33.432,52.75,50755.932,1021.603,21.605,0.45,0.45,7.44,93.9,5.977,NA,5.993,5.994
"13","2021/05/13","11:55:55",-0.282,26.802,33.424,52.756,50743.654,1021.592,21.594,0.44,0.44,7.15,93.99,5.983,NA,6,6.001
"14","2021/05/13","11:55:55",-0.282,26.793,33.442,52.772,50769.178,1021.609,21.61,0.43,0.43,8.51,93.97,5.982,NA,5.999,6
"15","2021/05/13","11:55:55",-0.282,26.786,33.438,52.758,50764.3,1021.608,21.609,0.44,0.44,7.45,94.03,5.986,7.62,6.003,6.004
"16","2021/05/13","11:55:55",-0.282,26.787,33.435,52.756,50759.922,1021.605,21.607,0.43,0.43,7.15,94.05,5.988,7.62,6.005,6.005
"17","2021/05/13","11:55:55",-0.282,26.771,33.429,52.732,50754.356,1021.606,21.608,0.42,0.42,7.23,94.13,5.994,7.62,6.01,6.011
"18","2021/05/13","11:55:55",-0.282,26.763,33.448,52.75,50780.172,1021.623,21.624,0.44,0.44,6.73,93.97,5.984,7.64,6,6.001
"19","2021/05/13","11:55:55",-0.282,26.751,33.458,52.753,50795.595,1021.635,21.636,0.47,0.47,6.87,93.99,5.984,7.62,6.001,6.002
"20","2021/05/13","11:55:56",-0.282,26.747,33.462,52.753,50800.64,1021.639,21.64,0.46,0.46,6.77,93.98,5.984,7.64,6.001,6.001
"21","2021/05/13","11:55:56",-0.282,26.746,33.47,52.764,50812.1,1021.645,21.646,0.44,0.44,6.97,93.89,5.979,7.62,5.996,5.996
