"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","09:32:16",NA,27.437,34.1,54.359,51592.667,1021.898,21.9,0.27,0.27,2.85,NA,NA,NA,NA,NA
"2","2021/05/27","09:32:16",-0.4194,27.434,34.104,54.361,51598.109,1021.902,21.904,0.26,0.26,2.87,NA,NA,NA,NA,NA
"3","2021/05/27","09:32:16",-0.4194,27.436,34.106,54.366,51600.787,1021.903,21.905,0.27,0.27,2.96,NA,NA,NA,NA,NA
"4","2021/05/27","09:32:16",NA,27.432,34.107,54.364,51603.182,1021.905,21.907,0.29,0.29,3.23,NA,NA,NA,NA,NA
"5","2021/05/27","09:32:16",NA,27.432,34.106,54.363,51602.209,1021.905,21.907,0.28,0.28,2.9,NA,NA,NA,NA,NA
"6","2021/05/27","09:32:16",-0.4194,27.429,34.107,54.361,51603.168,1021.906,21.908,0.28,0.28,2.9,NA,NA,7.49,NA,NA
"7","2021/05/27","09:32:16",NA,27.432,34.111,54.37,51608.596,1021.909,21.91,0.27,0.27,2.85,82.8,5.392,7.5,5.407,5.408
"8","2021/05/27","09:32:16",-0.4194,27.435,34.109,54.369,51605.344,1021.906,21.908,0.27,0.27,2.79,82.61,5.38,7.5,5.395,5.396
"9","2021/05/27","09:32:16",-0.4194,27.433,34.107,54.365,51602.699,1021.905,21.907,0.26,0.26,2.76,82.49,5.372,7.51,5.387,5.388
"10","2021/05/27","09:32:17",-0.4194,27.432,34.108,54.366,51604.901,1021.906,21.908,0.26,0.26,3.14,82.39,5.366,7.51,5.381,5.382
"11","2021/05/27","09:32:17",-0.4194,27.429,34.112,54.368,51609.6,1021.91,21.912,0.3,0.3,3.26,82.33,5.362,7.51,5.377,5.378
"12","2021/05/27","09:32:17",-0.4194,27.427,34.115,54.369,51613.961,1021.913,21.915,0.27,0.27,2.95,82.24,5.355,7.52,5.37,5.371
"13","2021/05/27","09:32:17",-0.4194,27.426,34.112,54.365,51610.164,1021.911,21.913,0.24,0.24,2.85,82.15,5.349,7.53,5.365,5.366
"14","2021/05/27","09:32:17",-0.4194,27.424,34.111,54.361,51608.474,1021.91,21.912,0.25,0.25,2.72,82.14,5.348,7.53,5.364,5.364
"15","2021/05/27","09:32:17",-0.4194,27.422,34.11,54.358,51607.772,1021.911,21.912,0.24,0.24,2.73,82.12,5.346,7.54,5.362,5.362
"16","2021/05/27","09:32:17",-0.4194,27.419,34.111,54.356,51609.792,1021.913,21.915,0.25,0.25,2.75,82.05,5.341,7.54,5.357,5.357
"17","2021/05/27","09:32:17",-0.4194,27.414,34.118,54.361,51619.019,1021.919,21.921,0.26,0.26,2.77,81.97,5.335,7.55,5.35,5.351
"18","2021/05/27","09:32:17",NA,27.412,34.123,54.366,51626.306,1021.924,21.926,0.24,0.24,2.69,81.96,5.334,7.54,5.349,5.35
"19","2021/05/27","09:32:17",-0.4194,27.415,34.122,54.367,51624.553,1021.922,21.924,0.24,0.24,2.76,81.95,5.333,7.56,5.348,5.349
"20","2021/05/27","09:32:18",-0.4194,27.419,34.123,54.373,51626.227,1021.922,21.924,0.24,0.24,2.8,81.98,5.334,7.54,5.349,5.35
"21","2021/05/27","09:32:18",NA,27.433,34.114,54.374,51612.197,1021.91,21.912,0.27,0.27,2.62,82.01,5.336,7.56,5.351,5.352
"22","2021/05/27","09:32:18",-0.4194,27.441,34.112,54.38,51608.917,1021.906,21.908,0.24,0.24,2.59,81.94,5.331,7.55,5.346,5.347
"23","2021/05/27","09:32:18",-0.4194,27.443,34.114,54.385,51611.191,1021.907,21.909,0.24,0.24,2.87,81.97,5.333,7.57,5.348,5.349
"24","2021/05/27","09:32:18",-0.4194,27.448,34.112,54.387,51608.087,1021.904,21.906,0.24,0.24,2.6,81.89,5.326,7.56,5.341,5.342
"25","2021/05/27","09:32:18",-0.4194,27.459,34.111,54.397,51605.137,1021.899,21.901,0.24,0.24,2.52,81.88,5.326,7.55,5.341,5.342
"26","2021/05/27","09:32:18",-0.4194,27.465,34.105,54.396,51597.346,1021.893,21.895,0.26,0.26,2.48,81.9,5.327,7.55,5.342,5.343
"27","2021/05/27","09:32:18",-0.4194,27.461,34.106,54.392,51598.159,1021.895,21.897,0.27,0.27,2.6,81.86,5.324,7.57,5.339,5.34
"28","2021/05/27","09:32:18",-0.4194,27.457,34.108,54.391,51601.886,1021.898,21.9,0.26,0.26,2.59,81.88,5.325,7.56,5.34,5.341
"29","2021/05/27","09:32:18",-0.4194,27.446,34.115,54.39,51612.36,1021.907,21.909,0.24,0.24,2.43,81.81,5.321,7.56,5.336,5.337
"30","2021/05/27","09:32:19",-0.4194,27.445,34.117,54.392,51615.167,1021.909,21.91,0.24,0.24,2.55,81.88,5.325,7.57,5.34,5.341
"31","2021/05/27","09:32:19",-0.4194,27.447,34.109,54.383,51604.38,1021.902,21.904,0.25,0.25,2.66,81.85,5.324,7.58,5.339,5.34
"32","2021/05/27","09:32:19",-0.4194,27.445,34.109,54.38,51603.752,1021.902,21.904,0.26,0.26,2.66,81.71,5.315,7.59,5.33,5.331
"33","2021/05/27","09:32:19",-0.4194,27.445,34.111,54.383,51607.386,1021.904,21.906,0.27,0.27,2.69,81.69,5.314,7.57,5.329,5.33
"34","2021/05/27","09:32:19",-0.4194,27.443,34.112,54.383,51608.975,1021.906,21.907,0.25,0.25,2.76,81.74,5.318,7.6,5.333,5.334
"35","2021/05/27","09:32:19",-0.4194,27.442,34.115,54.386,51613.02,1021.908,21.91,0.24,0.24,2.76,81.78,5.321,7.58,5.336,5.337
"36","2021/05/27","09:32:19",-0.4194,27.441,34.118,54.389,51617.104,1021.911,21.913,0.26,0.26,2.97,81.79,5.321,7.58,5.336,5.337
"37","2021/05/27","09:32:19",-0.4194,27.441,34.121,54.394,51621.331,1021.913,21.915,0.24,0.24,2.9,81.75,5.318,7.56,5.334,5.334
"38","2021/05/27","09:32:19",-0.4194,27.448,34.118,54.396,51615.721,1021.908,21.91,0.24,0.24,3.3,81.74,5.318,7.6,5.333,5.334
"39","2021/05/27","09:32:19",-0.4194,27.452,34.115,54.397,51612.062,1021.905,21.907,0.24,0.24,2.95,81.77,5.32,7.6,5.335,5.336
"40","2021/05/27","09:32:20",-0.4194,27.455,34.114,54.398,51610.712,1021.904,21.905,0.25,0.25,2.95,81.73,5.317,7.59,5.332,5.333
"41","2021/05/27","09:32:20",-0.4194,27.455,34.115,54.4,51611.993,1021.904,21.906,0.28,0.28,3.14,81.73,5.317,7.59,5.332,5.333
"42","2021/05/27","09:32:20",-0.4194,27.45,34.119,54.4,51617.943,1021.909,21.911,0.27,0.27,3.1,81.76,5.318,7.6,5.333,5.334
"43","2021/05/27","09:32:20",-0.4194,27.443,34.122,54.396,51621.84,1021.913,21.915,0.28,0.28,2.96,81.66,5.312,7.6,5.327,5.328
"44","2021/05/27","09:32:20",-0.4194,27.438,34.123,54.394,51624.395,1021.916,21.917,0.28,0.28,2.9,81.64,5.311,7.6,5.326,5.327
"45","2021/05/27","09:32:20",-0.4194,27.434,34.127,54.394,51629.103,1021.919,21.921,0.28,0.28,2.77,81.63,5.31,7.59,5.325,5.326
"46","2021/05/27","09:32:20",-0.4194,27.426,34.136,54.398,51642.12,1021.929,21.931,0.27,0.27,2.87,81.66,5.311,7.6,5.326,5.327
"47","2021/05/27","09:32:20",-0.4194,27.433,34.129,54.396,51632.331,1021.921,21.923,0.26,0.26,2.63,81.6,5.307,7.6,5.322,5.323
"48","2021/05/27","09:32:20",NA,27.449,34.116,54.394,51613.258,1021.907,21.908,0.24,0.24,2.53,81.55,5.303,7.6,5.318,5.319
"49","2021/05/27","09:32:20",-0.4194,27.455,34.109,54.391,51603.767,1021.9,21.901,0.23,0.23,2.59,81.51,5.301,7.6,5.316,5.317
"50","2021/05/27","09:32:21",-0.4194,27.451,34.111,54.389,51606.206,1021.902,21.904,0.24,0.24,2.59,81.47,5.298,7.59,5.313,5.314
"51","2021/05/27","09:32:21",-0.4194,27.454,34.112,54.394,51607.108,1021.902,21.903,0.25,0.25,2.55,81.5,5.3,7.59,5.315,5.316
"52","2021/05/27","09:32:21",-0.4194,27.463,34.108,54.397,51601.819,1021.896,21.898,0.24,0.24,2.49,81.46,5.299,7.61,5.314,5.314
"53","2021/05/27","09:32:21",-0.4194,27.472,34.103,54.4,51593.602,1021.889,21.891,0.24,0.24,2.52,81.44,5.297,7.59,5.312,5.313
"54","2021/05/27","09:32:21",-0.4194,27.477,34.099,54.399,51587.258,1021.884,21.886,0.23,0.23,2.6,81.52,5.302,7.6,5.317,5.318
"55","2021/05/27","09:32:21",-0.4194,27.48,34.099,54.402,51588.009,1021.884,21.886,0.24,0.24,2.59,81.51,5.301,7.61,5.316,5.317
"56","2021/05/27","09:32:21",-0.4194,27.48,34.103,54.407,51592.383,1021.887,21.888,0.26,0.26,2.67,81.47,5.297,7.6,5.312,5.313
"57","2021/05/27","09:32:21",-0.4194,27.476,34.11,54.414,51602.678,1021.893,21.895,0.25,0.25,2.59,81.45,5.295,7.59,5.31,5.311
"58","2021/05/27","09:32:21",-0.4194,27.472,34.112,54.412,51605.506,1021.896,21.898,0.25,0.25,2.52,81.43,5.293,7.6,5.308,5.309
"59","2021/05/27","09:32:21",-0.4194,27.472,34.112,54.413,51606.353,1021.896,21.898,0.26,0.26,2.48,81.41,5.292,7.6,5.307,5.307
"60","2021/05/27","09:32:22",NA,27.47,34.114,54.413,51608.158,1021.898,21.9,0.26,0.26,2.57,81.33,5.286,7.6,5.301,5.302
"61","2021/05/27","09:32:22",-0.4194,27.463,34.12,54.414,51616.887,1021.905,21.907,0.27,0.27,2.77,81.33,5.286,7.6,5.301,5.302
"62","2021/05/27","09:32:22",-0.4194,27.451,34.129,54.415,51631.182,1021.916,21.918,0.26,0.26,2.9,81.33,5.286,7.64,5.301,5.302
"63","2021/05/27","09:32:22",-0.4194,27.441,34.137,54.416,51642.997,1021.925,21.927,0.25,0.25,2.85,81.38,5.289,7.61,5.304,5.305
"64","2021/05/27","09:32:22",-0.4194,27.438,34.14,54.417,51646.496,1021.928,21.93,0.25,0.25,2.77,81.35,5.287,7.61,5.302,5.303
"65","2021/05/27","09:32:22",-0.4194,27.441,34.14,54.42,51646.12,1021.927,21.929,0.26,0.26,2.75,81.3,5.284,7.61,5.299,5.3
"66","2021/05/27","09:32:22",-0.4194,27.445,34.139,54.423,51644.854,1021.925,21.927,0.24,0.24,2.7,81.24,5.28,7.6,5.295,5.296
"67","2021/05/27","09:32:22",-0.4194,27.447,34.138,54.424,51643.617,1021.924,21.926,0.25,0.25,2.69,81.24,5.28,7.61,5.295,5.296
