"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","12:30:33",-0.3605,28.422,33.837,55,51149.049,1021.381,21.382,0.17,0.17,1.42,NA,NA,NA,NA,NA
"2","2021/05/27","12:30:33",-0.3605,28.42,33.848,55.013,51163.615,1021.39,21.391,0.17,0.17,1.28,NA,NA,NA,NA,NA
"3","2021/05/27","12:30:33",-0.3802,28.42,33.843,55.006,51156.842,1021.386,21.387,0.17,0.17,1.35,NA,NA,NA,NA,NA
"4","2021/05/27","12:30:33",-0.3605,28.421,33.842,55.005,51155.775,1021.385,21.387,0.15,0.15,1.17,NA,NA,NA,NA,NA
"5","2021/05/27","12:30:33",-0.3802,28.421,33.839,55.002,51152.066,1021.383,21.384,0.16,0.16,1.51,NA,NA,7.51,NA,NA
"6","2021/05/27","12:30:33",-0.3605,28.425,33.841,55.009,51154.649,1021.383,21.385,0.16,0.16,1.62,NA,NA,7.51,NA,NA
"7","2021/05/27","12:30:33",-0.3605,28.427,33.835,55.001,51145.264,1021.377,21.379,0.16,0.16,1.38,NA,NA,7.51,NA,NA
"8","2021/05/27","12:30:33",-0.3605,28.431,33.838,55.011,51150.057,1021.379,21.38,0.15,0.15,1.45,NA,NA,7.51,NA,NA
"9","2021/05/27","12:30:33",-0.3605,28.431,33.84,55.014,51152.282,1021.38,21.382,0.16,0.16,1.25,NA,NA,7.53,NA,NA
"10","2021/05/27","12:30:34",-0.3409,28.433,33.838,55.012,51149.42,1021.378,21.38,0.15,0.15,NA,NA,NA,7.53,NA,NA
"11","2021/05/27","12:30:34",-0.3605,28.435,33.836,55.012,51146.686,1021.376,21.377,0.15,0.15,NA,NA,NA,7.53,NA,NA
"12","2021/05/27","12:30:34",-0.3605,28.434,33.838,55.014,51149.605,1021.378,21.379,0.15,0.15,1.44,NA,NA,7.54,NA,NA
"13","2021/05/27","12:30:34",-0.3605,28.434,33.838,55.015,51149.803,1021.378,21.379,0.14,0.14,1.25,NA,NA,7.54,NA,NA
"14","2021/05/27","12:30:34",-0.3605,28.434,33.84,55.015,51151.4,1021.379,21.38,0.15,0.15,1.22,NA,NA,7.54,NA,NA
"15","2021/05/27","12:30:34",-0.3802,28.434,33.841,55.017,51152.686,1021.38,21.381,0.16,0.16,NA,114.08,7.32,7.54,7.34,7.341
"16","2021/05/27","12:30:34",-0.3802,28.433,33.842,55.018,51154.792,1021.381,21.383,0.17,0.17,NA,114.29,7.333,7.54,7.354,7.355
"17","2021/05/27","12:30:34",-0.3802,28.431,33.843,55.017,51155.804,1021.382,21.384,0.16,0.16,NA,114.4,7.34,7.56,7.361,7.362
"18","2021/05/27","12:30:34",-0.3802,28.432,33.841,55.016,51153.277,1021.38,21.382,0.15,0.15,NA,114.36,7.337,7.55,7.358,7.359
"19","2021/05/27","12:30:34",-0.3802,28.432,33.841,55.016,51153.96,1021.381,21.382,0.17,0.17,NA,114.56,7.35,7.56,7.371,7.372
"20","2021/05/27","12:30:35",-0.3605,28.433,33.841,55.017,51153.272,1021.38,21.382,0.17,0.17,NA,114.55,7.35,7.54,7.371,7.372
"21","2021/05/27","12:30:35",-0.3605,28.434,33.84,55.017,51152.229,1021.379,21.381,0.15,0.15,1.55,114.61,7.353,7.55,7.374,7.375
"22","2021/05/27","12:30:35",-0.3802,28.437,33.837,55.016,51148.176,1021.376,21.378,NA,NA,1.22,114.84,7.367,7.56,7.388,7.389
"23","2021/05/27","12:30:35",-0.3802,28.44,33.833,55.013,51142.335,1021.372,21.374,0.15,0.15,1.15,114.84,7.366,7.57,7.387,7.388
