"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","08:20:30",-0.4587,27.047,30.572,48.951,46841.912,1019.37,19.372,0.49,0.49,1.02,NA,NA,NA,NA,NA
"2","2021/05/27","08:20:30",NA,27.045,30.573,48.951,46843.777,1019.371,19.373,0.47,0.47,1.01,NA,NA,NA,NA,NA
"3","2021/05/27","08:20:30",NA,27.049,30.568,48.948,46836.563,1019.366,19.368,0.49,0.49,1.04,NA,NA,NA,NA,NA
"4","2021/05/27","08:20:30",-0.4587,27.046,30.574,48.953,46844.377,1019.371,19.373,0.47,0.47,1.12,NA,NA,NA,NA,NA
"5","2021/05/27","08:20:30",NA,27.042,30.571,48.946,46841.304,1019.371,19.373,0.49,0.49,1.02,NA,NA,NA,NA,NA
"6","2021/05/27","08:20:30",NA,27.041,30.572,48.946,46842.23,1019.372,19.373,0.49,0.49,1.09,NA,NA,NA,NA,NA
"7","2021/05/27","08:20:30",NA,27.043,30.564,48.936,46831.549,1019.365,19.367,NA,NA,1,NA,NA,NA,NA,NA
"8","2021/05/27","08:20:30",NA,27.041,30.568,48.939,46836.663,1019.369,19.37,NA,NA,1.09,NA,NA,NA,NA,NA
"9","2021/05/27","08:20:30",NA,27.037,30.574,48.944,46845.173,1019.374,19.376,NA,NA,1.17,NA,NA,NA,NA,NA
"10","2021/05/27","08:20:31",NA,27.045,30.572,48.95,46842.572,1019.371,19.373,NA,NA,1.25,NA,5.937,NA,5.955,5.955
"11","2021/05/27","08:20:31",-0.4587,27.045,30.577,48.957,46849.354,1019.374,19.376,0.48,0.48,1.11,NA,5.928,NA,5.945,5.946
"12","2021/05/27","08:20:31",NA,27.046,30.582,48.964,46855.825,1019.378,19.38,0.49,0.49,1.01,88.59,5.923,NA,5.94,5.941
"13","2021/05/27","08:20:31",NA,27.061,30.575,48.968,46844.535,1019.367,19.369,0.49,0.49,1.08,NA,5.928,7.54,5.945,5.946
"14","2021/05/27","08:20:31",-0.4587,27.063,30.574,48.969,46843.23,1019.366,19.368,0.48,0.48,1.07,NA,5.927,7.53,5.944,5.945
"15","2021/05/27","08:20:31",NA,27.06,30.574,48.966,46843.09,1019.367,19.369,NA,NA,1.07,88.6,5.925,7.54,5.942,5.943
"16","2021/05/27","08:20:31",-0.4587,27.053,30.57,48.955,46839.601,1019.367,19.369,NA,NA,1.05,88.49,5.918,7.54,5.935,5.935
"17","2021/05/27","08:20:31",NA,27.052,30.565,48.946,46832.384,1019.363,19.365,0.48,0.48,0.95,88.46,5.916,7.56,5.933,5.934
"18","2021/05/27","08:20:31",-0.4587,27.044,30.567,48.942,46836.126,1019.367,19.369,0.48,0.48,1.04,88.45,5.916,7.55,5.933,5.933
"19","2021/05/27","08:20:31",-0.4587,27.043,30.569,48.943,46838.41,1019.369,19.371,0.48,0.48,0.98,88.42,5.913,7.54,5.93,5.93
"20","2021/05/27","08:20:32",-0.4587,27.039,30.573,48.946,46844.407,1019.373,19.375,0.48,0.48,1.14,88.28,5.902,7.56,5.919,5.92
"21","2021/05/27","08:20:32",NA,27.036,30.571,48.94,46841.864,1019.373,19.375,0.48,0.48,1.02,88.33,5.906,7.56,5.923,5.923
"22","2021/05/27","08:20:32",-0.4587,27.035,30.573,48.941,46844.321,1019.374,19.376,0.47,0.47,1.17,88.37,5.908,7.56,5.925,5.926
"23","2021/05/27","08:20:32",-0.4587,27.037,30.576,48.947,46848.128,1019.376,19.378,0.47,0.47,0.95,88.39,5.91,7.56,5.927,5.927
"24","2021/05/27","08:20:32",-0.4587,27.034,30.577,48.946,46849.77,1019.377,19.379,0.48,0.48,1.14,88.28,5.902,7.56,5.919,5.92
"25","2021/05/27","08:20:32",-0.4587,27.03,30.573,48.936,46844.83,1019.376,19.378,0.48,0.48,0.97,88.31,5.905,7.57,5.922,5.922
"26","2021/05/27","08:20:32",-0.4587,27.025,30.573,48.932,46844.996,1019.377,19.379,0.48,0.48,0.98,88.25,5.901,7.57,5.918,5.918
"27","2021/05/27","08:20:32",-0.4587,27.02,30.577,48.933,46850.782,1019.382,19.384,0.48,0.48,1.25,88.25,5.901,7.55,5.918,5.919
"28","2021/05/27","08:20:32",NA,27.03,30.573,48.938,46845.549,1019.376,19.378,0.48,0.48,NA,88.17,5.896,7.57,5.913,5.913
"29","2021/05/27","08:20:32",-0.4587,27.049,30.564,48.942,46831.763,1019.364,19.366,0.47,0.47,NA,88.14,5.895,7.57,5.912,5.912
"30","2021/05/27","08:20:33",-0.4587,27.059,30.561,48.947,46825.63,1019.357,19.359,0.48,0.48,NA,88.22,5.9,7.57,5.917,5.918
"31","2021/05/27","08:20:33",-0.4587,27.065,30.557,48.947,46819.785,1019.353,19.355,0.47,0.47,NA,88.18,5.898,7.58,5.915,5.915
"32","2021/05/27","08:20:33",-0.4587,27.058,30.56,48.945,46825.348,1019.358,19.36,0.47,0.47,NA,88.22,5.9,7.6,5.917,5.918
"33","2021/05/27","08:20:33",-0.4587,27.05,30.567,48.947,46834.717,1019.365,19.367,0.48,0.48,1.27,88.24,5.9,7.58,5.917,5.918
"34","2021/05/27","08:20:33",-0.4587,27.054,30.567,48.951,46834.329,1019.364,19.366,0.46,0.46,1.05,88.23,5.899,7.58,5.916,5.917
"35","2021/05/27","08:20:33",-0.4587,27.059,30.565,48.953,46832.219,1019.361,19.363,0.47,0.47,1.01,88.23,5.899,7.58,5.916,5.917
"36","2021/05/27","08:20:33",NA,27.058,30.567,48.955,46834.27,1019.363,19.365,0.49,0.49,0.97,88.26,5.901,7.59,5.918,5.919
"37","2021/05/27","08:20:33",-0.4587,27.058,30.569,48.958,46837.796,1019.365,19.367,0.47,0.47,0.95,88.24,5.899,7.59,5.916,5.917
"38","2021/05/27","08:20:33",-0.4587,27.058,30.573,48.963,46842.287,1019.367,19.369,0.47,0.47,0.88,88.19,5.895,7.6,5.912,5.913
"39","2021/05/27","08:20:33",-0.4587,27.055,30.576,48.966,46847.384,1019.371,19.373,0.46,0.46,0.81,88.24,5.898,7.59,5.915,5.916
"40","2021/05/27","08:20:34",-0.4587,27.055,30.577,48.967,46848.542,1019.371,19.373,0.47,0.47,0.88,88.24,5.898,7.58,5.915,5.916
"41","2021/05/27","08:20:34",-0.4587,27.054,30.58,48.97,46852.789,1019.374,19.376,0.47,0.47,0.95,88.15,5.892,7.6,5.909,5.91
"42","2021/05/27","08:20:34",-0.4587,27.052,30.58,48.967,46852.277,1019.374,19.376,0.47,0.47,0.95,88.12,5.89,7.59,5.907,5.907
"43","2021/05/27","08:20:34",-0.4587,27.056,30.575,48.965,46845.832,1019.369,19.371,0.48,0.48,1.01,88.08,5.887,7.59,5.904,5.905
"44","2021/05/27","08:20:34",-0.4587,27.056,30.575,48.965,46845.757,1019.37,19.371,0.47,0.47,1.08,88.09,5.888,7.59,5.905,5.906
"45","2021/05/27","08:20:34",-0.4587,27.051,30.581,48.968,46853.534,1019.375,19.377,0.48,0.48,1.21,88.09,5.888,7.6,5.905,5.906
"46","2021/05/27","08:20:34",-0.4587,27.048,30.585,48.971,46859.249,1019.379,19.381,0.48,0.48,1.24,88.06,5.886,7.59,5.903,5.903
"47","2021/05/27","08:20:34",-0.4587,27.048,30.588,48.976,46864.234,1019.382,19.384,NA,NA,1.25,88.06,5.886,7.6,5.903,5.903
"48","2021/05/27","08:20:34",-0.4587,27.048,30.591,48.98,46868.357,1019.384,19.386,NA,NA,1.21,88.12,5.889,7.6,5.906,5.907
