"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/05/27","10:59:28",-0.4783,27.592,33.89,54.22,51295.395,1021.69,21.692,0.28,0.28,5.24,97.08,6.301,NA,6.318,6.319
"2","2021/05/27","10:59:28",-0.4587,27.585,33.888,54.21,51293.305,1021.691,21.693,0.31,0.31,6.05,97.31,6.315,NA,6.333,6.334
"3","2021/05/27","10:59:28",-0.4783,27.571,33.908,54.225,51321.344,1021.71,21.712,0.33,0.33,5.43,97.44,6.324,NA,6.342,6.343
"4","2021/05/27","10:59:28",-0.4587,27.564,33.921,54.236,51339.654,1021.722,21.724,0.3,0.3,5.14,97.59,6.333,NA,6.351,6.352
"5","2021/05/27","10:59:28",-0.4587,27.56,33.897,54.198,51308.802,1021.706,21.708,0.34,0.34,5.01,97.74,6.343,NA,6.361,6.362
"6","2021/05/27","10:59:28",-0.4587,27.57,33.883,54.187,51287.823,1021.692,21.694,0.41,0.41,5.55,97.72,6.342,NA,6.36,6.361
"7","2021/05/27","10:59:28",-0.4783,27.58,33.881,54.195,51284.643,1021.687,21.69,NA,NA,5.6,97.65,6.337,NA,6.355,6.357
"8","2021/05/27","10:59:28",-0.4587,27.571,33.906,54.223,51319.311,1021.709,21.711,0.38,0.38,5.31,97.69,6.338,NA,6.356,6.357
"9","2021/05/27","10:59:28",-0.4783,27.56,33.921,54.231,51340.032,1021.724,21.726,0.38,0.38,5.33,97.67,6.331,NA,6.349,6.35
"10","2021/05/27","10:59:29",-0.4783,27.556,33.932,54.243,51355.397,1021.733,21.735,0.35,0.35,5.4,97.34,6.303,7.54,6.321,6.322
"11","2021/05/27","10:59:29",-0.4783,27.565,33.932,54.253,51354.614,1021.73,21.733,0.39,0.39,5.83,97.43,6.306,NA,6.324,6.325
"12","2021/05/27","10:59:29",-0.4783,27.578,33.93,54.263,51351.033,1021.725,21.727,0.38,0.38,6.03,97.47,6.306,7.54,6.324,6.325
"13","2021/05/27","10:59:29",-0.4783,27.576,33.938,54.271,51361.292,1021.731,21.733,0.39,0.39,6,97.4,6.3,NA,6.318,6.319
"14","2021/05/27","10:59:29",-0.4783,27.563,33.951,54.278,51380.749,1021.746,21.748,0.38,0.38,5.63,97.58,6.313,7.54,6.331,6.332
"15","2021/05/27","10:59:29",-0.4783,27.551,33.961,54.28,51395.437,1021.757,21.759,0.34,0.34,5.35,97.58,6.315,NA,6.333,6.334
"16","2021/05/27","10:59:29",-0.4587,27.549,33.963,54.281,51398.235,1021.759,21.761,0.31,0.31,5.01,97.52,6.313,7.55,6.331,6.332
