"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","09:28:51",-0.3802,25.085,19.483,31.39,31331.251,1011.635,11.636,NA,NA,14.97,94.66,6.957,NA,6.976,6.976
"2","2020/10/01","09:28:51",-0.3998,25.093,19.778,31.826,31761.17,1011.854,11.855,NA,NA,15.4,94.55,6.938,NA,6.957,6.957
"3","2020/10/01","09:28:51",-0.3998,25.095,19.789,31.843,31776.967,1011.861,11.863,0.73,0.73,15.46,94.49,6.933,NA,6.952,6.952
"4","2020/10/01","09:28:51",-0.3998,25.095,23.65,37.419,37341.281,1014.76,14.762,0.72,0.72,14.82,94.46,6.78,NA,6.799,6.799
"5","2020/10/01","09:28:51",-0.3802,25.097,33.913,51.7,51590.099,1022.489,22.49,0.72,0.72,15,94.56,6.402,NA,6.42,6.421
"6","2020/10/01","09:28:51",-0.3409,25.1,33.171,50.695,50583.925,1021.928,21.929,0.7,0.7,15.67,94.45,6.421,NA,6.439,6.44
"7","2020/10/01","09:28:51",-0.3409,25.104,33.126,50.639,50522.504,1021.893,21.894,0.69,0.69,15.37,94.46,6.423,NA,6.441,6.442
"8","2020/10/01","09:28:51",-0.3605,25.108,33.12,50.634,50514.071,1021.887,21.889,0.69,0.69,14.82,94.36,6.417,NA,6.435,6.436
"9","2020/10/01","09:28:51",-0.3605,25.109,32.976,50.439,50318.269,1021.778,21.78,0.68,0.68,14.78,94.26,6.415,NA,6.432,6.433
"10","2020/10/01","09:28:52",-0.3605,25.11,33.214,50.763,50640.731,1021.957,21.959,0.67,0.67,14.93,94.16,6.399,NA,6.417,6.418
"11","2020/10/01","09:28:52",-0.3409,25.11,33.113,50.627,50504.366,1021.881,21.883,NA,NA,14.45,94.12,6.399,NA,6.417,6.418
"12","2020/10/01","09:28:52",-0.3802,25.111,30.972,47.695,47579.123,1020.266,20.267,NA,NA,14.11,94.19,6.483,NA,6.501,6.501
"13","2020/10/01","09:28:52",-0.3802,25.114,34.322,52.272,52141.725,1022.792,22.794,0.72,0.72,14.11,94.2,6.361,NA,6.379,6.38
"14","2020/10/01","09:28:52",-0.3605,25.123,33.034,50.532,50395.631,1021.818,21.819,0.68,0.68,14.21,94.14,6.404,NA,6.422,6.423
"15","2020/10/01","09:28:52",-0.3605,25.13,32.663,50.032,49889.948,1021.536,21.537,0.67,0.67,14.05,94.1,6.415,8.1,6.432,6.433
"16","2020/10/01","09:28:52",-0.3605,25.127,32.915,50.372,50232.288,1021.726,21.728,0.67,0.67,13.9,94.1,6.405,8.1,6.423,6.423
"17","2020/10/01","09:28:52",-0.3605,25.124,33.241,50.815,50676.238,1021.973,21.975,0.64,0.64,14.16,94.08,6.391,8.1,6.409,6.409
"18","2020/10/01","09:28:52",-0.3605,25.121,32.444,49.724,49591.781,1021.373,21.374,0.66,0.66,14.26,93.95,6.411,8.11,6.429,6.429
"19","2020/10/01","09:28:52",-0.3998,25.12,32.209,49.402,49271.976,1021.196,21.198,0.7,0.7,14.39,93.88,6.414,NA,6.432,6.433
"20","2020/10/01","09:28:53",-0.3802,25.121,33.454,51.102,50966.197,1022.135,22.137,0.68,0.68,14.54,93.92,6.371,8.11,6.388,6.389
"21","2020/10/01","09:28:53",-0.3802,25.121,32.379,49.636,49503.848,1021.324,21.326,0.65,0.65,14.48,93.81,6.402,8.11,6.42,6.42
"22","2020/10/01","09:28:53",-0.3998,25.118,32.573,49.898,49768.505,1021.471,21.473,0.64,0.64,13.98,93.77,6.392,8.11,6.41,6.411
"23","2020/10/01","09:28:53",-0.3802,25.118,32.89,50.33,50199.49,1021.71,21.712,0.64,0.64,14.47,93.77,6.381,8.14,6.399,6.4
"24","2020/10/01","09:28:53",-0.3998,25.12,32.902,50.349,50216.567,1021.719,21.721,0.64,0.64,15.36,93.7,6.376,8.13,6.394,6.395
"25","2020/10/01","09:28:53",-0.3998,25.121,32.017,49.14,49008.774,1021.05,21.052,0.64,0.64,15.14,93.69,6.407,8.14,6.425,6.426
"26","2020/10/01","09:28:53",-0.4194,25.123,26.708,41.774,41661.615,1017.051,17.052,0.64,0.64,15.23,93.77,6.609,8.14,6.628,6.628
"27","2020/10/01","09:28:53",-0.3998,25.122,32.081,49.229,49097.255,1021.099,21.101,0.64,0.64,15.36,93.65,6.402,8.1,6.419,6.42
"28","2020/10/01","09:28:53",-0.3998,25.122,29.712,45.965,45842.656,1019.313,19.314,0.64,0.64,15.24,93.72,6.493,8.14,6.511,6.512
"29","2020/10/01","09:28:53",-0.3802,25.123,25.799,40.493,40384.012,1016.367,16.369,0.64,0.64,15.16,93.57,6.629,8.14,6.648,6.648
"30","2020/10/01","09:28:54",-0.3998,25.123,27.909,43.458,43340.576,1017.954,17.956,0.62,0.62,15.39,93.65,6.556,8.14,6.574,6.575
"31","2020/10/01","09:28:54",-0.3998,25.122,25.14,39.56,39454.161,1015.872,15.874,0.61,0.61,15.83,93.65,6.659,8.12,6.678,6.678
"32","2020/10/01","09:28:54",-0.4194,25.119,22.17,35.313,35220.836,1013.641,13.643,0.61,0.61,NA,93.57,6.766,8.13,6.785,6.785
"33","2020/10/01","09:28:54",-0.3998,25.119,22.86,36.305,36210.697,1014.16,14.161,0.61,0.61,15.79,93.54,6.737,8.14,6.757,6.757
"34","2020/10/01","09:28:54",-0.3998,25.124,19.237,31.053,30968.925,1011.439,11.441,0.65,0.65,15.93,93.5,6.874,8.15,6.893,6.893
"35","2020/10/01","09:28:54",-0.3998,25.133,14.004,23.253,23184.884,1007.514,7.516,0.67,0.67,NA,93.46,7.078,8.15,7.098,7.098
"36","2020/10/01","09:28:54",-0.3998,25.14,18.69,30.26,30166.778,1011.024,11.026,0.67,0.67,NA,93.4,6.888,8.15,6.908,6.907
"37","2020/10/01","09:28:54",-0.3998,25.146,18.657,30.215,30118.838,1010.998,11,0.67,0.67,15.82,93.33,6.884,8.14,6.904,6.903
"38","2020/10/01","09:28:54",-0.3998,25.149,18.689,30.264,30165.074,1011.021,11.022,0.66,0.66,15.52,93.43,6.891,8.14,6.91,6.91
"39","2020/10/01","09:28:54",-0.3998,25.151,18.759,30.369,30268.491,1011.073,11.075,0.63,0.63,15.46,93.43,6.889,8.15,6.909,6.908
"40","2020/10/01","09:28:55",-0.3998,25.148,18.581,30.105,30007.049,1010.94,10.942,0.63,0.63,14.41,93.39,6.895,8.15,6.915,6.914
"41","2020/10/01","09:28:55",-0.3998,25.144,18.637,30.185,30089.509,1010.983,10.985,0.62,0.62,13.67,93.39,6.893,8.14,6.912,6.912
"42","2020/10/01","09:28:55",-0.3998,25.142,18.701,30.278,30183.481,1011.032,11.034,0.61,0.61,13.49,93.45,6.895,8.15,6.915,6.915
"43","2020/10/01","09:28:55",-0.3998,25.14,18.596,30.122,30029.315,1010.954,10.956,0.61,0.61,13.17,93.35,6.892,8.15,6.911,6.911
