"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","10:41:46",-0.4587,26.34,0.028,0.046,44.306,996.713,-3.285,NA,NA,NA,NA,5.221,NA,5.235,5.236
"2","2020/10/01","10:41:46",-0.4587,26.342,0.028,0.045,44.113,996.713,-3.285,NA,NA,NA,NA,5.619,NA,5.635,5.635
"3","2020/10/01","10:41:46",-0.4587,26.344,0.028,0.045,43.981,996.712,-3.286,NA,NA,NA,NA,6.667,NA,6.685,6.686
"4","2020/10/01","10:41:46",-0.4587,26.355,0.028,0.046,44.219,996.709,-3.289,NA,NA,NA,NA,7.079,NA,7.098,7.099
"5","2020/10/01","10:41:46",-0.4587,26.341,0.028,0.046,44.299,996.713,-3.285,NA,NA,NA,NA,7.232,NA,7.252,7.252
"6","2020/10/01","10:41:46",-0.4587,26.325,0.028,0.046,44.325,996.717,-3.28,NA,NA,NA,NA,7.279,NA,7.299,7.299
"7","2020/10/01","10:41:46",-0.4783,26.326,0.028,0.046,44.365,996.717,-3.281,NA,NA,NA,NA,7.297,NA,7.318,7.318
"8","2020/10/01","10:41:46",-0.4587,26.324,0.028,0.046,44.265,996.718,-3.28,NA,NA,NA,92.21,7.3,NA,7.32,7.32
"9","2020/10/01","10:41:46",-0.4587,26.331,0.028,0.045,44.143,996.716,-3.282,NA,NA,NA,92.21,7.301,NA,7.321,7.321
"10","2020/10/01","10:41:47",-0.4587,26.345,0.028,0.046,44.341,996.712,-3.286,NA,NA,NA,NA,7.298,NA,7.319,7.319
"11","2020/10/01","10:41:47",-0.4587,26.365,0.028,0.045,44.002,996.707,-3.291,NA,NA,NA,92.22,7.302,NA,7.323,7.323
"12","2020/10/01","10:41:47",-0.4783,26.385,0.028,0.046,44.31,996.701,-3.297,NA,NA,NA,92.3,7.308,NA,7.329,7.329
"13","2020/10/01","10:41:47",-0.4783,26.389,0.028,0.046,44.182,996.7,-3.298,NA,NA,NA,92.25,7.305,NA,7.325,7.326
"14","2020/10/01","10:41:47",-0.4587,26.387,0.028,0.045,44.087,996.701,-3.297,NA,NA,NA,NA,7.295,NA,7.315,7.316
"15","2020/10/01","10:41:47",-0.4587,26.382,0.028,0.046,44.439,996.702,-3.296,NA,NA,NA,NA,7.3,NA,7.32,7.32
"16","2020/10/01","10:41:47",-0.4783,26.386,0.028,0.046,44.294,996.701,-3.297,NA,NA,NA,92.21,7.302,NA,7.322,7.322
"17","2020/10/01","10:41:47",-0.4783,26.368,0.028,0.045,44.165,996.706,-3.292,0.1,0.1,NA,92.2,7.301,8.1,7.321,7.322
"18","2020/10/01","10:41:47",-0.4783,26.366,0.028,0.046,44.476,996.706,-3.291,0.1,0.1,NA,NA,7.299,8.1,7.319,7.319
"19","2020/10/01","10:41:47",-0.4783,26.389,0.028,0.046,44.244,996.7,-3.298,NA,NA,NA,92.21,7.303,8.1,7.323,7.323
"20","2020/10/01","10:41:48",-0.4587,26.41,0.028,0.046,44.197,996.695,-3.303,NA,NA,NA,92.25,7.306,8.11,7.327,7.327
"21","2020/10/01","10:41:48",-0.4587,26.432,0.028,0.046,44.396,996.689,-3.309,NA,NA,NA,92.25,7.306,8.12,7.327,7.327
"22","2020/10/01","10:41:48",-0.4587,26.452,0.028,0.046,44.359,996.683,-3.315,NA,NA,NA,NA,7.3,8.11,7.321,7.321
"23","2020/10/01","10:41:48",-0.4587,26.455,0.028,0.046,44.259,996.682,-3.316,NA,NA,NA,92.22,7.306,8.11,7.326,7.327
"24","2020/10/01","10:41:48",-0.4587,26.453,0.028,0.045,44.08,996.683,-3.315,NA,NA,NA,92.26,7.31,8.12,7.33,7.33
"25","2020/10/01","10:41:48",-0.4587,26.454,0.028,0.046,44.256,996.683,-3.315,NA,NA,NA,92.23,7.308,8.13,7.329,7.329
"26","2020/10/01","10:41:48",-0.4783,26.459,0.028,0.045,44.019,996.681,-3.317,NA,NA,NA,92.29,7.313,8.14,7.334,7.334
"27","2020/10/01","10:41:48",-0.4979,26.445,0.028,0.045,44.087,996.685,-3.313,NA,NA,NA,92.29,7.313,8.14,7.333,7.333
"28","2020/10/01","10:41:48",-0.4783,26.425,0.028,0.046,44.133,996.69,-3.308,NA,NA,NA,92.24,7.309,8.11,7.329,7.329
"29","2020/10/01","10:41:48",-0.4587,26.404,0.028,0.045,44.026,996.696,-3.302,NA,NA,NA,92.22,7.308,8.13,7.328,7.328
"30","2020/10/01","10:41:49",-0.4587,26.393,0.028,0.046,44.174,996.699,-3.299,NA,NA,NA,92.37,7.319,8.11,7.34,7.34
"31","2020/10/01","10:41:49",-0.4587,26.382,0.028,0.045,43.885,996.702,-3.296,NA,NA,NA,92.33,7.317,8.14,7.337,7.337
"32","2020/10/01","10:41:49",-0.4783,26.382,0.028,0.046,44.239,996.702,-3.296,NA,NA,NA,92.26,7.31,8.13,7.331,7.331
