"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.12,0.12,NA,101.79,NA,NA,NA,NA
"2","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,101.76,NA,NA,NA,NA
"3","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,101.54,NA,NA,NA,NA
"4","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,101.53,NA,NA,NA,NA
"5","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,101.53,NA,NA,NA,NA
"6","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,101.46,NA,NA,NA,NA
"7","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.45,NA,NA,NA,NA
"8","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.46,NA,NA,NA,NA
"9","2020/10/01","12:08:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.46,NA,NA,NA,NA
"10","2020/10/01","12:08:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.53,NA,NA,NA,NA
"11","2020/10/01","12:08:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.37,NA,NA,NA,NA
"12","2020/10/01","12:08:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.53,NA,NA,NA,NA
"13","2020/10/01","12:08:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.39,NA,NA,NA,NA
"14","2020/10/01","12:08:04",NA,NA,NA,NA,NA,NA,NA,0.22,0.22,NA,102.5,NA,NA,NA,NA
"15","2020/10/01","12:08:04",-0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.56,NA,NA,NA,NA
"16","2020/10/01","12:08:04",-0.4194,NA,NA,53.263,NA,NA,NA,NA,NA,NA,102.62,6.683,NA,6.702,6.703
"17","2020/10/01","12:08:04",-0.439,NA,NA,53.284,NA,NA,NA,0.25,0.25,NA,102.57,6.68,NA,6.699,6.7
"18","2020/10/01","12:08:04",-0.4194,NA,NA,53.286,NA,NA,NA,0.23,0.23,NA,102.53,6.677,NA,6.696,6.697
"19","2020/10/01","12:08:04",-0.439,NA,NA,NA,NA,NA,NA,0.25,0.25,3.39,102.57,NA,NA,NA,NA
"20","2020/10/01","12:08:05",-0.4587,NA,NA,NA,NA,NA,NA,0.24,0.24,3.26,102.72,NA,NA,NA,NA
"21","2020/10/01","12:08:05",-0.4194,NA,33.019,53.268,50094.395,1020.942,20.944,0.22,0.22,3.23,102.76,6.692,NA,6.711,6.712
"22","2020/10/01","12:08:05",-0.439,NA,NA,NA,NA,NA,NA,0.24,0.24,3.16,102.75,6.696,NA,6.715,6.716
"23","2020/10/01","12:08:05",NA,NA,NA,NA,NA,NA,NA,0.23,0.23,3.09,102.67,NA,NA,NA,NA
"24","2020/10/01","12:08:05",-0.439,NA,NA,NA,NA,NA,NA,0.23,0.23,3.06,102.7,6.65,NA,6.669,6.67
"25","2020/10/01","12:08:05",-0.4194,27.901,33.015,53.285,50087.878,1020.933,20.935,0.24,0.24,3.14,102.68,6.684,NA,6.703,6.704
"26","2020/10/01","12:08:05",-0.439,27.912,33.007,53.284,50075.994,1020.923,20.925,0.23,0.23,3.24,102.68,6.682,8.13,6.701,6.702
"27","2020/10/01","12:08:05",-0.439,27.914,33.002,53.279,50069.218,1020.919,20.921,0.23,0.23,3.17,102.65,6.677,8.13,6.696,6.697
"28","2020/10/01","12:08:05",-0.439,27.913,32.982,53.25,50042.729,1020.904,20.906,0.24,0.24,3.26,102.69,6.68,8.12,6.699,6.7
"29","2020/10/01","12:08:05",-0.4194,27.915,33.038,53.331,50117.633,1020.946,20.948,0.21,0.21,3.1,102.76,6.682,8.14,6.701,6.702
"30","2020/10/01","12:08:06",-0.4194,27.918,33.01,53.295,50079.974,1020.924,20.926,0.21,0.21,3.3,102.72,6.68,8.12,6.699,6.7
"31","2020/10/01","12:08:06",-0.4194,27.922,33.006,53.292,50073.149,1020.919,20.921,0.24,0.24,3.34,102.65,6.676,8.13,6.695,6.696
"32","2020/10/01","12:08:06",-0.4194,27.922,33.01,53.298,50079.18,1020.923,20.924,0.23,0.23,3.2,102.73,6.681,8.14,6.7,6.701
"33","2020/10/01","12:08:06",-0.4194,27.923,33.011,53.301,50080.951,1020.923,20.925,0.23,0.23,3.14,102.8,6.685,8.14,6.704,6.705
"34","2020/10/01","12:08:06",-0.4194,27.922,33.015,53.305,50085.314,1020.926,20.928,0.22,0.22,3.07,102.81,6.685,8.14,6.704,6.705
"35","2020/10/01","12:08:06",-0.4194,27.92,33.019,53.309,50091.516,1020.93,20.932,0.22,0.22,3.13,102.71,6.678,8.14,6.697,6.698
"36","2020/10/01","12:08:06",-0.4194,27.92,33.024,53.316,50097.729,1020.933,20.935,0.23,0.23,3.14,102.61,6.671,8.14,6.69,6.691
"37","2020/10/01","12:08:06",-0.4194,27.922,33.022,53.315,50094.724,1020.931,20.933,0.21,0.21,3.09,102.74,6.68,8.14,6.699,6.7
"38","2020/10/01","12:08:06",-0.4194,27.924,33.017,53.31,50088.254,1020.927,20.929,0.22,0.22,3.09,102.98,6.695,8.14,6.714,6.715
"39","2020/10/01","12:08:06",-0.439,27.925,33.021,53.317,50094.192,1020.93,20.932,0.21,0.21,3.13,102.95,6.693,8.14,6.712,6.713
"40","2020/10/01","12:08:07",-0.4194,27.924,33.019,53.314,50091.474,1020.929,20.93,0.21,0.21,3.17,102.9,6.689,8.14,6.708,6.709
"41","2020/10/01","12:08:07",-0.4194,27.924,33.015,53.307,50085.445,1020.926,20.927,0.24,0.24,3.37,102.78,6.681,8.14,6.7,6.701
"42","2020/10/01","12:08:07",-0.439,27.923,33.017,53.31,50088.418,1020.927,20.929,0.22,0.22,3.43,102.81,6.682,8.15,6.701,6.702
"43","2020/10/01","12:08:07",-0.4194,27.924,33.019,53.314,50091.422,1020.929,20.93,0.21,0.21,3.36,102.8,6.682,8.14,6.701,6.702
"44","2020/10/01","12:08:07",-0.4194,27.925,33.021,53.317,50093.945,1020.93,20.932,0.21,0.21,3.3,102.81,6.682,8.14,6.701,6.702
"45","2020/10/01","12:08:07",-0.439,27.928,33.02,53.318,50091.609,1020.928,20.93,0.21,0.21,3.27,102.88,6.686,8.15,6.705,6.706
"46","2020/10/01","12:08:07",-0.4194,27.941,33.014,53.322,50082.499,1020.919,20.921,0.22,0.22,3.19,102.97,6.692,8.15,6.711,6.712
"47","2020/10/01","12:08:07",-0.4194,27.946,33.011,53.323,50078.236,1020.915,20.917,0.21,0.21,3.13,103.07,6.698,8.14,6.717,6.718
"48","2020/10/01","12:08:07",-0.4194,27.945,33.011,53.323,50078.77,1020.916,20.918,0.2,0.2,3.14,103.07,6.698,8.15,6.717,6.718
"49","2020/10/01","12:08:07",-0.4194,27.945,33.012,53.324,50079.994,1020.917,20.919,0.2,0.2,3.16,103.13,6.702,8.15,6.721,6.722
"50","2020/10/01","12:08:08",-0.4194,27.942,33.016,53.327,50084.871,1020.92,20.922,0.21,0.21,3.14,103.11,6.701,8.15,6.72,6.721
"51","2020/10/01","12:08:08",-0.439,27.94,33.01,53.316,50077.408,1020.916,20.918,0.21,0.21,3.17,103.21,6.707,8.13,6.726,6.727
"52","2020/10/01","12:08:08",-0.4194,27.939,33.013,53.321,50082.063,1020.919,20.921,0.2,0.2,3.22,103.15,6.703,8.14,6.722,6.723
"53","2020/10/01","12:08:08",-0.4194,27.94,33.018,53.328,50088.017,1020.923,20.924,0.21,0.21,3.16,103.2,6.706,8.13,6.725,6.726
"54","2020/10/01","12:08:08",-0.4194,27.941,33.017,53.327,50087.015,1020.922,20.924,0.2,0.2,3.2,103.15,6.703,8.13,6.722,6.723
"55","2020/10/01","12:08:08",-0.4194,27.941,33.019,53.331,50089.423,1020.923,20.925,0.21,0.21,3.43,103.22,6.707,8.15,6.726,6.727
"56","2020/10/01","12:08:08",-0.4194,27.939,33.015,53.322,50084.012,1020.921,20.922,0.2,0.2,3.42,103.21,6.707,8.13,6.726,6.727
"57","2020/10/01","12:08:08",-0.439,27.936,33.02,53.327,50091.408,1020.925,20.927,0.2,0.2,3.4,103.3,6.712,8.14,6.731,6.732
"58","2020/10/01","12:08:08",-0.439,27.936,33.026,53.335,50099.511,1020.93,20.932,0.21,0.21,3.27,103.27,6.71,8.15,6.729,6.73
"59","2020/10/01","12:08:08",-0.439,27.935,33.024,53.332,50097.474,1020.929,20.931,0.19,0.19,3.14,103.34,6.715,8.14,6.734,6.735
"60","2020/10/01","12:08:09",-0.4194,27.933,33.029,53.337,50103.859,1020.933,20.935,0.2,0.2,3.19,103.38,6.717,8.15,6.736,6.737
"61","2020/10/01","12:08:09",-0.4194,27.931,33.03,53.337,50105.659,1020.935,20.936,0.2,0.2,3.22,103.43,6.72,8.16,6.739,6.74
"62","2020/10/01","12:08:09",-0.4194,27.931,33.033,53.34,50109.23,1020.937,20.939,0.19,0.19,3.22,103.39,6.717,8.15,6.737,6.737
"63","2020/10/01","12:08:09",-0.4194,27.931,33.029,53.335,50104.271,1020.934,20.936,0.2,0.2,3.17,103.43,6.72,8.17,6.739,6.74
"64","2020/10/01","12:08:09",-0.4194,27.931,33.029,53.335,50104.533,1020.934,20.936,0.2,0.2,3.16,103.45,6.72,8.15,6.74,6.741
"65","2020/10/01","12:08:09",-0.4194,27.93,33.034,53.341,50110.947,1020.938,20.94,0.18,0.18,3.2,103.45,6.721,8.16,6.74,6.741
"66","2020/10/01","12:08:09",-0.4194,27.932,33.033,53.341,50108.855,1020.936,20.938,0.19,0.19,3.19,103.35,6.714,8.14,6.733,6.734
"67","2020/10/01","12:08:09",-0.4194,27.932,33.034,53.343,50110.609,1020.937,20.939,0.2,0.2,3.1,103.35,6.713,8.16,6.732,6.733
"68","2020/10/01","12:08:09",-0.4194,27.932,33.034,53.343,50110.835,1020.937,20.939,0.2,0.2,2.93,103.39,6.715,8.16,6.735,6.736
"69","2020/10/01","12:08:09",-0.4194,27.93,33.037,53.346,50115.191,1020.94,20.942,0.18,0.18,2.95,103.41,6.716,8.15,6.736,6.736
"70","2020/10/01","12:08:10",-0.4194,27.928,33.039,53.346,50118.192,1020.943,20.944,0.18,0.18,2.96,103.41,6.717,8.16,6.736,6.737
"71","2020/10/01","12:08:10",-0.439,27.924,33.041,53.345,50121.162,1020.945,20.947,0.17,0.17,2.93,103.47,6.72,8.16,6.739,6.74
"72","2020/10/01","12:08:10",-0.4194,27.922,33.047,53.352,50129.093,1020.95,20.952,0.17,0.17,2.97,103.35,6.712,8.17,6.731,6.732
"73","2020/10/01","12:08:10",-0.4194,27.923,33.046,53.351,50127.407,1020.949,20.951,0.18,0.18,3.03,103.42,6.717,8.15,6.736,6.737
"74","2020/10/01","12:08:10",-0.4194,27.927,33.044,53.352,50124.549,1020.946,20.948,0.18,0.18,3.06,103.39,6.715,8.17,6.734,6.735
"75","2020/10/01","12:08:10",-0.4194,27.935,33.037,53.35,50114.042,1020.938,20.94,0.18,0.18,2.99,103.49,6.722,8.16,6.741,6.742
"76","2020/10/01","12:08:10",-0.4194,27.94,33.034,53.351,50109.682,1020.934,20.936,0.18,0.18,2.97,103.52,6.725,8.15,6.744,6.745
"77","2020/10/01","12:08:10",-0.4194,27.942,33.035,53.354,50110.775,1020.935,20.936,0.18,0.18,2.97,103.54,6.726,8.16,6.745,6.746
"78","2020/10/01","12:08:10",-0.439,27.946,33.035,53.358,50110.418,1020.933,20.935,0.18,0.18,2.89,103.51,6.723,8.16,6.742,6.743
"79","2020/10/01","12:08:10",-0.4194,27.95,33.032,53.359,50106.399,1020.93,20.932,0.16,0.16,3.03,103.49,6.721,8.16,6.741,6.742
"80","2020/10/01","12:08:11",-0.4194,27.952,33.032,53.36,50105.849,1020.929,20.931,0.18,0.18,3.17,103.58,6.728,8.16,6.747,6.748
"81","2020/10/01","12:08:11",-0.4194,27.95,33.036,53.364,50111.604,1020.933,20.935,0.18,0.18,3.02,103.64,6.731,8.15,6.75,6.751
"82","2020/10/01","12:08:11",-0.4194,27.95,33.036,53.364,50111.855,1020.933,20.935,0.18,0.18,3.1,103.73,6.737,8.18,6.757,6.758
"83","2020/10/01","12:08:11",-0.4194,27.95,33.036,53.364,50111.267,1020.933,20.934,0.18,0.18,3.19,103.58,6.728,8.16,6.747,6.748
