"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","12:16:10",NA,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,6.538,NA,6.557,6.557
"2","2020/10/01","12:16:10",NA,NA,NA,NA,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"3","2020/10/01","12:16:10",-0.3998,NA,NA,NA,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"4","2020/10/01","12:16:10",-0.3998,NA,NA,54.826,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"5","2020/10/01","12:16:10",NA,NA,NA,54.835,NA,NA,NA,0.34,0.34,NA,98.95,6.401,NA,6.419,6.42
"6","2020/10/01","12:16:10",NA,27.801,NA,54.83,NA,NA,NA,0.34,0.34,NA,99.04,6.406,NA,6.424,6.425
"7","2020/10/01","12:16:10",-0.3998,27.816,NA,54.834,NA,1021.82,21.822,0.33,0.33,NA,99.22,6.417,NA,6.436,6.437
"8","2020/10/01","12:16:10",NA,27.823,34.152,54.833,51626.667,1021.813,21.815,0.34,0.34,NA,99.4,6.429,NA,6.447,6.448
"9","2020/10/01","12:16:10",-0.3998,27.828,34.147,54.83,51618.752,1021.807,21.809,0.34,0.34,NA,99.54,6.437,NA,6.455,6.456
"10","2020/10/01","12:16:11",NA,27.832,34.141,54.827,51611.252,1021.802,21.804,0.33,0.33,1.14,99.58,6.439,NA,6.458,6.459
"11","2020/10/01","12:16:11",-0.3998,27.834,34.14,54.826,51608.974,1021.8,21.802,0.32,0.32,1.09,99.67,6.445,NA,6.463,6.464
"12","2020/10/01","12:16:11",NA,27.836,34.141,54.83,51610.613,1021.801,21.802,0.32,0.32,1.11,99.65,6.442,NA,6.461,6.462
"13","2020/10/01","12:16:11",-0.3998,27.838,34.137,54.827,51605.034,1021.797,21.799,0.31,0.31,1.12,99.72,6.447,NA,6.465,6.466
"14","2020/10/01","12:16:11",-0.3998,27.839,34.136,54.827,51603.676,1021.796,21.798,0.32,0.32,1.12,99.92,6.46,NA,6.478,6.479
"15","2020/10/01","12:16:11",-0.3998,27.84,34.137,54.828,51604.681,1021.796,21.798,0.32,0.32,1.01,99.94,6.46,NA,6.479,6.48
"16","2020/10/01","12:16:11",-0.3998,27.84,34.136,54.827,51602.927,1021.795,21.797,0.34,0.34,0.94,100.03,6.466,8.08,6.485,6.486
"17","2020/10/01","12:16:11",-0.3998,27.839,34.138,54.83,51606.09,1021.797,21.799,0.31,0.31,0.92,100.09,6.47,8.09,6.488,6.489
"18","2020/10/01","12:16:11",NA,27.838,34.139,54.829,51607.194,1021.798,21.8,0.31,0.31,0.88,100.12,6.473,8.08,6.491,6.492
"19","2020/10/01","12:16:11",-0.3998,27.839,34.138,54.83,51606.384,1021.797,21.799,0.3,0.3,0.91,100.2,6.478,8.1,6.496,6.497
"20","2020/10/01","12:16:12",-0.3998,27.841,34.137,54.83,51604.866,1021.796,21.798,0.31,0.31,0.92,100.38,6.489,8.09,6.507,6.508
"21","2020/10/01","12:16:12",NA,27.842,34.136,54.829,51602.7,1021.795,21.796,0.32,0.32,0.9,100.37,6.488,8.09,6.506,6.507
"22","2020/10/01","12:16:12",NA,27.842,34.136,54.83,51602.866,1021.795,21.796,0.31,0.31,0.92,100.35,6.487,8.09,6.505,6.506
"23","2020/10/01","12:16:12",-0.3998,27.841,34.137,54.829,51603.971,1021.796,21.797,0.29,0.29,0.92,100.47,6.495,8.11,6.513,6.514
"24","2020/10/01","12:16:12",-0.3998,27.844,34.133,54.827,51598.47,1021.792,21.793,0.28,0.28,0.85,100.55,6.5,8.1,6.519,6.52
"25","2020/10/01","12:16:12",-0.3998,27.846,34.131,54.827,51595.985,1021.79,21.791,0.28,0.28,0.81,100.66,6.507,8.12,6.526,6.527
"26","2020/10/01","12:16:12",-0.3998,27.851,34.13,54.83,51593.917,1021.787,21.789,0.28,0.28,0.81,100.61,6.504,8.12,6.522,6.524
"27","2020/10/01","12:16:12",NA,27.852,34.13,54.832,51594.435,1021.787,21.789,0.29,0.29,0.82,100.69,6.509,8.12,6.528,6.529
"28","2020/10/01","12:16:12",-0.3998,27.851,34.129,54.828,51592.506,1021.786,21.788,0.28,0.28,0.82,100.69,6.509,8.12,6.527,6.529
"29","2020/10/01","12:16:12",-0.3998,27.851,34.128,54.827,51591.2,1021.786,21.787,0.28,0.28,0.82,100.79,6.516,8.12,6.534,6.536
"30","2020/10/01","12:16:13",-0.3998,27.852,34.13,54.831,51593.896,1021.787,21.789,0.28,0.28,0.84,100.76,6.514,8.12,6.532,6.534
"31","2020/10/01","12:16:13",-0.3998,27.852,34.132,54.834,51597.008,1021.789,21.79,0.28,0.28,0.84,100.69,6.51,8.14,6.528,6.529
"32","2020/10/01","12:16:13",-0.3998,27.852,34.135,54.839,51601.395,1021.791,21.793,0.28,0.28,0.84,100.82,6.517,8.12,6.536,6.537
"33","2020/10/01","12:16:13",-0.3998,27.851,34.136,54.838,51601.696,1021.792,21.793,0.27,0.27,0.84,100.82,6.517,8.12,6.535,6.537
"34","2020/10/01","12:16:13",NA,27.851,34.135,54.837,51601.242,1021.791,21.793,0.26,0.26,0.81,100.82,6.517,8.14,6.535,6.537
"35","2020/10/01","12:16:13",-0.3998,27.851,34.137,54.841,51604.213,1021.793,21.795,0.26,0.26,0.82,100.84,6.518,8.14,6.537,6.538
"36","2020/10/01","12:16:13",-0.3998,27.852,34.138,54.842,51605.018,1021.793,21.795,0.27,0.27,0.78,100.83,6.518,8.14,6.536,6.537
"37","2020/10/01","12:16:13",-0.3998,27.851,34.139,54.843,51606.44,1021.794,21.796,0.26,0.26,0.77,100.88,6.521,8.14,6.539,6.54
"38","2020/10/01","12:16:13",-0.3998,27.851,34.139,54.844,51606.482,1021.794,21.796,0.25,0.25,0.72,100.88,6.52,8.14,6.539,6.54
"39","2020/10/01","12:16:13",-0.3998,27.852,34.137,54.841,51603.401,1021.792,21.794,0.25,0.25,0.71,100.96,6.526,8.15,6.545,6.546
"40","2020/10/01","12:16:14",NA,27.853,34.136,54.842,51602.645,1021.792,21.793,0.26,0.26,0.77,101.01,6.529,8.14,6.548,6.549
"41","2020/10/01","12:16:14",-0.3998,27.853,34.136,54.841,51602.09,1021.791,21.793,0.27,0.27,0.75,101.01,6.529,8.14,6.547,6.549
"42","2020/10/01","12:16:14",-0.3998,27.854,34.137,54.844,51603.257,1021.791,21.793,0.28,0.28,0.72,101.02,6.53,8.14,6.549,6.55
