"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","12:34:46",NA,NA,NA,NA,NA,NA,NA,0.34,0.34,0.75,NA,NA,NA,NA,NA
"2","2020/10/01","12:34:46",-0.3998,NA,NA,NA,NA,NA,NA,0.37,0.37,0.78,NA,NA,NA,NA,NA
"3","2020/10/01","12:34:46",-0.3605,NA,NA,NA,NA,NA,NA,0.38,0.38,0.75,NA,NA,NA,NA,NA
"4","2020/10/01","12:34:46",-0.3802,NA,NA,NA,NA,NA,NA,0.36,0.36,0.77,NA,6.452,NA,6.471,6.472
"5","2020/10/01","12:34:46",-0.3998,NA,NA,NA,NA,NA,NA,0.34,0.34,0.77,99.84,6.5,NA,6.518,6.519
"6","2020/10/01","12:34:46",-0.3802,27.762,NA,NA,NA,NA,NA,0.35,0.35,0.77,100.04,6.457,NA,6.475,6.476
"7","2020/10/01","12:34:46",-0.3605,27.765,NA,NA,NA,NA,NA,0.34,0.34,0.77,100.28,6.496,NA,6.514,6.515
"8","2020/10/01","12:34:46",-0.3802,27.768,NA,54.964,NA,NA,NA,0.34,0.34,0.78,100.5,6.504,NA,6.522,6.524
"9","2020/10/01","12:34:46",-0.3605,27.774,34.185,54.829,51675.431,1021.854,21.855,0.35,0.35,0.81,100.54,6.511,NA,6.529,6.53
"10","2020/10/01","12:34:47",-0.3605,27.777,34.182,54.828,51670.995,1021.851,21.852,0.34,0.34,0.8,100.72,6.522,NA,6.54,6.541
"11","2020/10/01","12:34:47",-0.3802,27.779,34.183,54.83,51671.473,1021.85,21.852,0.32,0.32,0.78,100.94,6.535,NA,6.554,6.555
"12","2020/10/01","12:34:47",-0.3605,27.78,34.186,54.837,51676.575,1021.853,21.854,0.32,0.32,0.8,101,6.538,NA,6.557,6.558
"13","2020/10/01","12:34:47",-0.3605,27.78,34.192,54.845,51684.383,1021.857,21.859,0.33,0.33,0.78,101,6.538,NA,6.557,6.558
"14","2020/10/01","12:34:47",-0.3802,27.782,34.192,54.846,51683.532,1021.856,21.858,0.32,0.32,0.78,101.15,6.547,NA,6.566,6.567
"15","2020/10/01","12:34:47",-0.3605,27.783,34.19,54.846,51681.623,1021.855,21.857,0.32,0.32,0.8,101.22,6.551,NA,6.57,6.571
"16","2020/10/01","12:34:47",-0.3605,27.783,34.188,54.844,51678.955,1021.853,21.855,0.31,0.31,0.8,101.2,6.55,8.08,6.568,6.569
"17","2020/10/01","12:34:47",-0.3605,27.781,34.187,54.839,51677.474,1021.853,21.855,0.31,0.31,0.8,101.39,6.562,8.08,6.581,6.582
"18","2020/10/01","12:34:47",-0.3605,27.779,34.189,54.84,51680.05,1021.855,21.857,0.31,0.31,0.72,101.5,6.569,8.1,6.588,6.589
"19","2020/10/01","12:34:47",-0.3605,27.78,34.191,54.843,51682.197,1021.856,21.858,0.31,0.31,0.71,101.55,6.572,8.08,6.59,6.591
"20","2020/10/01","12:34:48",-0.3802,27.783,34.186,54.839,51675.403,1021.851,21.853,0.31,0.31,0.72,101.46,6.566,8.09,6.585,6.586
"21","2020/10/01","12:34:48",-0.3802,27.787,34.18,54.835,51666.833,1021.846,21.847,0.31,0.31,0.75,101.61,6.576,8.1,6.595,6.596
"22","2020/10/01","12:34:48",-0.3605,27.788,34.18,54.836,51666.555,1021.845,21.847,0.31,0.31,0.72,101.78,6.587,8.09,6.605,6.607
"23","2020/10/01","12:34:48",-0.3802,27.789,34.182,54.84,51669.834,1021.847,21.848,0.31,0.31,0.71,101.83,6.589,8.1,6.608,6.609
"24","2020/10/01","12:34:48",-0.3802,27.79,34.185,54.845,51673.145,1021.848,21.85,0.31,0.31,0.71,101.84,6.59,8.09,6.609,6.61
"25","2020/10/01","12:34:48",-0.3605,27.789,34.185,54.846,51674.438,1021.849,21.851,0.3,0.3,0.74,101.86,6.591,8.09,6.61,6.611
"26","2020/10/01","12:34:48",-0.3802,27.79,34.188,54.85,51678.053,1021.851,21.853,0.29,0.29,0.75,101.95,6.597,8.09,6.616,6.617
"27","2020/10/01","12:34:48",-0.3802,27.788,34.189,54.85,51679.669,1021.852,21.854,0.3,0.3,0.74,102.05,6.603,8.12,6.622,6.623
"28","2020/10/01","12:34:48",-0.3605,27.786,34.199,54.861,51693.075,1021.861,21.862,0.28,0.28,0.75,102.15,6.61,8.11,6.628,6.629
"29","2020/10/01","12:34:48",-0.3802,27.785,34.206,54.871,51702.573,1021.866,21.868,0.3,0.3,0.75,102.26,6.616,8.12,6.635,6.636
