"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.11,NA,NA,NA,NA
"2","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,0.43,0.43,NA,95.19,NA,NA,NA,NA
"3","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,0.38,0.38,NA,95.18,NA,NA,NA,NA
"4","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,0.45,0.45,NA,95.22,NA,NA,NA,NA
"5","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,0.39,0.39,NA,95.31,NA,NA,NA,NA
"6","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,0.34,0.34,NA,95.25,NA,NA,NA,NA
"7","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.24,NA,NA,NA,NA
"8","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.34,NA,NA,NA,NA
"9","2020/10/01","09:41:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.35,NA,NA,NA,NA
"10","2020/10/01","09:41:39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.29,NA,NA,NA,NA
"11","2020/10/01","09:41:39",NA,NA,NA,NA,NA,NA,NA,0.45,0.45,NA,95.04,NA,NA,NA,NA
"12","2020/10/01","09:41:39",-0.3605,NA,NA,NA,NA,NA,NA,0.48,0.48,NA,94.81,6.383,NA,6.401,6.402
"13","2020/10/01","09:41:39",NA,NA,NA,52.236,NA,NA,NA,0.48,0.48,NA,94.68,6.4,NA,6.418,6.419
"14","2020/10/01","09:41:39",-0.3605,NA,34.365,52.237,52210.456,NA,NA,0.48,0.48,11.15,94.33,6.377,NA,6.395,6.396
"15","2020/10/01","09:41:39",NA,25.045,34.343,52.231,52179.043,1022.83,22.831,0.48,0.48,10.75,94,6.356,NA,6.374,6.375
"16","2020/10/01","09:41:39",NA,25.061,34.34,52.243,52172.934,1022.823,22.824,NA,NA,11.39,93.79,6.342,8.1,6.36,6.361
"17","2020/10/01","09:41:39",-0.3605,25.069,34.334,52.242,52163.733,1022.816,22.817,NA,NA,11.46,93.65,6.333,8.11,6.35,6.351
"18","2020/10/01","09:41:39",NA,25.068,34.335,52.242,52164.656,1022.816,22.818,NA,NA,NA,93.57,6.327,NA,6.345,6.346
"19","2020/10/01","09:41:39",-0.3605,25.063,34.342,52.248,52175.748,1022.824,22.825,NA,NA,NA,93.42,6.316,NA,6.333,6.334
"20","2020/10/01","09:41:40",-0.3605,25.069,34.338,52.248,52169.261,1022.819,22.82,NA,NA,NA,93.23,6.304,8.11,6.321,6.322
"21","2020/10/01","09:41:40",-0.3605,25.078,34.333,52.251,52161.864,1022.812,22.814,0.48,0.48,NA,93.08,6.294,8.11,6.311,6.313
"22","2020/10/01","09:41:40",-0.3605,25.08,34.332,52.252,52159.785,1022.811,22.812,0.47,0.47,NA,93.05,6.292,8.12,6.309,6.31
"23","2020/10/01","09:41:40",-0.3605,25.082,34.331,52.251,52157.789,1022.809,22.811,0.47,0.47,11.54,92.84,6.278,8.11,6.295,6.296
"24","2020/10/01","09:41:40",-0.3605,25.083,34.332,52.255,52159.376,1022.81,22.811,0.48,0.48,11.74,92.8,6.275,8.12,6.293,6.294
"25","2020/10/01","09:41:40",NA,25.089,34.327,52.254,52151.522,1022.804,22.805,NA,NA,NA,92.78,6.274,8.11,6.291,6.292
"26","2020/10/01","09:41:40",-0.3605,25.096,34.322,52.254,52143.507,1022.798,22.799,NA,NA,11.18,92.65,6.265,8.14,6.282,6.283
"27","2020/10/01","09:41:40",-0.3605,25.1,34.32,52.256,52141.565,1022.796,22.797,0.49,0.49,10.15,92.57,6.26,8.14,6.277,6.278
"28","2020/10/01","09:41:40",-0.3605,25.098,34.322,52.256,52143.835,1022.798,22.799,0.47,0.47,10.04,92.46,6.251,8.13,6.269,6.27
"29","2020/10/01","09:41:40",-0.3605,25.098,34.321,52.255,52142.838,1022.797,22.799,0.48,0.48,10.03,92.38,6.246,8.13,6.263,6.264
"30","2020/10/01","09:41:41",NA,25.098,34.323,52.257,52145.508,1022.799,22.8,0.48,0.48,10.23,92.33,6.242,8.13,6.26,6.261
"31","2020/10/01","09:41:41",-0.3605,25.098,34.324,52.259,52146.695,1022.799,22.801,0.47,0.47,10.36,92.29,6.24,8.14,6.257,6.258
"32","2020/10/01","09:41:41",-0.3605,25.101,34.323,52.261,52145.039,1022.798,22.799,0.48,0.48,10.52,92.14,6.229,8.14,6.247,6.248
"33","2020/10/01","09:41:41",-0.3605,25.103,34.322,52.262,52143.862,1022.796,22.798,0.46,0.46,10.39,92.02,6.221,8.15,6.238,6.239
"34","2020/10/01","09:41:41",-0.3605,25.103,34.322,52.262,52143.153,1022.796,22.797,0.46,0.46,10.43,91.92,6.214,8.14,6.231,6.232
"35","2020/10/01","09:41:41",NA,25.104,34.322,52.263,52143.717,1022.796,22.798,0.46,0.46,10.27,91.89,6.213,8.14,6.23,6.231
"36","2020/10/01","09:41:41",-0.3605,25.108,34.321,52.264,52140.863,1022.794,22.795,0.44,0.44,10.09,91.89,6.213,8.15,6.23,6.231
"37","2020/10/01","09:41:41",-0.3605,25.11,34.319,52.265,52138.574,1022.792,22.793,0.44,0.44,9.83,91.82,6.208,8.15,6.225,6.226
"38","2020/10/01","09:41:41",-0.3605,25.111,34.317,52.263,52135.587,1022.79,22.791,0.42,0.42,10.03,91.79,6.206,8.17,6.223,6.224
"39","2020/10/01","09:41:41",-0.3605,25.111,34.316,52.261,52134.078,1022.789,22.791,0.42,0.42,9.89,91.72,6.201,8.15,6.218,6.219
"40","2020/10/01","09:41:42",-0.3605,25.112,34.32,52.268,52139.827,1022.792,22.794,0.41,0.41,9.6,91.81,6.207,8.17,6.224,6.226
"41","2020/10/01","09:41:42",-0.3605,25.112,34.32,52.268,52138.977,1022.791,22.793,0.43,0.43,9.36,91.67,6.198,8.14,6.215,6.216
"42","2020/10/01","09:41:42",-0.3605,25.111,34.323,52.271,52143.706,1022.794,22.796,0.42,0.42,9.21,91.59,6.192,8.14,6.209,6.21
"43","2020/10/01","09:41:42",-0.3605,25.11,34.322,52.268,52141.935,1022.794,22.795,0.41,0.41,9.34,91.58,6.191,8.17,6.208,6.209
"44","2020/10/01","09:41:42",-0.3605,25.109,34.324,52.27,52144.962,1022.795,22.797,0.41,0.41,9.26,91.5,6.186,8.15,6.203,6.204
"45","2020/10/01","09:41:42",-0.3605,25.109,34.325,52.271,52146.35,1022.796,22.798,0.4,0.4,8.93,91.51,6.186,8.17,6.203,6.204
"46","2020/10/01","09:41:42",-0.3605,25.107,34.325,52.269,52146.466,1022.797,22.798,0.41,0.41,8.57,91.52,6.186,8.14,6.203,6.204
"47","2020/10/01","09:41:42",NA,25.105,34.33,52.274,52153.301,1022.801,22.803,0.42,0.42,8.86,91.4,6.178,8.16,6.195,6.196
"48","2020/10/01","09:41:42",-0.3605,25.103,34.33,52.273,52154.26,1022.802,22.804,0.41,0.41,8.97,91.33,6.174,8.15,6.191,6.192
"49","2020/10/01","09:41:42",-0.3605,25.103,34.329,52.271,52153.089,1022.802,22.803,0.41,0.41,9.16,91.33,6.174,8.16,6.191,6.192
"50","2020/10/01","09:41:43",-0.3605,25.108,34.328,52.275,52151.168,1022.799,22.801,0.41,0.41,9.53,91.26,6.169,8.17,6.186,6.187
"51","2020/10/01","09:41:43",-0.3605,25.111,34.327,52.276,52148.935,1022.797,22.799,0.39,0.39,9.77,91.25,6.168,8.14,6.185,6.187
"52","2020/10/01","09:41:43",NA,25.113,34.325,52.276,52146.425,1022.795,22.797,0.41,0.41,9.6,91.08,6.157,8.17,6.174,6.175
"53","2020/10/01","09:41:43",NA,25.112,34.326,52.277,52147.939,1022.796,22.798,0.4,0.4,9,91.17,6.164,8.15,6.181,6.182
"54","2020/10/01","09:41:43",-0.3605,25.109,34.329,52.277,52152.026,1022.799,22.801,0.39,0.39,8.64,91.18,6.164,8.14,6.181,6.182
"55","2020/10/01","09:41:43",-0.3605,25.107,34.334,52.281,52158.637,1022.804,22.805,0.41,0.41,8.47,91.11,6.159,8.16,6.176,6.177
"56","2020/10/01","09:41:43",-0.3605,25.108,34.332,52.28,52155.986,1022.802,22.804,0.41,0.41,8.66,91.12,6.159,8.16,6.176,6.177
"57","2020/10/01","09:41:43",-0.3605,25.113,34.329,52.281,52151.535,1022.798,22.8,0.41,0.41,8.77,91.04,6.155,8.15,6.171,6.173
"58","2020/10/01","09:41:43",-0.3605,25.124,34.325,52.286,52144.49,1022.792,22.793,0.41,0.41,8.97,91.02,6.153,8.14,6.17,6.171
"59","2020/10/01","09:41:43",-0.3605,25.139,34.314,52.287,52127.984,1022.779,22.781,0.4,0.4,10.04,91.03,6.153,8.14,6.17,6.171
"60","2020/10/01","09:41:44",-0.3605,25.144,34.311,52.289,52123.826,1022.775,22.777,0.4,0.4,10.49,90.88,6.143,8.16,6.16,6.161
"61","2020/10/01","09:41:44",-0.3605,25.141,34.311,52.286,52124.497,1022.777,22.778,0.41,0.41,10.06,90.85,6.141,8.17,6.158,6.159
"62","2020/10/01","09:41:44",NA,25.133,34.316,52.285,52131.867,1022.783,22.784,0.44,0.44,9.84,90.8,6.137,8.15,6.154,6.155
"63","2020/10/01","09:41:44",-0.3605,25.128,34.324,52.29,52142.865,1022.79,22.791,0.41,0.41,9.87,90.89,6.144,8.15,6.161,6.162
"64","2020/10/01","09:41:44",-0.3605,25.126,34.329,52.294,52149.946,1022.794,22.796,0.41,0.41,9.92,90.82,6.139,8.15,6.156,6.157
"65","2020/10/01","09:41:44",-0.3605,25.125,34.33,52.294,52151.219,1022.795,22.797,0.41,0.41,9.87,90.74,6.133,8.17,6.15,6.151
"66","2020/10/01","09:41:44",NA,25.124,34.331,52.294,52152.606,1022.796,22.798,0.41,0.41,9.76,90.77,6.135,8.18,6.151,6.152
"67","2020/10/01","09:41:44",-0.3605,25.122,34.332,52.294,52154.361,1022.798,22.799,0.39,0.39,9.34,90.72,6.131,8.17,6.148,6.149
"68","2020/10/01","09:41:44",-0.3605,25.12,34.334,52.295,52156.931,1022.8,22.801,0.38,0.38,9.03,90.71,6.131,8.14,6.148,6.149
"69","2020/10/01","09:41:44",-0.3605,25.12,34.336,52.298,52160.019,1022.801,22.803,0.4,0.4,9.33,90.7,6.131,8.17,6.148,6.149
"70","2020/10/01","09:41:45",-0.3605,25.122,34.335,52.299,52158.693,1022.8,22.802,0.41,0.41,10.07,90.55,6.121,8.16,6.138,6.139
"71","2020/10/01","09:41:45",NA,25.122,34.336,52.3,52159.764,1022.801,22.802,0.39,0.39,9.9,90.59,6.124,8.16,6.141,6.142
"72","2020/10/01","09:41:45",-0.3605,25.122,34.335,52.299,52159.352,1022.801,22.802,0.4,0.4,9.99,90.68,6.13,8.16,6.147,6.148
"73","2020/10/01","09:41:45",-0.3605,25.12,34.336,52.298,52160.368,1022.802,22.803,0.41,0.41,9.66,90.64,6.127,8.18,6.144,6.145
"74","2020/10/01","09:41:45",NA,25.125,34.333,52.298,52155.18,1022.797,22.799,0.39,0.39,9.86,90.53,6.119,8.17,6.136,6.137
"75","2020/10/01","09:41:45",-0.3605,25.137,34.325,52.299,52142.761,1022.788,22.789,0.39,0.39,10.42,90.57,6.123,8.17,6.14,6.141
"76","2020/10/01","09:41:45",-0.3605,25.14,34.324,52.302,52141.681,1022.786,22.788,0.39,0.39,9.99,90.48,6.117,8.17,6.134,6.135
"77","2020/10/01","09:41:45",-0.3605,25.135,34.326,52.301,52145.493,1022.79,22.791,0.41,0.41,10.19,90.39,6.111,8.17,6.128,6.129
"78","2020/10/01","09:41:45",-0.3605,25.133,34.331,52.304,52151.498,1022.794,22.795,0.4,0.4,10.17,90.37,6.109,8.18,6.126,6.127
"79","2020/10/01","09:41:45",-0.3605,25.133,34.33,52.304,52151.182,1022.793,22.795,0.39,0.39,9.51,90.35,6.107,8.14,6.124,6.125
"80","2020/10/01","09:41:46",-0.3605,25.136,34.329,52.305,52148.727,1022.791,22.793,0.39,0.39,9.34,90.35,6.107,8.16,6.124,6.125
"81","2020/10/01","09:41:46",-0.3605,25.136,34.326,52.301,52144.66,1022.789,22.79,0.4,0.4,9.73,90.32,6.105,8.17,6.122,6.123
"82","2020/10/01","09:41:46",-0.3605,25.137,34.324,52.299,52141.725,1022.787,22.789,0.41,0.41,9.83,90.25,6.1,8.14,6.117,6.118
"83","2020/10/01","09:41:46",-0.3605,25.14,34.319,52.295,52134.773,1022.783,22.784,0.41,0.41,10.13,90.21,6.099,8.17,6.116,6.117
"84","2020/10/01","09:41:46",-0.3605,25.142,34.317,52.295,52131.674,1022.78,22.782,0.39,0.39,10.59,90.18,6.097,8.16,6.114,6.115
"85","2020/10/01","09:41:46",-0.3605,25.147,34.313,52.295,52126.52,1022.776,22.778,0.4,0.4,10.59,90.24,6.101,8.16,6.118,6.119
"86","2020/10/01","09:41:46",-0.3605,25.15,34.311,52.295,52122.312,1022.773,22.775,0.41,0.41,10.39,90.25,6.102,8.17,6.119,6.12
"87","2020/10/01","09:41:46",-0.3605,25.149,34.312,52.296,52124.428,1022.775,22.776,0.37,0.37,10.19,90.32,6.107,8.18,6.124,6.125
"88","2020/10/01","09:41:46",-0.3605,25.155,34.306,52.294,52115.794,1022.768,22.77,0.38,0.38,9.62,90.22,6.1,8.18,6.117,6.118
"89","2020/10/01","09:41:46",-0.3605,25.169,34.296,52.294,52099.903,1022.756,22.758,0.39,0.39,9.31,90.17,6.097,8.18,6.114,6.115
"90","2020/10/01","09:41:47",-0.3605,25.184,34.284,52.294,52082.357,1022.743,22.744,0.4,0.4,9.73,90.21,6.099,8.17,6.116,6.117
"91","2020/10/01","09:41:47",-0.3605,25.199,34.271,52.291,52063.167,1022.729,22.73,0.38,0.38,9.86,90.12,6.093,8.18,6.11,6.111
"92","2020/10/01","09:41:47",-0.3605,25.203,34.267,52.29,52057.64,1022.724,22.726,0.38,0.38,9.97,90.09,6.091,8.17,6.108,6.109
"93","2020/10/01","09:41:47",-0.3605,25.201,34.269,52.29,52060.032,1022.726,22.728,0.38,0.38,10.04,90.04,6.087,8.17,6.104,6.105
"94","2020/10/01","09:41:47",-0.3605,25.196,34.272,52.289,52064.734,1022.73,22.732,0.38,0.38,10.2,89.96,6.081,8.16,6.098,6.099
"95","2020/10/01","09:41:47",-0.3605,25.191,34.276,52.29,52070.854,1022.735,22.736,0.39,0.39,10.16,90.03,6.085,8.16,6.102,6.103
"96","2020/10/01","09:41:47",NA,25.19,34.279,52.293,52075.362,1022.738,22.739,0.39,0.39,9.87,89.96,6.081,8.17,6.097,6.098
"97","2020/10/01","09:41:47",-0.3605,25.189,34.28,52.293,52076.303,1022.738,22.74,0.39,0.39,9.53,90.04,6.086,8.16,6.103,6.104
"98","2020/10/01","09:41:47",-0.3605,25.194,34.279,52.297,52074.921,1022.736,22.738,0.39,0.39,9.29,89.96,6.08,8.19,6.097,6.098
"99","2020/10/01","09:41:47",-0.3605,25.197,34.278,52.298,52072.931,1022.734,22.736,0.38,0.38,9.09,89.93,6.078,8.17,6.095,6.096
"100","2020/10/01","09:41:48",NA,25.194,34.281,52.3,52077.396,1022.738,22.739,0.41,0.41,8.86,89.98,6.082,8.18,6.098,6.099
"101","2020/10/01","09:41:48",-0.3605,25.186,34.285,52.298,52084.037,1022.743,22.745,0.41,0.41,8.84,89.95,6.079,8.19,6.096,6.097
"102","2020/10/01","09:41:48",-0.3605,25.18,34.288,52.295,52088.434,1022.747,22.749,0.39,0.39,10.17,89.87,6.074,8.19,6.091,6.092
"103","2020/10/01","09:41:48",-0.3605,25.178,34.288,52.293,52088.624,1022.748,22.749,0.4,0.4,10.2,89.91,6.077,8.19,6.093,6.094
"104","2020/10/01","09:41:48",-0.3605,25.176,34.289,52.291,52090.22,1022.749,22.751,0.37,0.37,9.41,89.92,6.077,8.18,6.094,6.095
"105","2020/10/01","09:41:48",NA,25.171,34.294,52.293,52096.839,1022.754,22.755,0.36,0.36,8.84,89.9,6.076,8.18,6.093,6.094
"106","2020/10/01","09:41:48",-0.3605,25.161,34.303,52.296,52110.819,1022.764,22.766,0.35,0.35,8.4,89.85,6.073,8.18,6.089,6.09
"107","2020/10/01","09:41:48",-0.3605,25.147,34.315,52.296,52128.237,1022.777,22.779,0.35,0.35,9.17,89.84,6.071,8.16,6.088,6.089
"108","2020/10/01","09:41:48",-0.3605,25.136,34.323,52.297,52140.914,1022.787,22.788,0.37,0.37,9.34,89.81,6.069,8.18,6.086,6.087
"109","2020/10/01","09:41:48",-0.3605,25.129,34.33,52.298,52150.504,1022.794,22.796,0.37,0.37,9.24,89.77,6.066,8.19,6.083,6.084
"110","2020/10/01","09:41:49",-0.3605,25.131,34.322,52.29,52140.473,1022.788,22.789,0.36,0.36,9.26,89.8,6.069,8.17,6.086,6.087
"111","2020/10/01","09:41:49",-0.3605,25.141,34.312,52.287,52125.297,1022.777,22.779,0.38,0.38,9.21,89.7,6.063,8.16,6.08,6.081
"112","2020/10/01","09:41:49",-0.3605,25.143,34.309,52.286,52121.332,1022.774,22.776,0.43,0.43,9.4,89.77,6.069,8.18,6.086,6.087
"113","2020/10/01","09:41:49",-0.3605,25.145,34.309,52.287,52120.834,1022.773,22.775,0.36,0.36,9.53,89.78,6.07,8.17,6.086,6.087
"114","2020/10/01","09:41:49",-0.3605,25.146,34.306,52.284,52116.382,1022.771,22.772,0.34,0.34,9.86,89.74,6.067,8.18,6.084,6.085
"115","2020/10/01","09:41:49",-0.3605,25.146,34.3,52.276,52108.917,1022.767,22.768,0.36,0.36,10.36,89.71,6.065,8.17,6.082,6.083
"116","2020/10/01","09:41:49",NA,25.145,34.302,52.278,52111.981,1022.768,22.77,0.37,0.37,10.22,89.69,6.063,8.17,6.08,6.081
"117","2020/10/01","09:41:49",-0.3605,25.142,34.305,52.279,52115.637,1022.771,22.773,0.36,0.36,10.27,89.6,6.056,8.17,6.073,6.074
"118","2020/10/01","09:41:49",-0.3605,25.137,34.308,52.278,52120.533,1022.775,22.777,0.36,0.36,9.84,89.56,6.054,8.17,6.07,6.071
"119","2020/10/01","09:41:49",-0.3605,25.135,34.308,52.275,52120.371,1022.776,22.777,0.36,0.36,9.67,89.58,6.054,8.17,6.071,6.072
