"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/01","10:54:11",NA,NA,NA,NA,NA,NA,NA,0.33,0.33,NA,NA,NA,NA,NA,NA
"2","2020/10/01","10:54:11",NA,NA,NA,49.793,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"3","2020/10/01","10:54:11",-0.439,NA,NA,49.807,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"4","2020/10/01","10:54:11",-0.439,NA,NA,49.822,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"5","2020/10/01","10:54:11",-0.439,NA,NA,49.831,NA,NA,NA,0.38,0.38,2.76,NA,NA,NA,NA,NA
"6","2020/10/01","10:54:11",-0.439,NA,NA,49.832,NA,NA,NA,0.39,0.39,2.67,NA,NA,NA,NA,NA
"7","2020/10/01","10:54:11",-0.439,28.02,NA,49.821,NA,1019.037,19.039,0.38,0.38,2.6,NA,NA,NA,NA,NA
"8","2020/10/01","10:54:11",NA,28.044,30.526,49.821,46694.273,1019.018,19.02,0.38,0.38,2.55,NA,NA,NA,NA,NA
"9","2020/10/01","10:54:11",-0.439,28.066,30.517,49.829,46680.344,1019.004,19.006,0.38,0.38,2.5,NA,NA,NA,NA,NA
"10","2020/10/01","10:54:12",NA,28.078,30.511,49.831,46671.21,1018.996,18.998,0.37,0.37,2.46,NA,NA,NA,NA,NA
"11","2020/10/01","10:54:12",NA,28.082,30.506,49.828,46664.074,1018.991,18.993,0.38,0.38,2.4,NA,NA,NA,NA,NA
"12","2020/10/01","10:54:12",-0.439,28.084,30.492,49.81,46644.674,1018.98,18.982,0.38,0.38,2.36,NA,NA,NA,NA,NA
"13","2020/10/01","10:54:12",-0.439,28.085,30.492,49.81,46644.492,1018.979,18.981,0.38,0.38,2.36,NA,NA,NA,NA,NA
"14","2020/10/01","10:54:12",-0.439,28.084,30.496,49.816,46650.607,1018.983,18.985,0.4,0.4,2.45,NA,NA,NA,NA,NA
