"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/10","08:06:46",-0.5372,26.233,0.028,0.046,44.674,996.742,-3.256,-0.04,-0.04,0.11,NA,NA,NA,NA,NA
"2","2021/06/10","08:06:46",NA,26.225,0.028,0.046,44.69,996.744,-3.253,-0.04,-0.04,0.1,NA,NA,NA,NA,NA
"3","2021/06/10","08:06:46",-0.5372,26.226,0.028,0.046,45,996.744,-3.254,-0.04,-0.04,0.1,NA,NA,NA,NA,NA
"4","2021/06/10","08:06:46",-0.5372,26.219,0.028,0.046,44.904,996.746,-3.252,-0.04,-0.04,0.1,87.49,6.987,NA,7.006,7.007
"5","2021/06/10","08:06:46",-0.5372,26.208,0.028,0.046,45.043,996.749,-3.249,-0.04,-0.04,0.1,92.83,7.416,NA,7.436,7.437
"6","2021/06/10","08:06:46",-0.5372,26.205,0.028,0.046,44.843,996.749,-3.248,-0.04,-0.04,0.1,94.96,7.588,NA,7.609,7.61
"7","2021/06/10","08:06:46",-0.5372,26.215,0.028,0.046,44.549,996.747,-3.251,-0.04,-0.04,0.1,95.96,7.669,NA,7.69,7.69
"8","2021/06/10","08:06:46",-0.5372,26.226,0.028,0.046,44.68,996.744,-3.254,-0.04,-0.04,0.1,96.37,7.702,NA,7.723,7.723
"9","2021/06/10","08:06:46",-0.5372,26.241,0.028,0.046,44.832,996.74,-3.258,-0.04,-0.04,0.1,96.44,7.706,NA,7.727,7.727
"10","2021/06/10","08:06:47",-0.5372,26.252,0.028,0.046,44.818,996.737,-3.261,-0.04,-0.04,0.1,96.58,7.715,NA,7.736,7.736
"11","2021/06/10","08:06:47",-0.5372,26.264,0.028,0.046,44.574,996.734,-3.264,-0.04,-0.04,0.1,96.47,7.704,NA,7.725,7.725
"12","2021/06/10","08:06:47",-0.5372,26.274,0.028,0.046,44.66,996.731,-3.267,-0.04,-0.04,0.1,96.65,7.715,NA,7.736,7.737
"13","2021/06/10","08:06:47",-0.5372,26.278,0.028,0.046,44.413,996.73,-3.268,-0.04,-0.04,0.1,96.7,7.718,NA,7.739,7.739
"14","2021/06/10","08:06:47",-0.5372,26.291,0.028,0.046,45.051,996.726,-3.271,-0.04,-0.04,0.1,96.68,7.714,NA,7.735,7.736
"15","2021/06/10","08:06:47",-0.5372,26.306,0.028,0.046,44.648,996.722,-3.275,-0.04,-0.04,0.1,96.77,7.72,NA,7.741,7.741
"16","2021/06/10","08:06:47",-0.5372,26.321,0.028,0.046,44.891,996.718,-3.279,-0.05,-0.05,0.1,96.7,7.712,NA,7.733,7.733
"17","2021/06/10","08:06:47",-0.5372,26.337,0.028,0.046,44.578,996.714,-3.284,-0.04,-0.04,0.1,96.92,7.729,NA,7.75,7.751
"18","2021/06/10","08:06:47",-0.5372,26.354,0.028,0.046,44.816,996.709,-3.288,-0.04,-0.04,0.09,96.73,7.716,NA,7.737,7.738
"19","2021/06/10","08:06:47",-0.5372,26.368,0.028,0.046,44.472,996.706,-3.292,-0.04,-0.04,0.1,96.83,7.725,8.15,7.746,7.747
"20","2021/06/10","08:06:48",-0.5372,26.384,0.028,0.046,44.551,996.701,-3.296,-0.05,-0.05,0.1,96.77,7.722,NA,7.743,7.743
"21","2021/06/10","08:06:48",-0.5372,26.387,0.028,0.046,44.604,996.701,-3.297,-0.05,-0.05,0.1,96.77,7.722,NA,7.744,7.744
"22","2021/06/10","08:06:48",-0.5372,26.383,0.028,0.046,44.547,996.702,-3.296,-0.04,-0.04,0.1,96.79,7.724,NA,7.745,7.745
"23","2021/06/10","08:06:48",-0.5372,26.39,0.028,0.046,44.546,996.7,-3.298,-0.05,-0.05,0.1,96.59,7.709,NA,7.73,7.73
"24","2021/06/10","08:06:48",-0.5372,26.411,0.028,0.046,44.531,996.694,-3.304,-0.05,-0.05,0.09,96.72,7.721,8.15,7.742,7.743
"25","2021/06/10","08:06:48",-0.5372,26.428,0.028,0.046,44.521,996.69,-3.308,-0.04,-0.04,0.09,96.77,7.727,8.15,7.748,7.749
"26","2021/06/10","08:06:48",-0.5372,26.436,0.028,0.046,44.684,996.687,-3.31,-0.04,-0.04,0.1,96.97,7.744,8.15,7.765,7.766
"27","2021/06/10","08:06:48",-0.5372,26.422,0.028,0.046,44.571,996.691,-3.306,-0.05,-0.05,0.09,97.07,7.755,8.17,7.776,7.776
"28","2021/06/10","08:06:48",NA,26.416,0.028,0.046,44.286,996.693,-3.305,-0.05,-0.05,0.09,97.08,7.756,8.17,7.777,7.777
"29","2021/06/10","08:06:48",-0.5372,26.422,0.028,0.046,44.402,996.691,-3.306,-0.05,-0.05,0.09,97.22,7.766,8.15,7.787,7.788
"30","2021/06/10","08:06:49",-0.5372,26.422,0.028,0.046,44.213,996.691,-3.307,-0.04,-0.04,0.09,97.36,7.776,8.17,7.797,7.798
"31","2021/06/10","08:06:49",-0.5372,26.426,0.028,0.046,44.517,996.69,-3.308,-0.04,-0.04,0.09,96.97,7.744,8.16,7.765,7.765
"32","2021/06/10","08:06:49",-0.5372,26.433,0.028,0.046,44.388,996.688,-3.31,-0.05,-0.05,0.09,96.97,7.743,8.15,7.764,7.764
"33","2021/06/10","08:06:49",-0.5372,26.447,0.028,0.046,44.405,996.684,-3.313,-0.05,-0.05,0.09,97.28,7.767,8.17,7.788,7.788
"34","2021/06/10","08:06:49",-0.5372,26.46,0.028,0.046,44.226,996.681,-3.317,-0.05,-0.05,0.09,97.42,7.777,8.17,7.799,7.799
"35","2021/06/10","08:06:49",-0.5372,26.473,0.028,0.046,44.601,996.677,-3.32,-0.05,-0.05,0.09,97.27,7.767,8.16,7.789,7.789
"36","2021/06/10","08:06:49",-0.5372,26.488,0.028,0.046,44.102,996.673,-3.324,-0.05,-0.05,0.09,97.34,7.776,8.16,7.797,7.798
"37","2021/06/10","08:06:49",-0.5372,26.506,0.028,0.046,44.427,996.668,-3.329,-0.05,-0.05,0.09,97.24,7.773,8.16,7.794,7.795
"38","2021/06/10","08:06:49",-0.5372,26.518,0.028,0.046,44.114,996.665,-3.333,-0.05,-0.05,0.09,97.14,7.767,8.16,7.789,7.789
"39","2021/06/10","08:06:49",-0.5372,26.53,0.028,0.046,44.275,996.662,-3.336,-0.05,-0.05,0.09,97.29,7.781,8.15,7.802,7.803
"40","2021/06/10","08:06:50",-0.5372,26.539,0.028,0.046,44.54,996.66,-3.338,-0.05,-0.05,0.09,97.32,7.785,8.17,7.806,7.807
"41","2021/06/10","08:06:50",-0.5372,26.546,0.028,0.046,44.182,996.658,-3.34,-0.05,-0.05,0.09,97.07,7.767,8.18,7.788,7.788
"42","2021/06/10","08:06:50",-0.5372,26.552,0.028,0.046,44.343,996.656,-3.342,-0.05,-0.05,0.09,97.09,7.768,8.18,7.789,7.79
"43","2021/06/10","08:06:50",-0.5372,26.558,0.028,0.046,44.129,996.654,-3.343,-0.05,-0.05,0.09,97.24,7.779,8.17,7.8,7.801
"44","2021/06/10","08:06:50",-0.5372,26.565,0.028,0.046,44.38,996.652,-3.345,-0.05,-0.05,0.09,97.23,7.776,8.19,7.797,7.797
"45","2021/06/10","08:06:50",-0.5372,26.574,0.028,0.046,44.21,996.65,-3.348,-0.05,-0.05,0.09,97.38,7.786,8.17,7.807,7.807
"46","2021/06/10","08:06:50",NA,26.582,0.028,0.046,44.25,996.648,-3.35,-0.05,-0.05,0.09,97.65,7.805,8.19,7.826,7.827
"47","2021/06/10","08:06:50",-0.5372,26.588,0.028,0.046,44.322,996.646,-3.352,-0.05,-0.05,0.09,97.43,7.785,8.18,7.806,7.807
"48","2021/06/10","08:06:50",NA,26.586,0.028,0.046,44.367,996.647,-3.351,-0.05,-0.05,0.09,97.42,7.783,8.18,7.805,7.805
"49","2021/06/10","08:06:50",-0.5372,26.582,0.028,0.046,44.301,996.648,-3.35,-0.05,-0.05,0.09,97.45,7.785,8.17,7.806,7.806
"50","2021/06/10","08:06:51",-0.5372,26.575,0.028,0.046,44.36,996.65,-3.348,-0.05,-0.05,0.09,97.29,7.77,8.16,7.792,7.792
"51","2021/06/10","08:06:51",-0.5372,26.575,0.028,0.046,44.391,996.65,-3.348,-0.05,-0.05,0.09,97.19,7.763,8.17,7.784,7.784
"52","2021/06/10","08:06:51",-0.5372,26.579,0.028,0.046,44.296,996.649,-3.349,-0.05,-0.05,0.09,97.3,7.774,8.19,7.795,7.796
"53","2021/06/10","08:06:51",NA,26.588,0.028,0.046,44.727,996.646,-3.351,-0.05,-0.05,0.09,97.35,7.781,8.18,7.802,7.802
"54","2021/06/10","08:06:51",-0.5372,26.597,0.028,0.046,44.302,996.644,-3.354,-0.05,-0.05,0.09,97.41,7.789,8.18,7.81,7.81
"55","2021/06/10","08:06:51",NA,26.603,0.028,0.046,44.371,996.642,-3.355,-0.05,-0.05,0.09,97.4,7.79,8.19,7.811,7.811
"56","2021/06/10","08:06:51",NA,26.606,0.028,0.046,44.284,996.641,-3.356,-0.05,-0.05,0.09,97.35,7.787,8.18,7.809,7.809
"57","2021/06/10","08:06:51",NA,26.61,0.028,0.046,44.332,996.64,-3.357,-0.05,-0.05,0.09,97.61,7.809,8.18,7.831,7.831
"58","2021/06/10","08:06:51",-0.5372,26.612,0.028,0.046,44.233,996.64,-3.358,-0.05,-0.05,0.09,97.49,7.8,8.2,7.821,7.822
"59","2021/06/10","08:06:51",NA,26.614,0.028,0.046,44.162,996.639,-3.359,-0.05,-0.05,0.09,97.44,7.796,8.19,7.817,7.817
"60","2021/06/10","08:06:52",NA,26.619,0.028,0.046,44.45,996.638,-3.36,-0.05,-0.05,0.09,97.65,7.812,8.2,7.834,7.834
"61","2021/06/10","08:06:52",-0.5372,26.623,0.028,0.046,44.532,996.637,-3.361,-0.05,-0.05,0.07,97.54,7.803,8.2,7.825,7.825
"62","2021/06/10","08:06:52",-0.5372,26.624,0.028,0.046,44.284,996.636,-3.361,-0.05,-0.05,0.09,97.45,7.795,8.17,7.816,7.817
"63","2021/06/10","08:06:52",-0.5372,26.614,0.028,0.046,44.275,996.639,-3.359,-0.05,-0.05,0.09,97.69,7.816,8.2,7.837,7.837
"64","2021/06/10","08:06:52",NA,26.617,0.028,0.046,44.499,996.638,-3.359,-0.05,-0.05,0.09,97.29,7.785,8.17,7.806,7.806
"65","2021/06/10","08:06:52",NA,26.619,0.028,0.046,44.338,996.638,-3.36,-0.05,-0.05,0.09,97.31,7.786,8.19,7.807,7.807
