"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","09:40:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/06/24","09:40:10",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/06/24","09:40:10",-0.4979,NA,NA,52.785,NA,NA,NA,0.33,0.33,NA,NA,NA,NA,NA,NA
"4","2021/06/24","09:40:10",NA,NA,NA,52.777,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"5","2021/06/24","09:40:10",NA,NA,NA,NA,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"6","2021/06/24","09:40:10",NA,NA,34.028,NA,51645.054,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"7","2021/06/24","09:40:10",NA,NA,34.015,NA,51625.601,1022.288,22.29,0.35,0.35,NA,NA,NA,NA,NA,NA
"8","2021/06/24","09:40:10",NA,26.003,NA,NA,NA,1022.282,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"9","2021/06/24","09:40:10",NA,26.004,NA,NA,NA,NA,NA,0.36,0.36,NA,NA,NA,NA,NA,NA
"10","2021/06/24","09:40:11",NA,26.005,NA,NA,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"11","2021/06/24","09:40:11",NA,26.005,NA,NA,NA,1022.282,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"12","2021/06/24","09:40:11",NA,26.004,34.016,NA,51626.346,1022.287,22.289,0.38,0.38,1.72,NA,NA,NA,NA,NA
"13","2021/06/24","09:40:11",NA,26.004,34.017,NA,51628.162,1022.288,22.29,0.38,0.38,1.61,NA,NA,NA,NA,NA
"14","2021/06/24","09:40:11",-0.4979,26.006,34.017,NA,51628.416,1022.288,22.29,0.37,0.37,1.56,NA,NA,NA,NA,NA
"15","2021/06/24","09:40:11",-0.4979,26.007,34.017,NA,51628.177,1022.288,22.29,0.37,0.37,1.69,NA,NA,NA,NA,NA
"16","2021/06/24","09:40:11",-0.4979,26.005,34.022,52.777,51635.429,1022.292,22.294,0.38,0.38,1.54,NA,NA,NA,NA,NA
"17","2021/06/24","09:40:11",-0.4979,26.004,34.023,52.778,51636.524,1022.293,22.295,0.34,0.34,1.48,NA,NA,NA,NA,NA
"18","2021/06/24","09:40:11",-0.4979,26.005,34.024,52.78,51637.731,1022.293,22.296,0.34,0.34,1.48,NA,NA,NA,NA,NA
"19","2021/06/24","09:40:11",-0.4979,26.005,34.027,52.783,51641.155,1022.295,22.298,0.34,0.34,1.46,NA,NA,NA,NA,NA
"20","2021/06/24","09:40:12",-0.4979,26.006,34.025,52.782,51638.964,1022.294,22.296,0.34,0.34,1.39,NA,NA,NA,NA,NA
"21","2021/06/24","09:40:12",-0.4979,26.006,34.025,52.782,51639.196,1022.294,22.296,0.34,0.34,1.49,NA,NA,8,NA,NA
"22","2021/06/24","09:40:12",NA,26.007,34.026,52.784,51640.853,1022.295,22.297,0.35,0.35,1.48,NA,NA,8.01,NA,NA
"23","2021/06/24","09:40:12",NA,26.007,34.027,52.785,51640.937,1022.295,22.297,0.35,0.35,1.44,NA,NA,8,NA,NA
"24","2021/06/24","09:40:12",-0.4979,26.007,34.026,52.785,51640.521,1022.294,22.297,0.35,0.35,1.39,NA,NA,8.01,NA,NA
"25","2021/06/24","09:40:12",NA,26.009,34.027,52.787,51641.198,1022.294,22.297,0.36,0.36,1.44,NA,NA,8,NA,NA
"26","2021/06/24","09:40:12",NA,26.008,34.025,52.785,51638.868,1022.293,22.295,0.35,0.35,1.45,NA,NA,8,NA,NA
"27","2021/06/24","09:40:12",-0.4979,26.009,34.026,52.786,51639.714,1022.294,22.296,0.35,0.35,1.42,NA,NA,8.01,NA,NA
"28","2021/06/24","09:40:12",NA,26.009,34.026,52.787,51640.54,1022.294,22.296,0.35,0.35,1.42,94.57,6.312,8.01,6.33,6.331
"29","2021/06/24","09:40:12",-0.4979,26.009,34.024,52.784,51637.169,1022.292,22.294,0.38,0.38,1.44,94.51,6.308,8,6.326,6.327
"30","2021/06/24","09:40:13",-0.4979,26.01,34.024,52.784,51637.395,1022.292,22.294,0.36,0.36,1.51,94.47,6.305,8.01,6.323,6.324
"31","2021/06/24","09:40:13",-0.4979,26.009,34.024,52.784,51637.788,1022.292,22.295,0.35,0.35,1.45,94.45,6.304,8.01,6.322,6.323
"32","2021/06/24","09:40:13",-0.4979,26.009,34.024,52.783,51636.635,1022.292,22.294,0.34,0.34,1.44,94.53,6.31,8.01,6.328,6.329
"33","2021/06/24","09:40:13",-0.4979,26.01,34.023,52.784,51636.286,1022.291,22.293,0.34,0.34,1.45,94.47,6.305,8.02,6.323,6.324
"34","2021/06/24","09:40:13",-0.4979,26.01,34.023,52.783,51635.149,1022.291,22.293,NA,NA,1.32,94.37,6.299,8.02,6.317,6.318
"35","2021/06/24","09:40:13",-0.4979,26.01,34.022,52.782,51634.439,1022.29,22.293,NA,NA,1.24,94.38,6.299,8.01,6.317,6.318
"36","2021/06/24","09:40:13",-0.4979,26.01,34.021,52.781,51633.7,1022.29,22.292,0.31,0.31,1.22,94.35,6.298,8.03,6.315,6.316
"37","2021/06/24","09:40:13",NA,26.01,34.022,52.782,51634.929,1022.291,22.293,0.3,0.3,1.25,94.34,6.297,8.02,6.315,6.316
"38","2021/06/24","09:40:13",NA,26.01,34.024,52.784,51636.526,1022.292,22.294,0.29,0.29,1.25,94.32,6.296,8.02,6.313,6.314
"39","2021/06/24","09:40:13",-0.4979,26.01,34.027,NA,51640.812,1022.294,22.296,0.34,0.34,1.28,94.3,6.294,8.04,6.312,6.313
"40","2021/06/24","09:40:14",-0.4979,26.01,34.027,NA,51641.045,1022.294,22.296,0.31,0.31,1.48,94.21,6.288,8.03,6.305,6.307
"41","2021/06/24","09:40:14",-0.4979,26.01,34.026,52.787,51639.634,1022.293,22.295,0.32,0.32,1.51,94.25,6.291,8.02,6.308,6.309
"42","2021/06/24","09:40:14",-0.4979,26.01,34.024,52.785,51636.735,1022.292,22.294,0.34,0.34,1.35,94.35,6.297,8.03,6.315,6.316
"43","2021/06/24","09:40:14",NA,26.011,34.026,NA,51639.774,1022.293,22.295,0.34,0.34,1.32,94.27,6.293,8.04,6.31,6.311
"44","2021/06/24","09:40:14",NA,26.011,34.025,NA,51638.845,1022.292,22.295,0.33,0.33,1.35,94.33,6.297,8.04,6.314,6.315
