"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/24","08:17:36",-0.5176,25.73,27.071,42.793,42116.482,1017.143,17.146,NA,NA,0.84,NA,NA,NA,NA,NA
"2","2021/06/24","08:17:36",-0.5176,25.731,27.068,42.789,42111.655,1017.14,17.143,NA,NA,0.8,NA,NA,NA,NA,NA
"3","2021/06/24","08:17:36",-0.5176,25.732,27.068,42.789,42111.288,1017.14,17.142,0.35,0.35,0.75,NA,NA,NA,NA,NA
"4","2021/06/24","08:17:36",-0.5176,25.735,27.067,42.79,42109.478,1017.138,17.141,0.34,0.34,0.68,NA,NA,NA,NA,NA
"5","2021/06/24","08:17:36",-0.5176,25.738,27.062,42.786,42101.886,1017.133,17.136,0.34,0.34,0.68,NA,NA,NA,NA,NA
"6","2021/06/24","08:17:36",NA,25.737,27.057,NA,42095.684,1017.13,17.133,0.35,0.35,0.67,NA,NA,NA,NA,NA
"7","2021/06/24","08:17:36",-0.5176,25.73,27.063,NA,42105.206,1017.137,17.139,0.34,0.34,0.67,NA,NA,NA,NA,NA
"8","2021/06/24","08:17:36",-0.5176,25.711,27.076,NA,42124.142,1017.152,17.154,0.34,0.34,0.85,NA,NA,NA,NA,NA
"9","2021/06/24","08:17:36",-0.5176,25.686,27.101,42.798,42161.841,1017.179,17.181,0.34,0.34,0.75,NA,NA,NA,NA,NA
"10","2021/06/24","08:17:37",NA,NA,27.109,42.797,42174.002,1017.189,17.191,0.32,0.32,0.65,NA,NA,NA,NA,NA
"11","2021/06/24","08:17:37",NA,NA,27.106,42.796,42169.638,1017.186,17.188,0.33,0.33,0.65,NA,NA,NA,NA,NA
"12","2021/06/24","08:17:37",NA,NA,27.105,42.799,42168.288,1017.184,17.186,0.33,0.33,0.65,NA,NA,NA,NA,NA
"13","2021/06/24","08:17:37",NA,NA,27.105,42.798,42168.138,1017.184,17.186,0.34,0.34,0.64,NA,NA,NA,NA,NA
"14","2021/06/24","08:17:37",NA,NA,27.112,42.807,42177.752,1017.189,17.192,0.32,0.32,0.65,NA,NA,NA,NA,NA
"15","2021/06/24","08:17:37",-0.5176,25.683,27.096,42.788,42154.494,1017.176,17.178,0.32,0.32,0.65,NA,NA,NA,NA,NA
"16","2021/06/24","08:17:37",NA,25.693,27.095,42.794,42152.264,1017.172,17.174,0.32,0.32,0.65,NA,NA,NA,NA,NA
"17","2021/06/24","08:17:37",-0.5176,25.699,27.099,42.806,42157.172,1017.173,17.175,0.33,0.33,0.65,NA,NA,NA,NA,NA
"18","2021/06/24","08:17:37",NA,25.702,27.089,42.795,42143.916,1017.165,17.167,0.34,0.34,0.64,NA,NA,NA,NA,NA
"19","2021/06/24","08:17:37",-0.5176,25.71,27.088,42.799,42141.44,1017.162,17.164,0.34,0.34,0.77,NA,NA,NA,NA,NA
"20","2021/06/24","08:17:38",NA,25.709,27.086,42.797,42139.201,1017.161,17.163,0.34,0.34,0.78,NA,NA,NA,NA,NA
"21","2021/06/24","08:17:38",-0.5176,25.708,27.088,42.798,42141.247,1017.162,17.164,NA,NA,0.64,NA,NA,NA,NA,NA
"22","2021/06/24","08:17:38",NA,25.701,27.094,42.8,42149.925,1017.169,17.171,0.33,0.33,0.63,NA,NA,NA,NA,NA
"23","2021/06/24","08:17:38",-0.5176,25.698,27.1,42.806,42158.991,1017.174,17.177,0.33,0.33,0.6,NA,NA,NA,NA,NA
"24","2021/06/24","08:17:38",NA,25.699,27.104,42.813,42165.29,1017.177,17.18,0.33,0.33,0.6,NA,NA,NA,NA,NA
"25","2021/06/24","08:17:38",NA,25.707,27.1,42.815,42158.861,1017.172,17.174,0.33,0.33,0.6,NA,NA,NA,NA,NA
"26","2021/06/24","08:17:38",NA,25.72,27.093,42.816,42147.82,1017.162,17.165,0.32,0.32,0.61,NA,NA,NA,NA,NA
"27","2021/06/24","08:17:38",NA,25.727,27.094,42.823,42148.431,1017.161,17.163,0.32,0.32,0.6,NA,NA,NA,NA,NA
"28","2021/06/24","08:17:38",NA,25.73,27.1,42.834,42156.1,1017.164,17.167,0.33,0.33,0.58,NA,NA,NA,NA,NA
"29","2021/06/24","08:17:38",NA,25.727,27.105,NA,42163.621,1017.169,17.172,0.34,0.34,0.57,NA,NA,NA,NA,NA
"30","2021/06/24","08:17:39",NA,25.727,27.101,42.832,42158.022,1017.166,17.169,0.35,0.35,0.6,NA,NA,NA,NA,NA
"31","2021/06/24","08:17:39",NA,25.731,27.102,NA,42158.521,1017.166,17.168,0.34,0.34,0.64,NA,NA,NA,NA,NA
"32","2021/06/24","08:17:39",-0.5176,25.735,27.101,NA,42157.633,1017.164,17.167,0.33,0.33,0.8,NA,NA,8.04,NA,NA
"33","2021/06/24","08:17:39",NA,25.74,27.097,NA,42150.907,1017.159,17.162,NA,NA,0.78,NA,NA,NA,NA,NA
"34","2021/06/24","08:17:39",NA,25.742,27.091,42.831,42143.074,1017.154,17.157,0.32,0.32,0.71,NA,NA,NA,NA,NA
"35","2021/06/24","08:17:39",NA,25.737,27.095,42.833,42149.216,1017.159,17.161,0.34,0.34,0.71,NA,NA,NA,NA,NA
"36","2021/06/24","08:17:39",NA,25.73,27.103,NA,42161.241,1017.167,17.17,NA,NA,0.7,NA,NA,8.04,NA,NA
