"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/08","09:43:25",-0.439,NA,32.306,53.661,49012.885,NA,NA,0.54,0.54,10,NA,NA,NA,NA,NA
"2","2021/07/08","09:43:25",-0.439,29.326,32.289,53.652,48989.459,1019.92,19.922,0.52,0.52,9.57,NA,NA,NA,NA,NA
"3","2021/07/08","09:43:25",-0.439,29.335,32.286,53.657,48984.998,1019.915,19.917,0.52,0.52,9.46,NA,NA,NA,NA,NA
"4","2021/07/08","09:43:25",NA,29.339,32.282,53.655,48979.349,1019.911,19.912,0.52,0.52,8.94,NA,NA,NA,NA,NA
"5","2021/07/08","09:43:25",NA,29.342,32.275,53.647,48969.37,1019.904,19.906,0.54,0.54,9.29,NA,NA,NA,NA,NA
"6","2021/07/08","09:43:25",NA,29.337,32.283,53.653,48979.879,1019.912,19.913,0.53,0.53,9.37,NA,NA,NA,NA,NA
"7","2021/07/08","09:43:25",-0.439,29.331,32.29,53.658,48989.589,1019.919,19.92,0.51,0.51,9.23,NA,NA,NA,NA,NA
"8","2021/07/08","09:43:25",-0.439,29.333,32.294,53.666,48995.266,1019.921,19.923,0.51,0.51,9.41,NA,NA,NA,NA,NA
"9","2021/07/08","09:43:25",-0.439,29.335,32.292,53.666,48993.208,1019.919,19.921,0.51,0.51,9.94,NA,NA,NA,NA,NA
"10","2021/07/08","09:43:26",-0.439,29.34,32.29,53.667,48989.454,1019.916,19.918,0.51,0.51,10.15,NA,NA,NA,NA,5.775
"11","2021/07/08","09:43:26",NA,29.341,32.286,53.661,48983.392,1019.912,19.914,0.51,0.51,9.89,89.9,5.733,NA,5.749,5.75
"12","2021/07/08","09:43:26",-0.439,29.342,32.282,53.658,48979.067,1019.91,19.911,0.48,0.48,10,89.51,5.708,NA,5.724,5.725
"13","2021/07/08","09:43:26",NA,29.349,32.28,53.661,48975.112,1019.905,19.907,0.51,0.51,9.53,89.18,5.687,NA,5.703,5.704
"14","2021/07/08","09:43:26",-0.439,29.347,32.282,53.662,48978.312,1019.908,19.91,0.51,0.51,9.92,89.03,5.678,NA,5.694,5.694
"15","2021/07/08","09:43:26",-0.439,29.344,32.285,53.664,48982.649,1019.911,19.913,0.51,0.51,10.12,88.76,5.66,NA,5.676,5.676
"16","2021/07/08","09:43:26",-0.439,29.342,32.287,53.664,48984.745,1019.913,19.915,0.49,0.49,9.74,88.55,5.646,NA,5.662,5.663
"17","2021/07/08","09:43:26",-0.439,29.342,32.289,53.668,48988.476,1019.915,19.917,0.5,0.5,10.15,88.52,5.644,NA,5.66,5.66
"18","2021/07/08","09:43:26",-0.439,29.342,32.29,53.669,48989.049,1019.915,19.917,0.53,0.53,11.03,88.37,5.634,NA,5.65,5.651
"19","2021/07/08","09:43:26",-0.439,29.343,32.288,53.667,48986.586,1019.914,19.915,0.54,0.54,10.69,88.23,5.625,NA,5.641,5.642
"20","2021/07/08","09:43:27",-0.439,29.342,32.289,53.667,48987.768,1019.914,19.916,0.54,0.54,9.89,88.1,5.617,NA,5.633,5.633
"21","2021/07/08","09:43:27",-0.439,29.341,32.29,53.668,48989.944,1019.916,19.918,0.58,0.58,10.22,88,5.611,NA,5.626,5.627
"22","2021/07/08","09:43:27",-0.439,29.337,32.298,53.676,49000.014,1019.923,19.924,0.55,0.55,9.87,87.8,5.597,NA,5.613,5.614
"23","2021/07/08","09:43:27",NA,29.33,32.304,53.678,49008.692,1019.929,19.931,0.57,0.57,10.79,87.64,5.587,NA,5.603,5.603
"24","2021/07/08","09:43:27",-0.439,29.323,32.305,53.673,49011.482,1019.933,19.935,0.57,0.57,10.07,87.55,5.581,NA,5.597,5.597
"25","2021/07/08","09:43:27",NA,29.322,32.311,53.68,49019.714,NA,NA,0.58,0.58,10.12,87.45,5.574,NA,5.59,5.591
"26","2021/07/08","09:43:27",-0.439,29.324,32.31,53.68,49017.612,1019.936,19.938,0.55,0.55,11.79,87.48,5.577,NA,5.592,5.593
"27","2021/07/08","09:43:27",NA,29.324,32.31,53.681,49017.963,1019.936,19.938,0.6,0.6,12.02,87.36,5.57,NA,5.585,5.586
"28","2021/07/08","09:43:27",-0.439,29.325,32.311,53.683,49018.574,1019.936,19.938,0.55,0.55,12.2,87.23,5.562,7.88,5.577,5.578
"29","2021/07/08","09:43:27",-0.439,29.326,32.307,53.677,49012.986,1019.933,19.935,0.57,0.57,12.28,87.24,5.562,7.89,5.578,5.578
"30","2021/07/08","09:43:28",-0.439,29.33,32.302,53.675,49006.834,1019.928,19.93,0.54,0.54,11.22,87.35,5.569,7.89,5.585,5.585
"31","2021/07/08","09:43:28",-0.439,29.34,32.304,53.688,49008.867,1019.927,19.929,0.6,0.6,11.44,87.21,5.56,NA,5.575,5.576
"32","2021/07/08","09:43:28",-0.439,29.351,32.299,53.691,49000.978,1019.919,19.921,0.56,0.56,10.6,87.05,5.55,7.88,5.565,5.566
"33","2021/07/08","09:43:28",NA,29.355,32.274,53.658,48966.572,1019.899,19.901,0.56,0.56,10.33,87.06,5.551,7.88,5.567,5.567
"34","2021/07/08","09:43:28",-0.439,29.355,32.273,53.656,48965.011,1019.898,19.9,0.56,0.56,9.82,86.97,5.546,7.89,5.561,5.562
"35","2021/07/08","09:43:28",-0.439,29.361,32.258,53.641,48944.789,1019.885,19.887,0.59,0.59,8.96,86.84,5.537,7.88,5.553,5.553
"36","2021/07/08","09:43:28",-0.439,29.363,NA,53.629,NA,NA,NA,0.57,0.57,8.67,86.74,5.531,7.9,5.546,5.547
"37","2021/07/08","09:43:28",-0.439,29.357,32.259,53.638,48946.261,1019.887,19.889,0.6,0.6,8.99,86.73,5.529,7.9,5.545,5.546
"38","2021/07/08","09:43:28",NA,29.349,32.272,53.65,48965.092,1019.9,19.902,0.59,0.59,9.16,86.72,5.528,7.9,5.544,5.544
"39","2021/07/08","09:43:28",-0.439,29.344,32.279,53.655,48975.045,1019.907,19.909,0.6,0.6,9.03,86.6,5.52,7.89,5.535,5.536
"40","2021/07/08","09:43:29",-0.439,29.342,32.283,53.658,48979.727,1019.91,19.912,0.59,0.59,9.97,86.6,5.52,7.9,5.536,5.537
"41","2021/07/08","09:43:29",-0.439,29.341,32.282,53.656,48978.016,1019.909,19.911,0.57,0.57,11.12,86.62,5.523,7.9,5.538,5.539
"42","2021/07/08","09:43:29",-0.439,29.34,32.281,53.653,48976.961,1019.909,19.911,0.54,0.54,10.09,86.51,5.515,7.92,5.531,5.531
"43","2021/07/08","09:43:29",-0.439,29.34,32.276,53.646,48969.968,1019.905,19.907,0.55,0.55,9.41,86.5,5.515,7.89,5.53,5.531
"44","2021/07/08","09:43:29",-0.439,29.341,32.276,53.647,48970.387,1019.905,19.907,0.57,0.57,9.99,86.37,5.507,7.92,5.522,5.523
"45","2021/07/08","09:43:29",-0.439,29.341,32.28,53.654,48976.36,1019.908,19.91,0.57,0.57,9.96,86.27,5.5,7.89,5.515,5.516
"46","2021/07/08","09:43:29",-0.439,29.347,32.271,53.646,48963.791,1019.9,19.902,0.6,0.6,9.16,86.3,5.501,7.91,5.517,5.518
"47","2021/07/08","09:43:29",-0.439,29.359,32.258,53.638,48944.589,1019.885,19.887,0.57,0.57,8.76,86.35,5.505,7.89,5.521,5.522
"48","2021/07/08","09:43:29",-0.439,29.366,32.256,53.643,48941.975,NA,NA,0.54,0.54,8.81,86.37,5.507,7.91,5.523,5.523
