"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.97,7.566,NA,7.588,7.588
"2","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.83,7.555,NA,7.576,7.576
"3","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.98,7.566,NA,7.587,7.587
"4","2021/07/08","08:11:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.01,7.568,NA,7.589,7.59
"5","2021/07/08","08:11:43",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.96,7.566,NA,7.587,7.587
"6","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.02,7.571,NA,7.592,7.592
"7","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.07,7.575,NA,7.597,7.597
"8","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.05,7.574,NA,7.595,7.596
"9","2021/07/08","08:11:43",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.06,7.574,NA,7.595,7.596
"10","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.95,7.565,NA,7.587,7.587
"11","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.82,7.555,NA,7.576,7.576
"12","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.88,7.56,NA,7.581,7.581
"13","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.92,7.564,NA,7.585,7.585
"14","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.93,7.566,NA,7.587,7.587
"15","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.07,7.577,NA,7.599,7.599
"16","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1,7.58,NA,7.601,7.601
"17","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.05,7.575,NA,7.597,7.597
"18","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.99,7.571,NA,7.593,7.593
"19","2021/07/08","08:11:44",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.99,7.572,NA,7.594,7.594
"20","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.04,7.576,NA,7.597,7.598
"21","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.01,7.573,NA,7.594,7.595
"22","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.82,7.559,NA,7.58,7.581
"23","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.81,7.558,7.89,7.58,7.58
"24","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.88,7.565,NA,7.586,7.586
"25","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.91,7.568,NA,7.589,7.589
"26","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.92,7.569,7.89,7.59,7.59
"27","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.99,7.574,7.89,7.595,7.595
"28","2021/07/08","08:11:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.04,7.578,7.89,7.6,7.6
"29","2021/07/08","08:11:45",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.95,7.571,7.89,7.592,7.592
"30","2021/07/08","08:11:46",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.66,7.549,NA,7.57,7.57
"31","2021/07/08","08:11:46",-0.4783,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.54,7.552,7.9,7.573,7.573
"32","2021/07/08","08:11:46",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.94,7.288,7.9,7.309,7.309
"33","2021/07/08","08:11:46",-0.4783,NA,NA,NA,NA,1005.517,5.519,0.51,0.51,NA,99.19,7.284,7.91,7.306,7.305
"34","2021/07/08","08:11:46",-0.4783,NA,11.82,NA,19775.698,NA,NA,0.54,0.54,NA,99.99,7.363,7.9,7.385,7.385
"35","2021/07/08","08:11:46",-0.4783,NA,11.834,NA,19801.378,NA,NA,0.57,0.57,NA,100.41,7.398,NA,7.419,7.419
"36","2021/07/08","08:11:46",-0.4783,NA,11.837,20.684,19808.019,NA,NA,0.57,0.57,NA,100.64,7.416,7.9,7.438,7.438
"37","2021/07/08","08:11:46",-0.4783,NA,11.84,20.644,19817.39,1005.397,5.399,0.57,0.57,NA,100.78,7.429,7.91,7.451,7.451
"38","2021/07/08","08:11:46",-0.4783,26.765,11.844,20.598,19828.07,1005.438,5.44,0.56,0.56,NA,100.94,7.443,7.92,7.465,7.464
"39","2021/07/08","08:11:46",-0.4783,26.649,11.865,20.584,19863.202,1005.486,5.488,0.55,0.55,NA,100.95,7.446,7.9,7.468,7.467
"40","2021/07/08","08:11:47",-0.4783,26.561,11.869,20.554,19871.863,1005.514,5.517,0.55,0.55,NA,100.98,7.452,7.91,7.474,7.474
"41","2021/07/08","08:11:47",-0.4979,26.493,11.868,20.526,19873.613,1005.534,5.536,0.54,0.54,NA,100.73,7.438,7.92,7.46,7.46
"42","2021/07/08","08:11:47",-0.4783,26.442,11.896,20.549,19917.642,1005.569,5.571,0.55,0.55,NA,100.79,7.448,7.92,7.47,7.469
"43","2021/07/08","08:11:47",-0.4979,26.406,11.873,20.499,19884.052,1005.562,5.564,0.56,0.56,NA,100.86,7.461,7.91,7.483,7.482
"44","2021/07/08","08:11:47",-0.4979,26.379,11.881,20.501,19896.935,1005.576,5.578,0.54,0.54,NA,100.85,7.466,7.91,7.488,7.487
"45","2021/07/08","08:11:47",-0.4979,26.36,11.888,20.505,19909.135,1005.587,5.589,0.55,0.55,NA,100.82,7.469,7.92,7.491,7.491
"46","2021/07/08","08:11:47",-0.4783,26.344,11.896,20.511,19922.038,1005.597,5.599,0.55,0.55,NA,100.85,7.48,7.92,7.502,7.501
"47","2021/07/08","08:11:47",-0.4979,NA,11.908,20.524,19939.894,1005.609,5.611,0.57,0.57,NA,100.62,7.47,7.92,7.492,7.491
"48","2021/07/08","08:11:47",-0.4783,NA,11.911,20.526,19945.856,1005.615,5.617,0.54,0.54,2.02,100.57,7.472,7.92,7.494,7.494
"49","2021/07/08","08:11:47",-0.4783,NA,11.914,20.528,19949.274,1005.618,5.62,0.55,0.55,2.01,100.51,7.472,7.92,7.494,7.494
"50","2021/07/08","08:11:48",-0.4783,NA,11.918,20.533,19956.622,1005.623,5.625,0.56,0.56,2.01,100.34,7.462,NA,7.483,7.483
