"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/07/28","11:57:29",-0.6157,28.04,32.734,53.019,49695.81,1020.676,20.679,0.15,0.15,1.72,NA,NA,NA,NA,NA
"2","2021/07/28","11:57:29",-0.6157,28.042,32.746,53.039,49712.334,1020.685,20.687,0.17,0.17,1.72,NA,NA,NA,NA,NA
"3","2021/07/28","11:57:29",-0.6157,28.039,32.754,53.046,49722.518,1020.691,20.694,0.16,0.16,1.66,NA,NA,NA,NA,NA
"4","2021/07/28","11:57:29",-0.6157,28.052,32.722,53.014,49678.724,1020.663,20.666,0.17,0.17,1.68,NA,NA,NA,NA,NA
"5","2021/07/28","11:57:29",-0.6157,28.078,32.683,52.984,49623.484,1020.625,20.628,0.17,0.17,1.68,NA,NA,NA,NA,NA
"6","2021/07/28","11:57:29",NA,28.063,32.684,52.97,49626.003,1020.631,20.634,0.16,0.16,1.51,NA,NA,NA,NA,NA
"7","2021/07/28","11:57:29",NA,28.05,32.679,52.95,49620.832,1020.632,20.634,0.17,0.17,1.48,NA,NA,NA,NA,NA
"8","2021/07/28","11:57:29",NA,28.022,32.715,52.973,49671.203,1020.667,20.67,0.17,0.17,1.44,NA,NA,NA,NA,NA
"9","2021/07/28","11:57:29",-0.6157,28.007,32.723,52.97,49683.661,1020.679,20.681,0.15,0.15,1.52,NA,NA,NA,NA,NA
"10","2021/07/28","11:57:30",NA,28.005,32.728,52.976,49690.503,1020.683,20.685,0.15,0.15,1.59,87.18,5.66,NA,5.676,5.677
"11","2021/07/28","11:57:30",-0.6157,27.999,32.734,52.978,49699.75,1020.69,20.692,0.16,0.16,1.59,87.06,5.653,NA,5.669,5.67
"12","2021/07/28","11:57:30",-0.6157,27.996,32.732,52.972,49696.96,1020.689,20.692,NA,NA,1.59,86.93,5.645,NA,5.661,5.662
"13","2021/07/28","11:57:30",-0.6157,27.988,32.734,52.968,49700.513,1020.693,20.696,0.16,0.16,1.58,86.93,5.645,NA,5.661,5.662
"14","2021/07/28","11:57:30",-0.6157,27.978,32.748,52.978,49720.553,1020.707,20.71,0.16,0.16,1.58,86.8,5.636,NA,5.652,5.653
"15","2021/07/28","11:57:30",-0.6157,27.971,32.754,52.98,49729.361,1020.714,20.716,0.15,0.15,1.64,86.76,5.633,NA,5.649,5.65
"16","2021/07/28","11:57:30",-0.6157,27.99,32.743,52.982,49712.757,1020.699,20.702,0.15,0.15,1.66,86.68,5.627,NA,5.643,5.644
"17","2021/07/28","11:57:30",-0.6157,28.027,32.719,52.985,49676.531,1020.669,20.672,0.15,0.15,1.81,86.58,5.62,NA,5.636,5.637
"18","2021/07/28","11:57:30",-0.6157,28.041,32.713,52.99,49667.764,1020.66,20.663,0.15,0.15,NA,86.65,5.624,NA,5.64,5.641
"19","2021/07/28","11:57:30",-0.6157,28.038,32.718,52.995,49674.877,1020.665,20.668,0.16,0.16,2.28,86.6,5.62,NA,5.636,5.637
"20","2021/07/28","11:57:31",-0.6157,28.034,32.726,53.003,49686.042,1020.672,20.675,NA,NA,2.02,86.62,5.621,NA,5.637,5.638
