"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","10:39:17",-0.6746,30.391,30.387,51.831,46335.209,1018.137,18.14,0.42,0.42,3.63,NA,NA,NA,NA,NA
"2","2021/08/06","10:39:17",-0.6746,30.391,30.387,51.831,46334.898,1018.137,18.14,0.39,0.39,3.76,NA,NA,NA,NA,NA
"3","2021/08/06","10:39:17",-0.6746,30.391,30.39,51.835,46339.41,1018.14,18.143,0.38,0.38,3.74,92.18,NA,NA,NA,NA
"4","2021/08/06","10:39:17",-0.6746,30.388,30.394,51.839,46345.274,1018.144,18.147,0.39,0.39,3.66,92.19,NA,NA,NA,NA
"5","2021/08/06","10:39:17",-0.6746,30.387,30.397,51.841,46348.535,1018.146,18.149,0.41,0.41,3.69,92.12,5.84,NA,5.856,5.857
"6","2021/08/06","10:39:17",-0.6942,30.385,30.398,51.842,46350.641,1018.148,18.151,0.39,0.39,3.57,91.97,5.83,NA,5.846,5.847
"7","2021/08/06","10:39:17",-0.6746,30.382,30.393,51.832,46343.975,1018.145,18.148,0.38,0.38,3.49,91.97,5.831,NA,5.847,5.847
"8","2021/08/06","10:39:17",-0.6746,30.383,30.408,51.856,46364.815,1018.156,18.159,0.4,0.4,3.66,91.94,5.828,NA,5.844,5.845
"9","2021/08/06","10:39:17",-0.6746,30.389,30.396,51.842,46347.311,1018.145,18.148,0.38,0.38,3.69,92.03,5.835,NA,5.851,5.851
"10","2021/08/06","10:39:18",-0.6942,30.393,30.402,51.855,46355.155,1018.148,18.151,0.39,0.39,3.86,92.06,5.836,NA,5.852,5.853
"11","2021/08/06","10:39:18",-0.6942,30.397,30.386,51.835,46333.59,1018.135,18.138,0.4,0.4,3.59,92.02,5.834,NA,5.85,5.85
"12","2021/08/06","10:39:18",-0.6746,30.402,30.386,51.84,46333.244,1018.133,18.136,0.39,0.39,3.56,91.98,5.832,NA,5.848,5.848
"13","2021/08/06","10:39:18",-0.6746,30.401,30.384,51.836,46330.795,1018.132,18.135,0.4,0.4,3.59,91.94,5.828,NA,5.844,5.845
"14","2021/08/06","10:39:18",-0.6942,30.399,30.392,51.845,46341.279,1018.138,18.141,0.4,0.4,3.83,91.92,5.827,NA,5.843,5.843
"15","2021/08/06","10:39:18",-0.6746,30.394,30.394,51.844,46344.447,1018.142,18.144,0.4,0.4,3.83,91.97,5.829,NA,5.845,5.846
"16","2021/08/06","10:39:18",-0.6746,30.394,30.396,51.847,46347.09,1018.143,18.146,0.38,0.38,3.64,91.9,5.824,NA,5.84,5.841
"17","2021/08/06","10:39:18",-0.6746,30.398,30.396,51.851,46347.514,1018.142,18.145,0.41,0.41,3.76,91.93,5.825,NA,5.841,5.841
"18","2021/08/06","10:39:18",-0.6746,30.405,30.394,51.855,46343.89,1018.138,18.141,0.4,0.4,3.61,91.91,5.823,NA,5.839,5.84
"19","2021/08/06","10:39:18",-0.6942,30.41,30.391,51.855,46339.875,1018.134,18.137,0.39,0.39,3.52,91.88,5.821,NA,5.837,5.837
"20","2021/08/06","10:39:19",-0.6746,30.413,30.391,51.858,46339.892,1018.133,18.136,0.39,0.39,3.49,91.88,5.82,NA,5.836,5.836
"21","2021/08/06","10:39:19",-0.6942,30.416,30.391,51.86,46338.822,1018.132,18.135,0.41,0.41,3.54,91.85,5.818,NA,5.834,5.835
"22","2021/08/06","10:39:19",-0.6746,30.417,30.388,51.856,46334.656,1018.129,18.132,0.41,0.41,3.66,91.88,5.82,7.6,5.836,5.836
"23","2021/08/06","10:39:19",-0.6746,30.419,30.385,51.854,46330.632,1018.126,18.129,0.4,0.4,NA,91.96,5.825,NA,5.841,5.841
"24","2021/08/06","10:39:19",-0.6746,30.419,30.386,51.855,46331.481,1018.127,18.13,0.38,0.38,3.9,91.93,5.823,7.59,5.839,5.84
"25","2021/08/06","10:39:19",-0.6746,30.419,30.387,51.857,46333.152,1018.128,18.131,0.4,0.4,3.54,91.94,5.823,7.6,5.839,5.84
"26","2021/08/06","10:39:19",-0.6942,30.419,30.386,51.855,46331.331,1018.127,18.13,0.39,0.39,3.53,91.9,5.82,7.6,5.836,5.837
"27","2021/08/06","10:39:19",-0.6746,30.419,30.382,51.849,46326.265,1018.124,18.127,0.4,0.4,3.69,91.84,5.817,7.6,5.833,5.833
"28","2021/08/06","10:39:19",-0.6746,30.421,30.372,51.836,46313.051,1018.116,18.119,0.4,0.4,3.59,91.91,5.82,7.6,5.837,5.837
"29","2021/08/06","10:39:19",-0.6746,30.422,30.372,51.837,46312.481,1018.115,18.118,0.38,0.38,3.53,91.91,5.821,7.6,5.837,5.838
"30","2021/08/06","10:39:20",-0.6746,30.41,30.383,51.842,46328.395,1018.128,18.131,0.41,0.41,3.76,91.95,5.824,7.6,5.84,5.841
"31","2021/08/06","10:39:20",-0.6746,30.404,30.384,51.84,46330.854,1018.131,18.134,0.4,0.4,3.66,91.99,5.827,7.59,5.844,5.844
"32","2021/08/06","10:39:20",-0.6746,30.408,30.386,51.845,46332.262,1018.131,18.133,0.4,0.4,3.57,91.98,5.827,7.6,5.843,5.843
"33","2021/08/06","10:39:20",-0.6746,30.418,30.382,51.849,46326.834,1018.125,18.127,0.41,0.41,3.5,91.94,5.826,7.61,5.842,5.842
"34","2021/08/06","10:39:20",-0.6746,30.419,30.385,51.854,46330.946,1018.127,18.129,0.4,0.4,3.5,91.93,5.826,7.6,5.842,5.842
"35","2021/08/06","10:39:20",-0.6746,30.412,30.391,51.856,46339.015,1018.133,18.136,0.39,0.39,3.57,91.98,5.829,7.62,5.846,5.846
"36","2021/08/06","10:39:20",-0.6746,30.407,30.393,51.855,46342.211,1018.136,18.139,0.39,0.39,3.73,92,5.832,7.61,5.848,5.848
"37","2021/08/06","10:39:20",-0.6746,30.404,30.391,51.849,46339.443,1018.136,18.139,0.39,0.39,3.71,92.03,5.833,7.62,5.849,5.85
"38","2021/08/06","10:39:20",-0.6746,30.408,30.386,51.845,46332.135,1018.131,18.133,0.38,0.38,3.63,92.01,5.832,7.61,5.848,5.848
