"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","13:13:55",-0.6157,29.936,33.08,55.439,50008.559,1020.306,20.309,0.1,0.1,0.91,NA,NA,NA,NA,NA
"2","2021/08/06","13:13:55",NA,29.946,33.072,55.438,49997.104,1020.297,20.299,0.1,0.1,0.94,NA,NA,NA,NA,NA
"3","2021/08/06","13:13:55",-0.6157,29.923,33.113,55.475,50054.267,1020.336,20.338,0.09,0.09,0.95,NA,NA,NA,NA,NA
"4","2021/08/06","13:13:55",-0.6157,29.91,33.128,55.485,50075.861,1020.351,20.354,0.08,0.08,0.94,NA,NA,NA,NA,NA
"5","2021/08/06","13:13:55",-0.6157,29.912,33.137,55.501,50088.062,1020.358,20.36,0.08,0.08,1,NA,NA,NA,NA,NA
"6","2021/08/06","13:13:55",-0.6157,29.937,33.104,55.476,50041.742,1020.325,20.327,0.08,0.08,0.95,NA,NA,NA,NA,NA
"7","2021/08/06","13:13:55",-0.6157,29.945,33.089,55.462,50020.17,1020.31,20.313,0.09,0.09,0.98,NA,NA,NA,NA,NA
"8","2021/08/06","13:13:55",NA,29.93,33.065,55.411,49989.658,1020.298,20.3,0.1,0.1,1,NA,NA,NA,NA,NA
"9","2021/08/06","13:13:55",NA,29.905,33.073,55.398,50002.157,1020.312,20.314,0.08,0.08,1.02,NA,NA,NA,NA,NA
"10","2021/08/06","13:13:56",-0.6157,29.901,33.08,55.403,50011.538,1020.318,20.321,0.09,0.09,1.07,NA,NA,NA,NA,NA
"11","2021/08/06","13:13:56",-0.6157,29.891,33.052,55.353,49975.24,1020.301,20.304,0.08,0.08,1.08,NA,NA,NA,NA,NA
"12","2021/08/06","13:13:56",-0.6157,29.9,33.03,55.329,49944.952,1020.282,20.284,0.08,0.08,0.91,NA,NA,NA,NA,NA
"13","2021/08/06","13:13:56",NA,29.961,32.991,55.332,49887.225,1020.231,20.234,0.08,0.08,0.98,NA,NA,NA,NA,NA
"14","2021/08/06","13:13:56",-0.6157,29.982,32.973,55.327,49861.372,1020.21,20.213,0.1,0.1,1.15,NA,NA,NA,NA,NA
