"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/08/06","13:07:04",NA,30.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/08/06","13:07:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.562,NA,6.58,6.579
"8","2021/08/06","13:07:04",NA,30.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.599,NA,6.617,6.617
"9","2021/08/06","13:07:04",NA,30.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/08/06","13:07:05",NA,30.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/08/06","13:07:05",NA,30.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/08/06","13:07:05",NA,30.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021/08/06","13:07:05",NA,30.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021/08/06","13:07:05",NA,30.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.607,NA,6.625,6.625
"15","2021/08/06","13:07:05",NA,30.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.623,NA,6.642,6.641
"16","2021/08/06","13:07:05",NA,30.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021/08/06","13:07:05",-0.6746,30.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021/08/06","13:07:05",-0.655,NA,32.737,54.992,49543.286,1020.028,20.031,0.15,0.15,NA,NA,NA,NA,NA,NA
"19","2021/08/06","13:07:05",-0.655,NA,32.793,55.014,49622.93,1020.091,20.094,0.16,0.16,NA,NA,NA,NA,NA,NA
