"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","07:36:15",-0.7531,26.043,7.663,13.597,13292.252,1002.517,2.52,0.72,0.72,1.39,NA,NA,NA,NA,NA
"2","2021/08/06","07:36:15",NA,26.037,7.665,13.598,13294.485,1002.52,2.523,NA,NA,1.38,NA,NA,NA,NA,NA
"3","2021/08/06","07:36:15",NA,26.035,7.669,13.604,13301.432,1002.524,2.527,0.71,0.71,1.42,NA,NA,NA,NA,NA
"4","2021/08/06","07:36:15",-0.7531,26.034,7.671,13.607,13303.803,1002.525,2.528,0.71,0.71,1.39,NA,NA,NA,NA,NA
"5","2021/08/06","07:36:15",NA,26.036,7.672,13.609,13306.296,1002.526,2.529,0.71,0.71,1.36,NA,NA,NA,NA,NA
"6","2021/08/06","07:36:15",NA,26.032,7.673,13.61,13307.527,1002.527,2.53,0.73,0.73,1.32,NA,NA,NA,NA,NA
"7","2021/08/06","07:36:15",NA,26.029,7.674,13.611,13309.325,1002.529,2.532,0.73,0.73,1.31,91.67,7.078,NA,7.098,7.098
"8","2021/08/06","07:36:15",NA,26.041,7.671,13.61,13304.905,1002.523,2.527,0.72,0.72,1.41,91.51,7.065,NA,7.085,7.085
"9","2021/08/06","07:36:15",NA,26.064,7.666,13.608,13296.623,1002.514,2.517,0.73,0.73,1.38,91.21,7.042,NA,7.062,7.061
"10","2021/08/06","07:36:16",-0.7531,26.068,7.666,13.607,13295.121,1002.512,2.515,0.73,0.73,1.36,90.96,7.024,NA,7.043,7.043
"11","2021/08/06","07:36:16",NA,26.062,7.659,13.594,13283.889,1002.508,2.511,0.72,0.72,1.35,90.77,7.013,NA,7.033,7.033
"12","2021/08/06","07:36:16",-0.7531,26.05,7.66,13.594,13287.238,1002.513,2.516,0.73,0.73,1.36,90.42,6.989,NA,7.008,7.008
"13","2021/08/06","07:36:16",-0.7531,26.047,7.659,13.591,13284.691,1002.512,2.516,0.73,0.73,1.34,90.24,6.975,NA,6.995,6.995
"14","2021/08/06","07:36:16",-0.7531,26.044,7.666,13.601,13295.791,1002.518,2.522,0.72,0.72,1.34,89.97,6.954,NA,6.974,6.974
"15","2021/08/06","07:36:16",-0.7531,26.065,7.667,13.61,13298.113,1002.514,2.517,0.73,0.73,1.34,89.71,6.934,NA,6.953,6.953
"16","2021/08/06","07:36:16",-0.7531,26.13,7.66,13.615,13284.796,1002.49,2.494,0.72,0.72,1.35,89.48,6.919,NA,6.938,6.938
"17","2021/08/06","07:36:16",-0.7531,26.159,7.654,13.613,13274.47,1002.478,2.481,0.72,0.72,1.35,89.25,6.902,7.6,6.921,6.921
"18","2021/08/06","07:36:16",-0.7531,26.149,7.659,13.618,13282.174,1002.484,2.487,0.72,0.72,1.36,88.93,6.875,NA,6.894,6.894
"19","2021/08/06","07:36:16",-0.7531,26.14,7.661,13.62,13286.904,1002.489,2.492,0.73,0.73,1.38,88.74,6.86,NA,6.879,6.879
