"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","12:16:42",-0.655,29.463,33.527,55.619,50645.896,1020.801,20.804,0.6,0.6,12.12,93.47,5.893,NA,5.909,5.91
"2","2021/08/06","12:16:42",-0.655,29.463,33.54,55.638,50663.436,1020.811,20.814,0.58,0.58,11.79,93.55,5.899,NA,5.915,5.916
"3","2021/08/06","12:16:42",-0.655,29.496,33.503,55.617,50610.559,1020.771,20.774,0.56,0.56,11.89,NA,5.888,NA,5.904,5.905
"4","2021/08/06","12:16:42",-0.655,29.521,33.509,55.652,50617.337,1020.768,20.771,0.57,0.57,12.08,93.49,5.896,NA,5.912,5.913
"5","2021/08/06","12:16:42",-0.655,29.525,33.46,55.584,50551.589,1020.73,20.733,0.6,0.6,11.87,93.55,5.901,NA,5.918,5.918
"6","2021/08/06","12:16:42",-0.655,29.505,33.501,55.624,50607.946,1020.767,20.77,0.57,0.57,13.03,93.58,5.901,NA,5.918,5.919
"7","2021/08/06","12:16:42",-0.6353,29.457,33.591,55.707,50732.358,1020.851,20.854,0.57,0.57,12.74,93.68,5.904,NA,5.921,5.921
"8","2021/08/06","12:16:42",-0.655,29.441,33.614,55.725,50764.256,1020.873,20.876,0.57,0.57,11.91,93.86,5.914,NA,5.93,5.931
"9","2021/08/06","12:16:42",-0.6353,NA,33.619,55.705,50773.606,1020.886,20.889,0.61,0.61,12.08,94.04,5.924,NA,5.94,5.941
"10","2021/08/06","12:16:43",-0.6353,NA,33.642,55.71,50807.061,1020.913,20.916,0.63,0.63,11.89,94.12,5.93,NA,5.946,5.947
"11","2021/08/06","12:16:43",-0.655,NA,33.687,55.731,50870.278,1020.961,20.964,0.57,0.57,11.59,94.09,5.927,NA,5.944,5.944
"12","2021/08/06","12:16:43",-0.6353,NA,33.715,55.735,50910.508,1020.994,20.997,0.54,0.54,11.59,94,5.92,NA,5.936,5.937
"13","2021/08/06","12:16:43",-0.6353,NA,33.735,55.749,50938.39,1021.014,21.017,0.55,0.55,11.48,93.96,5.919,NA,5.935,5.936
"14","2021/08/06","12:16:43",-0.6353,NA,33.749,55.766,50957.46,NA,NA,0.57,0.57,12.07,93.84,5.912,NA,5.928,5.929
"15","2021/08/06","12:16:43",-0.6353,NA,33.751,55.775,50960.627,NA,NA,0.58,0.58,11.91,93.81,5.907,NA,5.924,5.925
"16","2021/08/06","12:16:43",-0.6353,NA,33.735,55.79,50935.947,1021.001,21.004,0.57,0.57,11.58,93.79,5.905,NA,5.921,5.922
"17","2021/08/06","12:16:43",-0.655,NA,33.702,55.803,50886.775,1020.956,20.959,0.57,0.57,12.01,93.74,5.9,NA,5.917,5.917
"18","2021/08/06","12:16:43",-0.655,29.457,33.661,55.81,50826.346,1020.903,20.906,0.57,0.57,12.22,93.84,5.906,NA,5.922,5.923
"19","2021/08/06","12:16:43",-0.6353,29.506,33.626,55.808,50774.908,1020.861,20.863,0.58,0.58,12.45,93.86,5.907,NA,5.923,5.924
"20","2021/08/06","12:16:44",-0.655,29.546,33.6,55.812,50737.584,1020.828,20.831,0.57,0.57,12.37,93.88,5.907,NA,5.924,5.924
"21","2021/08/06","12:16:44",-0.655,29.567,33.584,55.81,50714.369,1020.809,20.812,0.56,0.56,11.98,93.93,5.908,NA,5.924,5.925
"22","2021/08/06","12:16:44",-0.6353,29.567,33.588,55.816,50719.805,1020.812,20.814,0.55,0.55,11.46,93.78,5.895,NA,5.912,5.912
"23","2021/08/06","12:16:44",-0.6353,29.574,33.594,55.832,50726.688,1020.814,20.816,0.56,0.56,11.28,93.67,5.885,NA,5.901,5.902
"24","2021/08/06","12:16:44",-0.6353,29.591,33.587,55.839,50717.069,1020.803,20.806,0.56,0.56,11.56,93.62,5.878,NA,5.895,5.895
"25","2021/08/06","12:16:44",-0.6353,29.609,33.589,55.861,50718.383,1020.799,20.802,0.56,0.56,11.48,93.67,5.878,7.6,5.894,5.895
"26","2021/08/06","12:16:44",-0.655,29.624,33.596,55.886,50725.698,1020.798,20.801,0.55,0.55,12.37,93.8,5.884,7.6,5.9,5.901
"27","2021/08/06","12:16:44",-0.6353,29.632,33.599,55.898,50729.037,1020.798,20.801,0.6,0.6,12.71,93.72,5.878,NA,5.894,5.895
"28","2021/08/06","12:16:44",-0.655,29.624,33.612,55.909,50746.841,1020.81,20.813,0.6,0.6,12.67,93.76,5.876,NA,5.892,5.893
"29","2021/08/06","12:16:44",-0.6353,29.614,33.634,55.932,50777.143,1020.83,20.833,0.58,0.58,11.88,93.76,5.871,7.6,5.887,5.888
"30","2021/08/06","12:16:45",-0.6353,29.612,33.643,55.944,50790.182,1020.838,20.841,0.58,0.58,11.77,93.75,5.872,7.61,5.888,5.889
"31","2021/08/06","12:16:45",-0.655,29.615,33.621,55.914,50760.062,1020.82,20.823,0.57,0.57,12.17,93.78,5.881,7.6,5.897,5.898
"32","2021/08/06","12:16:45",-0.655,29.652,33.592,55.909,50718.758,1020.786,20.789,0.61,0.61,12.47,93.86,5.891,7.61,5.907,5.908
"33","2021/08/06","12:16:45",-0.655,29.678,33.584,55.925,50706.226,1020.772,20.774,0.62,0.62,12.71,93.74,5.884,7.62,5.9,5.901
"34","2021/08/06","12:16:45",-0.655,29.699,33.587,55.95,50708.242,1020.767,20.769,0.58,0.58,12.67,93.78,5.887,7.62,5.903,5.904
"35","2021/08/06","12:16:45",-0.655,29.654,33.621,55.955,50757.648,1020.807,20.81,0.6,0.6,12.67,93.88,5.895,7.61,5.911,5.912
"36","2021/08/06","12:16:45",-0.655,29.604,33.664,55.967,50819.113,1020.856,20.859,0.6,0.6,12.28,93.99,5.906,NA,5.922,5.923
"37","2021/08/06","12:16:45",-0.655,29.611,33.671,55.984,50827.915,1020.859,20.862,0.61,0.61,12.21,93.98,5.909,7.61,5.925,5.926
"38","2021/08/06","12:16:45",-0.655,29.651,33.655,56.001,50802.48,1020.833,20.836,0.62,0.62,12.35,94.06,5.917,7.6,5.933,5.934
"39","2021/08/06","12:16:45",-0.655,29.67,33.651,56.014,50795.955,1020.824,20.827,0.6,0.6,12.73,94.08,5.92,7.61,5.936,5.937
"40","2021/08/06","12:16:46",-0.655,29.657,33.641,55.987,50783.63,1020.821,20.824,0.57,0.57,13.23,94.15,5.925,7.64,5.941,5.942
"41","2021/08/06","12:16:46",-0.655,29.629,33.617,55.922,50753.86,1020.813,20.816,0.55,0.55,NA,94.23,5.929,7.61,5.946,5.947
"42","2021/08/06","12:16:46",-0.6353,29.597,33.614,55.885,50752.043,1020.821,20.824,0.57,0.57,NA,94.21,5.926,7.63,5.942,5.943
"43","2021/08/06","12:16:46",-0.655,29.571,33.642,55.9,50792.279,1020.851,20.854,0.57,0.57,NA,94.12,5.917,7.62,5.934,5.935
"44","2021/08/06","12:16:46",-0.655,29.55,33.675,55.926,50837.654,1020.883,20.886,0.57,0.57,12.91,94.11,5.914,7.63,5.93,5.931
"45","2021/08/06","12:16:46",-0.655,29.536,33.68,55.919,50845.077,1020.891,20.894,0.57,0.57,13.1,94.06,5.91,7.62,5.926,5.927
"46","2021/08/06","12:16:46",-0.655,29.533,33.671,55.903,50833.438,1020.885,20.888,0.62,0.62,13.04,94.11,5.912,7.61,5.928,5.929
"47","2021/08/06","12:16:46",-0.655,29.557,33.653,55.901,50807.445,1020.864,20.866,NA,NA,11.26,94.03,5.906,7.62,5.922,5.923
"48","2021/08/06","12:16:46",-0.6353,29.587,33.638,55.91,50785.638,1020.843,20.846,0.62,0.62,10.46,94,5.904,7.61,5.921,5.921
"49","2021/08/06","12:16:46",-0.6353,29.606,33.637,55.929,50782.813,1020.836,20.838,0.57,0.57,11.12,93.95,5.9,7.62,5.916,5.917
"50","2021/08/06","12:16:47",-0.655,29.616,33.637,55.938,50781.03,1020.831,20.834,0.57,0.57,11.18,93.99,5.903,7.62,5.919,5.92
"51","2021/08/06","12:16:47",-0.655,29.623,33.64,55.95,50784.985,1020.832,20.835,0.58,0.58,11.16,94.08,5.908,7.62,5.924,5.925
"52","2021/08/06","12:16:47",-0.655,29.628,33.641,55.957,50786.262,1020.831,20.834,0.6,0.6,11.16,94.05,5.907,7.62,5.923,5.924
"53","2021/08/06","12:16:47",-0.6353,29.628,33.642,55.959,50787.942,1020.832,20.835,0.55,0.55,11.15,93.95,5.9,7.62,5.916,5.917
