"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","11:44:07",NA,28.222,33.371,54.122,50539.155,1021.094,21.098,0.21,0.21,4.36,97.2,6.257,NA,6.274,6.275
"2","2021/08/06","11:44:07",-0.7335,28.238,33.307,54.046,50451.928,1021.041,21.045,0.21,0.21,4.03,96.96,6.236,NA,6.253,6.254
"3","2021/08/06","11:44:07",-0.7335,28.279,NA,54.041,50404.869,1021.004,21.007,0.21,0.21,3.9,96.8,6.217,NA,6.235,6.236
"4","2021/08/06","11:44:07",-0.7335,28.311,33.308,54.121,50446.751,1021.018,21.022,0.22,0.22,3.96,96.71,6.206,NA,6.223,6.224
"5","2021/08/06","11:44:07",-0.7335,28.358,33.311,54.174,50447.07,1021.005,21.009,0.21,0.21,3.93,96.86,6.217,NA,6.235,6.235
"6","2021/08/06","11:44:07",-0.7335,28.388,33.294,54.18,50421.403,1020.983,20.986,0.21,0.21,4.04,96.88,6.22,NA,6.237,6.238
"7","2021/08/06","11:44:07",-0.7335,28.381,33.345,54.247,50490.799,1021.023,21.026,0.21,0.21,4.09,96.96,6.225,NA,6.242,6.243
"8","2021/08/06","11:44:07",NA,28.382,33.376,54.291,50531.917,1021.046,21.049,0.22,0.22,3.73,97.02,6.227,NA,6.245,6.246
"9","2021/08/06","11:44:07",-0.7335,28.373,33.387,54.299,50548.3,1021.058,21.061,0.22,0.22,3.81,97.03,6.225,NA,6.243,6.244
"10","2021/08/06","11:44:08",-0.7335,28.35,33.385,54.273,50547.742,1021.064,21.067,0.24,0.24,4.34,96.97,6.221,NA,6.239,6.24
"11","2021/08/06","11:44:08",-0.7335,28.351,33.434,54.345,50613.109,1021.1,21.103,0.21,0.21,3.87,96.99,6.217,NA,6.235,6.236
"12","2021/08/06","11:44:08",-0.7335,28.371,33.407,54.326,50574.83,1021.073,21.076,0.22,0.22,3.7,96.88,6.202,NA,6.219,6.22
"13","2021/08/06","11:44:08",-0.7335,28.374,33.383,54.294,50542.557,1021.054,21.057,0.24,0.24,3.86,96.67,6.178,NA,6.196,6.196
"14","2021/08/06","11:44:08",-0.7335,28.352,33.41,54.311,50580.605,1021.081,21.085,NA,NA,3.87,96.47,6.155,NA,6.172,6.173
"15","2021/08/06","11:44:08",NA,28.363,33.425,54.344,50600.285,1021.09,21.093,NA,NA,3.91,96.56,6.163,NA,6.181,6.182
"16","2021/08/06","11:44:08",NA,28.357,33.428,54.342,50604.549,1021.093,21.096,0.23,0.23,3.81,96.63,6.178,NA,6.195,6.196
"17","2021/08/06","11:44:08",-0.7335,28.365,33.442,54.37,50623.088,1021.102,21.105,NA,NA,4.36,96.61,6.179,NA,6.197,6.198
"18","2021/08/06","11:44:08",-0.7335,28.491,33.404,54.443,50560.001,1021.031,21.034,0.22,0.22,3.86,96.5,6.175,NA,6.192,6.193
"19","2021/08/06","11:44:08",-0.7335,28.515,33.416,54.485,50574.827,1021.033,21.036,0.21,0.21,3.52,96.51,6.177,NA,6.194,6.195
"20","2021/08/06","11:44:09",-0.7335,28.519,33.416,54.49,50574.378,1021.031,21.034,0.21,0.21,3.46,96.46,6.175,NA,6.193,6.193
"21","2021/08/06","11:44:09",-0.7335,28.543,33.418,54.517,50574.865,1021.025,21.028,0.21,0.21,3.43,96.49,6.179,NA,6.196,6.197
"22","2021/08/06","11:44:09",NA,28.52,33.46,54.554,50633.599,1021.064,21.067,0.23,0.23,3.49,96.66,6.188,NA,6.206,6.207
"23","2021/08/06","11:44:09",-0.7335,28.492,33.493,54.574,50680.545,1021.098,21.101,0.22,0.22,3.61,96.69,6.191,NA,6.208,6.209
"24","2021/08/06","11:44:09",NA,28.498,33.505,54.598,50695.941,1021.105,21.108,0.21,0.21,3.81,96.77,6.197,7.61,6.215,6.216
"25","2021/08/06","11:44:09",-0.7335,28.503,33.511,54.611,50703.016,1021.107,21.111,0.21,0.21,4.07,96.83,6.201,7.6,6.219,6.22
"26","2021/08/06","11:44:09",NA,28.506,33.524,54.633,50720.5,1021.116,21.119,0.2,0.2,4.04,96.72,6.194,7.6,6.212,6.212
"27","2021/08/06","11:44:09",NA,28.519,33.519,54.639,50712.968,1021.109,21.112,0.21,0.21,3.69,96.7,6.193,7.6,6.211,6.212
"28","2021/08/06","11:44:09",-0.7335,28.552,33.478,54.613,50654.815,1021.067,21.07,0.21,0.21,3.7,96.83,6.202,NA,6.22,6.221
"29","2021/08/06","11:44:09",-0.7335,28.566,33.496,54.654,50678.065,1021.076,21.079,0.21,0.21,3.93,96.94,6.209,7.6,6.227,6.228
"30","2021/08/06","11:44:10",NA,28.577,33.506,54.679,50690.227,1021.08,21.083,0.21,0.21,4.31,96.84,6.203,7.61,6.22,6.221
"31","2021/08/06","11:44:10",-0.7335,28.581,33.519,54.703,50707.707,1021.088,21.091,0.22,0.22,NA,96.98,6.21,7.61,6.228,6.229
"32","2021/08/06","11:44:10",-0.7335,28.579,33.535,54.724,50729.335,1021.101,21.104,0.24,0.24,NA,96.96,6.207,7.61,6.225,6.226
"33","2021/08/06","11:44:10",-0.7335,28.581,33.548,54.745,50747.094,1021.11,21.113,0.24,0.24,4.07,97.08,6.213,7.62,6.231,6.232
"34","2021/08/06","11:44:10",-0.7335,28.587,33.555,54.76,50755.022,1021.113,21.116,0.22,0.22,3.81,97.09,6.213,7.61,6.23,6.231
"35","2021/08/06","11:44:10",-0.7335,28.6,33.556,54.775,50755.475,1021.11,21.113,0.21,0.21,3.81,96.96,6.204,7.61,6.222,6.223
"36","2021/08/06","11:44:10",-0.7335,28.617,33.557,54.795,50756.031,1021.105,21.108,0.21,0.21,4.14,96.79,6.195,7.62,6.212,6.213
"37","2021/08/06","11:44:10",-0.7335,28.655,33.539,54.806,50727.51,1021.078,21.082,0.2,0.2,NA,96.9,6.204,7.6,6.221,6.222
"38","2021/08/06","11:44:10",-0.7335,28.628,33.567,54.82,50767.448,1021.108,21.111,0.22,0.22,4.37,96.96,6.206,7.61,6.224,6.225
"39","2021/08/06","11:44:10",-0.7335,28.625,33.579,54.835,50784.713,1021.119,21.122,0.21,0.21,3.89,96.86,6.199,7.61,6.217,6.218
"40","2021/08/06","11:44:11",-0.7335,28.641,33.58,54.852,50784.341,1021.114,21.117,0.21,0.21,3.54,96.77,6.193,7.64,6.211,6.212
"41","2021/08/06","11:44:11",-0.7335,28.636,33.594,54.867,50803.435,1021.126,21.129,0.21,0.21,3.53,96.79,6.196,7.61,6.214,6.215
"42","2021/08/06","11:44:11",-0.7335,28.67,33.571,54.87,50769.929,1021.098,21.101,0.23,0.23,3.63,96.74,6.197,7.62,6.215,6.216
"43","2021/08/06","11:44:11",-0.7335,28.733,33.536,54.883,50717.607,1021.051,21.054,0.24,0.24,4.1,96.77,6.203,7.61,6.22,6.221
"44","2021/08/06","11:44:11",-0.7335,28.773,33.531,54.916,50706.938,1021.033,21.036,0.22,0.22,3.86,96.77,6.207,7.62,6.224,6.225
"45","2021/08/06","11:44:11",NA,28.787,33.523,54.919,50695.985,1021.023,21.027,0.23,0.23,3.69,96.72,6.206,7.61,6.223,6.224
"46","2021/08/06","11:44:11",NA,28.717,33.556,54.896,50746.319,1021.071,21.074,0.25,0.25,3.7,96.74,6.207,7.61,6.224,6.225
"47","2021/08/06","11:44:11",NA,28.637,33.62,54.907,50838.693,1021.145,21.149,0.25,0.25,3.67,96.94,6.22,7.61,6.237,6.238
"48","2021/08/06","11:44:11",NA,28.572,33.605,54.818,50824.622,1021.156,21.159,0.24,0.24,3.63,97.03,6.226,7.62,6.244,6.245
