"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/19","12:29:09",-0.4194,27.863,33.4,NA,50610.383,1021.235,21.236,0.2,0.2,0.84,NA,NA,NA,NA,NA
"2","2021/08/19","12:29:09",-0.439,27.865,33.404,NA,50615.772,1021.237,21.239,0.21,0.21,0.87,NA,NA,NA,NA,NA
"3","2021/08/19","12:29:09",-0.4194,27.86,33.413,NA,50628.82,1021.246,21.247,0.24,0.24,0.88,NA,NA,NA,NA,NA
"4","2021/08/19","12:29:09",-0.439,27.86,33.404,NA,50616.137,1021.238,21.24,0.22,0.22,0.84,NA,NA,NA,NA,NA
"5","2021/08/19","12:29:09",-0.439,27.852,33.401,NA,50613.085,1021.239,21.241,0.22,0.22,0.8,NA,NA,NA,NA,NA
"6","2021/08/19","12:29:09",-0.4194,27.85,33.396,NA,50606.327,1021.236,21.238,0.21,0.21,0.85,NA,NA,NA,NA,NA
"7","2021/08/19","12:29:09",-0.439,27.851,33.403,NA,50616.253,1021.241,21.243,0.2,0.2,0.85,NA,NA,NA,NA,NA
"8","2021/08/19","12:29:09",-0.4194,27.854,33.391,NA,50599.025,1021.231,21.232,0.18,0.18,0.85,NA,NA,NA,NA,NA
"9","2021/08/19","12:29:09",-0.4194,27.852,33.392,NA,50600.518,1021.232,21.234,0.17,0.17,0.77,NA,NA,NA,NA,NA
"10","2021/08/19","12:29:10",-0.4194,27.831,33.402,NA,50616.023,1021.246,21.248,0.17,0.17,0.81,NA,NA,NA,NA,NA
"11","2021/08/19","12:29:10",-0.439,27.821,33.399,NA,50613.198,1021.247,21.249,0.18,0.18,0.81,NA,NA,NA,NA,NA
"12","2021/08/19","12:29:10",-0.439,27.833,33.378,53.736,50583.348,1021.227,21.229,0.2,0.2,0.85,NA,NA,NA,NA,NA
"13","2021/08/19","12:29:10",-0.4194,27.828,33.379,53.733,50586.028,1021.23,21.232,0.18,0.18,0.84,NA,NA,NA,NA,NA
"14","2021/08/19","12:29:10",-0.4194,27.809,33.4,53.744,50615.263,1021.252,21.254,0.17,0.17,0.77,NA,NA,NA,NA,NA
"15","2021/08/19","12:29:10",-0.4194,27.802,33.395,53.73,50610.129,1021.251,21.253,0.18,0.18,0.75,NA,NA,NA,NA,NA
"16","2021/08/19","12:29:10",-0.439,27.805,33.394,53.731,50608.036,1021.249,21.251,0.17,0.17,0.8,NA,NA,NA,NA,NA
"17","2021/08/19","12:29:10",-0.439,27.811,33.39,53.73,50601.47,1021.244,21.246,0.17,0.17,0.78,NA,NA,NA,NA,NA
"18","2021/08/19","12:29:10",-0.4194,27.809,33.387,53.724,50597.378,1021.242,21.244,0.18,0.18,0.87,89.26,5.809,NA,5.825,5.826
"19","2021/08/19","12:29:10",-0.4194,27.823,33.371,53.715,50574.911,1021.226,21.228,0.18,0.18,0.84,89.19,5.805,NA,5.822,5.823
"20","2021/08/19","12:29:11",-0.4194,27.826,33.361,53.706,50561.714,1021.217,21.219,0.18,0.18,0.82,88.94,5.789,NA,5.806,5.807
"21","2021/08/19","12:29:11",-0.4194,27.83,33.355,53.7,50552.608,1021.211,21.213,0.19,0.19,0.84,89.02,5.795,NA,5.811,5.812
"22","2021/08/19","12:29:11",-0.4194,27.835,33.349,53.696,50543.819,1021.205,21.207,0.2,0.2,0.85,88.95,5.789,NA,5.805,5.806
"23","2021/08/19","12:29:11",-0.4194,27.821,33.356,53.693,50555.346,1021.215,21.217,0.17,0.17,0.8,88.91,5.785,NA,5.801,5.802
"24","2021/08/19","12:29:11",-0.4194,27.799,33.377,53.7,50584.747,1021.238,21.239,0.18,0.18,0.75,88.84,5.778,NA,5.795,5.796
"25","2021/08/19","12:29:11",-0.439,27.793,33.379,53.697,50589.027,1021.242,21.244,0.2,0.2,0.78,88.8,5.776,7.52,5.792,5.793
"26","2021/08/19","12:29:11",-0.4194,27.793,33.378,53.695,50587.03,1021.241,21.242,0.19,0.19,0.77,88.77,5.773,7.52,5.79,5.79
"27","2021/08/19","12:29:11",-0.4194,27.795,33.377,53.696,50585.286,1021.239,21.241,NA,NA,0.78,88.74,5.771,NA,5.787,5.788
"28","2021/08/19","12:29:11",-0.439,27.796,33.375,53.693,50582.53,1021.237,21.239,NA,NA,0.9,88.59,5.761,7.52,5.777,5.778
"29","2021/08/19","12:29:11",-0.439,27.796,33.376,53.695,50584.263,1021.238,21.24,NA,NA,0.81,88.55,5.758,7.52,5.775,5.776
"30","2021/08/19","12:29:12",-0.439,27.798,33.374,53.695,50582.049,1021.236,21.238,0.19,0.19,0.77,88.41,5.749,7.53,5.766,5.766
"31","2021/08/19","12:29:12",-0.439,27.808,33.363,53.689,50565.304,1021.224,21.226,0.18,0.18,0.75,88.38,5.747,7.53,5.764,5.765
"32","2021/08/19","12:29:12",-0.439,27.82,33.352,53.687,50550.132,1021.212,21.214,0.18,0.18,0.71,88.39,5.749,7.53,5.765,5.766
"33","2021/08/19","12:29:12",-0.439,27.817,33.352,53.683,50550.298,1021.213,21.215,0.23,0.23,0.71,88.45,5.754,7.53,5.77,5.771
"34","2021/08/19","12:29:12",-0.4194,27.823,33.348,53.682,50543.62,1021.208,21.21,0.23,0.23,0.74,88.49,5.757,7.54,5.773,5.774
"35","2021/08/19","12:29:12",-0.439,27.833,33.339,53.679,50530.593,1021.198,21.2,0.24,0.24,0.71,88.54,5.761,7.54,5.777,5.778
