"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/19","12:42:38",NA,27.775,32.845,52.914,49869.427,1020.846,20.848,0.24,0.24,1.14,NA,NA,NA,NA,NA
"2","2021/08/19","12:42:38",NA,27.756,32.853,52.906,49881.471,1020.858,20.86,0.23,0.23,1.27,NA,NA,NA,NA,NA
"3","2021/08/19","12:42:38",-0.4194,27.732,32.878,52.919,49917.76,1020.884,20.886,0.27,0.27,1.31,NA,NA,NA,NA,NA
"4","2021/08/19","12:42:38",NA,27.709,32.875,52.891,49915.827,1020.89,20.892,0.24,0.24,1.18,NA,NA,NA,NA,NA
"5","2021/08/19","12:42:38",NA,27.693,32.9,52.91,49950.601,1020.913,20.915,0.24,0.24,1.24,NA,NA,NA,NA,NA
"6","2021/08/19","12:42:38",NA,27.693,32.889,52.894,49936.03,1020.906,20.907,0.25,0.25,1.29,NA,NA,NA,NA,NA
"7","2021/08/19","12:42:38",-0.4194,27.68,32.892,52.887,49941.767,1020.912,20.914,0.25,0.25,1.11,NA,NA,NA,NA,NA
"8","2021/08/19","12:42:38",-0.4194,27.657,32.921,52.904,49982.856,1020.941,20.943,0.24,0.24,1.04,NA,NA,NA,NA,NA
"9","2021/08/19","12:42:38",-0.4194,27.681,32.916,52.921,49973.266,1020.929,20.931,0.24,0.24,1.01,NA,NA,NA,NA,NA
"10","2021/08/19","12:42:39",NA,27.694,32.895,52.904,49944.056,1020.909,20.911,0.24,0.24,0.95,NA,NA,NA,NA,NA
"11","2021/08/19","12:42:39",-0.4194,27.696,32.878,52.882,49920.73,1020.896,20.898,0.23,0.23,0.94,NA,NA,NA,NA,NA
"12","2021/08/19","12:42:39",-0.4194,27.71,32.898,52.925,49946.871,1020.907,20.909,0.24,0.24,1.22,NA,NA,NA,NA,NA
"13","2021/08/19","12:42:39",-0.4194,27.741,32.89,NA,49933.481,1020.891,20.893,0.24,0.24,1.36,NA,NA,NA,NA,NA
"14","2021/08/19","12:42:39",-0.4194,27.743,32.886,NA,49927.705,1020.887,20.889,0.23,0.23,1.19,NA,NA,NA,NA,NA
"15","2021/08/19","12:42:39",-0.4194,27.728,32.893,52.936,49938.826,1020.898,20.899,0.27,0.27,1.31,NA,NA,NA,NA,NA
"16","2021/08/19","12:42:39",-0.4194,27.727,32.9,NA,49947.972,1020.903,20.905,0.25,0.25,1.24,NA,NA,NA,NA,NA
"17","2021/08/19","12:42:39",NA,27.73,32.893,52.937,49938.223,1020.897,20.898,0.27,0.27,1.24,NA,NA,NA,NA,NA
"18","2021/08/19","12:42:39",NA,27.743,32.896,NA,49940.676,1020.894,20.896,0.24,0.24,1.51,NA,NA,NA,NA,NA
"19","2021/08/19","12:42:39",NA,27.759,32.876,NA,49912.04,1020.874,20.876,0.25,0.25,1.62,88.2,5.758,NA,5.775,5.775
