"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/19","12:23:08",NA,27.395,28.734,46.62,44285.91,1017.88,17.882,0.27,0.27,1.64,NA,NA,NA,NA,NA
"2","2021/08/19","12:23:08",NA,27.397,28.727,46.611,44276.567,1017.875,17.877,0.24,0.24,1.56,NA,NA,NA,NA,NA
"3","2021/08/19","12:23:08",NA,27.397,28.723,46.605,44270.373,1017.872,17.873,0.24,0.24,1.55,NA,NA,NA,NA,NA
"4","2021/08/19","12:23:08",NA,27.4,28.727,46.614,44275.862,1017.874,17.876,0.23,0.23,1.54,NA,NA,NA,NA,NA
"5","2021/08/19","12:23:08",-0.439,27.405,28.727,46.617,44275.069,1017.872,17.874,0.22,0.22,1.55,NA,NA,NA,NA,NA
"6","2021/08/19","12:23:08",-0.439,27.408,28.727,46.621,44276.029,1017.872,17.874,0.24,0.24,1.58,92.97,NA,NA,NA,NA
"7","2021/08/19","12:23:08",-0.439,27.412,28.727,46.625,44275.204,1017.87,17.872,0.28,0.28,1.62,NA,NA,NA,NA,NA
"8","2021/08/19","12:23:08",-0.439,27.395,28.742,46.631,44297.041,1017.887,17.888,0.26,0.26,1.56,92.92,NA,NA,NA,NA
"9","2021/08/19","12:23:08",NA,27.381,28.746,46.624,44303.567,1017.894,17.896,0.25,0.25,1.49,92.94,NA,NA,NA,NA
"10","2021/08/19","12:23:09",-0.439,27.392,28.734,46.617,44286.255,1017.881,17.883,0.26,0.26,1.58,92.84,NA,NA,NA,NA
"11","2021/08/19","12:23:09",-0.439,27.406,28.725,46.616,44272.986,1017.871,17.872,0.24,0.24,1.52,92.74,NA,NA,NA,6.255
"12","2021/08/19","12:23:09",-0.439,27.416,28.716,46.613,44259.632,1017.86,17.862,0.23,0.23,1.48,92.64,6.228,NA,6.247,6.247
"13","2021/08/19","12:23:09",-0.439,27.408,28.724,46.616,44270.908,1017.869,17.871,0.24,0.24,1.45,92.57,6.222,NA,6.241,6.241
"14","2021/08/19","12:23:09",-0.439,27.404,28.725,46.615,44272.862,1017.871,17.873,0.29,0.29,1.45,92.58,6.222,7.49,6.24,6.24
"15","2021/08/19","12:23:09",-0.439,27.412,28.712,46.603,44255.035,1017.859,17.861,0.26,0.26,1.42,92.47,6.215,7.49,6.233,6.234
"16","2021/08/19","12:23:09",-0.439,27.416,28.705,46.595,44243.796,1017.852,17.854,0.23,0.23,1.45,92.44,6.214,7.5,6.233,6.233
"17","2021/08/19","12:23:09",-0.439,27.413,28.705,46.594,44245.104,1017.853,17.855,0.23,0.23,1.52,92.37,6.21,7.5,6.228,6.228
"18","2021/08/19","12:23:09",-0.439,27.418,28.705,46.598,44244.048,1017.852,17.853,0.24,0.24,1.49,92.33,6.208,7.5,6.226,6.227
"19","2021/08/19","12:23:09",NA,27.417,28.706,46.598,44245.608,1017.853,17.855,0.23,0.23,1.56,92.4,6.213,7.5,6.231,6.232
"20","2021/08/19","12:23:10",-0.439,27.422,28.703,46.599,44241.113,1017.849,17.851,0.21,0.21,1.66,92.43,6.217,7.5,6.235,6.235
"21","2021/08/19","12:23:10",-0.439,27.425,28.695,46.59,44229.592,1017.842,17.844,0.24,0.24,NA,92.47,6.222,7.49,6.24,6.24
"22","2021/08/19","12:23:10",-0.439,27.423,28.696,46.589,44230.967,1017.843,17.845,0.24,0.24,NA,92.48,6.223,7.49,6.241,6.242
"23","2021/08/19","12:23:10",NA,27.422,28.7,46.594,44236.866,1017.847,17.849,0.24,0.24,1.66,92.41,6.218,7.49,6.236,6.237
"24","2021/08/19","12:23:10",-0.439,27.422,28.698,46.591,44233.962,1017.845,17.847,0.28,0.28,1.58,92.46,6.221,7.52,6.24,6.24
"25","2021/08/19","12:23:10",-0.439,27.422,28.694,46.585,44228.419,1017.842,17.844,0.28,0.28,1.51,92.42,6.218,7.49,6.236,6.237
"26","2021/08/19","12:23:10",-0.439,27.421,28.69,46.579,44223.689,1017.84,17.842,0.3,0.3,1.56,92.37,6.215,7.49,6.233,6.233
"27","2021/08/19","12:23:10",-0.439,27.409,28.695,46.575,44231.431,1017.847,17.849,0.26,0.26,1.69,92.38,6.213,7.53,6.231,6.231
"28","2021/08/19","12:23:10",-0.439,27.38,28.711,46.573,44256.149,1017.869,17.87,0.24,0.24,1.69,92.43,6.215,7.52,6.233,6.233
"29","2021/08/19","12:23:10",-0.439,27.364,28.727,46.581,44278.877,1017.885,17.887,0.26,0.26,NA,92.38,6.21,7.53,6.228,6.229
"30","2021/08/19","12:23:11",-0.439,27.355,28.729,46.577,44282.175,1017.889,17.891,0.24,0.24,1.59,92.38,6.209,7.52,6.227,6.228
"31","2021/08/19","12:23:11",-0.439,27.35,28.724,46.565,44276.48,1017.888,17.89,0.23,0.23,1.52,92.31,6.204,7.55,6.222,6.223
"32","2021/08/19","12:23:11",-0.439,27.345,28.726,46.563,44278.903,1017.89,17.892,0.21,0.21,1.48,92.36,6.207,7.56,6.225,6.226
"33","2021/08/19","12:23:11",-0.439,NA,28.73,46.566,44285.489,1017.895,17.897,0.23,0.23,1.49,92.31,6.204,7.51,6.222,6.223
"34","2021/08/19","12:23:11",-0.439,27.346,28.73,46.57,44284.79,1017.893,17.895,0.21,0.21,1.55,92.27,6.201,7.52,6.219,6.22
