"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.656,NA,7.678,7.678
"2","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.662,NA,7.683,7.684
"3","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.656,NA,7.677,7.677
"4","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.652,NA,7.673,7.673
"5","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.652,NA,7.673,7.673
"6","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.64,NA,7.661,7.662
"7","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,7.642,NA,7.663,7.663
"8","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64,NA,7.661,7.661
"9","2020/10/15","12:06:35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.625,NA,7.646,7.646
"10","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.619,NA,7.64,7.64
"11","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.618,NA,7.639,7.64
"12","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.626,NA,7.647,7.647
"13","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.637,NA,7.658,7.658
"14","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.653,NA,7.674,7.674
"15","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.672,NA,7.693,7.694
"16","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.751,NA,7.772,7.772
"17","2020/10/15","12:06:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.899,8,7.921,7.921
