"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/29","12:07:12",-0.439,26.228,33.247,NA,50562.766,1021.638,21.64,0.23,0.23,1.07,105,6.975,NA,6.995,6.996
"2","2020/10/29","12:07:12",-0.439,26.227,33.254,NA,50573.199,1021.644,21.646,0.21,0.21,1.08,105.4,7.002,NA,7.022,7.023
"3","2020/10/29","12:07:12",-0.439,26.227,33.273,NA,50598.58,1021.659,21.66,0.23,0.23,NA,105.81,7.028,NA,7.048,7.049
"4","2020/10/29","12:07:12",-0.439,26.227,33.294,NA,50627.4,1021.675,21.676,0.23,0.23,1.09,106.23,7.054,NA,7.074,7.075
"5","2020/10/29","12:07:12",-0.439,26.229,33.303,NA,50638.654,1021.68,21.682,0.23,0.23,1.04,106.55,7.075,NA,7.095,7.096
"6","2020/10/29","12:07:12",-0.439,26.233,33.291,NA,50622.907,1021.671,21.673,0.22,0.22,1.01,106.88,7.099,NA,7.119,7.12
"7","2020/10/29","12:07:12",-0.439,26.236,33.3,NA,50633.956,1021.676,21.678,0.21,0.21,1,107.07,7.111,NA,7.131,7.132
"8","2020/10/29","12:07:12",-0.439,26.241,33.285,NA,50613.804,1021.664,21.665,0.22,0.22,0.98,107.31,7.126,NA,7.146,7.147
"9","2020/10/29","12:07:12",-0.439,26.245,33.289,NA,50618.806,1021.665,21.667,0.21,0.21,0.98,107.51,7.138,NA,7.159,7.16
"10","2020/10/29","12:07:13",-0.439,26.248,33.282,NA,50608.569,1021.659,21.661,0.21,0.21,1,107.72,7.152,NA,7.172,7.173
"11","2020/10/29","12:07:13",-0.439,26.252,33.272,NA,50594.086,1021.65,21.652,0.22,0.22,0.98,107.83,7.158,NA,7.178,7.179
"12","2020/10/29","12:07:13",NA,26.254,33.29,NA,50618.31,1021.663,21.665,0.21,0.21,0.97,108,7.166,NA,7.186,7.187
"13","2020/10/29","12:07:13",-0.439,26.255,33.333,52.075,50676.408,1021.695,21.697,0.22,0.22,0.97,108.11,7.171,NA,7.191,7.192
"14","2020/10/29","12:07:13",-0.439,26.259,33.309,52.048,50644.482,1021.676,21.678,0.23,0.23,0.97,108.23,7.178,NA,7.199,7.2
"15","2020/10/29","12:07:13",-0.439,26.284,33.291,52.047,50617.61,1021.655,21.657,0.22,0.22,0.94,108.39,7.189,NA,7.21,7.211
"16","2020/10/29","12:07:13",-0.439,26.328,33.282,52.079,50600.765,1021.634,21.636,0.23,0.23,0.91,108.53,7.201,7.92,7.221,7.222
"17","2020/10/29","12:07:13",-0.439,26.348,33.289,52.109,50608.301,1021.633,21.635,0.21,0.21,1.01,108.75,7.218,7.92,7.239,7.24
"18","2020/10/29","12:07:13",-0.439,26.349,33.302,52.128,50625.298,1021.642,21.644,0.21,0.21,NA,108.82,7.224,7.92,7.245,7.246
"19","2020/10/29","12:07:13",-0.439,26.348,33.293,52.115,50613.548,1021.636,21.638,0.21,0.21,1.08,108.94,7.233,7.93,7.254,7.255
"20","2020/10/29","12:07:14",-0.439,26.348,33.293,52.114,50612.843,1021.636,21.638,0.2,0.2,1.05,109.02,7.238,7.93,7.259,7.26
