"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/29","10:55:15",-0.4194,26.13,34.85,54.049,52737.38,1022.878,22.88,0.37,0.37,0.9,NA,NA,NA,NA,NA
"2","2020/10/29","10:55:15",-0.4194,26.165,34.808,54.027,52676.482,1022.835,22.837,0.36,0.36,0.91,NA,NA,NA,NA,NA
"3","2020/10/29","10:55:15",-0.4194,26.207,34.764,54.01,52612.924,1022.789,22.791,0.36,0.36,0.91,NA,NA,NA,NA,NA
"4","2020/10/29","10:55:15",-0.4194,26.214,34.76,54.011,52606.689,1022.784,22.786,0.38,0.38,0.91,NA,NA,NA,NA,NA
"5","2020/10/29","10:55:15",-0.4194,26.199,34.78,54.024,52635.29,1022.803,22.805,0.37,0.37,1,NA,NA,NA,NA,NA
"6","2020/10/29","10:55:15",-0.4194,26.2,34.788,54.036,52645.724,1022.809,22.811,0.35,0.35,1,NA,NA,NA,NA,NA
"7","2020/10/29","10:55:15",-0.4194,26.213,34.785,54.044,52640.048,1022.803,22.805,0.37,0.37,0.92,NA,NA,NA,NA,NA
"8","2020/10/29","10:55:15",-0.4194,26.215,34.777,54.036,52629.117,1022.796,22.798,0.34,0.34,0.9,NA,NA,NA,NA,NA
"9","2020/10/29","10:55:15",NA,26.214,34.77,54.025,52619.511,1022.791,22.793,0.34,0.34,1.01,NA,6.445,NA,6.464,6.465
"10","2020/10/29","10:55:16",-0.4194,26.212,34.766,54.017,52614.841,1022.789,22.791,0.35,0.35,0.9,NA,6.441,NA,6.459,6.46
"11","2020/10/29","10:55:16",NA,26.215,34.763,54.017,52610.512,1022.785,22.787,0.34,0.34,0.95,97.31,6.434,7.9,6.452,6.454
"12","2020/10/29","10:55:16",-0.4194,26.231,34.755,54.022,52598.025,1022.775,22.776,0.35,0.35,1.05,97.31,6.434,NA,6.452,6.453
"13","2020/10/29","10:55:16",-0.4194,26.243,34.75,54.029,52590.462,1022.767,22.769,0.34,0.34,1,97.31,6.433,7.9,6.451,6.452
"14","2020/10/29","10:55:16",-0.4194,26.241,34.759,54.039,52602.087,1022.774,22.776,0.36,0.36,0.98,97.21,6.426,7.9,6.444,6.445
"15","2020/10/29","10:55:16",-0.4194,26.243,34.764,54.048,52608.841,1022.778,22.779,0.34,0.34,1,97.3,6.431,7.9,6.449,6.45
"16","2020/10/29","10:55:16",-0.4194,26.251,34.764,54.056,52608.29,1022.775,22.777,0.34,0.34,0.98,97.36,6.435,7.92,6.453,6.454
"17","2020/10/29","10:55:16",-0.4194,26.255,34.778,54.079,52626.084,1022.784,22.786,0.33,0.33,1.02,97.15,6.42,7.92,6.438,6.439
"18","2020/10/29","10:55:16",-0.4194,26.247,34.795,54.094,52649.43,1022.799,22.801,0.34,0.34,0.98,97.18,6.421,7.93,6.439,6.44
"19","2020/10/29","10:55:16",-0.4194,26.239,34.806,54.101,52665.402,1022.81,22.812,0.35,0.35,0.95,97.19,6.42,7.91,6.438,6.439
"20","2020/10/29","10:55:17",NA,26.235,34.807,54.099,52667.442,1022.812,22.814,0.35,0.35,0.92,97.02,6.409,7.94,6.427,6.428
"21","2020/10/29","10:55:17",-0.4194,26.233,34.803,54.091,52662.193,1022.81,22.812,0.34,0.34,0.88,97.07,6.412,7.93,6.43,6.431
"22","2020/10/29","10:55:17",-0.4194,26.233,34.798,54.084,52655.774,1022.806,22.808,0.36,0.36,0.87,97.07,6.413,7.93,6.431,6.433
