"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,96.61,NA,NA,NA,NA
"2","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,96.57,NA,NA,NA,NA
"3","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,96.52,NA,NA,NA,NA
"4","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.47,NA,NA,NA,NA
"5","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.45,NA,NA,NA,NA
"6","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.38,NA,NA,NA,NA
"7","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.54,NA,NA,NA,NA
"8","2020/11/12","09:50:37",-0.3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.67,NA,NA,NA,NA
"9","2020/11/12","09:50:37",NA,NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA
"10","2020/11/12","09:50:38",-0.3605,NA,NA,NA,NA,NA,NA,0.36,0.36,NA,NA,6.805,NA,6.822,6.824
"11","2020/11/12","09:50:38",-0.3605,NA,NA,51.405,NA,NA,NA,0.38,0.38,NA,NA,NA,NA,NA,NA
"12","2020/11/12","09:50:38",-0.3605,NA,NA,51.397,NA,NA,NA,0.38,0.38,NA,NA,6.824,NA,6.842,6.843
"13","2020/11/12","09:50:38",-0.3802,NA,NA,51.378,NA,NA,NA,0.38,0.38,1.75,98.23,6.815,NA,6.833,6.834
"14","2020/11/12","09:50:38",-0.3409,23.613,NA,51.392,NA,NA,NA,0.38,0.38,1.58,98.08,6.801,NA,6.819,6.82
"15","2020/11/12","09:50:38",-0.3605,23.65,34.786,51.385,52958.01,1023.581,23.583,0.38,0.38,1.48,98.03,6.797,NA,6.815,6.816
"16","2020/11/12","09:50:38",-0.3605,23.655,34.783,51.385,52952.187,1023.577,23.578,0.38,0.38,1.42,97.96,6.79,NA,6.808,6.809
"17","2020/11/12","09:50:38",-0.3605,23.633,34.81,51.4,52992.862,NA,NA,0.37,0.37,1.41,97.83,6.777,NA,6.794,6.796
"18","2020/11/12","09:50:38",-0.3409,23.636,34.803,51.393,52982.538,1023.598,23.599,0.38,0.38,1.35,97.75,6.769,NA,6.787,6.788
"19","2020/11/12","09:50:38",-0.3605,23.646,34.807,51.407,52986.09,1023.598,23.599,0.37,0.37,1.29,97.69,6.763,NA,6.78,6.781
"20","2020/11/12","09:50:39",-0.3605,23.656,34.791,51.397,52964.038,1023.583,23.585,0.37,0.37,1.27,97.47,6.745,NA,6.762,6.763
"21","2020/11/12","09:50:39",-0.3409,23.676,34.779,51.402,52944.523,1023.568,23.57,0.38,0.38,1.44,97.5,6.747,NA,6.765,6.766
"22","2020/11/12","09:50:39",-0.3409,23.689,34.775,51.411,52937.63,1023.561,23.563,0.38,0.38,1.46,97.43,6.741,7.86,6.759,6.76
"23","2020/11/12","09:50:39",-0.3409,23.693,34.774,51.413,52935.268,1023.559,23.561,0.37,0.37,1.32,97.5,6.746,NA,6.763,6.765
"24","2020/11/12","09:50:39",-0.3605,23.687,34.77,51.401,52930.032,1023.557,23.559,0.36,0.36,1.99,97.45,6.742,NA,6.759,6.761
"25","2020/11/12","09:50:39",-0.3605,23.689,34.765,51.397,52923.86,1023.554,23.555,0.34,0.34,1.61,97.36,6.735,NA,6.753,6.754
"26","2020/11/12","09:50:39",-0.3409,23.7,34.753,51.393,52906.25,1023.542,23.543,0.33,0.33,1.51,97.28,6.729,NA,6.746,6.748
"27","2020/11/12","09:50:39",-0.3605,23.706,34.742,51.384,52890.217,1023.531,23.533,0.34,0.34,1.42,97.22,6.723,NA,6.74,6.742
"28","2020/11/12","09:50:39",-0.3409,23.708,34.734,51.376,52879.769,1023.525,23.527,NA,NA,1.46,97.24,6.724,7.86,6.742,6.743
"29","2020/11/12","09:50:39",-0.3605,23.709,34.733,51.375,52876.904,1023.523,23.525,0.37,0.37,1.51,97.12,6.716,7.88,6.734,6.735
"30","2020/11/12","09:50:40",-0.3409,23.714,34.728,51.374,52870.688,1023.519,23.52,0.34,0.34,1.51,97.06,6.713,7.86,6.73,6.731
"31","2020/11/12","09:50:40",-0.3409,23.722,34.724,51.377,52863.302,1023.513,23.514,0.31,0.31,1.56,97.05,6.713,7.88,6.731,6.732
"32","2020/11/12","09:50:40",-0.3409,23.729,34.709,51.366,52842.863,1023.5,23.501,0.31,0.31,1.56,97.08,6.717,7.87,6.734,6.736
