"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","09:29:00",-0.3802,23.345,NA,50.055,NA,NA,NA,0.27,0.27,NA,NA,NA,NA,NA,NA
"2","2020/11/12","09:29:00",-0.3802,NA,NA,50.046,NA,NA,NA,0.28,0.28,1.14,NA,NA,NA,NA,NA
"3","2020/11/12","09:29:00",-0.3802,NA,NA,50.044,NA,NA,NA,0.28,0.28,1.08,NA,NA,NA,NA,NA
"4","2020/11/12","09:29:00",-0.3802,NA,NA,50.038,NA,NA,NA,0.3,0.3,1.09,NA,NA,NA,NA,NA
"5","2020/11/12","09:29:00",NA,23.331,NA,50.039,NA,NA,NA,0.28,0.28,1.01,NA,NA,NA,NA,NA
"6","2020/11/12","09:29:00",-0.3802,23.334,34.003,50.035,NA,NA,NA,0.29,0.29,1.04,NA,NA,NA,NA,NA
"7","2020/11/12","09:29:00",NA,23.337,34,50.033,51933.505,1023.077,23.078,0.27,0.27,1.02,NA,NA,NA,NA,NA
"8","2020/11/12","09:29:00",NA,23.345,33.992,50.03,51920.946,1023.068,23.07,0.27,0.27,1.04,NA,NA,NA,NA,NA
"9","2020/11/12","09:29:00",NA,23.349,33.99,50.032,51918.105,1023.066,23.067,0.26,0.26,1.07,NA,NA,NA,NA,NA
"10","2020/11/12","09:29:01",-0.3802,23.349,33.991,50.034,51919.541,1023.066,23.068,0.26,0.26,1.01,NA,NA,7.8,NA,NA
"11","2020/11/12","09:29:01",-0.3802,23.354,33.986,50.033,51912.076,1023.061,23.063,0.28,0.28,1.02,NA,NA,7.81,NA,NA
"12","2020/11/12","09:29:01",-0.3802,23.361,33.98,50.032,51903.553,1023.055,23.057,0.25,0.25,0.98,NA,NA,7.82,NA,NA
"13","2020/11/12","09:29:01",NA,23.368,33.97,50.025,51888.868,1023.045,23.047,0.25,0.25,0.98,NA,NA,7.82,NA,NA
"14","2020/11/12","09:29:01",NA,23.371,33.97,50.028,51887.661,1023.044,23.046,0.25,0.25,0.94,91.59,6.402,7.83,6.419,6.42
"15","2020/11/12","09:29:01",-0.3802,23.375,33.966,50.027,51881.89,1023.04,23.041,0.25,0.25,0.98,91.25,6.378,7.83,6.394,6.395
"16","2020/11/12","09:29:01",-0.3802,23.378,33.963,50.027,51878.202,1023.037,23.039,0.24,0.24,0.97,90.87,6.351,7.83,6.368,6.369
"17","2020/11/12","09:29:01",-0.3802,23.376,33.965,50.027,51880.836,1023.039,23.041,0.26,0.26,0.92,90.61,6.332,7.85,6.349,6.35
"18","2020/11/12","09:29:01",-0.3802,23.383,33.959,50.025,51871.131,1023.032,23.034,0.3,0.3,0.98,90.49,6.324,7.84,6.34,6.341
"19","2020/11/12","09:29:01",-0.3802,23.386,33.957,50.026,51868.647,1023.03,23.032,0.3,0.3,1.02,90.19,6.303,7.84,6.319,6.32
"20","2020/11/12","09:29:02",-0.3802,23.383,33.953,50.019,51863.776,1023.028,23.03,0.29,0.29,1.04,89.97,6.288,7.85,6.304,6.305
"21","2020/11/12","09:29:02",-0.3802,23.383,33.954,50.02,51864.952,1023.029,23.03,NA,NA,1.12,89.87,6.281,7.87,6.297,6.298
"22","2020/11/12","09:29:02",-0.3802,23.385,33.951,50.018,51860.566,1023.026,23.027,NA,NA,1.08,89.74,6.272,7.87,6.288,6.289
"23","2020/11/12","09:29:02",-0.3802,23.388,33.949,50.018,51857.16,1023.023,23.025,NA,NA,1.05,89.52,6.257,7.87,6.273,6.274
"24","2020/11/12","09:29:02",-0.3802,23.388,33.947,50.015,51854.419,1023.022,23.023,0.26,0.26,1,89.41,6.249,7.85,6.266,6.267
"25","2020/11/12","09:29:02",NA,23.386,33.948,50.015,51855.961,1023.023,23.025,0.25,0.25,0.94,89.29,6.242,7.87,6.258,6.259
"26","2020/11/12","09:29:02",NA,23.385,33.947,50.013,51855.392,1023.023,23.024,0.26,0.26,0.92,89.21,6.236,7.87,6.253,6.254
"27","2020/11/12","09:29:02",-0.3802,23.384,33.948,50.013,51856.448,1023.024,23.025,0.24,0.24,0.91,89.03,6.224,7.86,6.24,6.241
"28","2020/11/12","09:29:02",-0.3802,23.384,33.948,50.013,51855.69,1023.023,23.025,0.24,0.24,0.91,89.01,6.223,7.87,6.239,6.24
"29","2020/11/12","09:29:02",-0.3802,23.382,33.948,50.01,51856.277,1023.024,23.026,0.24,0.24,0.98,88.93,6.217,7.87,6.234,6.234
