"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","12:39:44",NA,24.945,34.595,52.468,52531.516,1023.05,23.052,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/11/12","12:39:44",NA,24.94,34.601,52.471,52540.394,1023.057,23.058,0.32,0.32,NA,NA,NA,NA,NA,NA
"3","2020/11/12","12:39:44",-0.3409,24.93,34.613,52.476,52557.083,1023.068,23.07,0.32,0.32,NA,NA,NA,NA,NA,NA
"4","2020/11/12","12:39:44",NA,24.927,34.614,52.474,52558.678,1023.07,23.071,0.31,0.31,1.08,NA,NA,NA,NA,NA
"5","2020/11/12","12:39:44",-0.3409,24.939,34.609,52.48,52550.31,1023.062,23.064,0.31,0.31,1.12,NA,NA,NA,NA,NA
"6","2020/11/12","12:39:44",NA,24.955,34.593,52.475,52527.4,1023.046,23.047,0.31,0.31,1.15,NA,NA,NA,NA,NA
"7","2020/11/12","12:39:44",-0.3409,24.958,34.585,52.467,52516.182,1023.039,23.04,0.31,0.31,1.19,NA,NA,NA,NA,NA
"8","2020/11/12","12:39:44",-0.3409,24.957,34.589,52.473,52522.182,1023.042,23.044,0.3,0.3,1.24,NA,NA,NA,NA,NA
"9","2020/11/12","12:39:44",-0.3409,24.947,34.609,52.489,52550.037,1023.06,23.062,0.3,0.3,1.34,NA,NA,NA,NA,NA
"10","2020/11/12","12:39:45",-0.3409,24.942,34.61,52.485,52551.712,1023.063,23.064,0.3,0.3,1.46,NA,NA,NA,NA,NA
"11","2020/11/12","12:39:45",-0.3409,24.944,34.604,52.479,52543.32,1023.057,23.059,0.3,0.3,1.51,NA,NA,7.79,NA,NA
"12","2020/11/12","12:39:45",-0.3409,24.946,34.599,52.474,52536.484,1023.053,23.055,0.3,0.3,1.46,NA,NA,7.79,NA,NA
"13","2020/11/12","12:39:45",-0.3409,24.941,34.602,52.474,52541.625,1023.057,23.058,0.3,0.3,1.45,112.64,7.643,7.8,7.664,7.665
"14","2020/11/12","12:39:45",-0.3409,24.937,34.606,52.475,52547.729,1023.061,23.063,0.29,0.29,1.51,112.77,7.651,7.82,7.672,7.674
"15","2020/11/12","12:39:45",-0.3409,24.934,34.601,52.464,52540.367,1023.058,23.06,0.29,0.29,1.49,112.83,7.656,7.82,7.677,7.678
"16","2020/11/12","12:39:45",-0.3409,24.931,34.597,52.456,52536.105,1023.056,23.058,0.28,0.28,1.42,112.96,7.664,7.82,7.685,7.687
"17","2020/11/12","12:39:45",-0.3409,24.924,34.595,52.446,52533.9,1023.057,23.058,0.27,0.27,1.36,113.02,7.668,7.82,7.689,7.691
"18","2020/11/12","12:39:45",-0.3409,24.916,34.598,52.441,52538.757,1023.061,23.063,0.27,0.27,1.31,112.95,7.663,7.82,7.684,7.685
"19","2020/11/12","12:39:45",-0.3409,24.907,34.603,52.439,52546.042,1023.067,23.069,0.27,0.27,1.31,112.98,7.663,7.81,7.684,7.686
"20","2020/11/12","12:39:46",-0.3409,24.904,34.607,52.441,52552.623,1023.072,23.073,0.28,0.28,1.29,113.17,7.676,7.83,7.697,7.698
"21","2020/11/12","12:39:46",NA,24.903,34.609,52.443,52555.525,1023.074,23.075,0.27,0.27,1.28,113.16,7.674,7.83,7.695,7.696
"22","2020/11/12","12:39:46",-0.3409,24.902,34.609,52.442,52555.354,1023.074,23.075,0.27,0.27,1.25,113.32,7.685,7.83,7.706,7.707
"23","2020/11/12","12:39:46",-0.3409,24.907,34.606,52.444,52551.433,1023.071,23.072,0.26,0.26,1.29,113.39,7.69,7.83,7.711,7.712
"24","2020/11/12","12:39:46",-0.3409,24.913,34.598,52.438,52538.85,1023.062,23.064,0.26,0.26,1.29,113.35,7.688,7.83,7.709,7.711
"25","2020/11/12","12:39:46",-0.3409,24.91,34.598,52.436,52539.595,1023.063,23.065,0.26,0.26,1.29,113.47,7.697,7.84,7.718,7.72
"26","2020/11/12","12:39:46",NA,24.903,34.598,52.429,52541.065,1023.066,23.067,0.26,0.26,1.29,113.51,7.699,7.84,7.721,7.722
"27","2020/11/12","12:39:46",-0.3409,24.89,34.609,52.43,52557.044,1023.078,23.079,0.26,0.26,1.29,113.51,7.7,7.85,7.721,7.723
"28","2020/11/12","12:39:46",NA,24.876,34.623,52.434,52577.502,1023.092,23.094,0.26,0.26,1.35,113.54,7.702,7.84,7.723,7.724
"29","2020/11/12","12:39:46",-0.3409,24.87,34.62,52.423,52573.724,1023.092,23.093,0.25,0.25,1.36,113.68,7.712,7.85,7.733,7.734
"30","2020/11/12","12:39:47",-0.3409,24.87,34.616,52.419,52569.399,1023.089,23.091,0.27,0.27,1.34,113.63,7.709,7.85,7.73,7.731
"31","2020/11/12","12:39:47",-0.3409,24.871,34.613,52.416,52565.028,1023.087,23.088,0.25,0.25,1.38,113.47,7.699,7.84,7.72,7.721
"32","2020/11/12","12:39:47",-0.3409,24.875,34.608,52.413,52557.496,1023.082,23.083,0.25,0.25,1.39,113.57,7.706,7.86,7.727,7.728
"33","2020/11/12","12:39:47",-0.3409,24.88,34.601,52.409,52547.607,1023.075,23.076,0.24,0.24,1.35,113.42,7.696,7.85,7.717,7.718
"34","2020/11/12","12:39:47",-0.3409,24.887,34.595,52.407,52538.353,1023.068,23.07,0.24,0.24,1.32,113.48,7.701,7.85,7.722,7.723
"35","2020/11/12","12:39:47",-0.3409,24.899,34.585,52.406,52523.461,1023.057,23.058,0.25,0.25,1.36,113.76,7.721,7.87,7.742,7.743
"36","2020/11/12","12:39:47",-0.3409,24.896,34.582,52.4,52520.229,1023.056,23.057,0.24,0.24,1.41,113.58,7.709,7.85,7.73,7.731
"37","2020/11/12","12:39:47",-0.3409,24.893,34.593,52.412,52535.131,1023.065,23.066,0.24,0.24,1.39,113.54,7.706,7.85,7.727,7.729
"38","2020/11/12","12:39:47",-0.3409,24.89,34.603,52.421,52548.284,1023.073,23.074,0.24,0.24,1.36,113.62,7.711,7.87,7.732,7.733
"39","2020/11/12","12:39:47",-0.3409,24.875,34.611,52.417,52561.793,1023.084,23.085,0.24,0.24,1.36,113.62,7.71,7.87,7.731,7.732
"40","2020/11/12","12:39:48",-0.3409,24.851,34.631,52.419,52591.084,1023.106,23.107,0.25,0.25,1.34,113.57,7.705,7.87,7.726,7.727
"41","2020/11/12","12:39:48",-0.3409,24.83,34.65,52.424,52620.25,1023.127,23.129,0.24,0.24,1.34,113.47,7.696,7.87,7.717,7.718
"42","2020/11/12","12:39:48",-0.3409,24.826,34.661,52.433,52634.471,1023.136,23.137,0.23,0.23,1.32,113.7,7.71,7.87,7.731,7.732
"43","2020/11/12","12:39:48",-0.3409,24.825,34.663,52.435,52638.443,1023.139,23.14,0.23,0.23,1.29,113.78,7.714,7.86,7.735,7.737
"44","2020/11/12","12:39:48",-0.3409,24.822,34.659,52.427,52632.522,1023.136,23.137,0.23,0.23,1.27,113.71,7.71,7.87,7.731,7.733
"45","2020/11/12","12:39:48",NA,24.846,34.634,52.418,52596.171,1023.11,23.111,0.23,0.23,1.31,113.75,7.714,7.87,7.736,7.737
"46","2020/11/12","12:39:48",NA,24.877,34.609,52.417,52559.07,1023.082,23.083,0.22,0.22,1.32,113.62,7.708,7.87,7.729,7.731
"47","2020/11/12","12:39:48",-0.3409,24.894,34.599,52.421,52543.381,1023.069,23.071,0.21,0.21,1.34,113.8,7.721,7.88,7.742,7.743
"48","2020/11/12","12:39:48",-0.3409,24.902,34.59,52.417,52529.889,1023.06,23.061,0.21,0.21,1.36,113.79,7.721,7.87,7.742,7.744
"49","2020/11/12","12:39:48",NA,24.903,34.585,52.411,52523.021,1023.055,23.057,0.22,0.22,1.28,113.77,7.72,7.88,7.741,7.743
"50","2020/11/12","12:39:49",-0.3409,24.899,34.596,52.421,52538.445,1023.065,23.067,0.21,0.21,1.31,113.86,7.726,7.89,7.747,7.748
"51","2020/11/12","12:39:49",-0.3409,24.894,34.603,52.426,52548.23,1023.072,23.073,0.22,0.22,1.42,113.76,7.717,7.87,7.738,7.74
"52","2020/11/12","12:39:49",-0.3409,24.89,34.603,52.422,52549.057,1023.073,23.075,0.22,0.22,1.46,113.6,7.705,7.88,7.726,7.727
"53","2020/11/12","12:39:49",-0.3409,24.887,34.603,52.419,52548.912,1023.074,23.075,0.21,0.21,1.45,113.69,7.71,7.88,7.731,7.732
"54","2020/11/12","12:39:49",NA,24.884,34.603,52.416,52549.575,1023.075,23.076,0.21,0.21,1.42,113.72,7.712,7.88,7.733,7.734
"55","2020/11/12","12:39:49",-0.3409,24.882,34.601,52.411,52547.703,1023.074,23.076,0.21,0.21,1.42,113.85,7.721,7.89,7.743,7.744
"56","2020/11/12","12:39:49",-0.3409,24.881,34.6,52.408,52545.389,1023.073,23.075,0.21,0.21,1.41,114.11,7.739,7.88,7.76,7.761
"57","2020/11/12","12:39:49",-0.3409,24.879,34.599,52.405,52544.74,1023.073,23.075,0.22,0.22,1.38,114.12,7.74,7.89,7.761,7.762
"58","2020/11/12","12:39:49",-0.3409,24.877,34.601,52.406,52547.437,1023.075,23.077,0.22,0.22,1.38,114,7.732,7.87,7.753,7.755
"59","2020/11/12","12:39:49",NA,24.88,34.609,52.419,52558.344,1023.081,23.082,0.21,0.21,1.46,114.02,7.733,7.89,7.754,7.756
"60","2020/11/12","12:39:50",-0.3409,24.881,34.613,52.427,52563.936,1023.084,23.085,0.21,0.21,NA,114.02,7.733,7.88,7.755,7.756
"61","2020/11/12","12:39:50",-0.3409,24.882,34.608,52.42,52556.033,1023.079,23.08,0.21,0.21,NA,113.89,7.725,7.87,7.746,7.747
"62","2020/11/12","12:39:50",-0.3409,24.884,34.596,52.407,52540.329,1023.07,23.071,0.21,0.21,NA,113.96,7.729,7.88,7.75,7.752
"63","2020/11/12","12:39:50",-0.3409,24.891,34.587,52.4,52526.838,1023.061,23.062,0.23,0.23,1.51,114.08,7.737,7.89,7.759,7.76
"64","2020/11/12","12:39:50",-0.3409,24.893,34.583,52.398,52521.301,1023.057,23.058,0.24,0.24,1.42,113.92,7.727,7.88,7.748,7.749
"65","2020/11/12","12:39:50",-0.3409,24.897,34.581,52.399,52517.96,1023.054,23.056,0.24,0.24,1.35,114,7.733,7.89,7.755,7.756
"66","2020/11/12","12:39:50",-0.3409,24.899,34.581,52.401,52517.811,1023.054,23.055,0.22,0.22,1.34,114.07,7.737,7.89,7.759,7.76
"67","2020/11/12","12:39:50",-0.3409,24.881,34.592,52.397,52535.165,1023.068,23.069,0.23,0.23,1.35,114.05,7.735,7.89,7.756,7.757
"68","2020/11/12","12:39:50",-0.3409,24.855,34.61,52.395,52562.334,1023.089,23.09,0.21,0.21,1.39,114.01,7.732,7.88,7.753,7.754
"69","2020/11/12","12:39:50",-0.3409,24.843,34.618,52.394,52575.374,1023.099,23.1,0.2,0.2,1.38,113.92,7.725,7.87,7.746,7.748
"70","2020/11/12","12:39:51",NA,24.835,34.622,52.39,52580.955,1023.104,23.106,0.2,0.2,1.32,113.95,7.726,7.89,7.747,7.748
"71","2020/11/12","12:39:51",-0.3409,24.828,34.627,52.391,52589.008,1023.11,23.111,0.21,0.21,1.29,114.07,7.733,7.89,7.755,7.756
"72","2020/11/12","12:39:51",NA,24.826,34.627,52.388,52589.113,1023.111,23.112,0.21,0.21,1.25,114.1,7.735,7.89,7.756,7.757
"73","2020/11/12","12:39:51",-0.3409,24.83,34.625,52.388,52585.365,1023.108,23.109,0.21,0.21,1.25,114.18,7.741,7.88,7.763,7.764
"74","2020/11/12","12:39:51",-0.3409,24.835,34.621,52.389,52579.994,1023.103,23.105,0.21,0.21,1.25,114.25,7.747,7.89,7.768,7.769
"75","2020/11/12","12:39:51",-0.3409,24.829,34.626,52.389,52587.475,1023.109,23.111,0.21,0.21,1.24,114.18,7.742,7.88,7.764,7.765
"76","2020/11/12","12:39:51",-0.3409,24.817,34.635,52.389,52600.854,1023.119,23.121,0.21,0.21,1.22,114.05,7.733,7.9,7.754,7.756
"77","2020/11/12","12:39:51",-0.3409,24.811,34.638,52.387,52605.484,1023.123,23.125,0.21,0.21,1.21,114.09,7.736,7.88,7.757,7.759
"78","2020/11/12","12:39:51",-0.3409,24.815,34.633,52.383,52597.97,1023.118,23.12,0.21,0.21,1.25,114.16,7.74,7.9,7.761,7.763
"79","2020/11/12","12:39:51",-0.3409,24.815,34.632,52.383,52596.704,1023.117,23.119,0.19,0.19,1.28,114.09,7.735,7.89,7.756,7.757
"80","2020/11/12","12:39:52",-0.3409,24.804,34.638,52.379,52606.605,1023.126,23.127,0.19,0.19,1.29,114.24,7.744,7.88,7.765,7.766
"81","2020/11/12","12:39:52",-0.3409,24.795,34.643,52.377,52613.907,1023.132,23.133,0.2,0.2,1.32,114.24,7.744,7.92,7.765,7.766
"82","2020/11/12","12:39:52",NA,24.793,34.644,52.376,52615.58,1023.133,23.135,0.19,0.19,1.34,114.25,7.744,7.88,7.765,7.767
"83","2020/11/12","12:39:52",-0.3409,24.798,34.64,52.375,52609.696,1023.129,23.13,0.2,0.2,1.36,114.18,7.74,7.92,7.761,7.762
"84","2020/11/12","12:39:52",NA,24.804,34.633,52.373,52599.975,1023.122,23.123,0.2,0.2,1.36,114.34,7.75,7.92,7.771,7.773
"85","2020/11/12","12:39:52",-0.3409,24.808,34.633,52.377,52599.92,1023.121,23.122,0.19,0.19,1.32,114.3,7.747,7.89,7.768,7.77
"86","2020/11/12","12:39:52",-0.3409,24.808,34.644,52.392,52613.982,1023.129,23.13,0.19,0.19,1.25,114.21,7.741,7.9,7.762,7.763
"87","2020/11/12","12:39:52",-0.3409,24.807,34.654,52.405,52628.267,1023.137,23.138,0.21,0.21,1.17,114.12,7.735,7.89,7.756,7.758
"88","2020/11/12","12:39:52",NA,24.804,34.664,52.414,52641.421,1023.145,23.147,0.19,0.19,1.09,114.2,7.74,7.89,7.761,7.763
"89","2020/11/12","12:39:52",-0.3409,24.793,34.695,52.445,52684.727,1023.172,23.173,0.19,0.19,NA,114.12,7.734,7.9,7.755,7.756
"90","2020/11/12","12:39:53",-0.3409,24.782,34.713,52.459,52711.226,1023.189,23.191,0.19,0.19,NA,114.09,7.731,7.89,7.752,7.754
"91","2020/11/12","12:39:53",NA,24.765,34.727,52.459,52731.58,1023.204,23.206,0.19,0.19,NA,113.97,7.723,7.89,7.744,7.746
"92","2020/11/12","12:39:53",NA,NA,NA,52.459,NA,NA,NA,0.18,0.18,NA,114.07,7.728,7.88,7.749,7.75
"93","2020/11/12","12:39:53",-0.3409,NA,NA,52.443,NA,NA,NA,0.18,0.18,NA,114.08,7.73,7.9,7.751,7.752
"94","2020/11/12","12:39:53",NA,NA,NA,52.476,NA,NA,NA,0.17,0.17,1.09,114.21,7.74,7.9,7.761,7.762
"95","2020/11/12","12:39:53",-0.3409,24.749,NA,52.487,NA,NA,NA,0.18,0.18,1.31,114.22,7.741,7.89,7.763,7.764
"96","2020/11/12","12:39:53",-0.3409,24.798,34.725,52.492,52725.291,1023.193,23.195,0.18,0.18,1.48,114.16,7.74,7.89,7.761,7.763
"97","2020/11/12","12:39:53",NA,24.845,34.68,52.478,52658.13,1023.145,23.146,0.18,0.18,1.38,114.24,7.748,7.92,7.769,7.77
"98","2020/11/12","12:39:53",-0.3409,24.855,34.671,52.477,52645.049,1023.135,23.137,0.18,0.18,1.17,114.16,7.74,7.88,7.761,7.762
"99","2020/11/12","12:39:53",-0.3409,24.849,34.698,52.507,52681.855,1023.157,23.159,0.18,0.18,1.17,114.08,7.731,7.9,7.752,7.753
"100","2020/11/12","12:39:54",-0.3409,24.849,34.694,52.502,52676.893,1023.154,23.156,0.17,0.17,1.41,114.23,7.741,7.89,7.762,7.763
"101","2020/11/12","12:39:54",-0.3409,24.86,34.681,52.496,52658.131,1023.141,23.143,0.18,0.18,1.58,114.3,7.746,7.92,7.767,7.768
"102","2020/11/12","12:39:54",-0.3409,24.864,34.678,52.496,52653.746,1023.138,23.139,0.18,0.18,1.55,114.36,7.751,7.89,7.773,7.774
"103","2020/11/12","12:39:54",-0.3409,24.864,34.677,52.494,52652.232,1023.137,23.139,0.16,0.16,1.36,114.36,7.755,7.9,7.776,7.777
"104","2020/11/12","12:39:54",-0.3409,24.866,34.668,52.484,52639.772,1023.13,23.131,0.17,0.17,1.38,114.42,7.761,7.89,7.783,7.784
"105","2020/11/12","12:39:54",-0.3409,24.874,34.663,52.485,52631.668,1023.123,23.125,0.18,0.18,1.44,114.42,7.764,7.9,7.785,7.786
"106","2020/11/12","12:39:54",NA,24.874,34.679,52.508,52653.531,1023.135,23.137,0.18,0.18,1.27,114.46,7.768,7.88,7.789,7.79
"107","2020/11/12","12:39:54",NA,24.88,34.68,52.515,52654.056,1023.134,23.136,0.17,0.17,1.15,114.54,7.774,7.89,7.795,7.796
"108","2020/11/12","12:39:54",-0.3409,24.87,34.684,52.51,52661.075,1023.141,23.142,0.17,0.17,1.17,114.67,7.783,7.88,7.804,7.806
"109","2020/11/12","12:39:54",-0.3409,24.852,34.693,52.504,52675.443,1023.153,23.154,0.18,0.18,1.17,114.84,7.794,7.88,7.815,7.817
"110","2020/11/12","12:39:55",-0.3409,24.845,34.694,52.498,52677.528,1023.156,23.157,0.17,0.17,1.24,114.76,7.788,7.89,7.809,7.811
"111","2020/11/12","12:39:55",-0.3409,24.876,34.668,52.495,52638.636,1023.127,23.128,0.18,0.18,1.41,114.83,7.792,7.88,7.814,7.815
"112","2020/11/12","12:39:55",NA,24.907,34.638,52.487,52594.309,1023.095,23.096,0.18,0.18,1.38,114.81,7.791,7.88,7.813,7.814
"113","2020/11/12","12:39:55",NA,24.915,34.631,52.485,52583.524,1023.087,23.088,0.18,0.18,1.36,115.04,NA,7.89,NA,NA
