"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/26","09:44:10",-0.3213,23.08,34.649,50.62,52852.393,1023.643,23.645,0.21,0.21,1.15,96.1,6.722,NA,6.74,6.741
"2","2020/11/26","09:44:10",-0.3213,23.081,34.65,50.622,52853.302,1023.644,23.645,0.22,0.22,1.08,95.86,6.706,NA,6.724,6.725
"3","2020/11/26","09:44:10",-0.3016,23.083,34.65,50.623,52852.656,1023.643,23.644,0.21,0.21,1.08,95.69,6.694,NA,6.711,6.713
"4","2020/11/26","09:44:10",-0.3016,23.084,34.648,50.622,52849.673,1023.641,23.642,0.21,0.21,1.14,95.67,6.693,NA,6.71,6.712
"5","2020/11/26","09:44:10",-0.3016,23.085,34.646,50.621,52847.285,1023.639,23.641,0.2,0.2,1.19,95.68,6.694,NA,6.712,6.713
"6","2020/11/26","09:44:10",-0.3016,23.086,34.645,50.621,52846.203,1023.639,23.64,0.2,0.2,1.17,95.46,6.679,NA,6.696,6.697
"7","2020/11/26","09:44:10",-0.3016,23.086,34.646,50.622,52847.313,1023.639,23.641,0.2,0.2,1.18,95.35,6.672,NA,6.689,6.69
"8","2020/11/26","09:44:10",-0.3016,23.087,34.644,50.62,52844.265,1023.637,23.639,0.2,0.2,1.24,95.28,6.667,NA,6.684,6.685
"9","2020/11/26","09:44:10",-0.3016,23.087,34.643,50.619,52842.804,1023.637,23.638,0.21,0.21,1.22,95.19,6.661,NA,6.678,6.679
"10","2020/11/26","09:44:11",-0.3016,23.088,34.644,50.621,52843.705,1023.637,23.638,0.22,0.22,1.27,95.1,6.654,NA,6.672,6.673
"11","2020/11/26","09:44:11",-0.3016,23.088,34.643,50.619,52841.946,1023.636,23.637,0.21,0.21,1.24,95,6.647,NA,6.664,6.665
"12","2020/11/26","09:44:11",-0.282,23.088,34.642,50.618,52841.16,1023.636,23.637,0.21,0.21,1.19,94.91,6.641,7.73,6.658,6.659
"13","2020/11/26","09:44:11",-0.3016,23.088,34.642,50.618,52840.702,1023.635,23.637,0.21,0.21,1.27,94.82,6.635,7.73,6.651,6.653
"14","2020/11/26","09:44:11",-0.3016,23.087,34.643,50.619,52842.456,1023.636,23.638,0.21,0.21,1.34,94.79,6.632,7.73,6.649,6.65
"15","2020/11/26","09:44:11",-0.3016,23.087,34.642,50.617,52840.698,1023.635,23.637,0.21,0.21,NA,94.74,6.629,7.73,6.646,6.647
"16","2020/11/26","09:44:11",-0.3016,23.087,34.642,50.617,52841.495,1023.636,23.637,0.21,0.21,NA,94.65,6.623,7.73,6.64,6.641
"17","2020/11/26","09:44:11",-0.3016,23.086,34.642,50.617,52841.996,1023.636,23.638,0.21,0.21,1.32,94.7,6.626,7.74,6.643,6.644
"18","2020/11/26","09:44:11",-0.3016,23.084,34.645,50.618,52845.292,1023.639,23.64,0.21,0.21,1.22,94.65,6.623,7.75,6.64,6.641
"19","2020/11/26","09:44:11",-0.3016,23.083,34.646,50.618,52846.705,1023.639,23.641,0.19,0.19,1.22,94.52,6.614,7.74,6.631,6.632
"20","2020/11/26","09:44:12",-0.282,23.083,34.646,50.618,52846.725,1023.64,23.641,0.21,0.21,1.22,94.43,6.607,7.74,6.624,6.625
"21","2020/11/26","09:44:12",-0.3016,23.083,34.645,50.617,52846.03,1023.639,23.641,0.21,0.21,1.22,94.35,6.602,7.74,6.619,6.62
"22","2020/11/26","09:44:12",-0.3016,23.082,34.646,50.616,52846.827,1023.64,23.641,0.21,0.21,1.24,94.22,6.593,7.77,6.61,6.611
"23","2020/11/26","09:44:12",-0.3016,23.082,34.645,50.616,52846.411,1023.64,23.641,0.21,0.21,1.15,94.26,6.595,7.77,6.612,6.613
"24","2020/11/26","09:44:12",-0.3016,23.08,34.646,50.616,52848.19,1023.641,23.642,0.23,0.23,1.09,94.32,6.6,7.76,6.617,6.618
"25","2020/11/26","09:44:12",-0.3016,23.082,34.645,50.615,52845.868,1023.639,23.641,0.24,0.24,1.07,94.26,6.596,7.78,6.613,6.614
"26","2020/11/26","09:44:12",-0.3213,23.084,34.644,50.617,52844.841,1023.638,23.64,0.24,0.24,1.05,94.15,6.589,7.78,6.606,6.607
"27","2020/11/26","09:44:12",-0.3016,23.085,34.641,50.614,52840.488,1023.636,23.637,0.21,0.21,1.11,94.16,6.589,7.77,6.606,6.607
"28","2020/11/26","09:44:12",-0.3016,23.084,34.641,50.613,52840.942,1023.636,23.638,0.21,0.21,1.14,94.12,6.587,7.78,6.604,6.605
"29","2020/11/26","09:44:12",-0.3213,23.085,34.641,50.614,52840.818,1023.636,23.637,0.21,0.21,1.19,94.19,6.591,7.79,6.608,6.609
"30","2020/11/26","09:44:13",-0.3016,23.084,34.643,50.616,52843.116,1023.637,23.639,0.2,0.2,1.21,94.15,6.589,7.78,6.606,6.607
"31","2020/11/26","09:44:13",-0.3213,23.079,34.645,50.613,52845.793,1023.64,23.641,0.2,0.2,1.19,94.08,6.584,7.78,6.601,6.602
"32","2020/11/26","09:44:13",-0.3016,23.075,34.647,50.612,52850.039,1023.643,23.644,0.21,0.21,1.21,94,6.578,7.78,6.595,6.596
"33","2020/11/26","09:44:13",-0.3213,23.073,34.648,50.612,52851.856,1023.644,23.646,0.21,0.21,1.22,93.9,6.571,7.79,6.588,6.589
"34","2020/11/26","09:44:13",-0.3016,23.074,34.648,50.612,52851.528,1023.644,23.646,0.21,0.21,1.17,93.95,6.575,7.8,6.592,6.593
"35","2020/11/26","09:44:13",-0.3016,23.073,34.648,50.611,52851.534,1023.644,23.646,0.21,0.21,1.12,93.97,6.577,7.79,6.593,6.594
"36","2020/11/26","09:44:13",-0.3016,23.073,34.649,50.612,52853.328,1023.645,23.647,0.19,0.19,1.12,93.93,6.573,7.79,6.59,6.591
"37","2020/11/26","09:44:13",-0.3213,23.072,34.65,50.613,52854.015,1023.646,23.647,0.19,0.19,1.14,93.92,6.573,7.8,6.59,6.591
"38","2020/11/26","09:44:13",-0.3213,23.073,34.652,50.615,52856.678,1023.647,23.649,0.21,0.21,1.07,93.84,6.567,7.79,6.584,6.585
"39","2020/11/26","09:44:13",-0.3213,23.074,34.652,50.617,52857.041,1023.647,23.649,0.22,0.22,1.02,93.84,6.567,7.8,6.584,6.585
"40","2020/11/26","09:44:14",-0.3213,23.075,34.649,50.614,52851.906,1023.644,23.645,0.21,0.21,0.98,93.82,6.566,7.79,6.583,6.584
"41","2020/11/26","09:44:14",-0.3213,23.076,34.648,50.614,52851.301,1023.644,23.645,0.21,0.21,0.97,93.74,6.561,7.78,6.577,6.579
