"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/26","11:03:14",-0.3802,NA,NA,46.452,NA,NA,NA,0.41,0.41,2.13,NA,NA,NA,NA,NA
"2","2020/11/26","11:03:14",-0.3802,NA,NA,46.454,NA,NA,NA,0.41,0.41,1.98,NA,NA,NA,NA,NA
"3","2020/11/26","11:03:14",-0.3998,NA,NA,46.462,NA,NA,NA,0.41,0.41,1.91,NA,NA,NA,NA,NA
"4","2020/11/26","11:03:14",-0.3998,NA,NA,46.473,NA,NA,NA,0.41,0.41,1.89,NA,NA,NA,NA,NA
"5","2020/11/26","11:03:14",-0.3998,NA,NA,46.474,NA,NA,NA,0.41,0.41,1.86,NA,NA,NA,NA,NA
"6","2020/11/26","11:03:14",-0.3802,NA,NA,46.473,NA,NA,NA,0.41,0.41,1.83,NA,NA,NA,NA,NA
"7","2020/11/26","11:03:14",-0.3802,NA,30.301,46.465,46691.03,NA,NA,0.41,0.41,1.82,NA,NA,NA,NA,NA
"8","2020/11/26","11:03:14",-0.3998,NA,30.295,46.46,46682.675,NA,NA,0.4,0.4,1.75,NA,NA,NA,NA,NA
"9","2020/11/26","11:03:14",-0.3802,NA,30.29,46.453,46676.386,NA,NA,0.4,0.4,1.76,NA,NA,NA,NA,NA
"10","2020/11/26","11:03:15",-0.3998,24.791,30.28,46.447,46661.541,1019.839,19.841,0.41,0.41,1.75,NA,6.988,NA,7.008,7.008
"11","2020/11/26","11:03:15",-0.3802,24.796,30.274,46.444,46653.225,1019.833,19.835,0.41,0.41,1.73,100.26,6.982,NA,7.001,7.002
"12","2020/11/26","11:03:15",-0.3802,24.797,30.271,46.44,46648.738,1019.831,19.832,0.41,0.41,1.66,100.05,6.967,NA,6.987,6.987
"13","2020/11/26","11:03:15",-0.3802,24.798,30.267,46.435,46642.832,1019.827,19.829,0.4,0.4,1.72,99.96,6.961,NA,6.98,6.981
"14","2020/11/26","11:03:15",-0.3802,24.797,30.267,46.434,46642.878,1019.828,19.829,0.4,0.4,1.69,99.85,6.952,NA,6.971,6.972
"15","2020/11/26","11:03:15",-0.3998,24.798,30.272,46.443,46650.277,1019.831,19.833,0.41,0.41,1.66,99.66,6.938,7.75,6.957,6.958
"16","2020/11/26","11:03:15",-0.3998,24.803,30.272,46.446,46648.521,1019.829,19.831,0.4,0.4,1.73,99.47,6.925,NA,6.944,6.945
"17","2020/11/26","11:03:15",-0.3998,24.805,30.267,46.442,46641.64,1019.825,19.827,0.4,0.4,1.72,99.36,6.917,7.76,6.936,6.937
"18","2020/11/26","11:03:15",-0.3998,24.805,30.269,46.445,46644.284,1019.826,19.828,0.38,0.38,1.78,99.11,6.9,7.76,6.919,6.92
"19","2020/11/26","11:03:15",-0.3998,24.805,30.269,46.444,46644.418,1019.826,19.828,0.38,0.38,1.76,99.03,6.894,7.77,6.913,6.914
"20","2020/11/26","11:03:16",-0.3998,24.805,30.269,46.445,46644.779,1019.827,19.828,0.38,0.38,1.79,99.01,6.893,7.76,6.912,6.913
"21","2020/11/26","11:03:16",-0.3998,24.805,30.267,46.442,46642.621,1019.826,19.827,0.39,0.39,1.78,98.86,6.882,7.78,6.901,6.902
"22","2020/11/26","11:03:16",-0.3998,24.806,30.266,46.441,46640.645,1019.824,19.826,0.39,0.39,1.78,98.76,6.876,7.77,6.895,6.895
"23","2020/11/26","11:03:16",-0.3998,24.808,30.266,46.443,46640,1019.823,19.825,0.38,0.38,1.76,98.62,6.866,7.77,6.885,6.886
"24","2020/11/26","11:03:16",-0.3998,24.808,30.26,46.436,46632.363,1019.819,19.821,0.39,0.39,1.85,98.63,6.867,7.78,6.886,6.887
"25","2020/11/26","11:03:16",-0.3802,24.809,30.256,46.431,46627.052,1019.816,19.818,0.38,0.38,1.82,98.61,6.866,7.76,6.885,6.886
"26","2020/11/26","11:03:16",-0.4194,24.808,30.258,46.432,46628.746,1019.817,19.819,0.37,0.37,1.89,98.43,6.854,7.76,6.873,6.873
"27","2020/11/26","11:03:16",-0.3802,24.807,30.254,46.426,46624.039,1019.815,19.817,0.37,0.37,1.83,98.35,6.848,7.78,6.867,6.867
"28","2020/11/26","11:03:16",-0.3998,24.805,30.254,46.425,46624.415,1019.815,19.817,0.38,0.38,1.73,98.36,6.848,7.79,6.867,6.868
"29","2020/11/26","11:03:16",-0.3998,24.802,30.256,46.424,46626.835,1019.817,19.819,0.38,0.38,1.78,98.29,6.843,7.79,6.862,6.862
"30","2020/11/26","11:03:17",-0.3998,24.8,30.252,46.417,46622.477,1019.816,19.817,0.38,0.38,1.75,98.18,6.835,7.79,6.854,6.854
"31","2020/11/26","11:03:17",-0.3998,24.796,30.251,46.412,46621.359,1019.816,19.818,0.38,0.38,1.76,98.21,6.837,7.79,6.856,6.856
"32","2020/11/26","11:03:17",-0.3802,24.794,30.254,46.413,46624.558,1019.818,19.82,0.36,0.36,1.69,98.09,6.828,7.79,6.847,6.848
"33","2020/11/26","11:03:17",-0.3802,24.795,30.252,46.411,46621.715,1019.817,19.818,0.35,0.35,1.64,97.97,6.82,7.79,6.839,6.839
"34","2020/11/26","11:03:17",-0.3802,24.797,30.246,46.406,46614.543,1019.812,19.814,0.36,0.36,1.71,97.94,6.818,7.8,6.837,6.837
"35","2020/11/26","11:03:17",-0.3998,24.799,30.244,46.405,46611.077,1019.81,19.811,0.38,0.38,1.96,97.87,6.813,7.79,6.832,6.832
"36","2020/11/26","11:03:17",-0.3802,24.802,30.24,46.402,46605.512,1019.806,19.808,0.37,0.37,1.91,97.84,6.811,7.81,6.83,6.83
"37","2020/11/26","11:03:17",-0.3998,24.803,30.238,46.399,46601.691,1019.804,19.805,0.37,0.37,1.82,97.76,6.806,7.82,6.825,6.825
"38","2020/11/26","11:03:17",-0.3998,24.803,30.238,46.4,46601.494,1019.803,19.805,0.36,0.36,1.78,97.64,6.797,7.79,6.816,6.816
"39","2020/11/26","11:03:17",-0.3802,24.805,30.238,46.402,46601.853,1019.803,19.805,0.37,0.37,1.69,97.6,6.794,7.79,6.813,6.814
"40","2020/11/26","11:03:18",-0.3802,24.805,30.238,46.402,46601.617,1019.803,19.805,0.38,0.38,1.68,97.57,6.792,7.79,6.811,6.812
"41","2020/11/26","11:03:18",-0.3998,24.805,30.236,46.399,46598.745,1019.801,19.803,0.36,0.36,1.71,97.51,6.788,7.79,6.807,6.808
"42","2020/11/26","11:03:18",-0.3802,24.804,30.235,46.398,46598.576,1019.802,19.803,0.36,0.36,1.73,97.53,6.79,7.79,6.809,6.81
"43","2020/11/26","11:03:18",-0.3998,24.805,30.234,46.397,46596.463,1019.8,19.802,0.37,0.37,1.73,97.57,6.793,7.8,6.811,6.812
"44","2020/11/26","11:03:18",-0.3802,24.805,30.232,46.394,46594.151,1019.799,19.801,0.38,0.38,1.78,97.42,6.783,7.8,6.801,6.802
"45","2020/11/26","11:03:18",-0.3998,24.805,30.23,46.391,46591.488,1019.798,19.799,0.36,0.36,1.86,97.41,6.782,7.79,6.801,6.802
"46","2020/11/26","11:03:18",-0.3998,24.803,30.232,46.392,46593.295,1019.799,19.801,0.37,0.37,1.75,97.3,6.774,7.8,6.793,6.794
