"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.56,NA,NA,NA,NA
"2","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.58,NA,NA,NA,NA
"3","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,95.58,NA,NA,NA,NA
"4","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.47,NA,NA,NA,NA
"5","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.57,NA,NA,NA,NA
"6","2020/12/10","09:48:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,NA,NA,NA,NA
"7","2020/12/10","09:48:55",-0.439,NA,NA,NA,NA,NA,NA,0.49,0.49,NA,96.07,7.257,NA,7.275,7.275
"8","2020/12/10","09:48:55",-0.4194,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,6.828,NA,6.844,6.845
"9","2020/12/10","09:48:55",-0.3998,NA,NA,48.599,NA,NA,NA,NA,NA,NA,95.81,6.862,NA,6.879,6.88
"10","2020/12/10","09:48:56",-0.3998,NA,NA,48.619,NA,NA,NA,NA,NA,NA,95.52,6.84,NA,6.856,6.857
"11","2020/12/10","09:48:56",-0.4194,NA,NA,48.623,NA,NA,NA,NA,NA,NA,95.34,6.825,NA,6.842,6.843
"12","2020/12/10","09:48:56",-0.3998,NA,33.816,48.616,51852.496,NA,NA,NA,NA,NA,95.12,6.808,NA,6.824,6.825
"13","2020/12/10","09:48:56",-0.3998,22.177,33.789,48.596,51813.944,1023.247,23.249,0.54,0.54,3.8,94.87,6.791,NA,6.807,6.808
"14","2020/12/10","09:48:56",-0.3998,22.184,33.79,48.604,51814.025,1023.246,23.247,0.52,0.52,3.6,94.79,6.784,NA,6.8,6.801
