"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/10","08:11:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.03,NA,NA,NA,NA
"2","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.98,NA,NA,NA,NA
"3","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.97,NA,NA,NA,NA
"4","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA
"5","2020/12/10","08:11:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.04,NA,NA,NA,NA
"6","2020/12/10","08:11:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.98,NA,NA,NA,NA
"7","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.02,NA,NA,NA,NA
"8","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.03,NA,NA,NA,NA
"9","2020/12/10","08:11:57",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.86,NA,NA,NA,NA
"10","2020/12/10","08:11:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.52,8.016,NA,8.034,NA
"11","2020/12/10","08:11:58",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,8.006,NA,8.024,8.024
"12","2020/12/10","08:11:58",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.38,8.005,NA,8.023,8.024
"13","2020/12/10","08:11:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,7.999,NA,8.017,8.017
"14","2020/12/10","08:11:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.26,7.996,NA,8.014,8.014
"15","2020/12/10","08:11:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.21,7.993,NA,8.01,8.011
"16","2020/12/10","08:11:58",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.29,8,7.62,8.018,8.018
"17","2020/12/10","08:11:58",-0.4979,NA,NA,NA,NA,998.86,-1.138,NA,NA,NA,91.63,7.967,7.62,7.985,7.985
"18","2020/12/10","08:11:58",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.72,7.955,7.63,7.973,7.974
"19","2020/12/10","08:11:58",-0.4979,NA,NA,2.686,NA,NA,NA,NA,NA,NA,91.74,7.953,7.62,7.971,7.972
"20","2020/12/10","08:11:59",NA,NA,1.473,2.666,2861.322,NA,NA,NA,NA,NA,91.79,7.955,7.63,7.973,7.974
"21","2020/12/10","08:11:59",-0.4979,21.961,1.467,2.658,2848.603,998.893,-1.105,1.16,1.16,NA,91.88,7.961,7.62,7.979,7.979
"22","2020/12/10","08:11:59",-0.4979,21.987,1.467,2.66,2849.258,998.887,-1.111,1.16,1.16,4.23,91.89,7.96,NA,7.978,7.978
"23","2020/12/10","08:11:59",-0.4979,22.001,1.467,2.66,2848.07,998.883,-1.114,1.12,1.12,3.94,92.01,7.97,7.64,7.988,7.988
"24","2020/12/10","08:11:59",-0.4979,22.007,1.465,2.659,2846.061,998.881,-1.117,1.13,1.13,3.8,92.04,7.971,7.63,7.99,7.99
"25","2020/12/10","08:11:59",-0.4979,22.007,1.465,2.658,2845.122,998.881,-1.117,1.14,1.14,3.67,92.02,7.968,7.64,7.986,7.986
"26","2020/12/10","08:11:59",-0.4979,22.009,1.467,2.662,2849.676,998.882,-1.116,1.13,1.13,3.61,92,7.965,7.63,7.983,7.983
