"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA
"2","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25,NA,NA,NA,NA
"4","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020/12/10","10:49:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA
"19","2020/12/10","10:49:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,95.24,NA,NA,NA,NA
"20","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA
"21","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020/12/10","10:49:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020/12/10","10:49:20",-0.4194,NA,NA,NA,NA,NA,NA,0.28,0.28,NA,NA,NA,7.64,NA,NA
"30","2020/12/10","10:49:21",-0.3998,NA,NA,50.612,NA,NA,NA,0.34,0.34,NA,NA,NA,7.64,NA,NA
"31","2020/12/10","10:49:21",-0.3998,NA,NA,50.634,NA,NA,NA,0.36,0.36,NA,NA,NA,7.65,NA,NA
"32","2020/12/10","10:49:21",-0.3802,23.21,34.545,50.617,52692.58,1023.527,23.528,0.34,0.34,NA,NA,6.698,7.65,6.715,6.716
"33","2020/12/10","10:49:21",-0.3802,23.278,34.466,50.583,52574.576,1023.446,23.448,0.33,0.33,NA,95.21,6.681,7.64,6.698,6.699
"34","2020/12/10","10:49:21",-0.3998,23.297,34.463,50.598,52568.385,1023.439,23.441,0.32,0.32,1.12,NA,6.686,7.66,6.703,6.704
"35","2020/12/10","10:49:21",-0.3802,23.282,34.483,50.61,52597.277,1023.458,23.46,0.32,0.32,1.01,NA,6.676,7.64,6.694,6.695
"36","2020/12/10","10:49:21",-0.3802,23.265,34.471,50.576,52583.901,1023.454,23.456,0.32,0.32,0.91,95.05,6.648,7.64,6.665,6.666
"37","2020/12/10","10:49:21",-0.3998,23.256,34.506,50.612,52632.032,1023.483,23.485,0.33,0.33,0.85,94.67,6.616,7.65,6.633,6.634
"38","2020/12/10","10:49:21",-0.3998,23.258,34.512,50.623,52641.072,1023.488,23.489,0.32,0.32,0.87,94.32,6.589,7.66,6.606,6.607
"39","2020/12/10","10:49:21",-0.3998,23.275,34.496,50.62,52616.692,1023.471,23.472,0.31,0.31,0.87,93.89,6.558,7.66,6.575,6.576
"40","2020/12/10","10:49:22",-0.3998,23.291,34.496,50.636,52614.157,1023.466,23.468,0.32,0.32,0.87,93.68,6.543,NA,6.56,6.561
"41","2020/12/10","10:49:22",-0.3802,23.305,34.483,50.633,52593.713,1023.451,23.453,0.31,0.31,1,93.42,6.524,7.65,6.541,6.542
"42","2020/12/10","10:49:22",-0.3802,23.313,34.483,50.641,52593.484,1023.45,23.451,0.33,0.33,1.11,93.21,6.51,7.65,6.527,6.528
"43","2020/12/10","10:49:22",-0.3998,23.313,34.481,50.639,52590.413,1023.448,23.449,0.32,0.32,0.92,93.05,6.499,7.66,6.516,6.517
"44","2020/12/10","10:49:22",-0.3998,23.322,34.48,50.647,52588.339,1023.445,23.446,0.31,0.31,0.84,92.91,6.489,7.66,6.506,6.507
"45","2020/12/10","10:49:22",-0.3802,23.325,34.481,50.651,52588.624,1023.444,23.446,0.31,0.31,0.8,92.77,6.48,7.66,6.496,6.497
"46","2020/12/10","10:49:22",-0.3802,23.317,34.49,50.654,52601.742,1023.453,23.455,0.31,0.31,0.84,92.62,6.469,7.67,6.486,6.487
"47","2020/12/10","10:49:22",-0.3802,23.3,34.508,50.66,52629.007,1023.472,23.474,0.31,0.31,0.81,92.46,6.458,7.66,6.474,6.475
"48","2020/12/10","10:49:22",-0.3802,23.293,34.51,50.656,52633.483,1023.476,23.478,0.32,0.32,0.8,92.33,6.449,7.66,6.466,6.467
"49","2020/12/10","10:49:22",-0.3802,23.299,34.499,50.647,52616.549,1023.465,23.467,0.34,0.34,0.8,92.28,6.448,7.66,6.464,6.465
"50","2020/12/10","10:49:23",-0.3605,23.294,34.499,50.643,52617.409,1023.467,23.469,0.33,0.33,0.81,92.17,6.442,7.67,6.458,6.459
"51","2020/12/10","10:49:23",-0.3802,23.292,34.506,50.649,52626.83,1023.473,23.474,0.34,0.34,0.84,92.16,6.442,7.66,6.458,6.459
"52","2020/12/10","10:49:23",-0.3802,23.287,34.506,50.645,52627.846,1023.474,23.476,0.34,0.34,0.8,92.23,6.448,7.66,6.465,6.466
"53","2020/12/10","10:49:23",-0.3802,23.281,34.5,50.631,52621.53,1023.472,23.474,0.32,0.32,0.78,92.02,6.435,7.66,6.452,6.453
"54","2020/12/10","10:49:23",-0.3605,23.28,34.494,50.622,52613.118,1023.468,23.469,0.33,0.33,0.78,92.02,6.437,7.66,6.453,6.454
"55","2020/12/10","10:49:23",-0.3605,23.281,34.486,50.612,52601.288,1023.461,23.462,0.31,0.31,0.78,91.88,6.428,7.67,6.445,6.446
"56","2020/12/10","10:49:23",-0.3605,23.267,34.493,50.608,52613.686,1023.471,23.472,0.32,0.32,0.81,91.8,6.421,7.67,6.438,6.439
"57","2020/12/10","10:49:23",-0.3802,23.248,34.503,50.601,52629.525,1023.483,23.485,0.32,0.32,0.88,91.71,6.415,7.66,6.432,6.433
"58","2020/12/10","10:49:23",-0.3802,23.247,34.5,50.596,52625.287,1023.481,23.483,0.33,0.33,0.9,91.68,6.414,7.68,6.43,6.431
"59","2020/12/10","10:49:23",-0.3802,23.245,34.498,50.591,52623.265,1023.481,23.482,0.33,0.33,0.9,91.58,6.407,7.66,6.424,6.425
"60","2020/12/10","10:49:24",-0.3802,23.246,34.5,50.595,52625.091,1023.481,23.483,0.31,0.31,0.88,91.5,6.403,7.68,6.419,6.42
"61","2020/12/10","10:49:24",-0.3802,23.254,34.501,50.604,52626.221,1023.48,23.482,0.31,0.31,0.8,91.48,6.401,7.69,6.418,6.419
"62","2020/12/10","10:49:24",-0.3802,23.259,34.498,50.607,52621.806,1023.477,23.478,0.31,0.31,0.77,91.37,6.394,7.67,6.41,6.411
"63","2020/12/10","10:49:24",-0.3802,23.258,34.499,50.606,52622.608,1023.478,23.479,0.31,0.31,0.95,91.31,6.39,7.66,6.406,6.407
"64","2020/12/10","10:49:24",-0.3802,23.253,34.502,50.606,52627.94,1023.481,23.483,0.32,0.32,1.17,91.35,6.395,7.66,6.411,6.412
"65","2020/12/10","10:49:24",-0.3802,23.254,34.497,50.599,52620.374,1023.477,23.479,0.31,0.31,0.92,91.45,6.405,7.66,6.421,6.422
"66","2020/12/10","10:49:24",-0.3802,23.258,34.489,50.592,52609.056,1023.47,23.472,0.29,0.29,0.85,91.38,6.403,7.69,6.42,6.421
"67","2020/12/10","10:49:24",-0.3802,23.257,34.483,50.585,52601.753,1023.466,23.468,0.31,0.31,0.92,91.24,6.394,7.65,6.411,6.412
"68","2020/12/10","10:49:24",-0.3605,23.258,34.478,50.579,52594.74,1023.462,23.464,0.31,0.31,0.82,91.2,6.393,7.68,6.409,6.41
"69","2020/12/10","10:49:24",-0.3802,23.26,34.474,50.575,52588.708,1023.458,23.46,0.29,0.29,0.8,91.22,6.394,7.67,6.41,6.411
"70","2020/12/10","10:49:25",-0.3802,23.264,34.468,50.572,52580.448,1023.453,23.454,0.31,0.31,0.81,91.19,6.391,7.66,6.408,6.409
"71","2020/12/10","10:49:25",-0.3802,23.266,34.462,50.566,52571.128,1023.447,23.449,0.31,0.31,0.75,91.14,6.387,7.67,6.403,6.404
"72","2020/12/10","10:49:25",-0.3998,23.263,34.463,50.564,52572.719,1023.448,23.45,0.29,0.29,0.77,91.09,6.381,7.67,6.397,6.398
"73","2020/12/10","10:49:25",-0.3802,23.258,34.463,50.559,52573.818,1023.45,23.452,0.29,0.29,0.81,90.99,6.372,7.67,6.388,6.389
"74","2020/12/10","10:49:25",-0.3998,23.255,34.46,50.553,52570.503,1023.449,23.451,0.32,0.32,0.84,91.06,6.376,7.7,6.393,6.394
"75","2020/12/10","10:49:25",-0.3802,23.257,34.456,50.549,52564.819,1023.445,23.447,0.31,0.31,0.78,91.12,6.381,7.66,6.397,6.398
"76","2020/12/10","10:49:25",-0.3802,23.256,34.452,50.542,52558.663,1023.442,23.444,0.32,0.32,0.84,91.02,6.371,7.67,6.388,6.389
"77","2020/12/10","10:49:25",-0.3802,23.257,34.447,50.536,52552.189,1023.438,23.44,0.31,0.31,0.88,90.99,6.366,7.69,6.383,6.384
"78","2020/12/10","10:49:25",-0.3802,23.255,34.445,50.532,52549.787,1023.437,23.439,0.32,0.32,0.91,91.03,6.368,7.68,6.384,6.385
"79","2020/12/10","10:49:25",-0.3998,23.256,34.44,50.526,52542.838,1023.433,23.435,0.31,0.31,0.9,90.91,6.359,7.67,6.375,6.376
"80","2020/12/10","10:49:26",-0.3998,23.256,34.44,50.527,52542.774,1023.433,23.435,0.31,0.31,0.77,90.88,6.357,7.69,6.374,6.375
"81","2020/12/10","10:49:26",-0.3998,23.256,34.44,50.527,52543.115,1023.433,23.435,0.31,0.31,0.72,90.84,6.355,7.66,6.372,6.373
"82","2020/12/10","10:49:26",-0.3998,23.255,34.434,50.518,52535.278,1023.429,23.431,0.32,0.32,0.7,90.77,6.351,7.66,6.367,6.368
"83","2020/12/10","10:49:26",-0.3998,23.252,34.431,50.511,52531.703,1023.428,23.43,0.31,0.31,0.67,90.71,6.346,7.66,6.362,6.363
"84","2020/12/10","10:49:26",-0.3998,23.25,34.431,50.509,52532.187,1023.429,23.43,0.31,0.31,0.64,90.78,6.35,7.67,6.367,6.368
"85","2020/12/10","10:49:26",-0.3802,23.237,34.461,50.536,52574.648,1023.455,23.457,0.3,0.3,0.7,90.68,6.341,7.66,6.357,6.358
"86","2020/12/10","10:49:26",-0.3998,23.234,34.498,50.58,52624.325,1023.483,23.485,0.3,0.3,0.71,90.64,6.336,7.66,6.352,6.353
"87","2020/12/10","10:49:26",-0.3802,23.238,34.482,50.564,52603.013,1023.471,23.472,0.28,0.28,0.77,90.66,6.339,7.65,6.355,6.356
"88","2020/12/10","10:49:26",-0.3998,23.239,34.49,50.575,52613.547,1023.476,23.478,0.29,0.29,0.71,90.6,6.334,7.67,6.35,6.351
"89","2020/12/10","10:49:26",-0.3998,23.242,34.495,50.585,52620.282,1023.48,23.481,0.31,0.31,0.71,90.58,6.333,7.67,6.349,6.35
"90","2020/12/10","10:49:27",-0.3998,23.241,34.525,50.622,52660.118,1023.502,23.504,0.32,0.32,0.68,90.62,6.334,7.68,6.35,6.351
"91","2020/12/10","10:49:27",-0.3802,23.234,34.522,50.611,52656.942,1023.502,23.503,0.29,0.29,0.7,90.63,6.335,7.66,6.351,6.352
"92","2020/12/10","10:49:27",-0.3998,23.223,34.538,50.621,52680.046,1023.517,23.519,0.29,0.29,0.65,90.59,6.331,7.68,6.348,6.349
"93","2020/12/10","10:49:27",-0.3802,23.221,34.531,50.609,52671.126,1023.512,23.514,0.28,0.28,0.64,90.66,6.338,7.67,6.354,6.355
"94","2020/12/10","10:49:27",-0.3998,23.225,34.54,50.625,52683.255,1023.518,23.52,0.26,0.26,0.65,90.61,6.334,7.65,6.35,6.351
"95","2020/12/10","10:49:27",-0.3802,23.218,34.544,50.623,52689.289,1023.523,23.525,0.28,0.28,0.71,90.58,6.33,7.66,6.346,6.347
"96","2020/12/10","10:49:27",-0.3802,23.221,34.537,50.618,52679.799,1023.517,23.519,0.31,0.31,0.67,90.66,6.333,7.66,6.349,6.35
"97","2020/12/10","10:49:27",-0.3802,23.244,34.518,50.617,52650.625,1023.496,23.498,0.29,0.29,0.64,90.65,6.332,7.67,6.348,6.349
"98","2020/12/10","10:49:27",-0.3802,23.257,34.503,50.611,52628.777,1023.481,23.483,0.28,0.28,0.63,90.7,6.336,7.66,6.352,6.353
"99","2020/12/10","10:49:27",-0.3802,23.224,34.528,50.609,52666.691,1023.509,23.511,0.27,0.27,0.67,90.63,6.331,7.67,6.347,6.348
"100","2020/12/10","10:49:28",-0.3802,23.202,34.544,50.608,52692.36,1023.528,23.53,0.28,0.28,0.71,90.54,6.326,7.68,6.342,6.343
"101","2020/12/10","10:49:28",-0.3802,23.191,34.547,50.601,52697.312,1023.533,23.535,0.27,0.27,0.7,90.49,6.325,7.67,6.341,6.342
"102","2020/12/10","10:49:28",-0.3802,23.211,34.527,50.595,52667.873,1023.513,23.514,0.28,0.28,0.65,90.53,6.33,7.68,6.347,6.348
"103","2020/12/10","10:49:28",-0.3802,23.236,34.498,50.582,52624.713,1023.483,23.485,0.28,0.28,0.67,90.5,6.331,7.68,6.347,6.348
