"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","09:47:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/12/24","09:47:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/12/24","09:47:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020/12/24","09:47:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/12/24","09:47:18",-0.4587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/12/24","09:47:18",-0.4783,NA,NA,49.565,NA,NA,NA,0.31,0.31,NA,NA,NA,NA,NA,NA
"7","2020/12/24","09:47:18",-0.4587,NA,NA,49.575,NA,NA,NA,0.27,0.27,NA,NA,NA,NA,NA,NA
"8","2020/12/24","09:47:18",-0.4783,NA,NA,49.561,NA,NA,NA,0.27,0.27,NA,NA,NA,NA,NA,NA
"9","2020/12/24","09:47:18",-0.4783,NA,NA,49.555,NA,NA,NA,0.26,0.26,0.81,NA,NA,NA,NA,NA
"10","2020/12/24","09:47:19",-0.4783,22.421,34.337,49.544,52525.039,1023.594,23.596,0.24,0.24,0.67,NA,NA,NA,NA,NA
"11","2020/12/24","09:47:19",-0.4587,22.448,34.336,49.57,52518.666,1023.585,23.587,0.24,0.24,0.61,NA,NA,NA,NA,NA
"12","2020/12/24","09:47:19",-0.4783,22.454,34.335,49.575,52516.339,1023.583,23.585,0.24,0.24,0.63,NA,NA,NA,NA,NA
"13","2020/12/24","09:47:19",-0.4783,22.453,34.315,49.548,52489.73,1023.568,23.57,0.25,0.25,0.7,NA,NA,NA,NA,NA
"14","2020/12/24","09:47:19",-0.4587,22.457,34.338,49.582,52520.039,1023.584,23.586,0.24,0.24,0.71,NA,NA,NA,NA,NA
"15","2020/12/24","09:47:19",-0.4587,22.456,34.343,49.588,52527.994,1023.589,23.591,0.25,0.25,0.74,NA,NA,NA,NA,NA
"16","2020/12/24","09:47:19",-0.4587,22.455,34.342,49.585,52525.345,1023.588,23.59,0.25,0.25,0.88,NA,NA,NA,NA,NA
"17","2020/12/24","09:47:19",NA,22.453,34.336,49.575,52517.699,1023.584,23.586,0.26,0.26,0.94,NA,NA,NA,NA,NA
