"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","13:33:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA
"2","2020/12/24","13:33:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA
"3","2020/12/24","13:33:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020/12/24","13:33:06",-0.4783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/12/24","13:33:06",-0.4587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/12/24","13:33:06",-0.4194,NA,NA,48.161,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA
"7","2020/12/24","13:33:06",-0.439,NA,NA,48.174,NA,NA,NA,0.35,0.35,NA,NA,NA,NA,NA,NA
"8","2020/12/24","13:33:06",-0.439,NA,NA,48.174,NA,NA,NA,0.35,0.35,NA,97.99,7.093,NA,7.11,7.111
"9","2020/12/24","13:33:06",-0.439,NA,NA,48.169,NA,NA,NA,0.36,0.36,2.32,98.33,7.118,NA,7.135,7.136
"10","2020/12/24","13:33:07",-0.4194,NA,34.103,48.17,52372.502,1023.713,23.715,0.36,0.36,1.99,98.56,7.134,NA,7.151,7.151
"11","2020/12/24","13:33:07",-0.4194,21.357,34.105,48.177,52375.177,1023.714,23.716,0.36,0.36,1.93,98.66,7.141,NA,7.158,7.158
"12","2020/12/24","13:33:07",-0.439,21.359,34.101,48.173,52368.84,1023.71,23.712,0.35,0.35,1.78,NA,NA,NA,NA,NA
"13","2020/12/24","13:33:07",-0.4194,21.361,34.101,48.176,52368.066,1023.709,23.711,0.34,0.34,1.78,NA,NA,NA,NA,NA
"14","2020/12/24","13:33:07",-0.4194,21.372,34.094,48.179,52357.852,1023.702,23.703,0.33,0.33,1.75,NA,NA,NA,7.161,NA
"15","2020/12/24","13:33:07",-0.3998,21.378,34.09,48.18,52350.741,1023.696,23.698,0.33,0.33,1.69,NA,NA,NA,NA,NA
"16","2020/12/24","13:33:07",-0.3998,21.38,34.089,48.18,52349.084,1023.695,23.697,0.32,0.32,1.68,NA,NA,NA,NA,NA
"17","2020/12/24","13:33:07",-0.3998,21.386,34.085,48.182,52343.358,1023.691,23.693,0.31,0.31,1.69,NA,NA,NA,NA,NA
"18","2020/12/24","13:33:07",-0.3998,21.388,34.083,48.182,52340.27,1023.689,23.691,0.32,0.32,1.75,NA,NA,7.57,NA,NA
"19","2020/12/24","13:33:07",-0.3998,21.387,34.086,48.183,52343.584,1023.691,23.693,0.32,0.32,1.78,NA,NA,7.57,7.161,NA
"20","2020/12/24","13:33:08",-0.3998,21.386,34.083,48.179,52340.616,1023.689,23.691,0.33,0.33,1.78,NA,7.143,7.58,7.16,NA
"21","2020/12/24","13:33:08",-0.3998,21.387,34.081,48.177,52337.304,1023.687,23.689,0.33,0.33,1.82,98.73,7.139,7.57,7.156,7.157
"22","2020/12/24","13:33:08",-0.3998,21.389,34.079,48.176,52334.233,1023.685,23.687,0.33,0.33,1.89,98.69,7.136,7.58,7.153,7.154
"23","2020/12/24","13:33:08",-0.3998,21.39,34.079,48.177,52333.837,1023.685,23.687,0.33,0.33,1.85,98.71,7.138,7.58,7.155,7.155
"24","2020/12/24","13:33:08",-0.3998,21.388,34.079,48.176,52334.756,1023.686,23.688,0.31,0.31,1.85,98.62,7.131,7.58,7.148,7.149
"25","2020/12/24","13:33:08",-0.3998,21.389,34.078,48.175,52332.726,1023.684,23.686,0.31,0.31,1.83,98.49,7.122,7.58,7.138,7.139
"26","2020/12/24","13:33:08",-0.3998,21.393,34.077,48.178,52330.449,1023.682,23.684,0.31,0.31,1.73,98.6,7.13,7.58,7.146,7.147
"27","2020/12/24","13:33:08",-0.3998,21.397,34.075,48.179,52326.779,1023.68,23.681,0.32,0.32,1.73,98.53,7.125,7.58,7.141,7.142
"28","2020/12/24","13:33:08",-0.3998,21.399,34.075,48.181,52326.811,1023.679,23.681,0.31,0.31,1.76,98.57,7.127,7.59,7.143,7.144
"29","2020/12/24","13:33:08",-0.3998,21.399,34.074,48.181,52325.763,1023.679,23.681,0.31,0.31,1.78,98.56,7.126,7.58,7.143,7.143
"30","2020/12/24","13:33:09",-0.4194,21.398,34.075,48.18,52326.54,1023.679,23.681,0.32,0.32,1.78,98.36,7.111,7.58,7.127,7.128
"31","2020/12/24","13:33:09",-0.3998,21.4,34.074,48.181,52325.741,1023.679,23.68,0.32,0.32,1.81,98.25,7.103,7.6,7.119,7.12
"32","2020/12/24","13:33:09",-0.4194,21.401,34.075,48.183,52326.114,1023.679,23.68,0.31,0.31,1.82,98.33,7.108,7.6,7.124,7.125
"33","2020/12/24","13:33:09",-0.4194,21.397,34.076,48.181,52329.343,1023.681,23.683,0.31,0.31,1.83,98.39,7.113,7.6,7.129,7.13
"34","2020/12/24","13:33:09",-0.3998,21.394,34.079,48.182,52332.706,1023.684,23.685,0.31,0.31,1.88,98.38,7.112,7.6,7.129,7.129
"35","2020/12/24","13:33:09",-0.3998,21.394,34.08,48.182,52334.45,1023.685,23.686,0.29,0.29,1.79,98.36,7.11,7.61,7.127,7.128
"36","2020/12/24","13:33:09",-0.3998,21.393,34.078,48.18,52332,1023.683,23.685,0.28,0.28,1.75,98.41,7.114,7.61,7.131,7.131
"37","2020/12/24","13:33:09",-0.3998,21.393,34.079,48.18,52333.944,1023.685,23.686,0.28,0.28,1.72,98.38,7.112,7.61,7.128,7.129
"38","2020/12/24","13:33:09",-0.3998,21.392,34.08,48.181,52335.462,1023.686,23.687,0.28,0.28,1.72,98.47,7.118,7.61,7.135,7.136
"39","2020/12/24","13:33:09",-0.3998,21.391,34.083,48.183,52338.864,1023.688,23.689,0.3,0.3,1.68,98.5,7.119,7.61,7.136,7.137
"40","2020/12/24","13:33:10",-0.3998,21.39,34.083,48.183,52339.672,1023.688,23.69,0.3,0.3,1.66,98.48,7.118,7.6,7.135,7.136
"41","2020/12/24","13:33:10",-0.3998,21.389,34.084,48.183,52341.601,1023.689,23.691,0.31,0.31,1.68,98.47,7.117,7.61,7.134,7.135
"42","2020/12/24","13:33:10",-0.4194,21.388,34.086,48.184,52344.243,1023.691,23.693,0.31,0.31,1.72,98.33,7.107,7.62,7.124,7.124
"43","2020/12/24","13:33:10",-0.3998,21.387,34.087,48.184,52345.343,1023.692,23.694,0.3,0.3,1.73,98.43,7.113,7.61,7.13,7.131
"44","2020/12/24","13:33:10",-0.3998,21.387,34.087,48.185,52345.897,1023.692,23.694,0.29,0.29,1.71,98.37,7.109,7.62,7.125,7.126
"45","2020/12/24","13:33:10",-0.3998,21.389,34.086,48.186,52344.189,1023.691,23.693,0.3,0.3,1.68,98.23,7.099,7.61,7.116,7.117
"46","2020/12/24","13:33:10",-0.3998,21.39,34.088,48.189,52346.148,1023.692,23.694,0.3,0.3,1.71,98.24,7.099,7.61,7.116,7.117
"47","2020/12/24","13:33:10",-0.4194,21.392,34.084,48.186,52340.974,1023.689,23.69,0.29,0.29,1.75,98.22,7.098,7.61,7.115,7.116
"48","2020/12/24","13:33:10",-0.3998,21.391,34.085,48.186,52341.351,1023.689,23.691,0.28,0.28,1.72,98.36,7.108,7.61,7.125,7.126
