"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA
"2","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA
"3","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA
"4","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
"5","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020/12/24","08:30:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020/12/24","08:30:29",-0.4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020/12/24","08:30:30",NA,NA,NA,44.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020/12/24","08:30:30",-0.4979,22.405,NA,44.407,NA,NA,NA,NA,NA,NA,93.44,NA,NA,NA,NA
"12","2020/12/24","08:30:30",-0.4979,22.531,30.296,44.402,46952.442,1020.5,20.502,NA,NA,NA,92.47,NA,NA,NA,NA
"13","2020/12/24","08:30:30",NA,22.6,30.221,44.366,46838.649,1020.424,20.426,NA,NA,NA,91.61,6.706,NA,6.723,6.723
"14","2020/12/24","08:30:30",-0.4979,22.641,30.205,44.381,46810.982,1020.4,20.402,0.47,0.47,1.22,90.82,6.633,NA,6.649,6.65
"15","2020/12/24","08:30:30",NA,22.673,30.173,44.369,46763.21,1020.367,20.369,0.44,0.44,1.18,90.09,6.567,NA,6.584,6.584
"16","2020/12/24","08:30:30",-0.4979,22.694,30.147,44.354,46724.501,1020.342,20.344,0.44,0.44,1.08,89.4,6.512,NA,6.529,6.529
"17","2020/12/24","08:30:30",-0.4979,22.699,30.13,44.337,46700.143,1020.327,20.329,0.47,0.47,1.15,88.86,6.466,NA,6.483,6.483
"18","2020/12/24","08:30:30",-0.4979,22.704,30.154,44.372,46732.715,1020.344,20.346,NA,NA,1.18,88.46,6.429,7.57,6.445,6.446
"19","2020/12/24","08:30:30",-0.4979,22.698,30.144,44.353,46718.449,1020.337,20.34,0.47,0.47,1.17,88.13,6.399,7.6,6.415,6.416
"20","2020/12/24","08:30:31",NA,22.659,30.179,44.365,46773.417,1020.376,20.378,0.44,0.44,1.19,87.76,6.367,NA,6.383,6.384
"21","2020/12/24","08:30:31",-0.4979,22.627,30.194,44.355,46798.15,1020.396,20.398,0.44,0.44,1.11,87.59,6.353,7.6,6.369,6.369
"22","2020/12/24","08:30:31",-0.4979,22.617,30.205,44.36,46813.835,1020.406,20.409,0.46,0.46,1.07,87.19,6.324,7.59,6.34,6.341
"23","2020/12/24","08:30:31",-0.4979,22.579,30.22,44.346,46840.258,1020.429,20.431,0.44,0.44,1.05,86.9,6.302,7.59,6.318,6.318
"24","2020/12/24","08:30:31",NA,22.579,30.214,44.337,46831.035,1020.424,20.426,0.45,0.45,1.09,86.66,6.284,7.6,6.3,6.3
"25","2020/12/24","08:30:31",-0.4979,22.589,30.226,44.361,46846.521,1020.43,20.432,0.44,0.44,1.09,86.33,6.258,7.61,6.274,6.274
"26","2020/12/24","08:30:31",-0.4979,22.585,30.235,44.37,46859.776,1020.438,20.44,0.42,0.42,1.11,85.96,6.229,7.58,6.245,6.245
"27","2020/12/24","08:30:31",-0.4979,22.59,30.226,44.363,46847.098,1020.43,20.432,0.44,0.44,1.09,85.63,6.204,7.58,6.22,6.221
