"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","09:50:04",-0.3213,NA,NA,NA,NA,NA,NA,0.43,0.43,NA,NA,NA,NA,NA,NA
"2","2021/01/06","09:50:04",-0.3016,NA,NA,42.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/01/06","09:50:04",-0.3016,NA,32.358,42.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/01/06","09:50:04",-0.282,NA,32.349,42.55,50616.391,1023.3,23.302,0.42,0.42,NA,NA,NA,NA,NA,NA
"5","2021/01/06","09:50:04",-0.3016,NA,32.342,42.549,50605.195,1023.293,23.294,0.42,0.42,NA,NA,NA,NA,NA,NA
"6","2021/01/06","09:50:04",-0.3016,17.77,32.337,42.549,50596.681,1023.288,23.289,0.42,0.42,1.83,NA,NA,NA,NA,NA
"7","2021/01/06","09:50:04",-0.3016,17.773,32.335,42.548,50592.786,1023.285,23.287,0.41,0.41,1.76,NA,NA,NA,NA,NA
"8","2021/01/06","09:50:04",-0.3016,17.774,NA,NA,NA,NA,NA,0.4,0.4,1.73,NA,NA,NA,NA,NA
"9","2021/01/06","09:50:04",-0.3016,17.774,NA,NA,NA,NA,NA,0.39,0.39,1.71,NA,NA,NA,NA,NA
"10","2021/01/06","09:50:05",-0.3016,17.775,32.331,42.546,50587.047,1023.282,23.283,0.41,0.41,1.75,NA,NA,NA,NA,NA
"11","2021/01/06","09:50:05",-0.3016,17.776,32.333,42.549,50589.344,1023.283,23.284,0.41,0.41,1.72,NA,NA,NA,NA,NA
"12","2021/01/06","09:50:05",-0.3016,17.777,32.331,42.548,50586.995,1023.282,23.283,0.38,0.38,1.62,NA,NA,NA,NA,NA
"13","2021/01/06","09:50:05",-0.3213,17.777,32.331,42.548,50586.878,1023.281,23.283,0.39,0.39,1.58,NA,NA,NA,NA,NA
"14","2021/01/06","09:50:05",-0.3016,17.778,32.329,42.547,50584.494,1023.28,23.281,0.41,0.41,1.56,NA,NA,NA,NA,NA
"15","2021/01/06","09:50:05",-0.3016,17.778,32.329,42.548,50584.418,1023.28,23.281,0.4,0.4,1.58,NA,NA,NA,NA,NA
"16","2021/01/06","09:50:05",-0.3016,17.778,32.33,42.548,50584.671,1023.28,23.281,0.39,0.39,1.58,94.98,7.427,NA,NA,7.44
"17","2021/01/06","09:50:05",-0.3016,17.778,32.332,42.55,50587.758,1023.282,23.283,0.4,0.4,1.64,94.8,7.412,7.53,7.425,7.425
"18","2021/01/06","09:50:05",-0.282,17.778,32.33,42.548,50585.04,1023.28,23.282,0.39,0.39,1.64,94.65,7.401,7.54,7.413,7.414
"19","2021/01/06","09:50:05",-0.282,17.777,32.33,42.547,50585.25,1023.281,23.282,0.38,0.38,1.68,94.57,7.394,7.53,7.407,7.408
"20","2021/01/06","09:50:06",-0.3016,17.776,32.333,42.55,50589.577,1023.283,23.284,0.37,0.37,1.71,94.53,7.391,7.54,7.404,7.404
"21","2021/01/06","09:50:06",-0.3016,17.776,32.332,42.549,50588.747,1023.283,23.284,0.38,0.38,1.76,94.54,7.391,7.53,7.404,7.405
"22","2021/01/06","09:50:06",-0.3016,17.776,32.334,42.551,50591.62,1023.284,23.286,0.37,0.37,1.73,94.48,7.386,7.55,7.399,7.399
"23","2021/01/06","09:50:06",-0.3016,17.776,32.333,42.55,50590.226,1023.283,23.285,0.37,0.37,1.64,94.34,7.375,7.55,7.388,7.388
"24","2021/01/06","09:50:06",-0.3016,17.776,32.333,42.55,50589.642,1023.283,23.284,0.37,0.37,1.59,94.28,7.37,7.55,7.383,7.383
"25","2021/01/06","09:50:06",-0.3016,17.776,32.333,42.55,50590.064,1023.283,23.285,0.37,0.37,1.59,94.3,7.372,7.54,7.385,7.385
"26","2021/01/06","09:50:06",-0.3213,17.776,32.334,42.551,50590.943,1023.284,23.285,0.36,0.36,1.58,94.23,7.367,7.54,7.38,7.38
"27","2021/01/06","09:50:06",-0.3213,17.777,32.334,42.551,50590.805,1023.284,23.285,0.36,0.36,1.61,94.13,7.36,7.54,7.373,7.373
"28","2021/01/06","09:50:06",-0.3016,17.777,32.335,42.553,50592.821,1023.285,23.286,0.36,0.36,1.54,94.12,7.359,7.55,7.372,7.372
"29","2021/01/06","09:50:06",-0.3016,17.777,32.335,42.553,50591.862,1023.284,23.286,0.35,0.35,1.55,94.06,7.354,7.55,7.367,7.367
"30","2021/01/06","09:50:07",-0.3016,17.777,32.336,42.554,50593.628,1023.285,23.287,0.36,0.36,1.56,94.05,7.353,7.56,7.366,7.366
"31","2021/01/06","09:50:07",-0.3016,17.777,32.337,42.556,50595.21,1023.286,23.287,0.34,0.34,1.58,94.18,7.363,7.57,7.376,7.376
"32","2021/01/06","09:50:07",-0.3016,17.777,32.337,42.555,50595.154,1023.286,23.287,0.35,0.35,1.54,94.08,7.356,7.55,7.369,7.369
"33","2021/01/06","09:50:07",-0.3016,17.777,32.338,42.557,50596.713,1023.287,23.288,0.34,0.34,1.72,94.05,7.353,7.57,7.366,7.366
"34","2021/01/06","09:50:07",-0.3016,17.776,32.338,42.556,50597.168,1023.287,23.289,0.34,0.34,1.65,93.98,7.347,7.57,7.36,7.361
"35","2021/01/06","09:50:07",-0.3016,17.775,32.34,42.557,50599.573,1023.289,23.29,0.35,0.35,1.56,93.98,7.347,7.55,7.36,7.36
